J-Date,Date,Adj Close,Ticker,Ticker(4)
1391-10-04,2012-12-24,70,فزرین,KZIZ
1391-10-05,2012-12-25,74,فزرین,KZIZ
1391-10-06,2012-12-26,77,فزرین,KZIZ
1391-10-09,2012-12-29,81,فزرین,KZIZ
1391-10-10,2012-12-30,85,فزرین,KZIZ
1391-10-11,2012-12-31,90,فزرین,KZIZ
1391-10-12,2013-01-01,94,فزرین,KZIZ
1391-10-13,2013-01-02,99,فزرین,KZIZ
1391-10-17,2013-01-06,99,فزرین,KZIZ
1391-10-18,2013-01-07,104,فزرین,KZIZ
1391-10-19,2013-01-08,103,فزرین,KZIZ
1391-10-20,2013-01-09,102,فزرین,KZIZ
1391-10-24,2013-01-13,102,فزرین,KZIZ
1391-10-25,2013-01-14,103,فزرین,KZIZ
1391-10-26,2013-01-15,103,فزرین,KZIZ
1391-10-27,2013-01-16,101,فزرین,KZIZ
1391-10-30,2013-01-19,96,فزرین,KZIZ
1391-11-01,2013-01-20,92,فزرین,KZIZ
1391-11-02,2013-01-21,89,فزرین,KZIZ
1391-11-03,2013-01-22,85,فزرین,KZIZ
1391-11-04,2013-01-23,90,فزرین,KZIZ
1391-11-07,2013-01-26,88,فزرین,KZIZ
1391-11-08,2013-01-27,85,فزرین,KZIZ
1391-11-09,2013-01-28,87,فزرین,KZIZ
1391-11-11,2013-01-30,85,فزرین,KZIZ
1391-11-14,2013-02-02,85,فزرین,KZIZ
1391-11-15,2013-02-03,85,فزرین,KZIZ
1391-11-16,2013-02-04,80,فزرین,KZIZ
1391-11-17,2013-02-05,82,فزرین,KZIZ
1391-11-18,2013-02-06,84,فزرین,KZIZ
1391-11-21,2013-02-09,82,فزرین,KZIZ
1391-11-23,2013-02-11,83,فزرین,KZIZ
1391-11-24,2013-02-12,82,فزرین,KZIZ
1391-11-25,2013-02-13,79,فزرین,KZIZ
1391-11-28,2013-02-16,81,فزرین,KZIZ
1391-11-29,2013-02-17,81,فزرین,KZIZ
1391-11-30,2013-02-18,81,فزرین,KZIZ
1391-12-01,2013-02-19,83,فزرین,KZIZ
1391-12-02,2013-02-20,79,فزرین,KZIZ
1391-12-05,2013-02-23,79,فزرین,KZIZ
1391-12-06,2013-02-24,75,فزرین,KZIZ
1391-12-07,2013-02-25,72,فزرین,KZIZ
1391-12-08,2013-02-26,75,فزرین,KZIZ
1391-12-09,2013-02-27,75,فزرین,KZIZ
1391-12-12,2013-03-02,71,فزرین,KZIZ
1391-12-13,2013-03-03,72,فزرین,KZIZ
1391-12-14,2013-03-04,71,فزرین,KZIZ
1391-12-15,2013-03-05,69,فزرین,KZIZ
1391-12-16,2013-03-06,71,فزرین,KZIZ
1391-12-19,2013-03-09,71,فزرین,KZIZ
1391-12-20,2013-03-10,70,فزرین,KZIZ
1391-12-21,2013-03-11,70,فزرین,KZIZ
1391-12-22,2013-03-12,71,فزرین,KZIZ
1391-12-23,2013-03-13,69,فزرین,KZIZ
1391-12-26,2013-03-16,71,فزرین,KZIZ
1391-12-27,2013-03-17,71,فزرین,KZIZ
1391-12-28,2013-03-18,74,فزرین,KZIZ
1392-01-05,2013-03-25,75,فزرین,KZIZ
1392-01-06,2013-03-26,78,فزرین,KZIZ
1392-01-07,2013-03-27,77,فزرین,KZIZ
1392-01-10,2013-03-30,74,فزرین,KZIZ
1392-01-11,2013-03-31,76,فزرین,KZIZ
1392-01-14,2013-04-03,75,فزرین,KZIZ
1392-01-17,2013-04-06,73,فزرین,KZIZ
1392-01-18,2013-04-07,71,فزرین,KZIZ
1392-01-19,2013-04-08,74,فزرین,KZIZ
1392-01-20,2013-04-09,72,فزرین,KZIZ
1392-01-21,2013-04-10,72,فزرین,KZIZ
1392-01-24,2013-04-13,72,فزرین,KZIZ
1392-01-26,2013-04-15,72,فزرین,KZIZ
1392-01-27,2013-04-16,73,فزرین,KZIZ
1392-01-28,2013-04-17,73,فزرین,KZIZ
1392-01-31,2013-04-20,72,فزرین,KZIZ
1392-02-01,2013-04-21,72,فزرین,KZIZ
1392-02-02,2013-04-22,74,فزرین,KZIZ
1392-02-03,2013-04-23,74,فزرین,KZIZ
1392-02-04,2013-04-24,73,فزرین,KZIZ
1392-02-07,2013-04-27,72,فزرین,KZIZ
1392-02-08,2013-04-28,72,فزرین,KZIZ
1392-02-09,2013-04-29,73,فزرین,KZIZ
1392-02-10,2013-04-30,72,فزرین,KZIZ
1392-02-11,2013-05-01,71,فزرین,KZIZ
1392-02-14,2013-05-04,75,فزرین,KZIZ
1392-02-15,2013-05-05,78,فزرین,KZIZ
1392-02-16,2013-05-06,81,فزرین,KZIZ
1392-02-17,2013-05-07,83,فزرین,KZIZ
1392-02-18,2013-05-08,78,فزرین,KZIZ
1392-02-21,2013-05-11,78,فزرین,KZIZ
1392-02-22,2013-05-12,75,فزرین,KZIZ
1392-02-23,2013-05-13,73,فزرین,KZIZ
1392-02-24,2013-05-14,74,فزرین,KZIZ
1392-02-25,2013-05-15,73,فزرین,KZIZ
1392-03-01,2013-05-22,76,فزرین,KZIZ
1392-03-04,2013-05-25,82,فزرین,KZIZ
1392-03-05,2013-05-26,80,فزرین,KZIZ
1392-03-06,2013-05-27,76,فزرین,KZIZ
1392-03-07,2013-05-28,79,فزرین,KZIZ
1392-03-08,2013-05-29,80,فزرین,KZIZ
1392-03-11,2013-06-01,81,فزرین,KZIZ
1392-03-12,2013-06-02,84,فزرین,KZIZ
1392-03-13,2013-06-03,84,فزرین,KZIZ
1392-03-18,2013-06-08,83,فزرین,KZIZ
1392-03-19,2013-06-09,81,فزرین,KZIZ
1392-03-20,2013-06-10,81,فزرین,KZIZ
1392-03-21,2013-06-11,82,فزرین,KZIZ
1392-03-22,2013-06-12,83,فزرین,KZIZ
1392-03-25,2013-06-15,87,فزرین,KZIZ
1392-03-26,2013-06-16,87,فزرین,KZIZ
1392-03-27,2013-06-17,85,فزرین,KZIZ
1392-03-28,2013-06-18,89,فزرین,KZIZ
1392-03-29,2013-06-19,92,فزرین,KZIZ
1392-04-01,2013-06-22,97,فزرین,KZIZ
1392-04-02,2013-06-23,95,فزرین,KZIZ
1392-04-04,2013-06-25,90,فزرین,KZIZ
1392-04-05,2013-06-26,90,فزرین,KZIZ
1392-04-12,2013-07-03,106,فزرین,KZIZ
1392-04-15,2013-07-06,110,فزرین,KZIZ
1392-04-16,2013-07-07,109,فزرین,KZIZ
1392-04-17,2013-07-08,106,فزرین,KZIZ
1392-04-18,2013-07-09,101,فزرین,KZIZ
1392-04-19,2013-07-10,103,فزرین,KZIZ
1392-04-22,2013-07-13,99,فزرین,KZIZ
1392-04-23,2013-07-14,99,فزرین,KZIZ
1392-04-24,2013-07-15,98,فزرین,KZIZ
1392-04-25,2013-07-16,98,فزرین,KZIZ
1392-04-26,2013-07-17,98,فزرین,KZIZ
1392-04-29,2013-07-20,101,فزرین,KZIZ
1392-04-30,2013-07-21,101,فزرین,KZIZ
1392-04-31,2013-07-22,99,فزرین,KZIZ
1392-05-01,2013-07-23,103,فزرین,KZIZ
1392-05-02,2013-07-24,102,فزرین,KZIZ
1392-05-05,2013-07-27,101,فزرین,KZIZ
1392-05-06,2013-07-28,101,فزرین,KZIZ
1392-05-07,2013-07-29,104,فزرین,KZIZ
1392-05-09,2013-07-31,108,فزرین,KZIZ
1392-05-12,2013-08-03,108,فزرین,KZIZ
1392-05-13,2013-08-04,107,فزرین,KZIZ
1392-05-14,2013-08-05,106,فزرین,KZIZ
1392-05-15,2013-08-06,102,فزرین,KZIZ
1392-05-16,2013-08-07,108,فزرین,KZIZ
1392-05-20,2013-08-11,113,فزرین,KZIZ
1392-05-21,2013-08-12,117,فزرین,KZIZ
1392-05-22,2013-08-13,111,فزرین,KZIZ
1392-05-23,2013-08-14,108,فزرین,KZIZ
1392-05-26,2013-08-17,107,فزرین,KZIZ
1392-05-27,2013-08-18,106,فزرین,KZIZ
1392-05-28,2013-08-19,108,فزرین,KZIZ
1392-05-29,2013-08-20,106,فزرین,KZIZ
1392-05-30,2013-08-21,104,فزرین,KZIZ
1392-06-02,2013-08-24,101,فزرین,KZIZ
1392-06-03,2013-08-25,101,فزرین,KZIZ
1392-06-04,2013-08-26,101,فزرین,KZIZ
1392-06-05,2013-08-27,98,فزرین,KZIZ
1392-06-06,2013-08-28,94,فزرین,KZIZ
1392-06-09,2013-08-31,97,فزرین,KZIZ
1392-06-10,2013-09-01,100,فزرین,KZIZ
1392-06-12,2013-09-03,104,فزرین,KZIZ
1392-06-13,2013-09-04,99,فزرین,KZIZ
1392-06-16,2013-09-07,95,فزرین,KZIZ
1392-06-17,2013-09-08,96,فزرین,KZIZ
1392-06-18,2013-09-09,96,فزرین,KZIZ
1392-06-19,2013-09-10,101,فزرین,KZIZ
1392-06-20,2013-09-11,99,فزرین,KZIZ
1392-06-23,2013-09-14,100,فزرین,KZIZ
1392-06-24,2013-09-15,98,فزرین,KZIZ
1392-06-25,2013-09-16,97,فزرین,KZIZ
1392-06-26,2013-09-17,95,فزرین,KZIZ
1392-06-27,2013-09-18,100,فزرین,KZIZ
1392-06-30,2013-09-21,99,فزرین,KZIZ
1392-06-31,2013-09-22,100,فزرین,KZIZ
1392-07-01,2013-09-23,102,فزرین,KZIZ
1392-07-02,2013-09-24,106,فزرین,KZIZ
1392-07-03,2013-09-25,112,فزرین,KZIZ
1392-07-06,2013-09-28,117,فزرین,KZIZ
1392-07-07,2013-09-29,123,فزرین,KZIZ
1392-07-08,2013-09-30,127,فزرین,KZIZ
1392-07-09,2013-10-01,131,فزرین,KZIZ
1392-07-10,2013-10-02,137,فزرین,KZIZ
1392-07-13,2013-10-05,144,فزرین,KZIZ
1392-07-14,2013-10-06,144,فزرین,KZIZ
1392-07-15,2013-10-07,144,فزرین,KZIZ
1392-07-16,2013-10-08,141,فزرین,KZIZ
1392-07-17,2013-10-09,142,فزرین,KZIZ
1392-07-20,2013-10-12,144,فزرین,KZIZ
1392-07-21,2013-10-13,151,فزرین,KZIZ
1392-08-27,2013-11-18,141,فزرین,KZIZ
1392-08-28,2013-11-19,143,فزرین,KZIZ
1392-08-29,2013-11-20,144,فزرین,KZIZ
1392-09-02,2013-11-23,151,فزرین,KZIZ
1392-09-03,2013-11-24,158,فزرین,KZIZ
1392-09-04,2013-11-25,166,فزرین,KZIZ
1392-09-05,2013-11-26,167,فزرین,KZIZ
1392-09-06,2013-11-27,165,فزرین,KZIZ
1392-09-09,2013-11-30,159,فزرین,KZIZ
1392-09-10,2013-12-01,156,فزرین,KZIZ
1392-09-11,2013-12-02,155,فزرین,KZIZ
1392-09-12,2013-12-03,158,فزرین,KZIZ
1392-09-13,2013-12-04,160,فزرین,KZIZ
1392-09-16,2013-12-07,157,فزرین,KZIZ
1392-09-17,2013-12-08,161,فزرین,KZIZ
1392-09-18,2013-12-09,158,فزرین,KZIZ
1392-09-19,2013-12-10,167,فزرین,KZIZ
1392-09-20,2013-12-11,170,فزرین,KZIZ
1392-09-23,2013-12-14,178,فزرین,KZIZ
1392-09-24,2013-12-15,185,فزرین,KZIZ
1392-09-25,2013-12-16,194,فزرین,KZIZ
1392-09-26,2013-12-17,194,فزرین,KZIZ
1392-09-27,2013-12-18,189,فزرین,KZIZ
1392-09-30,2013-12-21,181,فزرین,KZIZ
1392-10-01,2013-12-22,175,فزرین,KZIZ
1392-10-03,2013-12-24,185,فزرین,KZIZ
1392-10-04,2013-12-25,190,فزرین,KZIZ
1392-10-07,2013-12-28,193,فزرین,KZIZ
1392-10-08,2013-12-29,187,فزرین,KZIZ
1392-10-09,2013-12-30,180,فزرین,KZIZ
1392-10-11,2014-01-01,182,فزرین,KZIZ
1392-10-14,2014-01-04,186,فزرین,KZIZ
1392-10-15,2014-01-05,182,فزرین,KZIZ
1392-10-16,2014-01-06,185,فزرین,KZIZ
1392-10-17,2014-01-07,183,فزرین,KZIZ
1392-10-22,2014-01-12,172,فزرین,KZIZ
1392-10-23,2014-01-13,168,فزرین,KZIZ
1392-10-24,2014-01-14,169,فزرین,KZIZ
1392-10-25,2014-01-15,163,فزرین,KZIZ
1392-10-28,2014-01-18,156,فزرین,KZIZ
1392-10-30,2014-01-20,154,فزرین,KZIZ
1392-12-07,2014-02-26,148,فزرین,KZIZ
1392-12-10,2014-03-01,155,فزرین,KZIZ
1392-12-11,2014-03-02,151,فزرین,KZIZ
1392-12-12,2014-03-03,147,فزرین,KZIZ
1392-12-13,2014-03-04,148,فزرین,KZIZ
1392-12-14,2014-03-05,149,فزرین,KZIZ
1392-12-17,2014-03-08,150,فزرین,KZIZ
1392-12-18,2014-03-09,146,فزرین,KZIZ
1392-12-19,2014-03-10,145,فزرین,KZIZ
1392-12-20,2014-03-11,138,فزرین,KZIZ
