J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-05,2001-03-25,709,فلامی,LAMI
1380-01-06,2001-03-26,709,فلامی,LAMI
1380-01-07,2001-03-27,705,فلامی,LAMI
1380-01-08,2001-03-28,719,فلامی,LAMI
1380-01-18,2001-04-07,719,فلامی,LAMI
1380-01-20,2001-04-09,719,فلامی,LAMI
1380-01-22,2001-04-11,720,فلامی,LAMI
1380-01-25,2001-04-14,720,فلامی,LAMI
1380-01-26,2001-04-15,720,فلامی,LAMI
1380-01-27,2001-04-16,722,فلامی,LAMI
1380-01-28,2001-04-17,722,فلامی,LAMI
1380-02-01,2001-04-21,724,فلامی,LAMI
1380-02-02,2001-04-22,724,فلامی,LAMI
1380-02-03,2001-04-23,724,فلامی,LAMI
1380-02-04,2001-04-24,725,فلامی,LAMI
1380-02-08,2001-04-28,734,فلامی,LAMI
1380-02-09,2001-04-29,735,فلامی,LAMI
1380-02-10,2001-04-30,742,فلامی,LAMI
1380-02-11,2001-05-01,757,فلامی,LAMI
1380-02-15,2001-05-05,759,فلامی,LAMI
1380-02-16,2001-05-06,767,فلامی,LAMI
1380-02-17,2001-05-07,774,فلامی,LAMI
1380-02-18,2001-05-08,800,فلامی,LAMI
1380-02-19,2001-05-09,801,فلامی,LAMI
1380-02-23,2001-05-13,841,فلامی,LAMI
1380-02-25,2001-05-15,841,فلامی,LAMI
1380-02-26,2001-05-16,844,فلامی,LAMI
1380-02-29,2001-05-19,845,فلامی,LAMI
1380-02-30,2001-05-20,863,فلامی,LAMI
1380-02-31,2001-05-21,850,فلامی,LAMI
1380-03-02,2001-05-23,864,فلامی,LAMI
1380-03-05,2001-05-26,864,فلامی,LAMI
1380-03-06,2001-05-27,864,فلامی,LAMI
1380-03-07,2001-05-28,864,فلامی,LAMI
1380-03-08,2001-05-29,864,فلامی,LAMI
1380-03-09,2001-05-30,864,فلامی,LAMI
1380-03-12,2001-06-02,864,فلامی,LAMI
1380-03-13,2001-06-03,864,فلامی,LAMI
1380-03-16,2001-06-06,865,فلامی,LAMI
1380-03-19,2001-06-09,865,فلامی,LAMI
1380-03-21,2001-06-11,871,فلامی,LAMI
1380-03-22,2001-06-12,864,فلامی,LAMI
1380-03-23,2001-06-13,864,فلامی,LAMI
1380-03-26,2001-06-16,863,فلامی,LAMI
1380-03-27,2001-06-17,835,فلامی,LAMI
1380-03-28,2001-06-18,834,فلامی,LAMI
1380-03-29,2001-06-19,792,فلامی,LAMI
1380-04-04,2001-06-25,758,فلامی,LAMI
1380-04-05,2001-06-26,765,فلامی,LAMI
1380-04-06,2001-06-27,766,فلامی,LAMI
1380-04-09,2001-06-30,785,فلامی,LAMI
1380-04-10,2001-07-01,785,فلامی,LAMI
1380-04-11,2001-07-02,787,فلامی,LAMI
1380-04-12,2001-07-03,786,فلامی,LAMI
1380-04-13,2001-07-04,786,فلامی,LAMI
1380-04-16,2001-07-07,786,فلامی,LAMI
1380-04-17,2001-07-08,786,فلامی,LAMI
1380-04-18,2001-07-09,792,فلامی,LAMI
1380-04-19,2001-07-10,794,فلامی,LAMI
1380-04-23,2001-07-14,792,فلامی,LAMI
1380-04-24,2001-07-15,785,فلامی,LAMI
1380-04-25,2001-07-16,778,فلامی,LAMI
1380-04-26,2001-07-17,770,فلامی,LAMI
1380-04-27,2001-07-18,752,فلامی,LAMI
1380-04-30,2001-07-21,753,فلامی,LAMI
1380-04-31,2001-07-22,757,فلامی,LAMI
1380-05-01,2001-07-23,758,فلامی,LAMI
1380-05-02,2001-07-24,758,فلامی,LAMI
1380-05-03,2001-07-25,758,فلامی,LAMI
1380-05-06,2001-07-28,758,فلامی,LAMI
1380-05-07,2001-07-29,770,فلامی,LAMI
1380-05-08,2001-07-30,770,فلامی,LAMI
1380-05-10,2001-08-01,770,فلامی,LAMI
1380-05-13,2001-08-04,771,فلامی,LAMI
1380-05-14,2001-08-05,773,فلامی,LAMI
1380-05-15,2001-08-06,771,فلامی,LAMI
1380-05-16,2001-08-07,771,فلامی,LAMI
1380-05-17,2001-08-08,771,فلامی,LAMI
1380-05-20,2001-08-11,771,فلامی,LAMI
1380-05-21,2001-08-12,771,فلامی,LAMI
1380-05-22,2001-08-13,774,فلامی,LAMI
1380-05-23,2001-08-14,774,فلامی,LAMI
1380-05-24,2001-08-15,774,فلامی,LAMI
1380-05-28,2001-08-19,774,فلامی,LAMI
1380-05-29,2001-08-20,774,فلامی,LAMI
1380-05-30,2001-08-21,778,فلامی,LAMI
1380-05-31,2001-08-22,785,فلامی,LAMI
1380-06-03,2001-08-25,785,فلامی,LAMI
1380-06-05,2001-08-27,778,فلامی,LAMI
1380-06-06,2001-08-28,778,فلامی,LAMI
1380-06-07,2001-08-29,777,فلامی,LAMI
1380-06-10,2001-09-01,776,فلامی,LAMI
1380-06-11,2001-09-02,775,فلامی,LAMI
1380-06-12,2001-09-03,769,فلامی,LAMI
1380-06-13,2001-09-04,766,فلامی,LAMI
1380-06-14,2001-09-05,762,فلامی,LAMI
1380-06-31,2001-09-22,724,فلامی,LAMI
1380-07-04,2001-09-26,719,فلامی,LAMI
1380-07-07,2001-09-29,683,فلامی,LAMI
1380-07-08,2001-09-30,673,فلامی,LAMI
1380-07-10,2001-10-02,670,فلامی,LAMI
1380-07-11,2001-10-03,664,فلامی,LAMI
1380-07-15,2001-10-07,656,فلامی,LAMI
1380-07-16,2001-10-08,654,فلامی,LAMI
1380-07-17,2001-10-09,623,فلامی,LAMI
1380-07-21,2001-10-13,616,فلامی,LAMI
1380-07-22,2001-10-14,616,فلامی,LAMI
1380-07-24,2001-10-16,616,فلامی,LAMI
1380-07-25,2001-10-17,616,فلامی,LAMI
1380-09-07,2001-11-28,504,فلامی,LAMI
1380-09-11,2001-12-02,529,فلامی,LAMI
1380-09-14,2001-12-05,556,فلامی,LAMI
1380-09-17,2001-12-08,583,فلامی,LAMI
1380-09-18,2001-12-09,583,فلامی,LAMI
1380-09-19,2001-12-10,576,فلامی,LAMI
1380-09-20,2001-12-11,576,فلامی,LAMI
1380-09-26,2001-12-17,577,فلامی,LAMI
1380-09-27,2001-12-18,605,فلامی,LAMI
1380-09-28,2001-12-19,603,فلامی,LAMI
