J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-04-11,2001-07-02,181,بشهاب,LAPS
1380-04-13,2001-07-04,184,بشهاب,LAPS
1380-04-16,2001-07-07,186,بشهاب,LAPS
1380-04-17,2001-07-08,187,بشهاب,LAPS
1380-04-18,2001-07-09,191,بشهاب,LAPS
1380-05-17,2001-08-08,151,بشهاب,LAPS
1380-05-21,2001-08-12,158,بشهاب,LAPS
1380-05-22,2001-08-13,166,بشهاب,LAPS
1380-05-24,2001-08-15,166,بشهاب,LAPS
1380-05-27,2001-08-18,166,بشهاب,LAPS
1380-05-28,2001-08-19,166,بشهاب,LAPS
1380-05-29,2001-08-20,175,بشهاب,LAPS
1380-05-31,2001-08-22,179,بشهاب,LAPS
1380-06-03,2001-08-25,179,بشهاب,LAPS
1380-06-04,2001-08-26,179,بشهاب,LAPS
1380-06-05,2001-08-27,177,بشهاب,LAPS
1380-06-06,2001-08-28,177,بشهاب,LAPS
1380-06-07,2001-08-29,177,بشهاب,LAPS
1380-06-10,2001-09-01,177,بشهاب,LAPS
1380-06-11,2001-09-02,177,بشهاب,LAPS
1380-06-12,2001-09-03,177,بشهاب,LAPS
1380-06-13,2001-09-04,177,بشهاب,LAPS
1380-06-17,2001-09-08,177,بشهاب,LAPS
1380-06-18,2001-09-09,177,بشهاب,LAPS
1380-06-20,2001-09-11,177,بشهاب,LAPS
1380-06-25,2001-09-16,177,بشهاب,LAPS
1380-06-26,2001-09-17,177,بشهاب,LAPS
1380-06-27,2001-09-18,177,بشهاب,LAPS
1380-07-02,2001-09-24,177,بشهاب,LAPS
1380-07-03,2001-09-25,177,بشهاب,LAPS
1380-07-04,2001-09-26,177,بشهاب,LAPS
1380-07-16,2001-10-08,177,بشهاب,LAPS
1380-07-17,2001-10-09,177,بشهاب,LAPS
1380-07-18,2001-10-10,177,بشهاب,LAPS
1380-07-24,2001-10-16,177,بشهاب,LAPS
1380-07-29,2001-10-21,178,بشهاب,LAPS
1380-08-02,2001-10-24,178,بشهاب,LAPS
1380-08-06,2001-10-28,179,بشهاب,LAPS
1380-08-15,2001-11-06,184,بشهاب,LAPS
1380-08-19,2001-11-10,184,بشهاب,LAPS
1380-08-20,2001-11-11,187,بشهاب,LAPS
1380-09-03,2001-11-24,182,بشهاب,LAPS
1380-09-06,2001-11-27,180,بشهاب,LAPS
1380-09-11,2001-12-02,181,بشهاب,LAPS
1380-09-12,2001-12-03,180,بشهاب,LAPS
1380-09-21,2001-12-12,180,بشهاب,LAPS
1380-10-03,2001-12-24,180,بشهاب,LAPS
1380-10-04,2001-12-25,177,بشهاب,LAPS
1380-10-15,2002-01-05,177,بشهاب,LAPS
1380-10-17,2002-01-07,177,بشهاب,LAPS
1380-10-18,2002-01-08,177,بشهاب,LAPS
1380-10-25,2002-01-15,177,بشهاب,LAPS
1380-10-26,2002-01-16,177,بشهاب,LAPS
1380-11-06,2002-01-26,177,بشهاب,LAPS
1380-11-08,2002-01-28,177,بشهاب,LAPS
1380-11-09,2002-01-29,177,بشهاب,LAPS
1380-11-10,2002-01-30,177,بشهاب,LAPS
1380-11-13,2002-02-02,177,بشهاب,LAPS
1380-11-15,2002-02-04,177,بشهاب,LAPS
1380-11-17,2002-02-06,177,بشهاب,LAPS
1380-11-21,2002-02-10,177,بشهاب,LAPS
1380-11-23,2002-02-12,177,بشهاب,LAPS
