J-Date,Date,Adj Close,Ticker,Ticker(4)
1394-06-16,2015-09-07,1223,شلیا,LIAZ
1394-06-17,2015-09-08,1284,شلیا,LIAZ
1394-06-18,2015-09-09,1348,شلیا,LIAZ
1394-06-21,2015-09-12,1414,شلیا,LIAZ
1394-06-22,2015-09-13,1484,شلیا,LIAZ
1394-06-23,2015-09-14,1558,شلیا,LIAZ
1394-06-24,2015-09-15,1635,شلیا,LIAZ
1394-06-25,2015-09-16,1605,شلیا,LIAZ
1394-06-28,2015-09-19,1529,شلیا,LIAZ
1394-06-29,2015-09-20,1490,شلیا,LIAZ
1394-06-30,2015-09-21,1464,شلیا,LIAZ
1394-06-31,2015-09-22,1493,شلیا,LIAZ
1394-07-01,2015-09-23,1502,شلیا,LIAZ
1394-07-04,2015-09-26,1457,شلیا,LIAZ
1394-07-05,2015-09-27,1408,شلیا,LIAZ
1394-07-06,2015-09-28,1402,شلیا,LIAZ
1394-07-07,2015-09-29,1402,شلیا,LIAZ
1394-07-08,2015-09-30,1407,شلیا,LIAZ
1394-07-11,2015-10-03,1341,شلیا,LIAZ
1394-07-12,2015-10-04,1389,شلیا,LIAZ
1394-07-13,2015-10-05,1357,شلیا,LIAZ
1394-07-14,2015-10-06,1331,شلیا,LIAZ
1394-07-15,2015-10-07,1303,شلیا,LIAZ
1394-07-18,2015-10-10,1294,شلیا,LIAZ
1394-07-19,2015-10-11,1302,شلیا,LIAZ
1394-07-20,2015-10-12,1299,شلیا,LIAZ
1394-07-21,2015-10-13,1350,شلیا,LIAZ
1394-07-22,2015-10-14,1308,شلیا,LIAZ
1394-07-25,2015-10-17,1339,شلیا,LIAZ
1394-07-26,2015-10-18,1303,شلیا,LIAZ
1394-07-27,2015-10-19,1286,شلیا,LIAZ
1394-07-28,2015-10-20,1277,شلیا,LIAZ
1394-07-29,2015-10-21,1271,شلیا,LIAZ
1394-08-03,2015-10-25,1229,شلیا,LIAZ
1394-08-04,2015-10-26,1251,شلیا,LIAZ
1394-08-05,2015-10-27,1233,شلیا,LIAZ
1394-08-06,2015-10-28,1240,شلیا,LIAZ
1394-08-09,2015-10-31,1272,شلیا,LIAZ
1394-08-10,2015-11-01,1257,شلیا,LIAZ
1394-08-11,2015-11-02,1241,شلیا,LIAZ
1394-08-12,2015-11-03,1233,شلیا,LIAZ
1394-08-13,2015-11-04,1224,شلیا,LIAZ
1394-08-16,2015-11-07,1228,شلیا,LIAZ
1394-08-17,2015-11-08,1237,شلیا,LIAZ
1394-08-18,2015-11-09,1259,شلیا,LIAZ
1394-08-19,2015-11-10,1277,شلیا,LIAZ
1394-08-20,2015-11-11,1284,شلیا,LIAZ
1394-08-26,2015-11-17,1362,شلیا,LIAZ
1394-08-27,2015-11-18,1427,شلیا,LIAZ
1394-08-30,2015-11-21,1492,شلیا,LIAZ
1394-09-01,2015-11-22,1506,شلیا,LIAZ
1394-09-02,2015-11-23,1486,شلیا,LIAZ
1394-09-03,2015-11-24,1529,شلیا,LIAZ
1394-09-04,2015-11-25,1599,شلیا,LIAZ
1394-09-07,2015-11-28,1636,شلیا,LIAZ
1394-09-08,2015-11-29,1693,شلیا,LIAZ
1394-09-09,2015-11-30,1633,شلیا,LIAZ
1394-09-10,2015-12-01,1705,شلیا,LIAZ
1394-09-14,2015-12-05,1643,شلیا,LIAZ
1394-09-15,2015-12-06,1607,شلیا,LIAZ
1394-09-16,2015-12-07,1546,شلیا,LIAZ
1394-09-17,2015-12-08,1575,شلیا,LIAZ
1394-09-18,2015-12-09,1572,شلیا,LIAZ
1394-09-22,2015-12-13,1562,شلیا,LIAZ
1394-09-23,2015-12-14,1526,شلیا,LIAZ
1394-09-24,2015-12-15,1590,شلیا,LIAZ
1394-09-25,2015-12-16,1594,شلیا,LIAZ
1394-09-28,2015-12-19,1524,شلیا,LIAZ
1394-09-29,2015-12-20,1482,شلیا,LIAZ
1394-09-30,2015-12-21,1494,شلیا,LIAZ
1394-10-01,2015-12-22,1488,شلیا,LIAZ
1394-10-02,2015-12-23,1569,شلیا,LIAZ
1394-10-05,2015-12-26,1614,شلیا,LIAZ
1394-10-06,2015-12-27,1677,شلیا,LIAZ
1394-10-07,2015-12-28,1631,شلیا,LIAZ
1394-10-09,2015-12-30,1643,شلیا,LIAZ
1394-10-12,2016-01-02,1652,شلیا,LIAZ
1394-10-13,2016-01-03,1623,شلیا,LIAZ
1394-10-14,2016-01-04,1617,شلیا,LIAZ
1394-10-15,2016-01-05,1699,شلیا,LIAZ
1394-10-16,2016-01-06,1614,شلیا,LIAZ
1394-10-19,2016-01-09,1759,شلیا,LIAZ
1394-10-20,2016-01-10,1817,شلیا,LIAZ
1394-10-21,2016-01-11,1754,شلیا,LIAZ
1394-10-22,2016-01-12,1759,شلیا,LIAZ
1394-10-23,2016-01-13,1705,شلیا,LIAZ
1394-10-26,2016-01-16,1765,شلیا,LIAZ
1394-10-27,2016-01-17,1739,شلیا,LIAZ
1394-10-28,2016-01-18,1735,شلیا,LIAZ
1394-10-29,2016-01-19,1804,شلیا,LIAZ
1394-10-30,2016-01-20,1884,شلیا,LIAZ
1394-11-03,2016-01-23,1881,شلیا,LIAZ
1394-11-04,2016-01-24,1846,شلیا,LIAZ
1394-11-05,2016-01-25,1803,شلیا,LIAZ
1394-11-06,2016-01-26,1868,شلیا,LIAZ
1394-11-07,2016-01-27,1813,شلیا,LIAZ
1394-11-10,2016-01-30,1797,شلیا,LIAZ
1394-11-11,2016-01-31,1744,شلیا,LIAZ
1394-11-12,2016-02-01,1778,شلیا,LIAZ
1394-11-13,2016-02-02,1754,شلیا,LIAZ
1394-11-14,2016-02-03,1720,شلیا,LIAZ
1394-11-17,2016-02-06,1828,شلیا,LIAZ
1394-11-18,2016-02-07,1904,شلیا,LIAZ
1394-11-19,2016-02-08,1976,شلیا,LIAZ
1394-11-20,2016-02-09,2074,شلیا,LIAZ
1394-11-21,2016-02-10,2177,شلیا,LIAZ
1394-11-24,2016-02-13,2279,شلیا,LIAZ
1394-11-25,2016-02-14,2392,شلیا,LIAZ
1394-11-26,2016-02-15,2511,شلیا,LIAZ
1394-11-27,2016-02-16,2635,شلیا,LIAZ
1394-11-28,2016-02-17,2724,شلیا,LIAZ
1394-12-01,2016-02-20,2704,شلیا,LIAZ
1394-12-02,2016-02-21,2618,شلیا,LIAZ
1394-12-03,2016-02-22,2531,شلیا,LIAZ
1394-12-04,2016-02-23,2403,شلیا,LIAZ
1394-12-05,2016-02-24,2433,شلیا,LIAZ
1394-12-08,2016-02-27,2467,شلیا,LIAZ
1394-12-09,2016-02-28,2560,شلیا,LIAZ
1394-12-10,2016-02-29,2464,شلیا,LIAZ
1394-12-11,2016-03-01,2445,شلیا,LIAZ
1394-12-12,2016-03-02,2455,شلیا,LIAZ
