J-Date,Date,Adj Close,Ticker,Ticker(4)
1399-07-08,2020-09-29,249,خلیبل,LIBP
1400-02-15,2021-05-05,249,خلیبل,LIBP
1400-02-18,2021-05-08,245,خلیبل,LIBP
1400-03-10,2021-05-31,245,خلیبل,LIBP
1401-04-01,2022-06-22,26190,خلیبل,LIBP
1401-04-04,2022-06-25,26050,خلیبل,LIBP
1401-04-05,2022-06-26,25350,خلیبل,LIBP
1401-04-06,2022-06-27,24700,خلیبل,LIBP
1401-04-07,2022-06-28,26150,خلیبل,LIBP
1401-04-08,2022-06-29,26450,خلیبل,LIBP
1401-04-11,2022-07-02,27200,خلیبل,LIBP
1401-04-12,2022-07-03,28000,خلیبل,LIBP
1401-04-13,2022-07-04,28600,خلیبل,LIBP
1401-04-14,2022-07-05,28700,خلیبل,LIBP
1401-04-15,2022-07-06,29000,خلیبل,LIBP
1401-04-18,2022-07-09,29400,خلیبل,LIBP
1401-04-20,2022-07-11,29500,خلیبل,LIBP
1401-04-21,2022-07-12,27900,خلیبل,LIBP
1401-04-22,2022-07-13,28400,خلیبل,LIBP
1401-04-25,2022-07-16,28000,خلیبل,LIBP
1401-04-26,2022-07-17,27250,خلیبل,LIBP
1401-04-28,2022-07-19,26450,خلیبل,LIBP
1401-04-29,2022-07-20,26900,خلیبل,LIBP
1401-05-01,2022-07-23,27100,خلیبل,LIBP
1401-05-02,2022-07-24,26600,خلیبل,LIBP
1401-05-03,2022-07-25,26350,خلیبل,LIBP
1401-05-04,2022-07-26,26350,خلیبل,LIBP
1401-05-05,2022-07-27,26350,خلیبل,LIBP
1401-05-08,2022-07-30,26350,خلیبل,LIBP
1401-05-09,2022-07-31,25650,خلیبل,LIBP
1401-05-10,2022-08-01,25600,خلیبل,LIBP
1401-05-11,2022-08-02,25550,خلیبل,LIBP
1401-05-12,2022-08-03,25550,خلیبل,LIBP
1401-05-15,2022-08-06,25550,خلیبل,LIBP
1401-05-18,2022-08-09,25000,خلیبل,LIBP
1401-05-19,2022-08-10,25950,خلیبل,LIBP
1401-05-22,2022-08-13,24950,خلیبل,LIBP
1401-05-23,2022-08-14,24950,خلیبل,LIBP
1401-05-24,2022-08-15,24650,خلیبل,LIBP
1401-05-25,2022-08-16,24600,خلیبل,LIBP
1401-05-26,2022-08-17,24600,خلیبل,LIBP
1401-05-29,2022-08-20,24550,خلیبل,LIBP
1401-05-30,2022-08-21,24550,خلیبل,LIBP
1401-05-31,2022-08-22,23850,خلیبل,LIBP
1401-06-01,2022-08-23,23400,خلیبل,LIBP
1401-06-02,2022-08-24,22750,خلیبل,LIBP
1401-06-05,2022-08-27,22200,خلیبل,LIBP
1401-06-06,2022-08-28,21650,خلیبل,LIBP
1401-06-07,2022-08-29,21350,خلیبل,LIBP
1401-06-08,2022-08-30,21100,خلیبل,LIBP
1401-06-09,2022-08-31,22100,خلیبل,LIBP
1401-06-12,2022-09-03,21100,خلیبل,LIBP
1401-06-13,2022-09-04,20750,خلیبل,LIBP
1401-06-14,2022-09-05,21200,خلیبل,LIBP
1401-06-15,2022-09-06,21650,خلیبل,LIBP
1401-06-16,2022-09-07,21900,خلیبل,LIBP
1401-06-19,2022-09-10,21250,خلیبل,LIBP
1401-06-20,2022-09-11,21000,خلیبل,LIBP
1401-06-21,2022-09-12,20700,خلیبل,LIBP
1401-06-22,2022-09-13,20300,خلیبل,LIBP
1401-06-23,2022-09-14,20050,خلیبل,LIBP
1401-06-27,2022-09-18,19650,خلیبل,LIBP
1401-06-28,2022-09-19,19500,خلیبل,LIBP
1401-06-29,2022-09-20,20500,خلیبل,LIBP
1401-06-30,2022-09-21,20900,خلیبل,LIBP
1401-07-02,2022-09-24,21050,خلیبل,LIBP
1401-07-04,2022-09-26,21500,خلیبل,LIBP
1401-07-06,2022-09-28,21800,خلیبل,LIBP
1401-07-09,2022-10-01,21600,خلیبل,LIBP
1401-07-10,2022-10-02,21250,خلیبل,LIBP
1401-07-11,2022-10-03,22150,خلیبل,LIBP
1401-07-12,2022-10-04,22150,خلیبل,LIBP
1401-07-16,2022-10-08,22650,خلیبل,LIBP
1401-07-17,2022-10-09,22900,خلیبل,LIBP
1401-07-18,2022-10-10,23200,خلیبل,LIBP
1401-07-19,2022-10-11,23500,خلیبل,LIBP
1401-07-20,2022-10-12,23750,خلیبل,LIBP
1401-07-23,2022-10-15,24200,خلیبل,LIBP
1401-07-24,2022-10-16,24550,خلیبل,LIBP
1401-07-25,2022-10-17,24850,خلیبل,LIBP
1401-07-26,2022-10-18,25250,خلیبل,LIBP
1401-07-27,2022-10-19,25600,خلیبل,LIBP
1401-07-30,2022-10-22,26050,خلیبل,LIBP
1401-08-01,2022-10-23,24950,خلیبل,LIBP
1401-08-02,2022-10-24,25100,خلیبل,LIBP
1401-08-03,2022-10-25,24850,خلیبل,LIBP
1401-08-04,2022-10-26,24600,خلیبل,LIBP
1401-08-07,2022-10-29,24300,خلیبل,LIBP
1401-08-08,2022-10-30,23600,خلیبل,LIBP
1401-08-09,2022-10-31,23350,خلیبل,LIBP
1401-08-10,2022-11-01,23050,خلیبل,LIBP
1401-08-11,2022-11-02,24150,خلیبل,LIBP
1401-08-14,2022-11-05,23150,خلیبل,LIBP
1401-08-15,2022-11-06,22750,خلیبل,LIBP
1401-08-16,2022-11-07,23300,خلیبل,LIBP
1401-08-17,2022-11-08,22550,خلیبل,LIBP
1401-08-18,2022-11-09,22100,خلیبل,LIBP
1401-08-21,2022-11-12,22200,خلیبل,LIBP
1401-08-22,2022-11-13,22200,خلیبل,LIBP
1401-08-23,2022-11-14,22400,خلیبل,LIBP
1401-08-24,2022-11-15,21700,خلیبل,LIBP
1401-08-25,2022-11-16,22200,خلیبل,LIBP
1401-08-28,2022-11-19,21450,خلیبل,LIBP
1401-08-29,2022-11-20,21250,خلیبل,LIBP
1401-08-30,2022-11-21,21050,خلیبل,LIBP
1401-09-01,2022-11-22,21150,خلیبل,LIBP
1401-09-02,2022-11-23,20850,خلیبل,LIBP
1401-09-05,2022-11-26,20900,خلیبل,LIBP
1401-09-06,2022-11-27,21000,خلیبل,LIBP
1401-09-07,2022-11-28,20950,خلیبل,LIBP
1401-09-08,2022-11-29,20700,خلیبل,LIBP
1401-09-09,2022-11-30,21500,خلیبل,LIBP
1401-09-12,2022-12-03,21700,خلیبل,LIBP
1401-09-13,2022-12-04,21900,خلیبل,LIBP
1401-09-14,2022-12-05,21800,خلیبل,LIBP
1401-09-15,2022-12-06,21700,خلیبل,LIBP
1401-09-16,2022-12-07,21050,خلیبل,LIBP
1401-09-19,2022-12-10,20850,خلیبل,LIBP
1401-09-20,2022-12-11,20900,خلیبل,LIBP
1401-09-21,2022-12-12,21750,خلیبل,LIBP
1401-09-22,2022-12-13,21300,خلیبل,LIBP
1401-09-23,2022-12-14,20900,خلیبل,LIBP
1401-09-26,2022-12-17,21250,خلیبل,LIBP
1401-09-27,2022-12-18,20750,خلیبل,LIBP
1401-09-28,2022-12-19,20850,خلیبل,LIBP
1401-09-29,2022-12-20,20950,خلیبل,LIBP
1401-09-30,2022-12-21,20900,خلیبل,LIBP
1401-10-03,2022-12-24,21050,خلیبل,LIBP
1401-10-04,2022-12-25,21500,خلیبل,LIBP
1401-10-05,2022-12-26,21750,خلیبل,LIBP
1401-10-07,2022-12-28,21800,خلیبل,LIBP
1401-10-10,2022-12-31,21050,خلیبل,LIBP
1401-10-11,2023-01-01,21000,خلیبل,LIBP
1401-10-12,2023-01-02,21400,خلیبل,LIBP
1401-10-13,2023-01-03,21500,خلیبل,LIBP
1401-10-14,2023-01-04,21150,خلیبل,LIBP
1401-10-17,2023-01-07,21900,خلیبل,LIBP
1401-10-18,2023-01-08,22500,خلیبل,LIBP
1401-10-19,2023-01-09,23050,خلیبل,LIBP
1401-10-20,2023-01-10,23350,خلیبل,LIBP
1401-10-21,2023-01-11,24050,خلیبل,LIBP
1401-10-24,2023-01-14,24600,خلیبل,LIBP
1401-10-26,2023-01-16,25200,خلیبل,LIBP
1401-10-27,2023-01-17,25750,خلیبل,LIBP
1401-10-28,2023-01-18,26200,خلیبل,LIBP
1401-11-01,2023-01-21,26800,خلیبل,LIBP
1401-11-02,2023-01-22,27600,خلیبل,LIBP
1401-11-03,2023-01-23,26200,خلیبل,LIBP
1401-11-04,2023-01-24,27350,خلیبل,LIBP
1401-11-05,2023-01-25,27250,خلیبل,LIBP
1401-11-08,2023-01-28,28000,خلیبل,LIBP
1401-11-09,2023-01-29,27400,خلیبل,LIBP
1401-11-10,2023-01-30,27250,خلیبل,LIBP
1401-11-11,2023-01-31,26850,خلیبل,LIBP
1401-11-12,2023-02-01,26200,خلیبل,LIBP
1401-11-16,2023-02-05,26800,خلیبل,LIBP
1401-11-17,2023-02-06,27700,خلیبل,LIBP
1401-11-18,2023-02-07,27800,خلیبل,LIBP
1401-11-19,2023-02-08,28300,خلیبل,LIBP
1401-11-23,2023-02-12,28650,خلیبل,LIBP
1401-11-24,2023-02-13,29000,خلیبل,LIBP
1401-11-25,2023-02-14,29450,خلیبل,LIBP
1401-11-26,2023-02-15,30100,خلیبل,LIBP
