J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-06,2001-03-26,344,غپاک,LPAK
1380-01-07,2001-03-27,344,غپاک,LPAK
1380-01-11,2001-03-31,345,غپاک,LPAK
1380-01-18,2001-04-07,346,غپاک,LPAK
1380-01-20,2001-04-09,351,غپاک,LPAK
1380-01-21,2001-04-10,354,غپاک,LPAK
1380-01-22,2001-04-11,366,غپاک,LPAK
1380-01-25,2001-04-14,372,غپاک,LPAK
1380-01-26,2001-04-15,374,غپاک,LPAK
1380-01-27,2001-04-16,374,غپاک,LPAK
1380-01-28,2001-04-17,374,غپاک,LPAK
1380-01-29,2001-04-18,370,غپاک,LPAK
1380-02-01,2001-04-21,366,غپاک,LPAK
1380-02-02,2001-04-22,363,غپاک,LPAK
1380-02-03,2001-04-23,366,غپاک,LPAK
1380-02-04,2001-04-24,366,غپاک,LPAK
1380-02-05,2001-04-25,370,غپاک,LPAK
1380-02-08,2001-04-28,374,غپاک,LPAK
1380-02-09,2001-04-29,374,غپاک,LPAK
1380-02-10,2001-04-30,374,غپاک,LPAK
1380-02-11,2001-05-01,374,غپاک,LPAK
1380-02-12,2001-05-02,374,غپاک,LPAK
1380-02-15,2001-05-05,374,غپاک,LPAK
1380-02-16,2001-05-06,374,غپاک,LPAK
1380-02-17,2001-05-07,374,غپاک,LPAK
1380-02-19,2001-05-09,358,غپاک,LPAK
1380-02-22,2001-05-12,358,غپاک,LPAK
1380-02-23,2001-05-13,370,غپاک,LPAK
1380-02-25,2001-05-15,370,غپاک,LPAK
1380-02-26,2001-05-16,368,غپاک,LPAK
1380-02-29,2001-05-19,360,غپاک,LPAK
1380-02-30,2001-05-20,358,غپاک,LPAK
1380-02-31,2001-05-21,374,غپاک,LPAK
1380-03-05,2001-05-26,374,غپاک,LPAK
1380-03-06,2001-05-27,374,غپاک,LPAK
1380-03-07,2001-05-28,374,غپاک,LPAK
1380-03-08,2001-05-29,374,غپاک,LPAK
1380-03-09,2001-05-30,374,غپاک,LPAK
1380-03-12,2001-06-02,373,غپاک,LPAK
1380-03-13,2001-06-03,366,غپاک,LPAK
1380-03-16,2001-06-06,365,غپاک,LPAK
1380-03-19,2001-06-09,358,غپاک,LPAK
1380-03-21,2001-06-11,362,غپاک,LPAK
1380-03-30,2001-06-20,361,غپاک,LPAK
1380-04-02,2001-06-23,361,غپاک,LPAK
1380-04-03,2001-06-24,350,غپاک,LPAK
1380-04-04,2001-06-25,350,غپاک,LPAK
1380-04-05,2001-06-26,354,غپاک,LPAK
1380-04-06,2001-06-27,358,غپاک,LPAK
1380-04-09,2001-06-30,350,غپاک,LPAK
1380-04-10,2001-07-01,358,غپاک,LPAK
1380-04-11,2001-07-02,358,غپاک,LPAK
1380-04-12,2001-07-03,358,غپاک,LPAK
1380-04-13,2001-07-04,362,غپاک,LPAK
1380-04-16,2001-07-07,370,غپاک,LPAK
1380-04-17,2001-07-08,362,غپاک,LPAK
1380-04-18,2001-07-09,358,غپاک,LPAK
1380-04-19,2001-07-10,358,غپاک,LPAK
1380-04-20,2001-07-11,362,غپاک,LPAK
1380-04-23,2001-07-14,358,غپاک,LPAK
1380-04-24,2001-07-15,358,غپاک,LPAK
1380-04-25,2001-07-16,358,غپاک,LPAK
1380-05-14,2001-08-05,367,غپاک,LPAK
1380-05-15,2001-08-06,377,غپاک,LPAK
1380-05-16,2001-08-07,379,غپاک,LPAK
1380-05-17,2001-08-08,390,غپاک,LPAK
1380-05-20,2001-08-11,390,غپاک,LPAK
1380-05-21,2001-08-12,390,غپاک,LPAK
1380-05-22,2001-08-13,390,غپاک,LPAK
1380-05-23,2001-08-14,390,غپاک,LPAK
1380-05-24,2001-08-15,387,غپاک,LPAK
1380-05-27,2001-08-18,382,غپاک,LPAK
1380-05-28,2001-08-19,374,غپاک,LPAK
1380-05-29,2001-08-20,374,غپاک,LPAK
1380-05-30,2001-08-21,370,غپاک,LPAK
1380-05-31,2001-08-22,370,غپاک,LPAK
1380-06-03,2001-08-25,373,غپاک,LPAK
1380-06-04,2001-08-26,392,غپاک,LPAK
1380-06-05,2001-08-27,390,غپاک,LPAK
1380-06-06,2001-08-28,409,غپاک,LPAK
1380-06-12,2001-09-03,389,غپاک,LPAK
1380-06-17,2001-09-08,387,غپاک,LPAK
1380-06-18,2001-09-09,378,غپاک,LPAK
1380-06-19,2001-09-10,378,غپاک,LPAK
1380-06-20,2001-09-11,378,غپاک,LPAK
