J-Date,Date,Adj Close,Ticker,Ticker(4)
1400-04-02,2021-06-23,27128,لطیف,LPCZ
1400-04-05,2021-06-26,28484,لطیف,LPCZ
1400-04-06,2021-06-27,29908,لطیف,LPCZ
1400-04-07,2021-06-28,31403,لطیف,LPCZ
1400-04-08,2021-06-29,32973,لطیف,LPCZ
1400-04-09,2021-06-30,34622,لطیف,LPCZ
1400-04-12,2021-07-03,36352,لطیف,LPCZ
1400-04-13,2021-07-04,38169,لطیف,LPCZ
1400-04-14,2021-07-05,40077,لطیف,LPCZ
1400-04-15,2021-07-06,42081,لطیف,LPCZ
1400-04-19,2021-07-10,44184,لطیف,LPCZ
1400-04-20,2021-07-11,46393,لطیف,LPCZ
1400-04-21,2021-07-12,48712,لطیف,LPCZ
1400-04-22,2021-07-13,51147,لطیف,LPCZ
1400-04-23,2021-07-14,53704,لطیف,LPCZ
1400-04-26,2021-07-17,56388,لطیف,LPCZ
1400-04-27,2021-07-18,53557,لطیف,LPCZ
1400-04-28,2021-07-19,56349,لطیف,LPCZ
1400-05-04,2021-07-26,52048,لطیف,LPCZ
1400-05-05,2021-07-27,50581,لطیف,LPCZ
1400-05-06,2021-07-28,48301,لطیف,LPCZ
1400-05-09,2021-07-31,51013,لطیف,LPCZ
1400-05-10,2021-08-01,47876,لطیف,LPCZ
1400-05-11,2021-08-02,46164,لطیف,LPCZ
1400-05-12,2021-08-03,45424,لطیف,LPCZ
1400-05-13,2021-08-04,45040,لطیف,LPCZ
1400-05-16,2021-08-07,43874,لطیف,LPCZ
1400-05-17,2021-08-08,46315,لطیف,LPCZ
1400-05-18,2021-08-09,47952,لطیف,LPCZ
1400-05-19,2021-08-10,46493,لطیف,LPCZ
1400-05-20,2021-08-11,48329,لطیف,LPCZ
1400-05-23,2021-08-14,46368,لطیف,LPCZ
1400-05-24,2021-08-15,46159,لطیف,LPCZ
1400-05-31,2021-08-22,46017,لطیف,LPCZ
1400-06-01,2021-08-23,47336,لطیف,LPCZ
1400-06-02,2021-08-24,47703,لطیف,LPCZ
1400-06-03,2021-08-25,47654,لطیف,LPCZ
1400-06-06,2021-08-28,50030,لطیف,LPCZ
1400-06-07,2021-08-29,47746,لطیف,LPCZ
1400-06-08,2021-08-30,46562,لطیف,LPCZ
1400-06-09,2021-08-31,44873,لطیف,LPCZ
1400-06-10,2021-09-01,47146,لطیف,LPCZ
1400-06-13,2021-09-04,49269,لطیف,LPCZ
1400-06-14,2021-09-05,49247,لطیف,LPCZ
1400-06-15,2021-09-06,47383,لطیف,LPCZ
1400-06-16,2021-09-07,46117,لطیف,LPCZ
1400-06-17,2021-09-08,46160,لطیف,LPCZ
1400-06-20,2021-09-11,45858,لطیف,LPCZ
1400-06-21,2021-09-12,44656,لطیف,LPCZ
1400-06-22,2021-09-13,43029,لطیف,LPCZ
1400-06-23,2021-09-14,45516,لطیف,LPCZ
1400-06-24,2021-09-15,43487,لطیف,LPCZ
1400-06-27,2021-09-18,41626,لطیف,LPCZ
1400-06-28,2021-09-19,39682,لطیف,LPCZ
1400-06-29,2021-09-20,39416,لطیف,LPCZ
1400-06-30,2021-09-21,38212,لطیف,LPCZ
1400-06-31,2021-09-22,36982,لطیف,LPCZ
1400-07-03,2021-09-25,37436,لطیف,LPCZ
1400-07-04,2021-09-26,36593,لطیف,LPCZ
1400-07-06,2021-09-28,35167,لطیف,LPCZ
1400-07-07,2021-09-29,37314,لطیف,LPCZ
1400-07-10,2021-10-02,37396,لطیف,LPCZ
1400-07-11,2021-10-03,36627,لطیف,LPCZ
1400-07-12,2021-10-04,37161,لطیف,LPCZ
1400-07-14,2021-10-06,37374,لطیف,LPCZ
1400-07-17,2021-10-09,35642,لطیف,LPCZ
1400-07-18,2021-10-10,34658,لطیف,LPCZ
1400-07-19,2021-10-11,35617,لطیف,LPCZ
1400-07-20,2021-10-12,33738,لطیف,LPCZ
1400-07-21,2021-10-13,32754,لطیف,LPCZ
1400-07-24,2021-10-16,34206,لطیف,LPCZ
1400-07-25,2021-10-17,33304,لطیف,LPCZ
1400-07-26,2021-10-18,32845,لطیف,LPCZ
1400-07-27,2021-10-19,32756,لطیف,LPCZ
1400-07-28,2021-10-20,32248,لطیف,LPCZ
1400-08-01,2021-10-23,31009,لطیف,LPCZ
1400-08-03,2021-10-25,30777,لطیف,LPCZ
