J-Date,Date,Adj Close,Ticker,Ticker(4)
1399-04-18,2020-07-08,2812,ولپارس,LPRS
1399-04-21,2020-07-11,2952,ولپارس,LPRS
1399-04-22,2020-07-12,2961,ولپارس,LPRS
1399-04-23,2020-07-13,2970,ولپارس,LPRS
1399-04-24,2020-07-14,2979,ولپارس,LPRS
1399-04-25,2020-07-15,2996,ولپارس,LPRS
1399-04-28,2020-07-18,3005,ولپارس,LPRS
1399-04-29,2020-07-19,3014,ولپارس,LPRS
1399-04-30,2020-07-20,3014,ولپارس,LPRS
1399-04-31,2020-07-21,3023,ولپارس,LPRS
1399-05-01,2020-07-22,3032,ولپارس,LPRS
1399-05-04,2020-07-25,3040,ولپارس,LPRS
1399-05-05,2020-07-26,3049,ولپارس,LPRS
1399-05-06,2020-07-27,3058,ولپارس,LPRS
1399-05-07,2020-07-28,3067,ولپارس,LPRS
1399-05-08,2020-07-29,3075,ولپارس,LPRS
1399-05-11,2020-08-01,3093,ولپارس,LPRS
1399-05-12,2020-08-02,3102,ولپارس,LPRS
1399-05-13,2020-08-03,3111,ولپارس,LPRS
1399-05-14,2020-08-04,3119,ولپارس,LPRS
1399-05-15,2020-08-05,3146,ولپارس,LPRS
1399-05-19,2020-08-09,3163,ولپارس,LPRS
1399-05-20,2020-08-10,3172,ولپارس,LPRS
1399-05-21,2020-08-11,3181,ولپارس,LPRS
1399-05-22,2020-08-12,3190,ولپارس,LPRS
1399-05-25,2020-08-15,3199,ولپارس,LPRS
1399-05-26,2020-08-16,3207,ولپارس,LPRS
1399-05-27,2020-08-17,3216,ولپارس,LPRS
1399-05-28,2020-08-18,3225,ولپارس,LPRS
1399-05-29,2020-08-19,3234,ولپارس,LPRS
1399-06-01,2020-08-22,3242,ولپارس,LPRS
1399-06-02,2020-08-23,3251,ولپارس,LPRS
1399-06-03,2020-08-24,3269,ولپارس,LPRS
1399-06-04,2020-08-25,3295,ولپارس,LPRS
1399-06-05,2020-08-26,3304,ولپارس,LPRS
1399-06-10,2020-08-31,3322,ولپارس,LPRS
1399-06-11,2020-09-01,3339,ولپارس,LPRS
1399-06-12,2020-09-02,3357,ولپارس,LPRS
1399-06-15,2020-09-05,3366,ولپارس,LPRS
1399-06-16,2020-09-06,3374,ولپارس,LPRS
1399-06-17,2020-09-07,3392,ولپارس,LPRS
1399-06-18,2020-09-08,3409,ولپارس,LPRS
1399-06-19,2020-09-09,3445,ولپارس,LPRS
1399-06-22,2020-09-12,3462,ولپارس,LPRS
1399-06-23,2020-09-13,3471,ولپارس,LPRS
1399-06-24,2020-09-14,3489,ولپارس,LPRS
1399-06-25,2020-09-15,3506,ولپارس,LPRS
1399-06-26,2020-09-16,3524,ولپارس,LPRS
1399-06-29,2020-09-19,3550,ولپارس,LPRS
1399-06-30,2020-09-20,3585,ولپارس,LPRS
1399-06-31,2020-09-21,3629,ولپارس,LPRS
1399-07-01,2020-09-22,3638,ولپارس,LPRS
1399-07-02,2020-09-23,3647,ولپارس,LPRS
1399-07-05,2020-09-26,3664,ولپارس,LPRS
1399-07-06,2020-09-27,3691,ولپارس,LPRS
1399-07-07,2020-09-28,3708,ولپارس,LPRS
1399-07-08,2020-09-29,3735,ولپارس,LPRS
1399-07-09,2020-09-30,3752,ولپارس,LPRS
1399-07-12,2020-10-03,3770,ولپارس,LPRS
1399-07-13,2020-10-04,3787,ولپارس,LPRS
1399-07-14,2020-10-05,3805,ولپارس,LPRS
1399-07-15,2020-10-06,3823,ولپارس,LPRS
1399-07-16,2020-10-07,3840,ولپارس,LPRS
1399-07-19,2020-10-10,3875,ولپارس,LPRS
1399-07-20,2020-10-11,3893,ولپارس,LPRS
1399-07-21,2020-10-12,3928,ولپارس,LPRS
1399-07-22,2020-10-13,3954,ولپارس,LPRS
1399-07-23,2020-10-14,3981,ولپارس,LPRS
1399-07-27,2020-10-18,3998,ولپارس,LPRS
1399-07-28,2020-10-19,4016,ولپارس,LPRS
1399-07-29,2020-10-20,4033,ولپارس,LPRS
1399-07-30,2020-10-21,4060,ولپارس,LPRS
1399-08-03,2020-10-24,4077,ولپارس,LPRS
1399-08-05,2020-10-26,4095,ولپارس,LPRS
1399-08-06,2020-10-27,4113,ولپارس,LPRS
1399-08-07,2020-10-28,4130,ولپارس,LPRS
1399-08-10,2020-10-31,4148,ولپارس,LPRS
1399-08-11,2020-11-01,4165,ولپارس,LPRS
1399-08-12,2020-11-02,4174,ولپارس,LPRS
1399-08-14,2020-11-04,4192,ولپارس,LPRS
1399-08-17,2020-11-07,4200,ولپارس,LPRS
1399-08-18,2020-11-08,4218,ولپارس,LPRS
1399-08-19,2020-11-09,4262,ولپارس,LPRS
1399-08-20,2020-11-10,4297,ولپارس,LPRS
1399-08-21,2020-11-11,4438,ولپارس,LPRS
1399-08-24,2020-11-14,4490,ولپارس,LPRS
1399-08-25,2020-11-15,4526,ولپارس,LPRS
1399-08-26,2020-11-16,4578,ولپارس,LPRS
1399-08-27,2020-11-17,4613,ولپارس,LPRS
1399-08-28,2020-11-18,4640,ولپارس,LPRS
1399-09-01,2020-11-21,4666,ولپارس,LPRS
1399-09-02,2020-11-22,4798,ولپارس,LPRS
1399-09-03,2020-11-23,4886,ولپارس,LPRS
1399-09-04,2020-11-24,4983,ولپارس,LPRS
1399-09-05,2020-11-25,5114,ولپارس,LPRS
1399-09-08,2020-11-28,5220,ولپارس,LPRS
1399-09-09,2020-11-29,5352,ولپارس,LPRS
1399-09-10,2020-11-30,5440,ولپارس,LPRS
1399-09-11,2020-12-01,5536,ولپارس,LPRS
1399-09-12,2020-12-02,5800,ولپارس,LPRS
1399-09-15,2020-12-05,6011,ولپارس,LPRS
1399-09-16,2020-12-06,6275,ولپارس,LPRS
1399-09-17,2020-12-07,6538,ولپارس,LPRS
1399-09-18,2020-12-08,6828,ولپارس,LPRS
1399-09-23,2020-12-13,6969,ولپارس,LPRS
1399-09-24,2020-12-14,7197,ولپارس,LPRS
1399-09-25,2020-12-15,6846,ولپارس,LPRS
1399-09-26,2020-12-16,7435,ولپارس,LPRS
1399-09-29,2020-12-19,7399,ولپارس,LPRS
1399-09-30,2020-12-20,7769,ولپارس,LPRS
1399-10-07,2020-12-27,8155,ولپارس,LPRS
1399-10-08,2020-12-28,7733,ولپارس,LPRS
1399-10-09,2020-12-29,7531,ولپارس,LPRS
1399-10-10,2020-12-30,7391,ولپارس,LPRS
1399-10-13,2021-01-02,7232,ولپارس,LPRS
1399-10-14,2021-01-03,6907,ولپارس,LPRS
1399-10-15,2021-01-04,6617,ولپارس,LPRS
1399-10-16,2021-01-05,6336,ولپارس,LPRS
1399-10-17,2021-01-06,6072,ولپارس,LPRS
1399-10-20,2021-01-09,5914,ولپارس,LPRS
1399-10-21,2021-01-10,6310,ولپارس,LPRS
1399-10-22,2021-01-11,6248,ولپارس,LPRS
1399-10-23,2021-01-12,6459,ولپارس,LPRS
1399-10-24,2021-01-13,6538,ولپارس,LPRS
1399-10-27,2021-01-16,6292,ولپارس,LPRS
1399-10-29,2021-01-18,6442,ولپارس,LPRS
1399-10-30,2021-01-19,6696,ولپارس,LPRS
1399-11-01,2021-01-20,6978,ولپارس,LPRS
1399-11-04,2021-01-23,7118,ولپارس,LPRS
1399-11-05,2021-01-24,6749,ولپارس,LPRS
1399-11-06,2021-01-25,6459,ولپارس,LPRS
1399-11-07,2021-01-26,6151,ولپارس,LPRS
1399-11-08,2021-01-27,5879,ولپارس,LPRS
1399-11-11,2021-01-30,5888,ولپارس,LPRS
1399-11-12,2021-01-31,5642,ولپارس,LPRS
1399-11-13,2021-02-01,5413,ولپارس,LPRS
1399-11-14,2021-02-02,5264,ولپارس,LPRS
1399-11-15,2021-02-03,5070,ولپارس,LPRS
