J-Date,Date,Adj Close,Ticker,Ticker(4)
1382-12-26,2004-03-16,19856,فسدید,LSDP
1382-12-27,2004-03-17,20849,فسدید,LSDP
1383-01-10,2004-03-29,21381,فسدید,LSDP
1383-01-11,2004-03-30,21927,فسدید,LSDP
1383-01-15,2004-04-03,23023,فسدید,LSDP
1383-01-16,2004-04-04,24173,فسدید,LSDP
1383-01-17,2004-04-05,23892,فسدید,LSDP
1383-01-18,2004-04-06,24349,فسدید,LSDP
1383-01-19,2004-04-07,24757,فسدید,LSDP
1383-01-22,2004-04-10,24492,فسدید,LSDP
1383-01-24,2004-04-12,23970,فسدید,LSDP
1383-01-25,2004-04-13,22930,فسدید,LSDP
1383-01-26,2004-04-14,22919,فسدید,LSDP
1383-01-29,2004-04-17,22858,فسدید,LSDP
1383-01-30,2004-04-18,22455,فسدید,LSDP
1383-02-02,2004-04-21,22453,فسدید,LSDP
1383-02-05,2004-04-24,22253,فسدید,LSDP
1383-02-06,2004-04-25,22155,فسدید,LSDP
1383-02-07,2004-04-26,22145,فسدید,LSDP
1383-02-08,2004-04-27,21922,فسدید,LSDP
1383-02-09,2004-04-28,21902,فسدید,LSDP
1383-02-12,2004-05-01,21927,فسدید,LSDP
1383-02-15,2004-05-04,21884,فسدید,LSDP
1383-02-16,2004-05-05,21843,فسدید,LSDP
1383-02-22,2004-05-11,21632,فسدید,LSDP
1383-02-26,2004-05-15,21629,فسدید,LSDP
1383-02-27,2004-05-16,21593,فسدید,LSDP
1383-03-09,2004-05-29,20565,فسدید,LSDP
1383-03-10,2004-05-30,20916,فسدید,LSDP
1383-03-11,2004-05-31,20765,فسدید,LSDP
1383-03-12,2004-06-01,20713,فسدید,LSDP
1383-03-13,2004-06-02,20665,فسدید,LSDP
1383-03-16,2004-06-05,20570,فسدید,LSDP
1383-03-17,2004-06-06,20469,فسدید,LSDP
1383-03-18,2004-06-07,20194,فسدید,LSDP
1383-03-19,2004-06-08,20149,فسدید,LSDP
1383-03-20,2004-06-09,20245,فسدید,LSDP
1383-03-23,2004-06-12,20444,فسدید,LSDP
1383-03-24,2004-06-13,21197,فسدید,LSDP
1383-03-25,2004-06-14,22246,فسدید,LSDP
1383-03-26,2004-06-15,23229,فسدید,LSDP
1383-03-27,2004-06-16,23644,فسدید,LSDP
1383-03-30,2004-06-19,23643,فسدید,LSDP
1383-03-31,2004-06-20,22645,فسدید,LSDP
1383-04-01,2004-06-21,21546,فسدید,LSDP
1383-04-02,2004-06-22,21543,فسدید,LSDP
1383-04-03,2004-06-23,21543,فسدید,LSDP
1383-04-07,2004-06-27,21965,فسدید,LSDP
1383-04-08,2004-06-28,22135,فسدید,LSDP
1383-04-09,2004-06-29,22899,فسدید,LSDP
1383-04-10,2004-06-30,22466,فسدید,LSDP
1383-05-06,2004-07-27,21868,فسدید,LSDP
1383-05-07,2004-07-28,21693,فسدید,LSDP
1383-05-10,2004-07-31,21458,فسدید,LSDP
1383-05-11,2004-08-01,21393,فسدید,LSDP
1383-05-12,2004-08-02,21356,فسدید,LSDP
1383-05-13,2004-08-03,21315,فسدید,LSDP
1383-05-17,2004-08-07,21295,فسدید,LSDP
1383-05-19,2004-08-09,21284,فسدید,LSDP
1383-05-20,2004-08-10,21248,فسدید,LSDP
1383-05-21,2004-08-11,21232,فسدید,LSDP
1383-05-25,2004-08-15,21232,فسدید,LSDP
1383-05-26,2004-08-16,21229,فسدید,LSDP
1383-05-31,2004-08-21,21208,فسدید,LSDP
1383-06-08,2004-08-29,20192,فسدید,LSDP
1383-06-10,2004-08-31,19222,فسدید,LSDP
1383-06-11,2004-09-01,18723,فسدید,LSDP
1383-06-14,2004-09-04,18674,فسدید,LSDP
1383-06-15,2004-09-05,18272,فسدید,LSDP
1383-06-21,2004-09-11,18225,فسدید,LSDP
1383-06-22,2004-09-12,18220,فسدید,LSDP
1383-06-24,2004-09-14,17422,فسدید,LSDP
1383-06-25,2004-09-15,17252,فسدید,LSDP
1383-06-28,2004-09-18,17260,فسدید,LSDP
1383-06-29,2004-09-19,17277,فسدید,LSDP
1383-06-30,2004-09-20,17256,فسدید,LSDP
1383-06-31,2004-09-21,17258,فسدید,LSDP
1383-07-01,2004-09-22,17259,فسدید,LSDP
1383-07-04,2004-09-25,16411,فسدید,LSDP
1383-07-05,2004-09-26,16424,فسدید,LSDP
1383-07-06,2004-09-27,16468,فسدید,LSDP
1383-07-11,2004-10-02,17246,فسدید,LSDP
1383-07-12,2004-10-03,18107,فسدید,LSDP
1383-07-13,2004-10-04,18107,فسدید,LSDP
1383-07-14,2004-10-05,18106,فسدید,LSDP
1383-07-15,2004-10-06,17611,فسدید,LSDP
1383-07-18,2004-10-09,17610,فسدید,LSDP
1383-07-19,2004-10-10,17611,فسدید,LSDP
1383-07-21,2004-10-12,17611,فسدید,LSDP
1383-07-22,2004-10-13,17474,فسدید,LSDP
1383-07-25,2004-10-16,17470,فسدید,LSDP
1383-07-26,2004-10-17,17467,فسدید,LSDP
1383-07-27,2004-10-18,17459,فسدید,LSDP
1383-07-28,2004-10-19,18257,فسدید,LSDP
1383-07-29,2004-10-20,18257,فسدید,LSDP
1383-08-12,2004-11-02,18255,فسدید,LSDP
1383-08-13,2004-11-03,18114,فسدید,LSDP
1383-08-16,2004-11-06,18111,فسدید,LSDP
1383-08-17,2004-11-07,18110,فسدید,LSDP
1383-08-19,2004-11-09,18110,فسدید,LSDP
1383-08-20,2004-11-10,18109,فسدید,LSDP
1383-08-25,2004-11-15,18376,فسدید,LSDP
1383-08-26,2004-11-16,18440,فسدید,LSDP
1383-08-27,2004-11-17,18549,فسدید,LSDP
1383-08-30,2004-11-20,18706,فسدید,LSDP
1383-09-01,2004-11-21,18729,فسدید,LSDP
1383-09-03,2004-11-23,18713,فسدید,LSDP
1383-09-04,2004-11-24,18713,فسدید,LSDP
1383-09-07,2004-11-27,18713,فسدید,LSDP
1383-09-09,2004-11-29,18709,فسدید,LSDP
1383-09-10,2004-11-30,18458,فسدید,LSDP
1383-09-11,2004-12-01,18455,فسدید,LSDP
1383-09-14,2004-12-04,18479,فسدید,LSDP
1383-09-15,2004-12-05,18538,فسدید,LSDP
1383-09-16,2004-12-06,18824,فسدید,LSDP
1383-09-17,2004-12-07,18580,فسدید,LSDP
1383-09-21,2004-12-11,18542,فسدید,LSDP
1383-09-22,2004-12-12,18924,فسدید,LSDP
1383-09-23,2004-12-13,19555,فسدید,LSDP
1383-09-24,2004-12-14,20472,فسدید,LSDP
1383-09-25,2004-12-15,19856,فسدید,LSDP
1383-09-28,2004-12-18,19276,فسدید,LSDP
1383-09-29,2004-12-19,18993,فسدید,LSDP
1383-09-30,2004-12-20,19152,فسدید,LSDP
1383-10-01,2004-12-21,19203,فسدید,LSDP
1383-10-02,2004-12-22,19414,فسدید,LSDP
1383-10-05,2004-12-25,19926,فسدید,LSDP
1383-10-06,2004-12-26,20219,فسدید,LSDP
1383-10-07,2004-12-27,20342,فسدید,LSDP
1383-10-08,2004-12-28,20564,فسدید,LSDP
1383-10-09,2004-12-29,20469,فسدید,LSDP
1383-10-12,2005-01-01,19948,فسدید,LSDP
1383-10-13,2005-01-02,20149,فسدید,LSDP
1383-10-14,2005-01-03,20247,فسدید,LSDP
1383-10-15,2005-01-04,20236,فسدید,LSDP
1383-10-16,2005-01-05,21184,فسدید,LSDP
1383-10-19,2005-01-08,21188,فسدید,LSDP
1383-10-20,2005-01-09,21308,فسدید,LSDP
1383-10-21,2005-01-10,21265,فسدید,LSDP
1383-10-22,2005-01-11,21079,فسدید,LSDP
1383-10-23,2005-01-12,20864,فسدید,LSDP
1383-10-26,2005-01-15,20864,فسدید,LSDP
1383-10-27,2005-01-16,20855,فسدید,LSDP
1383-10-28,2005-01-17,20837,فسدید,LSDP
1383-10-29,2005-01-18,20833,فسدید,LSDP
1383-11-03,2005-01-22,19876,فسدید,LSDP
1383-11-04,2005-01-23,20082,فسدید,LSDP
1383-11-06,2005-01-25,20126,فسدید,LSDP
1383-11-07,2005-01-26,20126,فسدید,LSDP
1383-11-13,2005-02-01,19983,فسدید,LSDP
1383-11-17,2005-02-05,19848,فسدید,LSDP
1383-12-18,2005-03-08,19734,فسدید,LSDP
1383-12-19,2005-03-09,19656,فسدید,LSDP
1383-12-22,2005-03-12,19629,فسدید,LSDP
1384-01-09,2005-03-29,18648,فسدید,LSDP
1384-01-10,2005-03-30,17716,فسدید,LSDP
1384-01-14,2005-04-03,17070,فسدید,LSDP
1384-01-15,2005-04-04,17075,فسدید,LSDP
1384-01-16,2005-04-05,17128,فسدید,LSDP
1384-01-17,2005-04-06,17136,فسدید,LSDP
1384-01-21,2005-04-10,17186,فسدید,LSDP
1384-01-22,2005-04-11,17208,فسدید,LSDP
1384-01-23,2005-04-12,17667,فسدید,LSDP
1384-01-24,2005-04-13,17667,فسدید,LSDP
1384-01-27,2005-04-16,17833,فسدید,LSDP
1384-01-28,2005-04-17,18714,فسدید,LSDP
1384-01-29,2005-04-18,18704,فسدید,LSDP
1384-01-30,2005-04-19,18704,فسدید,LSDP
1384-01-31,2005-04-20,19636,فسدید,LSDP
1384-02-03,2005-04-23,19814,فسدید,LSDP
1384-02-26,2005-05-16,21151,فسدید,LSDP
1384-02-27,2005-05-17,21355,فسدید,LSDP
1384-02-28,2005-05-18,21669,فسدید,LSDP
1384-02-31,2005-05-21,21964,فسدید,LSDP
1384-03-01,2005-05-22,21775,فسدید,LSDP
1384-03-02,2005-05-23,21802,فسدید,LSDP
1384-03-07,2005-05-28,21371,فسدید,LSDP
1384-03-08,2005-05-29,21590,فسدید,LSDP
1384-03-09,2005-05-30,21802,فسدید,LSDP
1384-03-10,2005-05-31,21749,فسدید,LSDP
