J-Date,Date,Adj Close,Ticker,Ticker(4)
1398-11-21,2020-02-10,1495,ومهان,MEAZ
1398-11-23,2020-02-12,1570,ومهان,MEAZ
1398-11-26,2020-02-15,1648,ومهان,MEAZ
1398-11-27,2020-02-16,1731,ومهان,MEAZ
1398-11-28,2020-02-17,1817,ومهان,MEAZ
1398-11-29,2020-02-18,1908,ومهان,MEAZ
1398-11-30,2020-02-19,2003,ومهان,MEAZ
1398-12-03,2020-02-22,2103,ومهان,MEAZ
1398-12-04,2020-02-23,2208,ومهان,MEAZ
1398-12-05,2020-02-24,2318,ومهان,MEAZ
1398-12-07,2020-02-26,2556,ومهان,MEAZ
1398-12-10,2020-02-29,2682,ومهان,MEAZ
1398-12-11,2020-03-01,2816,ومهان,MEAZ
1398-12-12,2020-03-02,2957,ومهان,MEAZ
1398-12-13,2020-03-03,3055,ومهان,MEAZ
1398-12-14,2020-03-04,3208,ومهان,MEAZ
1398-12-17,2020-03-07,3368,ومهان,MEAZ
1398-12-19,2020-03-09,3190,ومهان,MEAZ
1398-12-20,2020-03-10,3067,ومهان,MEAZ
1398-12-21,2020-03-11,2956,ومهان,MEAZ
1398-12-24,2020-03-14,2820,ومهان,MEAZ
1398-12-25,2020-03-15,2729,ومهان,MEAZ
1398-12-26,2020-03-16,2738,ومهان,MEAZ
1398-12-27,2020-03-17,2618,ومهان,MEAZ
1398-12-28,2020-03-18,2753,ومهان,MEAZ
1399-01-05,2020-03-24,2817,ومهان,MEAZ
1399-01-06,2020-03-25,2882,ومهان,MEAZ
1399-01-09,2020-03-28,3026,ومهان,MEAZ
1399-01-10,2020-03-29,2971,ومهان,MEAZ
1399-01-11,2020-03-30,2913,ومهان,MEAZ
1399-01-16,2020-04-04,2904,ومهان,MEAZ
1399-01-17,2020-04-05,2798,ومهان,MEAZ
1399-01-18,2020-04-06,2903,ومهان,MEAZ
1399-01-19,2020-04-07,2963,ومهان,MEAZ
1399-01-20,2020-04-08,2917,ومهان,MEAZ
1399-01-23,2020-04-11,2943,ومهان,MEAZ
1399-01-24,2020-04-12,3131,ومهان,MEAZ
1399-01-25,2020-04-13,3171,ومهان,MEAZ
1399-01-26,2020-04-14,3012,ومهان,MEAZ
1399-01-27,2020-04-15,3100,ومهان,MEAZ
1399-01-30,2020-04-18,3245,ومهان,MEAZ
1399-01-31,2020-04-19,3166,ومهان,MEAZ
1399-02-01,2020-04-20,3319,ومهان,MEAZ
1399-02-02,2020-04-21,3194,ومهان,MEAZ
1399-02-03,2020-04-22,3324,ومهان,MEAZ
1399-02-06,2020-04-25,3466,ومهان,MEAZ
1399-02-07,2020-04-26,3634,ومهان,MEAZ
1399-02-08,2020-04-27,3744,ومهان,MEAZ
1399-02-09,2020-04-28,3600,ومهان,MEAZ
1399-02-10,2020-04-29,3825,ومهان,MEAZ
1399-02-13,2020-05-02,3954,ومهان,MEAZ
1399-02-14,2020-05-03,4147,ومهان,MEAZ
1399-02-15,2020-05-04,4075,ومهان,MEAZ
1399-02-16,2020-05-05,3895,ومهان,MEAZ
1399-02-17,2020-05-06,3768,ومهان,MEAZ
1399-02-20,2020-05-09,3988,ومهان,MEAZ
1399-02-21,2020-05-10,3860,ومهان,MEAZ
1399-02-22,2020-05-11,3725,ومهان,MEAZ
1399-02-23,2020-05-12,3559,ومهان,MEAZ
1399-02-24,2020-05-13,3432,ومهان,MEAZ
1399-02-27,2020-05-16,3351,ومهان,MEAZ
1399-02-28,2020-05-17,3577,ومهان,MEAZ
1399-02-29,2020-05-18,3646,ومهان,MEAZ
1399-02-30,2020-05-19,3706,ومهان,MEAZ
1399-02-31,2020-05-20,3590,ومهان,MEAZ
1399-03-03,2020-05-23,3425,ومهان,MEAZ
1399-03-06,2020-05-26,3257,ومهان,MEAZ
1399-03-07,2020-05-27,3350,ومهان,MEAZ
1399-03-10,2020-05-30,3483,ومهان,MEAZ
1399-03-11,2020-05-31,3376,ومهان,MEAZ
1399-03-12,2020-06-01,3554,ومهان,MEAZ
1399-03-13,2020-06-02,3647,ومهان,MEAZ
1399-03-17,2020-06-06,3817,ومهان,MEAZ
1399-03-18,2020-06-07,3868,ومهان,MEAZ
1399-03-19,2020-06-08,3761,ومهان,MEAZ
1399-03-20,2020-06-09,3807,ومهان,MEAZ
1399-03-21,2020-06-10,4016,ومهان,MEAZ
1399-03-24,2020-06-13,4205,ومهان,MEAZ
1399-03-25,2020-06-14,4267,ومهان,MEAZ
1399-03-26,2020-06-15,4166,ومهان,MEAZ
1399-03-27,2020-06-16,4416,ومهان,MEAZ
1399-03-31,2020-06-20,4524,ومهان,MEAZ
1399-04-01,2020-06-21,4736,ومهان,MEAZ
1399-04-02,2020-06-22,4967,ومهان,MEAZ
1399-04-03,2020-06-23,5090,ومهان,MEAZ
1399-04-07,2020-06-27,5344,ومهان,MEAZ
1399-04-08,2020-06-28,5078,ومهان,MEAZ
1399-04-11,2020-07-01,5757,ومهان,MEAZ
1399-04-14,2020-07-04,5900,ومهان,MEAZ
1399-04-15,2020-07-05,6208,ومهان,MEAZ
1399-04-16,2020-07-06,6385,ومهان,MEAZ
1399-04-17,2020-07-07,6439,ومهان,MEAZ
1399-04-18,2020-07-08,6181,ومهان,MEAZ
1399-04-21,2020-07-11,5922,ومهان,MEAZ
1399-04-22,2020-07-12,6081,ومهان,MEAZ
1399-04-23,2020-07-13,5885,ومهان,MEAZ
1399-04-24,2020-07-14,5631,ومهان,MEAZ
1399-04-25,2020-07-15,5612,ومهان,MEAZ
1399-04-28,2020-07-18,5927,ومهان,MEAZ
1399-04-29,2020-07-19,6207,ومهان,MEAZ
1399-04-30,2020-07-20,6416,ومهان,MEAZ
1399-04-31,2020-07-21,6190,ومهان,MEAZ
1399-05-01,2020-07-22,5967,ومهان,MEAZ
1399-05-04,2020-07-25,6300,ومهان,MEAZ
1399-05-05,2020-07-26,6452,ومهان,MEAZ
1399-05-06,2020-07-27,6548,ومهان,MEAZ
1399-05-07,2020-07-28,6676,ومهان,MEAZ
1399-05-08,2020-07-29,6517,ومهان,MEAZ
1399-05-11,2020-08-01,6817,ومهان,MEAZ
1399-05-12,2020-08-02,7115,ومهان,MEAZ
1399-05-13,2020-08-03,7203,ومهان,MEAZ
1399-05-14,2020-08-04,7334,ومهان,MEAZ
1399-05-15,2020-08-05,7162,ومهان,MEAZ
1399-05-19,2020-08-09,7488,ومهان,MEAZ
1399-05-20,2020-08-10,7107,ومهان,MEAZ
1399-05-21,2020-08-11,6870,ومهان,MEAZ
1399-05-22,2020-08-12,6526,ومهان,MEAZ
1399-05-25,2020-08-15,6260,ومهان,MEAZ
1399-05-26,2020-08-16,5962,ومهان,MEAZ
1399-05-27,2020-08-17,5833,ومهان,MEAZ
1399-05-28,2020-08-18,5601,ومهان,MEAZ
1399-05-29,2020-08-19,5667,ومهان,MEAZ
1399-06-01,2020-08-22,5534,ومهان,MEAZ
1399-06-02,2020-08-23,5295,ومهان,MEAZ
1399-06-03,2020-08-24,5037,ومهان,MEAZ
1399-06-04,2020-08-25,5289,ومهان,MEAZ
1399-06-05,2020-08-26,5450,ومهان,MEAZ
1399-06-10,2020-08-31,5503,ومهان,MEAZ
1399-06-11,2020-09-01,5253,ومهان,MEAZ
1399-06-12,2020-09-02,5013,ومهان,MEAZ
1399-06-15,2020-09-05,5184,ومهان,MEAZ
1399-06-16,2020-09-06,4870,ومهان,MEAZ
1399-06-17,2020-09-07,4797,ومهان,MEAZ
1399-06-18,2020-09-08,4558,ومهان,MEAZ
1399-06-19,2020-09-09,4583,ومهان,MEAZ
1399-06-22,2020-09-12,4661,ومهان,MEAZ
1399-06-23,2020-09-13,4529,ومهان,MEAZ
1399-06-24,2020-09-14,4754,ومهان,MEAZ
1399-06-25,2020-09-15,4886,ومهان,MEAZ
1399-06-26,2020-09-16,5131,ومهان,MEAZ
1399-06-29,2020-09-19,5336,ومهان,MEAZ
1399-06-30,2020-09-20,5124,ومهان,MEAZ
1399-06-31,2020-09-21,5181,ومهان,MEAZ
1399-07-01,2020-09-22,5304,ومهان,MEAZ
1399-07-02,2020-09-23,5541,ومهان,MEAZ
1399-07-05,2020-09-26,5667,ومهان,MEAZ
1399-07-06,2020-09-27,5449,ومهان,MEAZ
1399-07-07,2020-09-28,5185,ومهان,MEAZ
1399-07-08,2020-09-29,4933,ومهان,MEAZ
1399-07-09,2020-09-30,5083,ومهان,MEAZ
1399-07-12,2020-10-03,5220,ومهان,MEAZ
1399-07-13,2020-10-04,4945,ومهان,MEAZ
1399-07-14,2020-10-05,4938,ومهان,MEAZ
1399-07-15,2020-10-06,5036,ومهان,MEAZ
1399-07-16,2020-10-07,5061,ومهان,MEAZ
1399-07-19,2020-10-10,4957,ومهان,MEAZ
1399-07-20,2020-10-11,5159,ومهان,MEAZ
1399-07-21,2020-10-12,5123,ومهان,MEAZ
1399-07-22,2020-10-13,5137,ومهان,MEAZ
1399-07-23,2020-10-14,4990,ومهان,MEAZ
1399-07-27,2020-10-18,4729,ومهان,MEAZ
1399-07-28,2020-10-19,4538,ومهان,MEAZ
1399-07-29,2020-10-20,4417,ومهان,MEAZ
1399-07-30,2020-10-21,4447,ومهان,MEAZ
1399-08-03,2020-10-24,4132,ومهان,MEAZ
1399-08-05,2020-10-26,3935,ومهان,MEAZ
1399-08-06,2020-10-27,3746,ومهان,MEAZ
1399-08-07,2020-10-28,3915,ومهان,MEAZ
1399-08-10,2020-10-31,3947,ومهان,MEAZ
1399-08-11,2020-11-01,3737,ومهان,MEAZ
1399-08-12,2020-11-02,3743,ومهان,MEAZ
1399-08-14,2020-11-04,3952,ومهان,MEAZ
1399-08-17,2020-11-07,3737,ومهان,MEAZ
1399-08-18,2020-11-08,3555,ومهان,MEAZ
1399-08-19,2020-11-09,3401,ومهان,MEAZ
1399-08-20,2020-11-10,3458,ومهان,MEAZ
1399-08-21,2020-11-11,3576,ومهان,MEAZ
1399-08-24,2020-11-14,3690,ومهان,MEAZ
1399-08-25,2020-11-15,3713,ومهان,MEAZ
