J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-18,2001-04-07,7305,شمواد,MFMP
1380-01-19,2001-04-08,7305,شمواد,MFMP
1380-01-21,2001-04-10,7488,شمواد,MFMP
1380-01-22,2001-04-11,7488,شمواد,MFMP
1380-01-25,2001-04-14,7351,شمواد,MFMP
1380-01-26,2001-04-15,7350,شمواد,MFMP
1380-01-28,2001-04-17,7305,شمواد,MFMP
1380-02-08,2001-04-28,7287,شمواد,MFMP
1380-02-10,2001-04-30,7278,شمواد,MFMP
1380-02-19,2001-05-09,7269,شمواد,MFMP
1380-02-23,2001-05-13,6906,شمواد,MFMP
1380-02-25,2001-05-15,6905,شمواد,MFMP
1380-02-26,2001-05-16,6906,شمواد,MFMP
1380-03-29,2001-06-19,6209,شمواد,MFMP
1380-07-24,2001-10-16,5936,شمواد,MFMP
1380-07-25,2001-10-17,6027,شمواد,MFMP
1380-07-28,2001-10-20,6027,شمواد,MFMP
1380-07-29,2001-10-21,6027,شمواد,MFMP
1380-07-30,2001-10-22,6027,شمواد,MFMP
1380-08-06,2001-10-28,6027,شمواد,MFMP
1380-08-13,2001-11-04,6027,شمواد,MFMP
1380-09-11,2001-12-02,6027,شمواد,MFMP
1380-09-13,2001-12-04,6027,شمواد,MFMP
1380-09-28,2001-12-19,6027,شمواد,MFMP
1380-10-02,2001-12-23,6027,شمواد,MFMP
1380-10-03,2001-12-24,6027,شمواد,MFMP
1380-10-12,2002-01-02,5726,شمواد,MFMP
1380-10-15,2002-01-05,5726,شمواد,MFMP
1380-10-29,2002-01-19,5726,شمواد,MFMP
1380-11-03,2002-01-23,5726,شمواد,MFMP
1380-11-07,2002-01-27,5726,شمواد,MFMP
1380-11-08,2002-01-28,5726,شمواد,MFMP
1380-11-10,2002-01-30,5726,شمواد,MFMP
1380-11-16,2002-02-05,5723,شمواد,MFMP
1380-11-21,2002-02-10,5723,شمواد,MFMP
1380-11-24,2002-02-13,5721,شمواد,MFMP
1380-11-29,2002-02-18,5726,شمواد,MFMP
1380-11-30,2002-02-19,5936,شمواد,MFMP
1380-12-01,2002-02-20,5936,شمواد,MFMP
1380-12-07,2002-02-26,5936,شمواد,MFMP
1380-12-22,2002-03-13,5639,شمواد,MFMP
1381-01-17,2002-04-06,5479,شمواد,MFMP
1381-01-21,2002-04-10,5468,شمواد,MFMP
1381-01-31,2002-04-20,5296,شمواد,MFMP
1381-02-09,2002-04-29,5455,شمواد,MFMP
1381-02-10,2002-04-30,5461,شمواد,MFMP
1381-02-11,2002-05-01,5463,شمواد,MFMP
1381-02-15,2002-05-05,5463,شمواد,MFMP
1381-02-16,2002-05-06,5479,شمواد,MFMP
1381-03-05,2002-05-26,5479,شمواد,MFMP
1381-03-13,2002-06-03,5479,شمواد,MFMP
1381-03-20,2002-06-10,5479,شمواد,MFMP
1381-03-21,2002-06-11,5479,شمواد,MFMP
1381-03-27,2002-06-17,5480,شمواد,MFMP
1381-04-01,2002-06-22,5482,شمواد,MFMP
1381-04-02,2002-06-23,5484,شمواد,MFMP
1382-04-01,2003-06-22,3105,شمواد,MFMP
1382-04-09,2003-06-30,3072,شمواد,MFMP
1382-05-01,2003-07-23,2918,شمواد,MFMP
1382-05-05,2003-07-27,2773,شمواد,MFMP
1382-05-12,2003-08-03,2634,شمواد,MFMP
1382-05-18,2003-08-09,2634,شمواد,MFMP
1382-05-19,2003-08-10,2630,شمواد,MFMP
1382-05-20,2003-08-11,2621,شمواد,MFMP
1382-06-01,2003-08-23,2618,شمواد,MFMP
1382-06-02,2003-08-24,2618,شمواد,MFMP
1382-06-04,2003-08-26,2618,شمواد,MFMP
1382-06-05,2003-08-27,2618,شمواد,MFMP
1382-06-09,2003-08-31,2611,شمواد,MFMP
1382-06-12,2003-09-03,2619,شمواد,MFMP
1382-10-27,2004-01-17,2487,شمواد,MFMP
1382-10-28,2004-01-18,2487,شمواد,MFMP
1382-11-29,2004-02-18,2448,شمواد,MFMP
1382-12-04,2004-02-23,2448,شمواد,MFMP
1382-12-10,2004-02-29,2442,شمواد,MFMP
1382-12-13,2004-03-03,2431,شمواد,MFMP
1382-12-20,2004-03-10,2428,شمواد,MFMP
1383-01-17,2004-04-05,2455,شمواد,MFMP
1383-01-18,2004-04-06,2458,شمواد,MFMP
1383-01-19,2004-04-07,2458,شمواد,MFMP
1383-01-30,2004-04-18,2458,شمواد,MFMP
1383-02-12,2004-05-01,2458,شمواد,MFMP
1383-02-21,2004-05-10,2458,شمواد,MFMP
1383-02-26,2004-05-15,2458,شمواد,MFMP
1383-02-28,2004-05-17,2458,شمواد,MFMP
1383-02-29,2004-05-18,2458,شمواد,MFMP
1383-03-02,2004-05-22,2458,شمواد,MFMP
1383-03-09,2004-05-29,2458,شمواد,MFMP
1383-03-13,2004-06-02,2459,شمواد,MFMP
1383-03-19,2004-06-08,2459,شمواد,MFMP
1383-03-20,2004-06-09,2461,شمواد,MFMP
1383-03-30,2004-06-19,2466,شمواد,MFMP
1383-04-01,2004-06-21,2468,شمواد,MFMP
1383-04-02,2004-06-22,2490,شمواد,MFMP
1383-04-03,2004-06-23,2489,شمواد,MFMP
1383-04-06,2004-06-26,2612,شمواد,MFMP
1383-04-07,2004-06-27,2630,شمواد,MFMP
1383-04-15,2004-07-05,2652,شمواد,MFMP
1383-04-16,2004-07-06,2785,شمواد,MFMP
1383-04-17,2004-07-07,2924,شمواد,MFMP
1383-04-20,2004-07-10,3070,شمواد,MFMP
1383-04-21,2004-07-11,3223,شمواد,MFMP
1383-04-22,2004-07-12,3384,شمواد,MFMP
1383-04-23,2004-07-13,3553,شمواد,MFMP
1383-04-24,2004-07-14,3730,شمواد,MFMP
1383-04-27,2004-07-17,3573,شمواد,MFMP
1383-04-28,2004-07-18,3400,شمواد,MFMP
1383-04-29,2004-07-19,3306,شمواد,MFMP
1383-04-30,2004-07-20,3268,شمواد,MFMP
1383-05-03,2004-07-24,3264,شمواد,MFMP
1383-05-04,2004-07-25,3279,شمواد,MFMP
1383-05-05,2004-07-26,3299,شمواد,MFMP
1383-05-06,2004-07-27,3312,شمواد,MFMP
1383-05-07,2004-07-28,3477,شمواد,MFMP
1383-05-10,2004-07-31,3490,شمواد,MFMP
1383-05-11,2004-08-01,3488,شمواد,MFMP
1383-05-12,2004-08-02,3487,شمواد,MFMP
1383-05-13,2004-08-03,3483,شمواد,MFMP
1383-05-14,2004-08-04,3474,شمواد,MFMP
1383-05-17,2004-08-07,3300,شمواد,MFMP
1383-05-18,2004-08-08,3302,شمواد,MFMP
1383-05-21,2004-08-11,3352,شمواد,MFMP
1383-05-24,2004-08-14,3371,شمواد,MFMP
1383-05-25,2004-08-15,3400,شمواد,MFMP
1383-05-26,2004-08-16,3395,شمواد,MFMP
1383-06-24,2004-09-14,3394,شمواد,MFMP
1383-07-04,2004-09-25,3225,شمواد,MFMP
1383-07-11,2004-10-02,3224,شمواد,MFMP
1383-07-13,2004-10-04,3223,شمواد,MFMP
1383-07-15,2004-10-06,3211,شمواد,MFMP
1383-07-21,2004-10-12,3210,شمواد,MFMP
1383-07-25,2004-10-16,3208,شمواد,MFMP
1383-08-02,2004-10-23,3199,شمواد,MFMP
1383-08-04,2004-10-25,3186,شمواد,MFMP
1383-08-12,2004-11-02,3185,شمواد,MFMP
1383-08-13,2004-11-03,3181,شمواد,MFMP
1383-08-19,2004-11-09,3180,شمواد,MFMP
1383-08-20,2004-11-10,3166,شمواد,MFMP
1383-08-23,2004-11-13,3162,شمواد,MFMP
1383-08-25,2004-11-15,3091,شمواد,MFMP
1383-08-26,2004-11-16,3085,شمواد,MFMP
1383-08-27,2004-11-17,3082,شمواد,MFMP
1383-08-30,2004-11-20,3071,شمواد,MFMP
1383-09-02,2004-11-22,3066,شمواد,MFMP
1383-09-03,2004-11-23,3081,شمواد,MFMP
1383-09-04,2004-11-24,3084,شمواد,MFMP
1383-09-09,2004-11-29,3096,شمواد,MFMP
1383-09-10,2004-11-30,3147,شمواد,MFMP
1383-09-11,2004-12-01,3147,شمواد,MFMP
1383-09-14,2004-12-04,3160,شمواد,MFMP
1383-09-15,2004-12-05,3176,شمواد,MFMP
1383-09-16,2004-12-06,3334,شمواد,MFMP
1383-09-25,2004-12-15,3458,شمواد,MFMP
1383-10-01,2004-12-21,3463,شمواد,MFMP
1383-10-02,2004-12-22,3468,شمواد,MFMP
1383-10-05,2004-12-25,3469,شمواد,MFMP
1383-10-07,2004-12-27,3640,شمواد,MFMP
1383-10-08,2004-12-28,3640,شمواد,MFMP
1383-10-09,2004-12-29,3821,شمواد,MFMP
1383-10-12,2005-01-01,4012,شمواد,MFMP
1383-10-13,2005-01-02,4153,شمواد,MFMP
1383-10-14,2005-01-03,4013,شمواد,MFMP
1383-10-15,2005-01-04,3996,شمواد,MFMP
1383-10-16,2005-01-05,3918,شمواد,MFMP
1383-10-19,2005-01-08,3920,شمواد,MFMP
1383-10-20,2005-01-09,3743,شمواد,MFMP
1383-10-21,2005-01-10,3779,شمواد,MFMP
1383-10-22,2005-01-11,3740,شمواد,MFMP
1383-10-23,2005-01-12,3649,شمواد,MFMP
1383-10-26,2005-01-15,3674,شمواد,MFMP
