J-Date,Date,Adj Close,Ticker,Ticker(4)
1397-03-28,2018-06-18,368,کمینا,MIGP
1397-04-02,2018-06-23,843,کمینا,MIGP
1397-04-04,2018-06-25,1218,کمینا,MIGP
1397-04-06,2018-06-27,1218,کمینا,MIGP
1397-04-09,2018-06-30,1218,کمینا,MIGP
1397-04-11,2018-07-02,1210,کمینا,MIGP
1397-04-13,2018-07-04,467,کمینا,MIGP
1397-04-30,2018-07-21,467,کمینا,MIGP
1397-05-03,2018-07-25,805,کمینا,MIGP
1397-05-06,2018-07-28,805,کمینا,MIGP
1397-05-08,2018-07-30,507,کمینا,MIGP
1397-05-15,2018-08-06,507,کمینا,MIGP
1397-05-17,2018-08-08,572,کمینا,MIGP
1397-05-20,2018-08-11,572,کمینا,MIGP
1397-05-22,2018-08-13,572,کمینا,MIGP
1397-05-24,2018-08-15,572,کمینا,MIGP
1397-05-27,2018-08-18,572,کمینا,MIGP
1397-06-03,2018-08-25,572,کمینا,MIGP
1397-06-05,2018-08-27,599,کمینا,MIGP
1397-06-07,2018-08-29,626,کمینا,MIGP
1397-06-10,2018-09-01,626,کمینا,MIGP
1397-06-12,2018-09-03,626,کمینا,MIGP
1397-06-14,2018-09-05,626,کمینا,MIGP
1397-06-17,2018-09-08,681,کمینا,MIGP
1397-06-19,2018-09-10,681,کمینا,MIGP
1397-06-21,2018-09-12,681,کمینا,MIGP
1397-06-24,2018-09-15,769,کمینا,MIGP
1397-06-31,2018-09-22,769,کمینا,MIGP
1397-07-02,2018-09-24,763,کمینا,MIGP
1397-07-04,2018-09-26,1035,کمینا,MIGP
1397-07-14,2018-10-06,798,کمینا,MIGP
1397-07-16,2018-10-08,798,کمینا,MIGP
1397-07-18,2018-10-10,798,کمینا,MIGP
1397-07-21,2018-10-13,798,کمینا,MIGP
1397-07-23,2018-10-15,805,کمینا,MIGP
1397-07-25,2018-10-17,805,کمینا,MIGP
1397-07-28,2018-10-20,805,کمینا,MIGP
1397-07-30,2018-10-22,805,کمینا,MIGP
