J-Date,Date,Adj Close,Ticker,Ticker(4)
1391-03-22,2012-06-11,512,میهن,MIHZ
1391-03-23,2012-06-12,502,میهن,MIHZ
1391-03-24,2012-06-13,515,میهن,MIHZ
1391-03-27,2012-06-16,514,میهن,MIHZ
1391-03-28,2012-06-17,495,میهن,MIHZ
1391-03-30,2012-06-19,484,میهن,MIHZ
1391-04-03,2012-06-23,460,میهن,MIHZ
1391-04-04,2012-06-24,439,میهن,MIHZ
1391-04-05,2012-06-25,461,میهن,MIHZ
1391-04-06,2012-06-26,470,میهن,MIHZ
1391-04-07,2012-06-27,491,میهن,MIHZ
1391-04-10,2012-06-30,495,میهن,MIHZ
1391-04-11,2012-07-01,460,میهن,MIHZ
1391-04-12,2012-07-02,483,میهن,MIHZ
1391-04-13,2012-07-03,506,میهن,MIHZ
1391-04-21,2012-07-11,498,میهن,MIHZ
1391-04-24,2012-07-14,502,میهن,MIHZ
1391-04-27,2012-07-17,502,میهن,MIHZ
1391-04-28,2012-07-18,498,میهن,MIHZ
1391-04-31,2012-07-21,480,میهن,MIHZ
1391-05-01,2012-07-22,528,میهن,MIHZ
1391-05-03,2012-07-24,502,میهن,MIHZ
1391-05-04,2012-07-25,527,میهن,MIHZ
1391-05-08,2012-07-29,498,میهن,MIHZ
1391-05-09,2012-07-30,519,میهن,MIHZ
1391-05-10,2012-07-31,506,میهن,MIHZ
1391-05-15,2012-08-05,485,میهن,MIHZ
1391-05-16,2012-08-06,472,میهن,MIHZ
1391-05-17,2012-08-07,459,میهن,MIHZ
1391-05-18,2012-08-08,482,میهن,MIHZ
1391-05-22,2012-08-12,490,میهن,MIHZ
1391-05-25,2012-08-15,514,میهن,MIHZ
1391-06-01,2012-08-22,488,میهن,MIHZ
1391-06-04,2012-08-25,512,میهن,MIHZ
1391-06-05,2012-08-26,510,میهن,MIHZ
1391-06-06,2012-08-27,498,میهن,MIHZ
1391-06-12,2012-09-02,475,میهن,MIHZ
1391-06-13,2012-09-03,453,میهن,MIHZ
1391-06-14,2012-09-04,462,میهن,MIHZ
1391-06-15,2012-09-05,454,میهن,MIHZ
