J-Date,Date,Adj Close,Ticker,Ticker(4)
1391-10-20,2013-01-09,232,بمیلا,MILP
1391-10-24,2013-01-13,238,بمیلا,MILP
1391-10-25,2013-01-14,242,بمیلا,MILP
1391-10-26,2013-01-15,241,بمیلا,MILP
1391-10-27,2013-01-16,243,بمیلا,MILP
1391-10-30,2013-01-19,232,بمیلا,MILP
1391-11-01,2013-01-20,221,بمیلا,MILP
1391-11-02,2013-01-21,211,بمیلا,MILP
1391-11-03,2013-01-22,214,بمیلا,MILP
1391-11-04,2013-01-23,219,بمیلا,MILP
1391-11-07,2013-01-26,204,بمیلا,MILP
1391-11-08,2013-01-27,213,بمیلا,MILP
1391-11-09,2013-01-28,204,بمیلا,MILP
1391-11-11,2013-01-30,195,بمیلا,MILP
1391-11-14,2013-02-02,206,بمیلا,MILP
1391-11-15,2013-02-03,206,بمیلا,MILP
1391-11-16,2013-02-04,214,بمیلا,MILP
1391-11-17,2013-02-05,206,بمیلا,MILP
1391-11-18,2013-02-06,209,بمیلا,MILP
1391-11-21,2013-02-09,206,بمیلا,MILP
1391-11-23,2013-02-11,202,بمیلا,MILP
1391-11-24,2013-02-12,195,بمیلا,MILP
1391-11-25,2013-02-13,186,بمیلا,MILP
1391-11-28,2013-02-16,186,بمیلا,MILP
1391-11-29,2013-02-17,180,بمیلا,MILP
1391-11-30,2013-02-18,181,بمیلا,MILP
1391-12-01,2013-02-19,179,بمیلا,MILP
1391-12-02,2013-02-20,179,بمیلا,MILP
1391-12-06,2013-02-24,170,بمیلا,MILP
1391-12-07,2013-02-25,163,بمیلا,MILP
1391-12-08,2013-02-26,155,بمیلا,MILP
1391-12-09,2013-02-27,155,بمیلا,MILP
1391-12-12,2013-03-02,163,بمیلا,MILP
1391-12-13,2013-03-03,155,بمیلا,MILP
1391-12-14,2013-03-04,149,بمیلا,MILP
1391-12-15,2013-03-05,142,بمیلا,MILP
1391-12-16,2013-03-06,150,بمیلا,MILP
1391-12-19,2013-03-09,144,بمیلا,MILP
1391-12-20,2013-03-10,146,بمیلا,MILP
1391-12-22,2013-03-12,157,بمیلا,MILP
1391-12-23,2013-03-13,160,بمیلا,MILP
1391-12-26,2013-03-16,160,بمیلا,MILP
1391-12-27,2013-03-17,168,بمیلا,MILP
1391-12-28,2013-03-18,160,بمیلا,MILP
1392-01-05,2013-03-25,177,بمیلا,MILP
1392-01-06,2013-03-26,184,بمیلا,MILP
1392-01-07,2013-03-27,173,بمیلا,MILP
1392-01-10,2013-03-30,164,بمیلا,MILP
1392-01-11,2013-03-31,157,بمیلا,MILP
1392-01-17,2013-04-06,157,بمیلا,MILP
1392-01-18,2013-04-07,157,بمیلا,MILP
1392-01-19,2013-04-08,164,بمیلا,MILP
1392-01-20,2013-04-09,173,بمیلا,MILP
1392-01-21,2013-04-10,165,بمیلا,MILP
1392-01-24,2013-04-13,173,بمیلا,MILP
1392-01-26,2013-04-15,171,بمیلا,MILP
1392-01-27,2013-04-16,174,بمیلا,MILP
1392-01-28,2013-04-17,182,بمیلا,MILP
1392-01-31,2013-04-20,179,بمیلا,MILP
1392-02-01,2013-04-21,171,بمیلا,MILP
1392-02-03,2013-04-23,171,بمیلا,MILP
1392-02-04,2013-04-24,187,بمیلا,MILP
1392-02-07,2013-04-27,191,بمیلا,MILP
