J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-05,2001-03-25,91,غپینو,MINO
1380-01-06,2001-03-26,92,غپینو,MINO
1380-01-07,2001-03-27,92,غپینو,MINO
1380-01-08,2001-03-28,92,غپینو,MINO
1380-01-20,2001-04-09,92,غپینو,MINO
1380-01-21,2001-04-10,92,غپینو,MINO
1380-01-22,2001-04-11,92,غپینو,MINO
1380-01-26,2001-04-15,92,غپینو,MINO
1380-01-27,2001-04-16,92,غپینو,MINO
1380-01-28,2001-04-17,92,غپینو,MINO
1380-01-29,2001-04-18,92,غپینو,MINO
1380-02-01,2001-04-21,92,غپینو,MINO
1380-02-02,2001-04-22,92,غپینو,MINO
1380-02-03,2001-04-23,92,غپینو,MINO
1380-02-04,2001-04-24,92,غپینو,MINO
1380-02-05,2001-04-25,93,غپینو,MINO
1380-02-08,2001-04-28,93,غپینو,MINO
1380-02-09,2001-04-29,93,غپینو,MINO
1380-02-10,2001-04-30,93,غپینو,MINO
1380-02-11,2001-05-01,93,غپینو,MINO
1380-02-12,2001-05-02,95,غپینو,MINO
1380-02-15,2001-05-05,95,غپینو,MINO
1380-02-16,2001-05-06,95,غپینو,MINO
1380-02-17,2001-05-07,96,غپینو,MINO
1380-02-18,2001-05-08,96,غپینو,MINO
1380-02-19,2001-05-09,96,غپینو,MINO
1380-02-22,2001-05-12,96,غپینو,MINO
1380-02-23,2001-05-13,98,غپینو,MINO
1380-02-25,2001-05-15,98,غپینو,MINO
1380-02-26,2001-05-16,98,غپینو,MINO
1380-02-29,2001-05-19,98,غپینو,MINO
1380-02-30,2001-05-20,99,غپینو,MINO
1380-02-31,2001-05-21,99,غپینو,MINO
1380-03-02,2001-05-23,100,غپینو,MINO
1380-03-05,2001-05-26,101,غپینو,MINO
1380-03-06,2001-05-27,101,غپینو,MINO
1380-03-07,2001-05-28,103,غپینو,MINO
1380-03-08,2001-05-29,105,غپینو,MINO
1380-03-09,2001-05-30,103,غپینو,MINO
1380-03-12,2001-06-02,103,غپینو,MINO
1380-03-13,2001-06-03,103,غپینو,MINO
1380-03-19,2001-06-09,102,غپینو,MINO
1380-03-21,2001-06-11,100,غپینو,MINO
1380-03-22,2001-06-12,100,غپینو,MINO
1380-03-23,2001-06-13,100,غپینو,MINO
1380-03-26,2001-06-16,100,غپینو,MINO
1380-03-27,2001-06-17,98,غپینو,MINO
1380-03-28,2001-06-18,97,غپینو,MINO
1380-03-29,2001-06-19,95,غپینو,MINO
1380-03-30,2001-06-20,100,غپینو,MINO
1380-04-02,2001-06-23,100,غپینو,MINO
1380-04-04,2001-06-25,100,غپینو,MINO
1380-04-05,2001-06-26,98,غپینو,MINO
1380-04-06,2001-06-27,98,غپینو,MINO
1380-04-09,2001-06-30,97,غپینو,MINO
1380-04-10,2001-07-01,98,غپینو,MINO
1380-04-11,2001-07-02,98,غپینو,MINO
1380-05-21,2001-08-12,85,غپینو,MINO
1380-05-27,2001-08-18,89,غپینو,MINO
1380-05-28,2001-08-19,94,غپینو,MINO
1380-05-29,2001-08-20,94,غپینو,MINO
1380-05-30,2001-08-21,94,غپینو,MINO
1380-05-31,2001-08-22,93,غپینو,MINO
1380-06-03,2001-08-25,93,غپینو,MINO
1380-06-04,2001-08-26,92,غپینو,MINO
1380-06-06,2001-08-28,91,غپینو,MINO
1380-06-07,2001-08-29,91,غپینو,MINO
1380-06-10,2001-09-01,89,غپینو,MINO
1380-06-11,2001-09-02,89,غپینو,MINO
1380-06-12,2001-09-03,89,غپینو,MINO
1380-06-13,2001-09-04,87,غپینو,MINO
1380-06-14,2001-09-05,87,غپینو,MINO
1380-06-17,2001-09-08,87,غپینو,MINO
1380-06-18,2001-09-09,86,غپینو,MINO
1380-06-19,2001-09-10,86,غپینو,MINO
1380-06-20,2001-09-11,86,غپینو,MINO
1380-06-21,2001-09-12,86,غپینو,MINO
1380-06-26,2001-09-17,85,غپینو,MINO
1380-06-27,2001-09-18,85,غپینو,MINO
1380-06-28,2001-09-19,85,غپینو,MINO
