J-Date,Date,Adj Close,Ticker,Ticker(4)
1383-12-15,2005-03-05,70,خنصیر,MNSR
1383-12-16,2005-03-06,71,خنصیر,MNSR
1383-12-17,2005-03-07,72,خنصیر,MNSR
1383-12-18,2005-03-08,72,خنصیر,MNSR
1383-12-19,2005-03-09,71,خنصیر,MNSR
1383-12-24,2005-03-14,71,خنصیر,MNSR
1383-12-25,2005-03-15,71,خنصیر,MNSR
1383-12-26,2005-03-16,71,خنصیر,MNSR
1384-01-08,2005-03-28,68,خنصیر,MNSR
1384-01-09,2005-03-29,69,خنصیر,MNSR
1384-01-10,2005-03-30,71,خنصیر,MNSR
1384-01-15,2005-04-04,70,خنصیر,MNSR
1384-01-17,2005-04-06,70,خنصیر,MNSR
1384-01-21,2005-04-10,69,خنصیر,MNSR
1384-01-22,2005-04-11,69,خنصیر,MNSR
1384-01-23,2005-04-12,67,خنصیر,MNSR
1384-01-24,2005-04-13,69,خنصیر,MNSR
1384-01-27,2005-04-16,72,خنصیر,MNSR
1384-01-28,2005-04-17,72,خنصیر,MNSR
1384-01-29,2005-04-18,70,خنصیر,MNSR
1384-01-30,2005-04-19,71,خنصیر,MNSR
1384-01-31,2005-04-20,69,خنصیر,MNSR
1384-02-03,2005-04-23,69,خنصیر,MNSR
1384-02-04,2005-04-24,69,خنصیر,MNSR
1384-02-07,2005-04-27,69,خنصیر,MNSR
1384-02-11,2005-05-01,69,خنصیر,MNSR
1384-02-12,2005-05-02,69,خنصیر,MNSR
1384-02-13,2005-05-03,69,خنصیر,MNSR
1384-02-14,2005-05-04,67,خنصیر,MNSR
1384-02-17,2005-05-07,66,خنصیر,MNSR
1384-02-19,2005-05-09,66,خنصیر,MNSR
1384-02-20,2005-05-10,66,خنصیر,MNSR
1384-02-21,2005-05-11,66,خنصیر,MNSR
1384-02-24,2005-05-14,67,خنصیر,MNSR
1384-02-25,2005-05-15,68,خنصیر,MNSR
1384-02-27,2005-05-17,71,خنصیر,MNSR
1384-02-28,2005-05-18,73,خنصیر,MNSR
1384-04-14,2005-07-05,95,خنصیر,MNSR
1384-04-18,2005-07-09,95,خنصیر,MNSR
1384-04-20,2005-07-11,95,خنصیر,MNSR
1384-05-16,2005-08-07,70,خنصیر,MNSR
1384-05-19,2005-08-10,69,خنصیر,MNSR
1384-05-25,2005-08-16,69,خنصیر,MNSR
1384-08-11,2005-11-02,69,خنصیر,MNSR
1384-08-14,2005-11-05,66,خنصیر,MNSR
1384-08-16,2005-11-07,65,خنصیر,MNSR
1384-08-17,2005-11-08,62,خنصیر,MNSR
1384-08-24,2005-11-15,62,خنصیر,MNSR
1384-09-13,2005-12-04,59,خنصیر,MNSR
1384-09-15,2005-12-06,58,خنصیر,MNSR
