J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-06,2001-03-26,17,بموتو,MOTJ
1380-01-07,2001-03-27,17,بموتو,MOTJ
1380-01-08,2001-03-28,17,بموتو,MOTJ
1380-01-11,2001-03-31,17,بموتو,MOTJ
1380-01-14,2001-04-03,17,بموتو,MOTJ
1380-01-18,2001-04-07,17,بموتو,MOTJ
1380-01-19,2001-04-08,18,بموتو,MOTJ
1380-01-20,2001-04-09,18,بموتو,MOTJ
1380-01-21,2001-04-10,18,بموتو,MOTJ
1380-01-26,2001-04-15,18,بموتو,MOTJ
1380-01-27,2001-04-16,18,بموتو,MOTJ
1380-01-29,2001-04-18,18,بموتو,MOTJ
1380-02-01,2001-04-21,18,بموتو,MOTJ
1380-02-02,2001-04-22,18,بموتو,MOTJ
1380-02-03,2001-04-23,18,بموتو,MOTJ
1380-02-04,2001-04-24,18,بموتو,MOTJ
1380-02-08,2001-04-28,18,بموتو,MOTJ
1380-02-09,2001-04-29,18,بموتو,MOTJ
1380-02-10,2001-04-30,18,بموتو,MOTJ
1380-02-11,2001-05-01,18,بموتو,MOTJ
1380-02-12,2001-05-02,18,بموتو,MOTJ
1380-02-15,2001-05-05,18,بموتو,MOTJ
1380-02-16,2001-05-06,18,بموتو,MOTJ
1380-02-17,2001-05-07,18,بموتو,MOTJ
1380-02-18,2001-05-08,18,بموتو,MOTJ
1380-02-19,2001-05-09,18,بموتو,MOTJ
1380-02-22,2001-05-12,18,بموتو,MOTJ
1380-02-23,2001-05-13,18,بموتو,MOTJ
1380-02-25,2001-05-15,18,بموتو,MOTJ
1380-02-30,2001-05-20,18,بموتو,MOTJ
1380-02-31,2001-05-21,18,بموتو,MOTJ
1380-03-02,2001-05-23,18,بموتو,MOTJ
1380-03-05,2001-05-26,18,بموتو,MOTJ
1380-03-06,2001-05-27,18,بموتو,MOTJ
1380-03-07,2001-05-28,19,بموتو,MOTJ
1380-03-08,2001-05-29,19,بموتو,MOTJ
1380-03-09,2001-05-30,19,بموتو,MOTJ
1380-03-12,2001-06-02,20,بموتو,MOTJ
1380-03-13,2001-06-03,20,بموتو,MOTJ
1380-03-26,2001-06-16,20,بموتو,MOTJ
1380-03-27,2001-06-17,20,بموتو,MOTJ
1380-03-28,2001-06-18,20,بموتو,MOTJ
1380-03-29,2001-06-19,19,بموتو,MOTJ
1380-04-05,2001-06-26,19,بموتو,MOTJ
1380-04-06,2001-06-27,19,بموتو,MOTJ
1380-04-09,2001-06-30,19,بموتو,MOTJ
1380-04-18,2001-07-09,18,بموتو,MOTJ
1380-04-19,2001-07-10,17,بموتو,MOTJ
1380-04-23,2001-07-14,17,بموتو,MOTJ
1380-04-24,2001-07-15,17,بموتو,MOTJ
1380-04-25,2001-07-16,16,بموتو,MOTJ
1380-06-06,2001-08-28,13,بموتو,MOTJ
1380-06-07,2001-08-29,13,بموتو,MOTJ
1380-06-10,2001-09-01,13,بموتو,MOTJ
1380-06-11,2001-09-02,13,بموتو,MOTJ
1380-06-12,2001-09-03,13,بموتو,MOTJ
1380-06-13,2001-09-04,13,بموتو,MOTJ
1380-06-14,2001-09-05,13,بموتو,MOTJ
1380-06-17,2001-09-08,13,بموتو,MOTJ
1380-06-18,2001-09-09,13,بموتو,MOTJ
1380-06-19,2001-09-10,13,بموتو,MOTJ
1380-06-20,2001-09-11,13,بموتو,MOTJ
1380-06-21,2001-09-12,13,بموتو,MOTJ
1380-06-25,2001-09-16,14,بموتو,MOTJ
1380-06-26,2001-09-17,14,بموتو,MOTJ
1380-06-28,2001-09-19,14,بموتو,MOTJ
1380-06-31,2001-09-22,14,بموتو,MOTJ
1380-07-01,2001-09-23,14,بموتو,MOTJ
1380-07-02,2001-09-24,14,بموتو,MOTJ
1380-07-11,2001-10-03,14,بموتو,MOTJ
1380-07-15,2001-10-07,14,بموتو,MOTJ
1380-07-18,2001-10-10,13,بموتو,MOTJ
1380-07-28,2001-10-20,13,بموتو,MOTJ
1380-07-29,2001-10-21,13,بموتو,MOTJ
1380-07-30,2001-10-22,13,بموتو,MOTJ
1380-08-01,2001-10-23,13,بموتو,MOTJ
1380-08-02,2001-10-24,13,بموتو,MOTJ
1380-08-05,2001-10-27,13,بموتو,MOTJ
1380-08-06,2001-10-28,13,بموتو,MOTJ
1380-08-07,2001-10-29,13,بموتو,MOTJ
1380-08-08,2001-10-30,13,بموتو,MOTJ
1380-08-09,2001-10-31,14,بموتو,MOTJ
1380-08-12,2001-11-03,14,بموتو,MOTJ
1380-08-13,2001-11-04,14,بموتو,MOTJ
1380-08-14,2001-11-05,14,بموتو,MOTJ
1380-08-15,2001-11-06,14,بموتو,MOTJ
1380-08-16,2001-11-07,14,بموتو,MOTJ
1380-08-19,2001-11-10,14,بموتو,MOTJ
1380-08-20,2001-11-11,14,بموتو,MOTJ
1380-08-21,2001-11-12,14,بموتو,MOTJ
1380-08-22,2001-11-13,14,بموتو,MOTJ
1380-08-23,2001-11-14,14,بموتو,MOTJ
1380-08-26,2001-11-17,14,بموتو,MOTJ
1380-08-28,2001-11-19,14,بموتو,MOTJ
1380-08-29,2001-11-20,14,بموتو,MOTJ
1380-09-04,2001-11-25,14,بموتو,MOTJ
1380-09-05,2001-11-26,14,بموتو,MOTJ
1380-09-06,2001-11-27,14,بموتو,MOTJ
1380-09-07,2001-11-28,14,بموتو,MOTJ
1380-09-11,2001-12-02,14,بموتو,MOTJ
1380-09-13,2001-12-04,14,بموتو,MOTJ
1380-09-14,2001-12-05,14,بموتو,MOTJ
1380-09-17,2001-12-08,14,بموتو,MOTJ
1380-09-19,2001-12-10,14,بموتو,MOTJ
1380-09-20,2001-12-11,14,بموتو,MOTJ
1380-09-21,2001-12-12,14,بموتو,MOTJ
1380-09-27,2001-12-18,14,بموتو,MOTJ
1380-09-28,2001-12-19,13,بموتو,MOTJ
1380-10-02,2001-12-23,13,بموتو,MOTJ
1380-10-03,2001-12-24,13,بموتو,MOTJ
1380-10-04,2001-12-25,13,بموتو,MOTJ
1380-10-05,2001-12-26,13,بموتو,MOTJ
1380-10-08,2001-12-29,13,بموتو,MOTJ
1380-10-09,2001-12-30,13,بموتو,MOTJ
1380-10-10,2001-12-31,14,بموتو,MOTJ
1380-10-11,2002-01-01,14,بموتو,MOTJ
1380-10-12,2002-01-02,14,بموتو,MOTJ
1380-10-16,2002-01-06,14,بموتو,MOTJ
1380-10-17,2002-01-07,14,بموتو,MOTJ
1380-10-18,2002-01-08,14,بموتو,MOTJ
1380-10-22,2002-01-12,14,بموتو,MOTJ
