J-Date,Date,Adj Close,Ticker,Ticker(4)
1394-06-25,2015-09-16,801,ثپردیس,MPRZ
1394-06-28,2015-09-19,841,ثپردیس,MPRZ
1394-06-29,2015-09-20,821,ثپردیس,MPRZ
1394-06-30,2015-09-21,814,ثپردیس,MPRZ
1394-06-31,2015-09-22,816,ثپردیس,MPRZ
1394-07-01,2015-09-23,821,ثپردیس,MPRZ
1394-07-04,2015-09-26,811,ثپردیس,MPRZ
1394-07-05,2015-09-27,810,ثپردیس,MPRZ
1394-07-06,2015-09-28,818,ثپردیس,MPRZ
1394-07-07,2015-09-29,813,ثپردیس,MPRZ
1394-07-08,2015-09-30,801,ثپردیس,MPRZ
1394-07-11,2015-10-03,775,ثپردیس,MPRZ
1394-07-12,2015-10-04,772,ثپردیس,MPRZ
1394-07-13,2015-10-05,798,ثپردیس,MPRZ
1394-07-14,2015-10-06,786,ثپردیس,MPRZ
1394-07-15,2015-10-07,771,ثپردیس,MPRZ
1394-07-18,2015-10-10,771,ثپردیس,MPRZ
1394-07-19,2015-10-11,767,ثپردیس,MPRZ
1394-07-20,2015-10-12,772,ثپردیس,MPRZ
1394-07-21,2015-10-13,809,ثپردیس,MPRZ
1394-07-22,2015-10-14,790,ثپردیس,MPRZ
1394-07-25,2015-10-17,810,ثپردیس,MPRZ
1394-07-26,2015-10-18,779,ثپردیس,MPRZ
1394-07-27,2015-10-19,771,ثپردیس,MPRZ
1394-07-28,2015-10-20,792,ثپردیس,MPRZ
1394-07-29,2015-10-21,777,ثپردیس,MPRZ
1394-08-03,2015-10-25,763,ثپردیس,MPRZ
1394-08-04,2015-10-26,770,ثپردیس,MPRZ
1394-08-05,2015-10-27,767,ثپردیس,MPRZ
1394-08-06,2015-10-28,759,ثپردیس,MPRZ
1394-08-09,2015-10-31,755,ثپردیس,MPRZ
1394-08-10,2015-11-01,754,ثپردیس,MPRZ
1394-08-11,2015-11-02,749,ثپردیس,MPRZ
1394-08-12,2015-11-03,747,ثپردیس,MPRZ
1394-08-13,2015-11-04,758,ثپردیس,MPRZ
1394-08-16,2015-11-07,756,ثپردیس,MPRZ
1394-08-17,2015-11-08,734,ثپردیس,MPRZ
1394-08-18,2015-11-09,746,ثپردیس,MPRZ
1394-08-19,2015-11-10,735,ثپردیس,MPRZ
1394-08-20,2015-11-11,741,ثپردیس,MPRZ
1394-08-23,2015-11-14,741,ثپردیس,MPRZ
1394-08-24,2015-11-15,735,ثپردیس,MPRZ
1394-08-25,2015-11-16,722,ثپردیس,MPRZ
1394-08-26,2015-11-17,717,ثپردیس,MPRZ
1394-08-27,2015-11-18,725,ثپردیس,MPRZ
1394-08-30,2015-11-21,762,ثپردیس,MPRZ
1394-09-01,2015-11-22,758,ثپردیس,MPRZ
1394-09-02,2015-11-23,750,ثپردیس,MPRZ
1394-09-03,2015-11-24,774,ثپردیس,MPRZ
