J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-14,2001-04-03,18,غمهرا,MRAM
1380-02-01,2001-04-21,17,غمهرا,MRAM
1380-02-02,2001-04-22,18,غمهرا,MRAM
1380-02-03,2001-04-23,18,غمهرا,MRAM
1380-02-05,2001-04-25,17,غمهرا,MRAM
1380-02-08,2001-04-28,18,غمهرا,MRAM
1380-02-09,2001-04-29,18,غمهرا,MRAM
1380-02-10,2001-04-30,19,غمهرا,MRAM
1380-02-11,2001-05-01,20,غمهرا,MRAM
1380-02-12,2001-05-02,21,غمهرا,MRAM
1380-02-15,2001-05-05,22,غمهرا,MRAM
1380-02-16,2001-05-06,23,غمهرا,MRAM
1380-02-17,2001-05-07,24,غمهرا,MRAM
1380-02-18,2001-05-08,25,غمهرا,MRAM
1380-03-26,2001-06-16,32,غمهرا,MRAM
1380-03-27,2001-06-17,33,غمهرا,MRAM
1380-03-28,2001-06-18,33,غمهرا,MRAM
1380-03-29,2001-06-19,33,غمهرا,MRAM
1380-03-30,2001-06-20,33,غمهرا,MRAM
1380-04-02,2001-06-23,34,غمهرا,MRAM
1380-04-03,2001-06-24,34,غمهرا,MRAM
1380-04-04,2001-06-25,34,غمهرا,MRAM
1380-04-05,2001-06-26,35,غمهرا,MRAM
1380-04-06,2001-06-27,35,غمهرا,MRAM
1380-04-09,2001-06-30,36,غمهرا,MRAM
1380-04-10,2001-07-01,36,غمهرا,MRAM
1380-04-11,2001-07-02,36,غمهرا,MRAM
1380-04-12,2001-07-03,37,غمهرا,MRAM
1380-04-13,2001-07-04,36,غمهرا,MRAM
1380-04-16,2001-07-07,36,غمهرا,MRAM
1380-04-17,2001-07-08,37,غمهرا,MRAM
1380-04-18,2001-07-09,37,غمهرا,MRAM
1380-04-19,2001-07-10,37,غمهرا,MRAM
1380-04-20,2001-07-11,38,غمهرا,MRAM
1380-05-28,2001-08-19,46,غمهرا,MRAM
1380-05-29,2001-08-20,44,غمهرا,MRAM
1380-05-30,2001-08-21,43,غمهرا,MRAM
1380-05-31,2001-08-22,43,غمهرا,MRAM
1380-06-03,2001-08-25,44,غمهرا,MRAM
1380-06-04,2001-08-26,44,غمهرا,MRAM
1380-06-05,2001-08-27,42,غمهرا,MRAM
1380-06-06,2001-08-28,42,غمهرا,MRAM
1380-06-07,2001-08-29,41,غمهرا,MRAM
1380-06-10,2001-09-01,40,غمهرا,MRAM
1380-06-11,2001-09-02,39,غمهرا,MRAM
1380-06-12,2001-09-03,38,غمهرا,MRAM
1380-06-13,2001-09-04,38,غمهرا,MRAM
1380-06-14,2001-09-05,36,غمهرا,MRAM
1380-06-17,2001-09-08,38,غمهرا,MRAM
1380-06-18,2001-09-09,38,غمهرا,MRAM
1380-06-19,2001-09-10,37,غمهرا,MRAM
1380-06-20,2001-09-11,36,غمهرا,MRAM
1380-06-21,2001-09-12,34,غمهرا,MRAM
1380-06-24,2001-09-15,35,غمهرا,MRAM
1380-06-25,2001-09-16,34,غمهرا,MRAM
1380-06-26,2001-09-17,32,غمهرا,MRAM
1380-06-27,2001-09-18,32,غمهرا,MRAM
1380-06-28,2001-09-19,33,غمهرا,MRAM
1380-06-31,2001-09-22,35,غمهرا,MRAM
