J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-20,2001-04-09,334,نمرینو,MRIN
1380-02-03,2001-04-23,335,نمرینو,MRIN
1380-02-04,2001-04-24,351,نمرینو,MRIN
1380-02-05,2001-04-25,369,نمرینو,MRIN
1380-02-08,2001-04-28,376,نمرینو,MRIN
1380-02-09,2001-04-29,376,نمرینو,MRIN
1380-02-10,2001-04-30,358,نمرینو,MRIN
1380-02-11,2001-05-01,358,نمرینو,MRIN
1380-02-12,2001-05-02,361,نمرینو,MRIN
1380-02-15,2001-05-05,355,نمرینو,MRIN
1380-02-16,2001-05-06,355,نمرینو,MRIN
1380-02-17,2001-05-07,355,نمرینو,MRIN
1380-02-18,2001-05-08,355,نمرینو,MRIN
1380-02-19,2001-05-09,357,نمرینو,MRIN
1380-02-22,2001-05-12,359,نمرینو,MRIN
1380-02-23,2001-05-13,376,نمرینو,MRIN
1380-02-25,2001-05-15,377,نمرینو,MRIN
1380-02-26,2001-05-16,377,نمرینو,MRIN
1380-02-30,2001-05-20,384,نمرینو,MRIN
1380-02-31,2001-05-21,400,نمرینو,MRIN
1380-03-02,2001-05-23,385,نمرینو,MRIN
1380-03-05,2001-05-26,384,نمرینو,MRIN
1380-03-06,2001-05-27,384,نمرینو,MRIN
1380-03-07,2001-05-28,385,نمرینو,MRIN
1380-03-08,2001-05-29,386,نمرینو,MRIN
1380-03-09,2001-05-30,387,نمرینو,MRIN
1380-03-12,2001-06-02,388,نمرینو,MRIN
1380-03-16,2001-06-06,388,نمرینو,MRIN
1380-03-19,2001-06-09,388,نمرینو,MRIN
1380-03-21,2001-06-11,383,نمرینو,MRIN
1380-03-22,2001-06-12,383,نمرینو,MRIN
1380-03-23,2001-06-13,383,نمرینو,MRIN
1380-03-27,2001-06-17,383,نمرینو,MRIN
1380-03-28,2001-06-18,383,نمرینو,MRIN
1380-03-29,2001-06-19,386,نمرینو,MRIN
1380-03-30,2001-06-20,388,نمرینو,MRIN
1380-04-02,2001-06-23,388,نمرینو,MRIN
1380-04-03,2001-06-24,388,نمرینو,MRIN
1380-04-04,2001-06-25,388,نمرینو,MRIN
1380-04-05,2001-06-26,388,نمرینو,MRIN
1380-04-06,2001-06-27,388,نمرینو,MRIN
1380-04-09,2001-06-30,400,نمرینو,MRIN
1380-04-10,2001-07-01,407,نمرینو,MRIN
1380-04-11,2001-07-02,407,نمرینو,MRIN
1380-04-12,2001-07-03,408,نمرینو,MRIN
1380-04-18,2001-07-09,421,نمرینو,MRIN
1380-04-19,2001-07-10,442,نمرینو,MRIN
1380-04-20,2001-07-11,464,نمرینو,MRIN
1380-05-28,2001-08-19,375,نمرینو,MRIN
1380-05-29,2001-08-20,393,نمرینو,MRIN
1380-05-31,2001-08-22,413,نمرینو,MRIN
1380-06-03,2001-08-25,434,نمرینو,MRIN
1380-06-04,2001-08-26,413,نمرینو,MRIN
1380-06-06,2001-08-28,413,نمرینو,MRIN
1380-06-07,2001-08-29,413,نمرینو,MRIN
1380-06-10,2001-09-01,413,نمرینو,MRIN
1380-06-11,2001-09-02,413,نمرینو,MRIN
1380-06-12,2001-09-03,413,نمرینو,MRIN
1380-06-14,2001-09-05,413,نمرینو,MRIN
1380-06-17,2001-09-08,413,نمرینو,MRIN
1380-06-18,2001-09-09,415,نمرینو,MRIN
1380-06-19,2001-09-10,415,نمرینو,MRIN
1380-06-20,2001-09-11,415,نمرینو,MRIN
1380-06-21,2001-09-12,422,نمرینو,MRIN
1380-06-24,2001-09-15,422,نمرینو,MRIN
1380-06-25,2001-09-16,422,نمرینو,MRIN
1380-06-26,2001-09-17,422,نمرینو,MRIN
1380-06-27,2001-09-18,422,نمرینو,MRIN
1380-06-31,2001-09-22,415,نمرینو,MRIN
1380-07-01,2001-09-23,415,نمرینو,MRIN
1380-07-02,2001-09-24,415,نمرینو,MRIN
1380-07-04,2001-09-26,414,نمرینو,MRIN
1380-07-07,2001-09-29,413,نمرینو,MRIN
1380-07-08,2001-09-30,416,نمرینو,MRIN
1380-07-10,2001-10-02,415,نمرینو,MRIN
1380-07-15,2001-10-07,415,نمرینو,MRIN
1380-07-16,2001-10-08,402,نمرینو,MRIN
1380-07-18,2001-10-10,400,نمرینو,MRIN
1380-07-22,2001-10-14,400,نمرینو,MRIN
1380-07-25,2001-10-17,408,نمرینو,MRIN
1380-07-30,2001-10-22,400,نمرینو,MRIN
1380-08-01,2001-10-23,400,نمرینو,MRIN
1380-08-07,2001-10-29,402,نمرینو,MRIN
1380-08-08,2001-10-30,409,نمرینو,MRIN
1380-08-09,2001-10-31,413,نمرینو,MRIN
1380-08-12,2001-11-03,403,نمرینو,MRIN
1380-08-13,2001-11-04,403,نمرینو,MRIN
1380-08-14,2001-11-05,417,نمرینو,MRIN
1380-08-16,2001-11-07,422,نمرینو,MRIN
1380-08-19,2001-11-10,435,نمرینو,MRIN
1380-08-20,2001-11-11,436,نمرینو,MRIN
1380-08-21,2001-11-12,437,نمرینو,MRIN
1380-08-22,2001-11-13,441,نمرینو,MRIN
1380-08-23,2001-11-14,444,نمرینو,MRIN
1380-08-26,2001-11-17,441,نمرینو,MRIN
1380-08-28,2001-11-19,496,نمرینو,MRIN
1380-08-29,2001-11-20,521,نمرینو,MRIN
1380-08-30,2001-11-21,544,نمرینو,MRIN
1380-09-03,2001-11-24,545,نمرینو,MRIN
1380-09-05,2001-11-26,546,نمرینو,MRIN
1380-09-07,2001-11-28,550,نمرینو,MRIN
1380-09-10,2001-12-01,551,نمرینو,MRIN
1380-09-11,2001-12-02,552,نمرینو,MRIN
1380-09-13,2001-12-04,553,نمرینو,MRIN
1380-09-14,2001-12-05,554,نمرینو,MRIN
1380-09-17,2001-12-08,565,نمرینو,MRIN
1380-09-18,2001-12-09,556,نمرینو,MRIN
1380-09-19,2001-12-10,560,نمرینو,MRIN
1380-09-20,2001-12-11,560,نمرینو,MRIN
1380-09-21,2001-12-12,561,نمرینو,MRIN
1380-09-24,2001-12-15,561,نمرینو,MRIN
1380-09-26,2001-12-17,562,نمرینو,MRIN
1380-09-27,2001-12-18,562,نمرینو,MRIN
1380-10-01,2001-12-22,565,نمرینو,MRIN
1380-10-02,2001-12-23,566,نمرینو,MRIN
1380-10-03,2001-12-24,568,نمرینو,MRIN
1380-10-05,2001-12-26,573,نمرینو,MRIN
1380-10-08,2001-12-29,577,نمرینو,MRIN
1380-10-10,2001-12-31,590,نمرینو,MRIN
1380-10-11,2002-01-01,591,نمرینو,MRIN
1380-10-12,2002-01-02,591,نمرینو,MRIN
1380-10-15,2002-01-05,591,نمرینو,MRIN
1380-10-16,2002-01-06,601,نمرینو,MRIN
1380-10-18,2002-01-08,601,نمرینو,MRIN
1380-10-22,2002-01-12,606,نمرینو,MRIN
1380-10-23,2002-01-13,622,نمرینو,MRIN
1380-10-26,2002-01-16,629,نمرینو,MRIN
1380-10-29,2002-01-19,630,نمرینو,MRIN
1380-11-02,2002-01-22,634,نمرینو,MRIN
1380-11-03,2002-01-23,637,نمرینو,MRIN
1380-11-09,2002-01-29,669,نمرینو,MRIN
1380-11-10,2002-01-30,669,نمرینو,MRIN
1380-11-13,2002-02-02,669,نمرینو,MRIN
1380-11-14,2002-02-03,662,نمرینو,MRIN
1380-11-15,2002-02-04,662,نمرینو,MRIN
1380-11-17,2002-02-06,648,نمرینو,MRIN
1380-11-20,2002-02-09,648,نمرینو,MRIN
1380-11-21,2002-02-10,641,نمرینو,MRIN
1380-11-23,2002-02-12,640,نمرینو,MRIN
1380-11-24,2002-02-13,640,نمرینو,MRIN
1380-11-27,2002-02-16,640,نمرینو,MRIN
1380-11-28,2002-02-17,640,نمرینو,MRIN
1380-11-29,2002-02-18,640,نمرینو,MRIN
1380-11-30,2002-02-19,647,نمرینو,MRIN
1380-12-01,2002-02-20,649,نمرینو,MRIN
1380-12-05,2002-02-24,647,نمرینو,MRIN
1380-12-06,2002-02-25,648,نمرینو,MRIN
1380-12-08,2002-02-27,648,نمرینو,MRIN
1380-12-11,2002-03-02,649,نمرینو,MRIN
1380-12-13,2002-03-04,648,نمرینو,MRIN
1380-12-14,2002-03-05,648,نمرینو,MRIN
1380-12-15,2002-03-06,648,نمرینو,MRIN
1380-12-18,2002-03-09,648,نمرینو,MRIN
1380-12-19,2002-03-10,648,نمرینو,MRIN
1380-12-20,2002-03-11,648,نمرینو,MRIN
1380-12-22,2002-03-13,649,نمرینو,MRIN
1380-12-25,2002-03-16,651,نمرینو,MRIN
1380-12-26,2002-03-17,652,نمرینو,MRIN
1380-12-27,2002-03-18,652,نمرینو,MRIN
1380-12-28,2002-03-19,656,نمرینو,MRIN
1381-01-06,2002-03-26,656,نمرینو,MRIN
1381-01-07,2002-03-27,656,نمرینو,MRIN
1381-01-14,2002-04-03,656,نمرینو,MRIN
1381-01-17,2002-04-06,656,نمرینو,MRIN
1381-01-18,2002-04-07,656,نمرینو,MRIN
1381-01-19,2002-04-08,662,نمرینو,MRIN
1381-01-24,2002-04-13,663,نمرینو,MRIN
1381-01-25,2002-04-14,675,نمرینو,MRIN
1381-01-26,2002-04-15,676,نمرینو,MRIN
1381-01-28,2002-04-17,682,نمرینو,MRIN
1381-01-31,2002-04-20,682,نمرینو,MRIN
1381-02-01,2002-04-21,683,نمرینو,MRIN
1381-02-02,2002-04-22,689,نمرینو,MRIN
1381-02-04,2002-04-24,677,نمرینو,MRIN
1381-02-07,2002-04-27,677,نمرینو,MRIN
1381-02-08,2002-04-28,677,نمرینو,MRIN
1381-02-11,2002-05-01,682,نمرینو,MRIN
1381-02-15,2002-05-05,679,نمرینو,MRIN
1381-02-16,2002-05-06,679,نمرینو,MRIN
1381-02-17,2002-05-07,678,نمرینو,MRIN
1381-02-18,2002-05-08,703,نمرینو,MRIN
1381-02-24,2002-05-14,703,نمرینو,MRIN
1381-02-25,2002-05-15,703,نمرینو,MRIN
1381-02-29,2002-05-19,738,نمرینو,MRIN
1381-02-30,2002-05-20,739,نمرینو,MRIN
1381-02-31,2002-05-21,739,نمرینو,MRIN
1381-03-06,2002-05-27,740,نمرینو,MRIN
1381-03-07,2002-05-28,740,نمرینو,MRIN
1381-03-08,2002-05-29,740,نمرینو,MRIN
1381-03-11,2002-06-01,740,نمرینو,MRIN
1381-03-12,2002-06-02,740,نمرینو,MRIN
1381-03-13,2002-06-03,739,نمرینو,MRIN
1381-03-18,2002-06-08,730,نمرینو,MRIN
1381-03-19,2002-06-09,726,نمرینو,MRIN
1381-03-21,2002-06-11,690,نمرینو,MRIN
1381-03-22,2002-06-12,689,نمرینو,MRIN
1381-03-25,2002-06-15,687,نمرینو,MRIN
1381-03-26,2002-06-16,687,نمرینو,MRIN
1381-03-28,2002-06-18,675,نمرینو,MRIN
1381-04-01,2002-06-22,662,نمرینو,MRIN
1381-04-02,2002-06-23,662,نمرینو,MRIN
1381-04-04,2002-06-25,687,نمرینو,MRIN
1381-04-05,2002-06-26,687,نمرینو,MRIN
1381-04-08,2002-06-29,675,نمرینو,MRIN
1381-04-09,2002-06-30,675,نمرینو,MRIN
1381-04-10,2002-07-01,669,نمرینو,MRIN
1381-04-16,2002-07-07,662,نمرینو,MRIN
1381-04-17,2002-07-08,661,نمرینو,MRIN
1381-04-18,2002-07-09,662,نمرینو,MRIN
1381-04-19,2002-07-10,662,نمرینو,MRIN
1381-05-15,2002-08-06,468,نمرینو,MRIN
1381-05-16,2002-08-07,468,نمرینو,MRIN
1381-05-20,2002-08-11,468,نمرینو,MRIN
1381-05-28,2002-08-19,467,نمرینو,MRIN
