J-Date,Date,Adj Close,Ticker,Ticker(4)
1401-11-11,2023-01-31,8500,ثجنوب,MSJZ
1401-11-12,2023-02-01,9880,ثجنوب,MSJZ
1401-11-16,2023-02-05,10370,ثجنوب,MSJZ
1401-11-17,2023-02-06,10880,ثجنوب,MSJZ
1401-11-18,2023-02-07,10340,ثجنوب,MSJZ
1401-11-19,2023-02-08,10310,ثجنوب,MSJZ
1401-11-23,2023-02-12,10180,ثجنوب,MSJZ
1401-11-24,2023-02-13,10000,ثجنوب,MSJZ
1401-11-25,2023-02-14,9640,ثجنوب,MSJZ
1401-11-26,2023-02-15,9370,ثجنوب,MSJZ
1401-11-30,2023-02-19,9350,ثجنوب,MSJZ
1401-12-01,2023-02-20,9900,ثجنوب,MSJZ
1401-12-02,2023-02-21,9670,ثجنوب,MSJZ
1401-12-03,2023-02-22,9530,ثجنوب,MSJZ
1401-12-06,2023-02-25,9990,ثجنوب,MSJZ
1401-12-07,2023-02-26,9780,ثجنوب,MSJZ
1401-12-08,2023-02-27,9630,ثجنوب,MSJZ
1401-12-09,2023-02-28,10090,ثجنوب,MSJZ
1401-12-10,2023-03-01,9710,ثجنوب,MSJZ
1401-12-13,2023-03-04,9730,ثجنوب,MSJZ
1401-12-14,2023-03-05,9700,ثجنوب,MSJZ
1401-12-15,2023-03-06,10210,ثجنوب,MSJZ
1401-12-16,2023-03-07,10600,ثجنوب,MSJZ
1401-12-20,2023-03-11,10420,ثجنوب,MSJZ
1401-12-21,2023-03-12,10010,ثجنوب,MSJZ
1401-12-22,2023-03-13,10300,ثجنوب,MSJZ
1401-12-23,2023-03-14,10350,ثجنوب,MSJZ
1401-12-24,2023-03-15,10730,ثجنوب,MSJZ
1401-12-27,2023-03-18,10600,ثجنوب,MSJZ
1401-12-28,2023-03-19,10400,ثجنوب,MSJZ
1402-01-05,2023-03-25,10520,ثجنوب,MSJZ
1402-01-06,2023-03-26,10400,ثجنوب,MSJZ
1402-01-07,2023-03-27,10340,ثجنوب,MSJZ
1402-01-08,2023-03-28,10360,ثجنوب,MSJZ
1402-01-09,2023-03-29,10930,ثجنوب,MSJZ
1402-01-14,2023-04-03,11410,ثجنوب,MSJZ
1402-01-15,2023-04-04,11000,ثجنوب,MSJZ
1402-01-16,2023-04-05,11890,ثجنوب,MSJZ
1402-01-19,2023-04-08,11950,ثجنوب,MSJZ
1402-01-20,2023-04-09,11920,ثجنوب,MSJZ
1402-01-21,2023-04-10,11740,ثجنوب,MSJZ
1402-01-22,2023-04-11,12160,ثجنوب,MSJZ
1402-01-26,2023-04-15,12710,ثجنوب,MSJZ
1402-01-27,2023-04-16,12640,ثجنوب,MSJZ
1402-01-28,2023-04-17,13350,ثجنوب,MSJZ
1402-01-29,2023-04-18,13590,ثجنوب,MSJZ
1402-01-30,2023-04-19,14100,ثجنوب,MSJZ
1402-02-04,2023-04-24,14540,ثجنوب,MSJZ
1402-02-05,2023-04-25,14950,ثجنوب,MSJZ
1402-02-06,2023-04-26,14420,ثجنوب,MSJZ
1402-02-09,2023-04-29,14640,ثجنوب,MSJZ
1402-02-10,2023-04-30,15110,ثجنوب,MSJZ
1402-02-11,2023-05-01,15200,ثجنوب,MSJZ
1402-02-12,2023-05-02,15750,ثجنوب,MSJZ
1402-02-13,2023-05-03,16460,ثجنوب,MSJZ
1402-02-16,2023-05-06,15640,ثجنوب,MSJZ
1402-02-17,2023-05-07,15180,ثجنوب,MSJZ
1402-02-18,2023-05-08,14440,ثجنوب,MSJZ
1402-02-19,2023-05-09,13720,ثجنوب,MSJZ
1402-02-20,2023-05-10,13040,ثجنوب,MSJZ
1402-02-23,2023-05-13,12800,ثجنوب,MSJZ
1402-02-24,2023-05-14,13400,ثجنوب,MSJZ
1402-02-25,2023-05-15,13950,ثجنوب,MSJZ
1402-02-27,2023-05-17,14440,ثجنوب,MSJZ
1402-02-30,2023-05-20,13600,ثجنوب,MSJZ
1402-02-31,2023-05-21,13710,ثجنوب,MSJZ
1402-03-01,2023-05-22,13550,ثجنوب,MSJZ
1402-03-02,2023-05-23,13870,ثجنوب,MSJZ
1402-03-03,2023-05-24,13570,ثجنوب,MSJZ
1402-03-06,2023-05-27,13110,ثجنوب,MSJZ
1402-03-07,2023-05-28,12510,ثجنوب,MSJZ
1402-03-08,2023-05-29,12690,ثجنوب,MSJZ
1402-03-09,2023-05-30,12860,ثجنوب,MSJZ
1402-03-10,2023-05-31,12690,ثجنوب,MSJZ
1402-03-13,2023-06-03,12830,ثجنوب,MSJZ
1402-03-16,2023-06-06,12720,ثجنوب,MSJZ
1402-03-17,2023-06-07,12240,ثجنوب,MSJZ
1402-03-20,2023-06-10,11710,ثجنوب,MSJZ
1402-03-21,2023-06-11,11880,ثجنوب,MSJZ
1402-03-22,2023-06-12,11330,ثجنوب,MSJZ
1402-03-23,2023-06-13,12010,ثجنوب,MSJZ
1402-03-24,2023-06-14,12230,ثجنوب,MSJZ
1402-03-27,2023-06-17,12290,ثجنوب,MSJZ
