J-Date,Date,Adj Close,Ticker,Ticker(4)
1382-03-31,2003-06-21,119,ونفت,NAFT
1382-04-02,2003-06-23,125,ونفت,NAFT
1382-04-04,2003-06-25,132,ونفت,NAFT
1382-04-07,2003-06-28,138,ونفت,NAFT
1382-04-08,2003-06-29,145,ونفت,NAFT
1382-04-10,2003-07-01,152,ونفت,NAFT
1382-04-11,2003-07-02,160,ونفت,NAFT
1382-04-14,2003-07-05,168,ونفت,NAFT
1382-04-15,2003-07-06,176,ونفت,NAFT
1382-04-16,2003-07-07,185,ونفت,NAFT
1382-04-17,2003-07-08,194,ونفت,NAFT
1382-04-18,2003-07-09,204,ونفت,NAFT
1382-04-21,2003-07-12,214,ونفت,NAFT
1382-04-22,2003-07-13,225,ونفت,NAFT
1382-04-23,2003-07-14,236,ونفت,NAFT
1382-04-24,2003-07-15,248,ونفت,NAFT
1382-04-25,2003-07-16,279,ونفت,NAFT
1382-04-28,2003-07-19,265,ونفت,NAFT
1382-04-29,2003-07-20,252,ونفت,NAFT
1382-04-30,2003-07-21,239,ونفت,NAFT
1382-04-31,2003-07-22,227,ونفت,NAFT
1382-05-01,2003-07-23,216,ونفت,NAFT
1382-05-04,2003-07-26,227,ونفت,NAFT
1382-05-05,2003-07-27,238,ونفت,NAFT
1382-05-06,2003-07-28,238,ونفت,NAFT
1382-05-07,2003-07-29,227,ونفت,NAFT
1382-06-18,2003-09-09,192,ونفت,NAFT
1382-06-22,2003-09-13,192,ونفت,NAFT
1382-06-23,2003-09-14,192,ونفت,NAFT
1382-06-24,2003-09-15,192,ونفت,NAFT
1382-06-26,2003-09-17,191,ونفت,NAFT
1382-06-30,2003-09-21,191,ونفت,NAFT
1382-06-31,2003-09-22,191,ونفت,NAFT
1382-07-01,2003-09-23,190,ونفت,NAFT
1382-07-05,2003-09-27,189,ونفت,NAFT
1382-07-07,2003-09-29,188,ونفت,NAFT
1382-07-08,2003-09-30,188,ونفت,NAFT
1382-07-09,2003-10-01,188,ونفت,NAFT
1382-07-12,2003-10-04,187,ونفت,NAFT
1382-07-13,2003-10-05,186,ونفت,NAFT
1382-07-15,2003-10-07,186,ونفت,NAFT
1382-07-16,2003-10-08,177,ونفت,NAFT
1382-07-19,2003-10-11,177,ونفت,NAFT
1382-07-21,2003-10-13,178,ونفت,NAFT
1382-07-22,2003-10-14,178,ونفت,NAFT
1382-07-23,2003-10-15,177,ونفت,NAFT
1382-07-26,2003-10-18,174,ونفت,NAFT
1382-07-27,2003-10-19,170,ونفت,NAFT
1382-07-28,2003-10-20,170,ونفت,NAFT
1382-07-29,2003-10-21,170,ونفت,NAFT
1382-07-30,2003-10-22,170,ونفت,NAFT
1382-08-03,2003-10-25,170,ونفت,NAFT
1382-08-04,2003-10-26,171,ونفت,NAFT
1382-08-05,2003-10-27,172,ونفت,NAFT
1382-08-06,2003-10-28,172,ونفت,NAFT
1382-08-07,2003-10-29,176,ونفت,NAFT
1382-08-10,2003-11-01,177,ونفت,NAFT
1382-08-11,2003-11-02,180,ونفت,NAFT
1382-08-12,2003-11-03,180,ونفت,NAFT
1382-08-13,2003-11-04,180,ونفت,NAFT
1382-08-14,2003-11-05,180,ونفت,NAFT
1382-08-17,2003-11-08,180,ونفت,NAFT
1382-08-18,2003-11-09,177,ونفت,NAFT
1382-08-19,2003-11-10,174,ونفت,NAFT
1382-08-20,2003-11-11,173,ونفت,NAFT
1382-08-21,2003-11-12,172,ونفت,NAFT
1382-08-24,2003-11-15,172,ونفت,NAFT
1382-08-26,2003-11-17,172,ونفت,NAFT
1382-08-27,2003-11-18,172,ونفت,NAFT
1382-08-28,2003-11-19,172,ونفت,NAFT
1382-09-01,2003-11-22,171,ونفت,NAFT
1382-09-02,2003-11-23,171,ونفت,NAFT
