J-Date,Date,Adj Close,Ticker,Ticker(4)
1399-05-01,2020-07-22,14040,آبادا,NBAB
1399-05-04,2020-07-25,14737,آبادا,NBAB
1399-05-05,2020-07-26,14801,آبادا,NBAB
1399-05-06,2020-07-27,15534,آبادا,NBAB
1399-05-07,2020-07-28,16304,آبادا,NBAB
1399-05-08,2020-07-29,17120,آبادا,NBAB
1399-05-11,2020-08-01,17971,آبادا,NBAB
1399-05-12,2020-08-02,18868,آبادا,NBAB
1399-05-13,2020-08-03,19810,آبادا,NBAB
1399-05-14,2020-08-04,20797,آبادا,NBAB
1399-05-15,2020-08-05,21830,آبادا,NBAB
1399-05-21,2020-08-11,22536,آبادا,NBAB
1399-05-22,2020-08-12,22690,آبادا,NBAB
1399-05-25,2020-08-15,23823,آبادا,NBAB
1399-05-26,2020-08-16,24801,آبادا,NBAB
1399-05-27,2020-08-17,26033,آبادا,NBAB
1399-05-28,2020-08-18,27328,آبادا,NBAB
1399-05-29,2020-08-19,28687,آبادا,NBAB
1399-06-01,2020-08-22,30118,آبادا,NBAB
1399-06-02,2020-08-23,28615,آبادا,NBAB
1399-06-03,2020-08-24,27328,آبادا,NBAB
1399-06-04,2020-08-25,28687,آبادا,NBAB
1399-06-05,2020-08-26,30118,آبادا,NBAB
1399-06-10,2020-08-31,31187,آبادا,NBAB
1399-06-11,2020-09-01,30254,آبادا,NBAB
1399-06-12,2020-09-02,28850,آبادا,NBAB
1399-06-15,2020-09-05,28379,آبادا,NBAB
1399-06-16,2020-09-06,26595,آبادا,NBAB
1399-06-17,2020-09-07,26214,آبادا,NBAB
1399-06-18,2020-09-08,25915,آبادا,NBAB
1399-06-19,2020-09-09,25770,آبادا,NBAB
1399-06-22,2020-09-12,25082,آبادا,NBAB
1399-06-23,2020-09-13,24538,آبادا,NBAB
1399-06-24,2020-09-14,23451,آبادا,NBAB
1399-06-25,2020-09-15,25046,آبادا,NBAB
1399-06-26,2020-09-16,23578,آبادا,NBAB
1399-06-29,2020-09-19,23180,آبادا,NBAB
1399-06-30,2020-09-20,22573,آبادا,NBAB
1399-06-31,2020-09-21,22301,آبادا,NBAB
