J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-08,2001-03-28,104,فنورد,NGFO
1380-01-14,2001-04-03,104,فنورد,NGFO
1380-01-18,2001-04-07,104,فنورد,NGFO
1380-01-19,2001-04-08,104,فنورد,NGFO
1380-01-20,2001-04-09,107,فنورد,NGFO
1380-01-21,2001-04-10,107,فنورد,NGFO
1380-01-22,2001-04-11,107,فنورد,NGFO
1380-01-25,2001-04-14,109,فنورد,NGFO
1380-01-26,2001-04-15,110,فنورد,NGFO
1380-01-27,2001-04-16,110,فنورد,NGFO
1380-01-28,2001-04-17,110,فنورد,NGFO
1380-02-01,2001-04-21,110,فنورد,NGFO
1380-02-02,2001-04-22,110,فنورد,NGFO
1380-02-03,2001-04-23,110,فنورد,NGFO
1380-02-04,2001-04-24,110,فنورد,NGFO
1380-02-05,2001-04-25,112,فنورد,NGFO
1380-02-08,2001-04-28,112,فنورد,NGFO
1380-02-09,2001-04-29,114,فنورد,NGFO
1380-02-10,2001-04-30,115,فنورد,NGFO
1380-02-11,2001-05-01,116,فنورد,NGFO
1380-02-12,2001-05-02,116,فنورد,NGFO
1380-02-15,2001-05-05,119,فنورد,NGFO
1380-02-17,2001-05-07,124,فنورد,NGFO
1380-02-19,2001-05-09,131,فنورد,NGFO
1380-02-23,2001-05-13,131,فنورد,NGFO
1380-02-25,2001-05-15,131,فنورد,NGFO
1380-02-29,2001-05-19,131,فنورد,NGFO
1380-02-30,2001-05-20,131,فنورد,NGFO
1380-02-31,2001-05-21,131,فنورد,NGFO
1380-03-05,2001-05-26,131,فنورد,NGFO
1380-03-06,2001-05-27,131,فنورد,NGFO
1380-03-07,2001-05-28,130,فنورد,NGFO
1380-03-09,2001-05-30,127,فنورد,NGFO
1380-03-12,2001-06-02,127,فنورد,NGFO
1380-03-13,2001-06-03,124,فنورد,NGFO
1380-03-16,2001-06-06,124,فنورد,NGFO
1380-03-22,2001-06-12,123,فنورد,NGFO
1380-03-23,2001-06-13,122,فنورد,NGFO
1380-03-26,2001-06-16,122,فنورد,NGFO
1380-03-27,2001-06-17,119,فنورد,NGFO
1380-03-28,2001-06-18,118,فنورد,NGFO
1380-03-29,2001-06-19,118,فنورد,NGFO
1380-03-30,2001-06-20,112,فنورد,NGFO
1380-04-02,2001-06-23,111,فنورد,NGFO
1380-04-03,2001-06-24,110,فنورد,NGFO
1380-04-04,2001-06-25,109,فنورد,NGFO
1380-04-05,2001-06-26,107,فنورد,NGFO
1380-04-06,2001-06-27,108,فنورد,NGFO
1380-04-09,2001-06-30,110,فنورد,NGFO
1380-04-10,2001-07-01,110,فنورد,NGFO
1380-04-11,2001-07-02,110,فنورد,NGFO
1380-04-12,2001-07-03,109,فنورد,NGFO
1380-05-16,2001-08-07,88,فنورد,NGFO
1380-05-21,2001-08-12,87,فنورد,NGFO
1380-05-22,2001-08-13,87,فنورد,NGFO
1380-05-23,2001-08-14,88,فنورد,NGFO
1380-05-29,2001-08-20,92,فنورد,NGFO
1380-05-30,2001-08-21,97,فنورد,NGFO
1380-05-31,2001-08-22,95,فنورد,NGFO
1380-06-03,2001-08-25,95,فنورد,NGFO
1380-06-04,2001-08-26,97,فنورد,NGFO
