J-Date,Date,Adj Close,Ticker,Ticker(4)
1382-10-24,2004-01-14,21,بنیرو,NIRO
1382-10-27,2004-01-17,21,بنیرو,NIRO
1382-10-28,2004-01-18,21,بنیرو,NIRO
1382-10-29,2004-01-19,22,بنیرو,NIRO
1382-10-30,2004-01-20,22,بنیرو,NIRO
1382-11-04,2004-01-24,23,بنیرو,NIRO
1382-11-06,2004-01-26,24,بنیرو,NIRO
1382-11-07,2004-01-27,26,بنیرو,NIRO
1382-11-25,2004-02-14,25,بنیرو,NIRO
1382-12-04,2004-02-23,27,بنیرو,NIRO
1382-12-05,2004-02-24,27,بنیرو,NIRO
1382-12-06,2004-02-25,28,بنیرو,NIRO
1382-12-09,2004-02-28,27,بنیرو,NIRO
1382-12-10,2004-02-29,27,بنیرو,NIRO
1382-12-13,2004-03-03,28,بنیرو,NIRO
1382-12-16,2004-03-06,30,بنیرو,NIRO
1382-12-17,2004-03-07,30,بنیرو,NIRO
1382-12-18,2004-03-08,31,بنیرو,NIRO
1382-12-19,2004-03-09,32,بنیرو,NIRO
1382-12-20,2004-03-10,32,بنیرو,NIRO
1382-12-23,2004-03-13,31,بنیرو,NIRO
1382-12-24,2004-03-14,31,بنیرو,NIRO
1382-12-25,2004-03-15,32,بنیرو,NIRO
1382-12-26,2004-03-16,32,بنیرو,NIRO
1382-12-27,2004-03-17,33,بنیرو,NIRO
1383-01-09,2004-03-28,33,بنیرو,NIRO
1383-01-10,2004-03-29,31,بنیرو,NIRO
1383-01-11,2004-03-30,33,بنیرو,NIRO
1383-01-15,2004-04-03,33,بنیرو,NIRO
1383-01-16,2004-04-04,33,بنیرو,NIRO
1383-01-18,2004-04-06,33,بنیرو,NIRO
1383-01-25,2004-04-13,33,بنیرو,NIRO
1383-01-26,2004-04-14,33,بنیرو,NIRO
1383-01-29,2004-04-17,33,بنیرو,NIRO
1383-01-30,2004-04-18,33,بنیرو,NIRO
1383-02-02,2004-04-21,34,بنیرو,NIRO
1383-02-05,2004-04-24,35,بنیرو,NIRO
1383-02-06,2004-04-25,35,بنیرو,NIRO
1383-02-07,2004-04-26,35,بنیرو,NIRO
1383-02-09,2004-04-28,36,بنیرو,NIRO
1383-02-12,2004-05-01,37,بنیرو,NIRO
1383-02-13,2004-05-02,37,بنیرو,NIRO
1383-02-14,2004-05-03,39,بنیرو,NIRO
1383-02-15,2004-05-04,40,بنیرو,NIRO
1383-02-16,2004-05-05,39,بنیرو,NIRO
1383-02-30,2004-05-19,40,بنیرو,NIRO
1383-03-02,2004-05-22,41,بنیرو,NIRO
1383-03-03,2004-05-23,43,بنیرو,NIRO
1383-03-04,2004-05-24,45,بنیرو,NIRO
1383-03-05,2004-05-25,47,بنیرو,NIRO
1383-03-06,2004-05-26,48,بنیرو,NIRO
1383-03-09,2004-05-29,48,بنیرو,NIRO
1383-03-10,2004-05-30,49,بنیرو,NIRO
1383-03-11,2004-05-31,49,بنیرو,NIRO
1383-03-12,2004-06-01,50,بنیرو,NIRO
1383-03-13,2004-06-02,51,بنیرو,NIRO
1383-03-16,2004-06-05,50,بنیرو,NIRO
1383-03-17,2004-06-06,52,بنیرو,NIRO
1383-03-18,2004-06-07,52,بنیرو,NIRO
1383-03-19,2004-06-08,53,بنیرو,NIRO
1383-03-20,2004-06-09,53,بنیرو,NIRO
1383-03-23,2004-06-12,53,بنیرو,NIRO
1383-03-24,2004-06-13,51,بنیرو,NIRO
1383-03-25,2004-06-14,50,بنیرو,NIRO
1383-03-26,2004-06-15,50,بنیرو,NIRO
1383-03-27,2004-06-16,50,بنیرو,NIRO
1383-03-30,2004-06-19,51,بنیرو,NIRO
1383-03-31,2004-06-20,51,بنیرو,NIRO
1383-04-01,2004-06-21,54,بنیرو,NIRO
1383-04-02,2004-06-22,54,بنیرو,NIRO
1383-04-03,2004-06-23,54,بنیرو,NIRO
1383-04-06,2004-06-26,55,بنیرو,NIRO
1383-04-07,2004-06-27,57,بنیرو,NIRO
1383-04-08,2004-06-28,58,بنیرو,NIRO
1383-04-09,2004-06-29,58,بنیرو,NIRO
1383-04-10,2004-06-30,58,بنیرو,NIRO
1383-04-13,2004-07-03,58,بنیرو,NIRO
1383-04-14,2004-07-04,58,بنیرو,NIRO
1383-04-15,2004-07-05,57,بنیرو,NIRO
1383-04-16,2004-07-06,55,بنیرو,NIRO
1383-05-10,2004-07-31,44,بنیرو,NIRO
1383-05-11,2004-08-01,46,بنیرو,NIRO
1383-05-12,2004-08-02,48,بنیرو,NIRO
1383-05-13,2004-08-03,51,بنیرو,NIRO
1383-05-14,2004-08-04,53,بنیرو,NIRO
1383-05-17,2004-08-07,54,بنیرو,NIRO
1383-05-18,2004-08-08,57,بنیرو,NIRO
1383-05-19,2004-08-09,56,بنیرو,NIRO
1383-05-20,2004-08-10,56,بنیرو,NIRO
1383-05-21,2004-08-11,56,بنیرو,NIRO
1383-05-24,2004-08-14,56,بنیرو,NIRO
1383-05-25,2004-08-15,56,بنیرو,NIRO
1383-05-27,2004-08-17,56,بنیرو,NIRO
1383-05-28,2004-08-18,55,بنیرو,NIRO
1383-06-01,2004-08-22,55,بنیرو,NIRO
1383-06-03,2004-08-24,55,بنیرو,NIRO
1383-06-04,2004-08-25,55,بنیرو,NIRO
1383-06-07,2004-08-28,55,بنیرو,NIRO
1383-06-08,2004-08-29,55,بنیرو,NIRO
1383-06-10,2004-08-31,52,بنیرو,NIRO
1383-06-16,2004-09-06,62,بنیرو,NIRO
1383-06-17,2004-09-07,62,بنیرو,NIRO
1383-06-18,2004-09-08,62,بنیرو,NIRO
1383-06-21,2004-09-11,62,بنیرو,NIRO
1383-06-22,2004-09-12,59,بنیرو,NIRO
1383-06-24,2004-09-14,57,بنیرو,NIRO
1383-06-25,2004-09-15,57,بنیرو,NIRO
1383-06-28,2004-09-18,56,بنیرو,NIRO
1383-06-29,2004-09-19,54,بنیرو,NIRO
1383-06-30,2004-09-20,54,بنیرو,NIRO
1383-06-31,2004-09-21,53,بنیرو,NIRO
1383-07-01,2004-09-22,55,بنیرو,NIRO
1383-07-04,2004-09-25,55,بنیرو,NIRO
1383-07-05,2004-09-26,53,بنیرو,NIRO
1383-07-06,2004-09-27,54,بنیرو,NIRO
1383-07-07,2004-09-28,56,بنیرو,NIRO
1383-07-08,2004-09-29,58,بنیرو,NIRO
1383-07-11,2004-10-02,58,بنیرو,NIRO
1383-07-12,2004-10-03,60,بنیرو,NIRO
1383-07-13,2004-10-04,58,بنیرو,NIRO
1383-07-14,2004-10-05,56,بنیرو,NIRO
1383-07-15,2004-10-06,54,بنیرو,NIRO
1383-07-18,2004-10-09,53,بنیرو,NIRO
1383-07-19,2004-10-10,54,بنیرو,NIRO
1383-07-20,2004-10-11,54,بنیرو,NIRO
1383-07-21,2004-10-12,55,بنیرو,NIRO
1383-07-22,2004-10-13,55,بنیرو,NIRO
1383-07-25,2004-10-16,55,بنیرو,NIRO
1383-07-26,2004-10-17,54,بنیرو,NIRO
1383-07-27,2004-10-18,54,بنیرو,NIRO
1383-07-28,2004-10-19,54,بنیرو,NIRO
1383-07-29,2004-10-20,54,بنیرو,NIRO
1383-08-02,2004-10-23,54,بنیرو,NIRO
1383-08-03,2004-10-24,54,بنیرو,NIRO
1383-08-04,2004-10-25,54,بنیرو,NIRO
1383-08-05,2004-10-26,53,بنیرو,NIRO
1383-08-06,2004-10-27,53,بنیرو,NIRO
1383-08-09,2004-10-30,51,بنیرو,NIRO
1383-08-10,2004-10-31,51,بنیرو,NIRO
1383-08-11,2004-11-01,50,بنیرو,NIRO
1383-08-12,2004-11-02,50,بنیرو,NIRO
1383-08-13,2004-11-03,50,بنیرو,NIRO
1383-08-16,2004-11-06,49,بنیرو,NIRO
1383-08-17,2004-11-07,49,بنیرو,NIRO
1383-08-18,2004-11-08,51,بنیرو,NIRO
1383-08-19,2004-11-09,51,بنیرو,NIRO
1383-08-20,2004-11-10,52,بنیرو,NIRO
1383-08-23,2004-11-13,53,بنیرو,NIRO
1383-08-25,2004-11-15,52,بنیرو,NIRO
1383-08-26,2004-11-16,51,بنیرو,NIRO
1383-08-27,2004-11-17,53,بنیرو,NIRO
1383-08-30,2004-11-20,52,بنیرو,NIRO
1383-09-01,2004-11-21,52,بنیرو,NIRO
1383-09-02,2004-11-22,51,بنیرو,NIRO
1383-09-03,2004-11-23,51,بنیرو,NIRO
1383-09-04,2004-11-24,51,بنیرو,NIRO
1383-09-07,2004-11-27,51,بنیرو,NIRO
1383-09-08,2004-11-28,51,بنیرو,NIRO
1383-09-09,2004-11-29,51,بنیرو,NIRO
1383-09-10,2004-11-30,51,بنیرو,NIRO
1383-09-11,2004-12-01,48,بنیرو,NIRO
1383-09-14,2004-12-04,48,بنیرو,NIRO
1383-09-15,2004-12-05,48,بنیرو,NIRO
1383-09-16,2004-12-06,50,بنیرو,NIRO
1383-09-17,2004-12-07,50,بنیرو,NIRO
1383-09-21,2004-12-11,51,بنیرو,NIRO
1383-09-22,2004-12-12,51,بنیرو,NIRO
1383-09-23,2004-12-13,51,بنیرو,NIRO
1383-09-24,2004-12-14,50,بنیرو,NIRO
1383-09-25,2004-12-15,50,بنیرو,NIRO
1383-09-28,2004-12-18,50,بنیرو,NIRO
1383-09-29,2004-12-19,51,بنیرو,NIRO
1383-09-30,2004-12-20,51,بنیرو,NIRO
1383-10-01,2004-12-21,51,بنیرو,NIRO
1383-10-02,2004-12-22,51,بنیرو,NIRO
1383-10-05,2004-12-25,53,بنیرو,NIRO
1383-10-06,2004-12-26,53,بنیرو,NIRO
1383-10-07,2004-12-27,53,بنیرو,NIRO
1383-10-27,2005-01-16,57,بنیرو,NIRO
1383-10-29,2005-01-18,57,بنیرو,NIRO
1383-12-03,2005-02-21,53,بنیرو,NIRO
1383-12-05,2005-02-23,53,بنیرو,NIRO
1383-12-09,2005-02-27,50,بنیرو,NIRO
1383-12-12,2005-03-02,47,بنیرو,NIRO
1383-12-15,2005-03-05,45,بنیرو,NIRO
1383-12-16,2005-03-06,43,بنیرو,NIRO
1383-12-17,2005-03-07,41,بنیرو,NIRO
1383-12-18,2005-03-08,39,بنیرو,NIRO
1383-12-19,2005-03-09,37,بنیرو,NIRO
1383-12-22,2005-03-12,35,بنیرو,NIRO
1383-12-24,2005-03-14,33,بنیرو,NIRO
1383-12-25,2005-03-15,31,بنیرو,NIRO
1383-12-26,2005-03-16,30,بنیرو,NIRO
1384-01-06,2005-03-26,29,بنیرو,NIRO
1384-01-07,2005-03-27,29,بنیرو,NIRO
1384-01-08,2005-03-28,28,بنیرو,NIRO
1384-01-09,2005-03-29,28,بنیرو,NIRO
1384-01-10,2005-03-30,29,بنیرو,NIRO
1384-01-14,2005-04-03,29,بنیرو,NIRO
1384-01-15,2005-04-04,30,بنیرو,NIRO
1384-01-16,2005-04-05,29,بنیرو,NIRO
1384-01-17,2005-04-06,29,بنیرو,NIRO
1384-01-21,2005-04-10,29,بنیرو,NIRO
1384-01-22,2005-04-11,29,بنیرو,NIRO
1384-01-23,2005-04-12,29,بنیرو,NIRO
1384-01-24,2005-04-13,29,بنیرو,NIRO
1384-01-27,2005-04-16,29,بنیرو,NIRO
1384-01-28,2005-04-17,28,بنیرو,NIRO
1384-01-29,2005-04-18,28,بنیرو,NIRO
1384-01-30,2005-04-19,28,بنیرو,NIRO
1384-01-31,2005-04-20,27,بنیرو,NIRO
1384-02-03,2005-04-23,27,بنیرو,NIRO
1384-02-04,2005-04-24,27,بنیرو,NIRO
1384-02-05,2005-04-25,27,بنیرو,NIRO
1384-02-07,2005-04-27,27,بنیرو,NIRO
1384-02-10,2005-04-30,26,بنیرو,NIRO
