J-Date,Date,Adj Close,Ticker,Ticker(4)
1400-04-09,2021-06-30,14551,گنگین,NITP
1400-04-12,2021-07-03,14987,گنگین,NITP
1400-04-13,2021-07-04,14987,گنگین,NITP
1400-04-14,2021-07-05,15470,گنگین,NITP
1400-04-15,2021-07-06,15824,گنگین,NITP
1400-04-16,2021-07-07,16299,گنگین,NITP
1400-04-26,2021-07-17,16168,گنگین,NITP
1400-04-27,2021-07-18,15828,گنگین,NITP
1400-04-28,2021-07-19,15844,گنگین,NITP
1400-05-04,2021-07-26,16160,گنگین,NITP
1400-05-05,2021-07-27,15930,گنگین,NITP
1400-05-06,2021-07-28,15844,گنگین,NITP
1400-05-09,2021-07-31,15764,گنگین,NITP
1400-05-10,2021-08-01,15324,گنگین,NITP
1400-05-11,2021-08-02,15384,گنگین,NITP
1400-05-12,2021-08-03,15272,گنگین,NITP
1400-05-13,2021-08-04,15791,گنگین,NITP
1400-05-16,2021-08-07,16194,گنگین,NITP
1400-05-17,2021-08-08,16665,گنگین,NITP
1400-05-18,2021-08-09,17102,گنگین,NITP
1400-05-19,2021-08-10,17612,گنگین,NITP
1400-05-20,2021-08-11,18140,گنگین,NITP
1400-05-23,2021-08-14,19035,گنگین,NITP
1400-05-24,2021-08-15,19577,گنگین,NITP
1400-05-31,2021-08-22,20161,گنگین,NITP
1400-06-01,2021-08-23,20765,گنگین,NITP
1400-06-02,2021-08-24,21018,گنگین,NITP
1400-06-03,2021-08-25,21013,گنگین,NITP
1400-06-06,2021-08-28,20662,گنگین,NITP
1400-06-07,2021-08-29,20567,گنگین,NITP
1400-06-08,2021-08-30,20405,گنگین,NITP
1400-06-09,2021-08-31,19793,گنگین,NITP
1400-06-10,2021-09-01,20199,گنگین,NITP
1400-06-13,2021-09-04,19806,گنگین,NITP
1400-06-14,2021-09-05,19927,گنگین,NITP
1400-06-15,2021-09-06,19882,گنگین,NITP
1400-06-16,2021-09-07,19803,گنگین,NITP
1400-06-17,2021-09-08,20253,گنگین,NITP
1400-06-20,2021-09-11,20646,گنگین,NITP
1400-06-21,2021-09-12,20005,گنگین,NITP
1400-06-22,2021-09-13,19503,گنگین,NITP
1400-06-23,2021-09-14,19911,گنگین,NITP
1400-06-24,2021-09-15,19644,گنگین,NITP
1400-06-27,2021-09-18,20096,گنگین,NITP
