J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-28,2001-04-17,29,خمحرکه,NMOH
1380-01-29,2001-04-18,29,خمحرکه,NMOH
1380-02-01,2001-04-21,29,خمحرکه,NMOH
1380-02-02,2001-04-22,29,خمحرکه,NMOH
1380-02-03,2001-04-23,29,خمحرکه,NMOH
1380-02-04,2001-04-24,29,خمحرکه,NMOH
1380-02-05,2001-04-25,29,خمحرکه,NMOH
1380-02-08,2001-04-28,29,خمحرکه,NMOH
1380-02-09,2001-04-29,29,خمحرکه,NMOH
1380-02-10,2001-04-30,29,خمحرکه,NMOH
1380-02-11,2001-05-01,31,خمحرکه,NMOH
1380-02-12,2001-05-02,31,خمحرکه,NMOH
1380-02-15,2001-05-05,31,خمحرکه,NMOH
1380-02-17,2001-05-07,31,خمحرکه,NMOH
1380-02-18,2001-05-08,31,خمحرکه,NMOH
1380-02-19,2001-05-09,31,خمحرکه,NMOH
1380-02-22,2001-05-12,32,خمحرکه,NMOH
1380-02-23,2001-05-13,33,خمحرکه,NMOH
1380-02-25,2001-05-15,35,خمحرکه,NMOH
1380-02-26,2001-05-16,35,خمحرکه,NMOH
1380-02-29,2001-05-19,34,خمحرکه,NMOH
1380-02-30,2001-05-20,34,خمحرکه,NMOH
1380-02-31,2001-05-21,34,خمحرکه,NMOH
1380-03-05,2001-05-26,34,خمحرکه,NMOH
1380-03-06,2001-05-27,32,خمحرکه,NMOH
1380-03-07,2001-05-28,33,خمحرکه,NMOH
1380-03-08,2001-05-29,32,خمحرکه,NMOH
1380-03-09,2001-05-30,32,خمحرکه,NMOH
1380-03-12,2001-06-02,32,خمحرکه,NMOH
1380-03-13,2001-06-03,32,خمحرکه,NMOH
1380-03-16,2001-06-06,32,خمحرکه,NMOH
1380-03-19,2001-06-09,32,خمحرکه,NMOH
1380-03-21,2001-06-11,32,خمحرکه,NMOH
1380-03-22,2001-06-12,34,خمحرکه,NMOH
1380-03-23,2001-06-13,34,خمحرکه,NMOH
1380-03-26,2001-06-16,34,خمحرکه,NMOH
1380-03-27,2001-06-17,33,خمحرکه,NMOH
1380-03-28,2001-06-18,33,خمحرکه,NMOH
1380-03-29,2001-06-19,32,خمحرکه,NMOH
1380-03-30,2001-06-20,32,خمحرکه,NMOH
1380-04-02,2001-06-23,32,خمحرکه,NMOH
1380-04-03,2001-06-24,32,خمحرکه,NMOH
1380-04-04,2001-06-25,32,خمحرکه,NMOH
1380-04-05,2001-06-26,32,خمحرکه,NMOH
1380-04-06,2001-06-27,32,خمحرکه,NMOH
1380-04-09,2001-06-30,32,خمحرکه,NMOH
1380-04-10,2001-07-01,32,خمحرکه,NMOH
1380-04-11,2001-07-02,32,خمحرکه,NMOH
1380-04-12,2001-07-03,34,خمحرکه,NMOH
1380-04-13,2001-07-04,34,خمحرکه,NMOH
1380-04-17,2001-07-08,34,خمحرکه,NMOH
1380-04-18,2001-07-09,32,خمحرکه,NMOH
1380-04-19,2001-07-10,32,خمحرکه,NMOH
1380-04-20,2001-07-11,34,خمحرکه,NMOH
1380-04-23,2001-07-14,34,خمحرکه,NMOH
1380-04-24,2001-07-15,34,خمحرکه,NMOH
1380-07-07,2001-09-29,31,خمحرکه,NMOH
1380-07-08,2001-09-30,30,خمحرکه,NMOH
1380-07-10,2001-10-02,30,خمحرکه,NMOH
1380-07-11,2001-10-03,29,خمحرکه,NMOH
1380-07-14,2001-10-06,29,خمحرکه,NMOH
1380-07-15,2001-10-07,29,خمحرکه,NMOH
1380-07-16,2001-10-08,27,خمحرکه,NMOH
1380-07-18,2001-10-10,28,خمحرکه,NMOH
1380-07-21,2001-10-13,28,خمحرکه,NMOH
1380-07-22,2001-10-14,28,خمحرکه,NMOH
1380-07-24,2001-10-16,28,خمحرکه,NMOH
1380-07-25,2001-10-17,28,خمحرکه,NMOH
1380-07-28,2001-10-20,28,خمحرکه,NMOH
1380-07-29,2001-10-21,28,خمحرکه,NMOH
1380-07-30,2001-10-22,29,خمحرکه,NMOH
1380-08-01,2001-10-23,30,خمحرکه,NMOH
1380-08-02,2001-10-24,31,خمحرکه,NMOH
1380-08-05,2001-10-27,30,خمحرکه,NMOH
1380-08-06,2001-10-28,30,خمحرکه,NMOH
1380-08-07,2001-10-29,30,خمحرکه,NMOH
1380-08-08,2001-10-30,29,خمحرکه,NMOH
1380-08-09,2001-10-31,30,خمحرکه,NMOH
1380-08-12,2001-11-03,30,خمحرکه,NMOH
1380-08-14,2001-11-05,30,خمحرکه,NMOH
1380-08-15,2001-11-06,30,خمحرکه,NMOH
1380-08-16,2001-11-07,30,خمحرکه,NMOH
1380-08-19,2001-11-10,31,خمحرکه,NMOH
1380-08-20,2001-11-11,31,خمحرکه,NMOH
1380-08-21,2001-11-12,31,خمحرکه,NMOH
1380-08-22,2001-11-13,30,خمحرکه,NMOH
1380-08-23,2001-11-14,30,خمحرکه,NMOH
1380-08-27,2001-11-18,30,خمحرکه,NMOH
1380-08-28,2001-11-19,30,خمحرکه,NMOH
1380-08-29,2001-11-20,30,خمحرکه,NMOH
1380-08-30,2001-11-21,30,خمحرکه,NMOH
1380-09-04,2001-11-25,30,خمحرکه,NMOH
1380-09-05,2001-11-26,31,خمحرکه,NMOH
1380-09-06,2001-11-27,31,خمحرکه,NMOH
1380-09-07,2001-11-28,31,خمحرکه,NMOH
1380-09-11,2001-12-02,31,خمحرکه,NMOH
1380-09-12,2001-12-03,30,خمحرکه,NMOH
1380-09-13,2001-12-04,29,خمحرکه,NMOH
1380-09-14,2001-12-05,29,خمحرکه,NMOH
1380-09-17,2001-12-08,29,خمحرکه,NMOH
