J-Date,Date,Adj Close,Ticker,Ticker(4)
1381-04-23,2002-07-14,895,تمحرکه,NMTP
1381-04-24,2002-07-15,896,تمحرکه,NMTP
1381-05-05,2002-07-27,836,تمحرکه,NMTP
1381-05-14,2002-08-05,836,تمحرکه,NMTP
1381-05-16,2002-08-07,836,تمحرکه,NMTP
1381-05-19,2002-08-10,836,تمحرکه,NMTP
1381-05-22,2002-08-13,836,تمحرکه,NMTP
1381-05-26,2002-08-17,794,تمحرکه,NMTP
1381-05-30,2002-08-21,833,تمحرکه,NMTP
1381-06-13,2002-09-04,833,تمحرکه,NMTP
1381-06-19,2002-09-10,833,تمحرکه,NMTP
1381-07-02,2002-09-24,792,تمحرکه,NMTP
1381-07-08,2002-09-30,792,تمحرکه,NMTP
1381-08-27,2002-11-18,792,تمحرکه,NMTP
1381-08-28,2002-11-19,792,تمحرکه,NMTP
1381-08-29,2002-11-20,792,تمحرکه,NMTP
1381-09-02,2002-11-23,792,تمحرکه,NMTP
1381-09-09,2002-11-30,792,تمحرکه,NMTP
1381-09-10,2002-12-01,792,تمحرکه,NMTP
1381-09-18,2002-12-09,792,تمحرکه,NMTP
1381-09-20,2002-12-11,776,تمحرکه,NMTP
1381-09-24,2002-12-15,764,تمحرکه,NMTP
1381-10-01,2002-12-22,764,تمحرکه,NMTP
1381-10-22,2003-01-12,764,تمحرکه,NMTP
1381-10-23,2003-01-13,764,تمحرکه,NMTP
1381-11-01,2003-01-21,758,تمحرکه,NMTP
1381-11-02,2003-01-22,758,تمحرکه,NMTP
1381-11-05,2003-01-25,758,تمحرکه,NMTP
1381-11-14,2003-02-03,722,تمحرکه,NMTP
1381-11-16,2003-02-05,686,تمحرکه,NMTP
1381-11-21,2003-02-10,686,تمحرکه,NMTP
1381-12-03,2003-02-22,686,تمحرکه,NMTP
1381-12-06,2003-02-25,686,تمحرکه,NMTP
1381-12-07,2003-02-26,686,تمحرکه,NMTP
1381-12-12,2003-03-03,686,تمحرکه,NMTP
1381-12-18,2003-03-09,686,تمحرکه,NMTP
1381-12-21,2003-03-12,686,تمحرکه,NMTP
1381-12-24,2003-03-15,686,تمحرکه,NMTP
1381-12-28,2003-03-19,686,تمحرکه,NMTP
1382-01-19,2003-04-08,674,تمحرکه,NMTP
1382-01-20,2003-04-09,674,تمحرکه,NMTP
1382-04-04,2003-06-25,86,تمحرکه,NMTP
1382-04-08,2003-06-29,87,تمحرکه,NMTP
1382-04-25,2003-07-16,91,تمحرکه,NMTP
1382-04-28,2003-07-19,96,تمحرکه,NMTP
1382-04-29,2003-07-20,101,تمحرکه,NMTP
1382-04-30,2003-07-21,106,تمحرکه,NMTP
1382-04-31,2003-07-22,111,تمحرکه,NMTP
1382-05-01,2003-07-23,116,تمحرکه,NMTP
1382-05-04,2003-07-26,122,تمحرکه,NMTP
1382-05-05,2003-07-27,128,تمحرکه,NMTP
1382-05-06,2003-07-28,135,تمحرکه,NMTP
1382-05-07,2003-07-29,141,تمحرکه,NMTP
1382-05-08,2003-07-30,167,تمحرکه,NMTP
1382-05-12,2003-08-03,191,تمحرکه,NMTP
1382-05-13,2003-08-04,200,تمحرکه,NMTP
1382-05-14,2003-08-05,167,تمحرکه,NMTP
1382-05-15,2003-08-06,187,تمحرکه,NMTP
1382-05-18,2003-08-09,178,تمحرکه,NMTP
1382-05-19,2003-08-10,179,تمحرکه,NMTP
1382-05-20,2003-08-11,179,تمحرکه,NMTP
1382-05-21,2003-08-12,178,تمحرکه,NMTP
1382-05-22,2003-08-13,178,تمحرکه,NMTP
1382-05-25,2003-08-16,171,تمحرکه,NMTP
1382-05-26,2003-08-17,173,تمحرکه,NMTP
1382-05-27,2003-08-18,173,تمحرکه,NMTP
1382-05-28,2003-08-19,175,تمحرکه,NMTP
1382-05-29,2003-08-20,176,تمحرکه,NMTP
1382-06-01,2003-08-23,170,تمحرکه,NMTP
1382-06-02,2003-08-24,166,تمحرکه,NMTP
1382-06-03,2003-08-25,163,تمحرکه,NMTP
1382-06-04,2003-08-26,155,تمحرکه,NMTP
1382-06-05,2003-08-27,155,تمحرکه,NMTP
1382-06-08,2003-08-30,159,تمحرکه,NMTP
1382-06-09,2003-08-31,167,تمحرکه,NMTP
1382-06-10,2003-09-01,167,تمحرکه,NMTP
1382-06-11,2003-09-02,166,تمحرکه,NMTP
1382-06-12,2003-09-03,166,تمحرکه,NMTP
1382-06-15,2003-09-06,166,تمحرکه,NMTP
1382-06-16,2003-09-07,158,تمحرکه,NMTP
1382-06-17,2003-09-08,158,تمحرکه,NMTP
1382-06-18,2003-09-09,150,تمحرکه,NMTP
1382-06-24,2003-09-15,149,تمحرکه,NMTP
1382-06-30,2003-09-21,149,تمحرکه,NMTP
1382-06-31,2003-09-22,147,تمحرکه,NMTP
1382-07-08,2003-09-30,145,تمحرکه,NMTP
1382-07-09,2003-10-01,145,تمحرکه,NMTP
1382-07-30,2003-10-22,137,تمحرکه,NMTP
1382-08-03,2003-10-25,141,تمحرکه,NMTP
