J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-08,2001-03-28,9,غنوش,NOSH
1380-01-21,2001-04-10,9,غنوش,NOSH
1380-02-17,2001-05-07,9,غنوش,NOSH
1380-03-09,2001-05-30,9,غنوش,NOSH
1380-03-12,2001-06-02,9,غنوش,NOSH
1380-03-16,2001-06-06,9,غنوش,NOSH
1380-03-27,2001-06-17,9,غنوش,NOSH
1380-03-28,2001-06-18,9,غنوش,NOSH
1380-04-09,2001-06-30,9,غنوش,NOSH
1380-05-21,2001-08-12,8,غنوش,NOSH
1380-06-04,2001-08-26,9,غنوش,NOSH
1380-06-12,2001-09-03,9,غنوش,NOSH
1380-06-19,2001-09-10,9,غنوش,NOSH
1380-07-08,2001-09-30,9,غنوش,NOSH
1380-07-10,2001-10-02,9,غنوش,NOSH
1380-07-28,2001-10-20,9,غنوش,NOSH
1380-07-30,2001-10-22,9,غنوش,NOSH
1380-08-21,2001-11-12,10,غنوش,NOSH
1380-08-26,2001-11-17,10,غنوش,NOSH
1380-08-29,2001-11-20,10,غنوش,NOSH
1380-08-30,2001-11-21,10,غنوش,NOSH
1380-09-03,2001-11-24,10,غنوش,NOSH
1380-09-06,2001-11-27,10,غنوش,NOSH
1380-09-10,2001-12-01,10,غنوش,NOSH
1380-09-27,2001-12-18,10,غنوش,NOSH
1380-10-05,2001-12-26,10,غنوش,NOSH
1380-10-17,2002-01-07,10,غنوش,NOSH
1380-10-18,2002-01-08,11,غنوش,NOSH
1380-10-22,2002-01-12,11,غنوش,NOSH
1380-10-24,2002-01-14,11,غنوش,NOSH
1380-10-30,2002-01-20,11,غنوش,NOSH
1380-11-15,2002-02-04,11,غنوش,NOSH
1380-11-17,2002-02-06,11,غنوش,NOSH
1380-11-20,2002-02-09,11,غنوش,NOSH
1380-11-21,2002-02-10,11,غنوش,NOSH
1380-11-24,2002-02-13,11,غنوش,NOSH
1380-12-05,2002-02-24,8,غنوش,NOSH
1380-12-08,2002-02-27,8,غنوش,NOSH
1380-12-11,2002-03-02,8,غنوش,NOSH
1380-12-18,2002-03-09,8,غنوش,NOSH
1380-12-21,2002-03-12,8,غنوش,NOSH
1380-12-22,2002-03-13,8,غنوش,NOSH
1380-12-25,2002-03-16,8,غنوش,NOSH
1381-01-18,2002-04-07,8,غنوش,NOSH
1381-01-26,2002-04-15,8,غنوش,NOSH
1381-01-28,2002-04-17,8,غنوش,NOSH
1381-01-31,2002-04-20,8,غنوش,NOSH
1381-02-02,2002-04-22,8,غنوش,NOSH
1381-02-04,2002-04-24,8,غنوش,NOSH
1381-02-10,2002-04-30,8,غنوش,NOSH
1381-02-16,2002-05-06,8,غنوش,NOSH
1381-03-27,2002-06-17,9,غنوش,NOSH
1381-04-12,2002-07-03,9,غنوش,NOSH
1381-04-17,2002-07-08,9,غنوش,NOSH
1381-04-31,2002-07-22,8,غنوش,NOSH
1381-06-03,2002-08-25,8,غنوش,NOSH
1381-06-10,2002-09-01,10,غنوش,NOSH
1381-06-19,2002-09-10,10,غنوش,NOSH
1381-06-20,2002-09-11,10,غنوش,NOSH
1381-06-24,2002-09-15,10,غنوش,NOSH
1381-07-01,2002-09-23,10,غنوش,NOSH
1381-07-07,2002-09-29,10,غنوش,NOSH
1381-07-08,2002-09-30,10,غنوش,NOSH
1381-07-09,2002-10-01,10,غنوش,NOSH
1381-07-10,2002-10-02,10,غنوش,NOSH
1381-07-15,2002-10-07,10,غنوش,NOSH
1381-07-16,2002-10-08,10,غنوش,NOSH
1381-07-21,2002-10-13,10,غنوش,NOSH
1381-07-22,2002-10-14,11,غنوش,NOSH
1381-07-23,2002-10-15,11,غنوش,NOSH
1381-07-28,2002-10-20,11,غنوش,NOSH
1381-07-29,2002-10-21,11,غنوش,NOSH
1381-08-01,2002-10-23,11,غنوش,NOSH
1381-08-04,2002-10-26,11,غنوش,NOSH
1381-08-05,2002-10-27,11,غنوش,NOSH
1381-08-08,2002-10-30,11,غنوش,NOSH
1381-08-11,2002-11-02,11,غنوش,NOSH
1381-08-13,2002-11-04,11,غنوش,NOSH
1381-08-18,2002-11-09,11,غنوش,NOSH
1381-08-20,2002-11-11,11,غنوش,NOSH
1381-08-25,2002-11-16,11,غنوش,NOSH
1381-08-26,2002-11-17,12,غنوش,NOSH
1381-08-28,2002-11-19,13,غنوش,NOSH
1381-08-29,2002-11-20,13,غنوش,NOSH
1381-09-03,2002-11-24,14,غنوش,NOSH
1381-09-04,2002-11-25,15,غنوش,NOSH
1381-09-05,2002-11-26,15,غنوش,NOSH
1381-09-09,2002-11-30,16,غنوش,NOSH
1381-09-10,2002-12-01,17,غنوش,NOSH
1381-09-11,2002-12-02,17,غنوش,NOSH
1381-09-17,2002-12-08,17,غنوش,NOSH
1381-09-18,2002-12-09,17,غنوش,NOSH
1381-09-23,2002-12-14,17,غنوش,NOSH
1381-09-24,2002-12-15,17,غنوش,NOSH
1381-09-25,2002-12-16,17,غنوش,NOSH
1381-09-26,2002-12-17,17,غنوش,NOSH
1381-09-27,2002-12-18,17,غنوش,NOSH
1381-09-30,2002-12-21,17,غنوش,NOSH
1381-10-01,2002-12-22,17,غنوش,NOSH
1381-10-02,2002-12-23,17,غنوش,NOSH
1381-10-03,2002-12-24,17,غنوش,NOSH
1381-10-04,2002-12-25,16,غنوش,NOSH
1381-10-07,2002-12-28,16,غنوش,NOSH
1381-10-08,2002-12-29,16,غنوش,NOSH
1381-10-10,2002-12-31,16,غنوش,NOSH
1381-10-11,2003-01-01,16,غنوش,NOSH
1381-10-14,2003-01-04,16,غنوش,NOSH
1381-10-15,2003-01-05,16,غنوش,NOSH
1381-10-16,2003-01-06,16,غنوش,NOSH
1381-10-17,2003-01-07,16,غنوش,NOSH
1381-10-18,2003-01-08,16,غنوش,NOSH
1381-10-21,2003-01-11,16,غنوش,NOSH
1381-10-22,2003-01-12,16,غنوش,NOSH
1381-10-24,2003-01-14,16,غنوش,NOSH
1381-10-25,2003-01-15,15,غنوش,NOSH
1381-10-28,2003-01-18,15,غنوش,NOSH
1381-10-29,2003-01-19,15,غنوش,NOSH
1381-10-30,2003-01-20,16,غنوش,NOSH
1381-11-01,2003-01-21,16,غنوش,NOSH
1381-11-02,2003-01-22,16,غنوش,NOSH
1381-11-05,2003-01-25,16,غنوش,NOSH
1381-11-06,2003-01-26,16,غنوش,NOSH
1381-11-07,2003-01-27,16,غنوش,NOSH
1381-11-08,2003-01-28,16,غنوش,NOSH
1381-11-09,2003-01-29,16,غنوش,NOSH
1381-11-12,2003-02-01,16,غنوش,NOSH
1381-11-13,2003-02-02,16,غنوش,NOSH
1381-11-14,2003-02-03,16,غنوش,NOSH
1381-11-15,2003-02-04,16,غنوش,NOSH
1381-11-16,2003-02-05,16,غنوش,NOSH
1381-11-19,2003-02-08,16,غنوش,NOSH
1381-11-20,2003-02-09,16,غنوش,NOSH
1381-11-21,2003-02-10,16,غنوش,NOSH
1381-11-26,2003-02-15,16,غنوش,NOSH
1381-11-27,2003-02-16,16,غنوش,NOSH
1381-11-28,2003-02-17,16,غنوش,NOSH
1381-11-29,2003-02-18,16,غنوش,NOSH
1381-11-30,2003-02-19,16,غنوش,NOSH
1381-12-03,2003-02-22,16,غنوش,NOSH
1381-12-04,2003-02-23,16,غنوش,NOSH
1381-12-05,2003-02-24,16,غنوش,NOSH
1381-12-06,2003-02-25,16,غنوش,NOSH
1381-12-07,2003-02-26,16,غنوش,NOSH
1381-12-10,2003-03-01,16,غنوش,NOSH
1381-12-11,2003-03-02,16,غنوش,NOSH
1381-12-12,2003-03-03,16,غنوش,NOSH
1381-12-13,2003-03-04,16,غنوش,NOSH
1381-12-14,2003-03-05,16,غنوش,NOSH
1381-12-17,2003-03-08,16,غنوش,NOSH
1381-12-18,2003-03-09,16,غنوش,NOSH
1381-12-19,2003-03-10,15,غنوش,NOSH
1381-12-20,2003-03-11,15,غنوش,NOSH
1381-12-21,2003-03-12,15,غنوش,NOSH
1381-12-24,2003-03-15,15,غنوش,NOSH
1381-12-25,2003-03-16,15,غنوش,NOSH
1381-12-27,2003-03-18,15,غنوش,NOSH
1381-12-28,2003-03-19,15,غنوش,NOSH
1382-01-05,2003-03-25,15,غنوش,NOSH
1382-01-06,2003-03-26,15,غنوش,NOSH
1382-01-09,2003-03-29,15,غنوش,NOSH
1382-01-10,2003-03-30,15,غنوش,NOSH
1382-01-11,2003-03-31,15,غنوش,NOSH
1382-01-16,2003-04-05,15,غنوش,NOSH
1382-01-17,2003-04-06,15,غنوش,NOSH
1382-01-18,2003-04-07,15,غنوش,NOSH
1382-01-19,2003-04-08,15,غنوش,NOSH
1382-01-23,2003-04-12,15,غنوش,NOSH
1382-01-24,2003-04-13,15,غنوش,NOSH
1382-01-25,2003-04-14,15,غنوش,NOSH
1382-01-26,2003-04-15,15,غنوش,NOSH
1382-01-27,2003-04-16,15,غنوش,NOSH
1382-01-30,2003-04-19,15,غنوش,NOSH
1382-01-31,2003-04-20,15,غنوش,NOSH
1382-02-01,2003-04-21,15,غنوش,NOSH
1382-02-02,2003-04-22,15,غنوش,NOSH
1382-02-06,2003-04-26,15,غنوش,NOSH
1382-02-07,2003-04-27,15,غنوش,NOSH
1382-02-08,2003-04-28,15,غنوش,NOSH
1382-02-09,2003-04-29,15,غنوش,NOSH
1382-02-10,2003-04-30,15,غنوش,NOSH
1382-02-20,2003-05-10,15,غنوش,NOSH
1382-02-21,2003-05-11,15,غنوش,NOSH
1382-02-22,2003-05-12,15,غنوش,NOSH
1382-02-23,2003-05-13,15,غنوش,NOSH
1382-02-24,2003-05-14,15,غنوش,NOSH
1382-03-03,2003-05-24,15,غنوش,NOSH
1382-03-04,2003-05-25,15,غنوش,NOSH
1382-03-19,2003-06-09,15,غنوش,NOSH
1382-03-28,2003-06-18,15,غنوش,NOSH
1382-03-31,2003-06-21,15,غنوش,NOSH
1382-04-07,2003-06-28,15,غنوش,NOSH
1382-04-08,2003-06-29,15,غنوش,NOSH
1382-04-09,2003-06-30,16,غنوش,NOSH
1382-05-21,2003-08-12,14,غنوش,NOSH
1382-05-26,2003-08-17,14,غنوش,NOSH
1382-06-08,2003-08-30,14,غنوش,NOSH
1382-06-09,2003-08-31,15,غنوش,NOSH
1382-06-10,2003-09-01,15,غنوش,NOSH
1382-06-11,2003-09-02,16,غنوش,NOSH
1382-06-12,2003-09-03,16,غنوش,NOSH
1382-06-15,2003-09-06,16,غنوش,NOSH
1382-06-16,2003-09-07,16,غنوش,NOSH
1382-06-17,2003-09-08,16,غنوش,NOSH
1382-06-18,2003-09-09,16,غنوش,NOSH
1382-06-22,2003-09-13,16,غنوش,NOSH
1382-06-23,2003-09-14,17,غنوش,NOSH
1382-06-24,2003-09-15,16,غنوش,NOSH
1382-06-25,2003-09-16,16,غنوش,NOSH
1382-06-26,2003-09-17,17,غنوش,NOSH
1382-06-29,2003-09-20,18,غنوش,NOSH
