J-Date,Date,Adj Close,Ticker,Ticker(4)
1397-05-10,2018-08-01,1612,غپونه,NPMP
1397-05-13,2018-08-04,1741,غپونه,NPMP
1397-05-15,2018-08-06,2128,غپونه,NPMP
1397-05-17,2018-08-08,2160,غپونه,NPMP
1397-05-20,2018-08-11,2070,غپونه,NPMP
1397-05-22,2018-08-13,2115,غپونه,NPMP
1397-05-24,2018-08-15,2257,غپونه,NPMP
1397-05-27,2018-08-18,2451,غپونه,NPMP
1397-05-29,2018-08-20,2315,غپونه,NPMP
1397-06-03,2018-08-25,2580,غپونه,NPMP
1397-06-05,2018-08-27,2805,غپونه,NPMP
1397-06-07,2018-08-29,3051,غپونه,NPMP
1397-06-10,2018-09-01,3186,غپونه,NPMP
1397-06-11,2018-09-02,3288,غپونه,NPMP
1397-06-12,2018-09-03,3109,غپونه,NPMP
1397-06-13,2018-09-04,3159,غپونه,NPMP
1397-06-14,2018-09-05,3250,غپونه,NPMP
1397-06-17,2018-09-08,3287,غپونه,NPMP
1397-06-18,2018-09-09,3418,غپونه,NPMP
1397-06-19,2018-09-10,3755,غپونه,NPMP
1397-06-20,2018-09-11,4089,غپونه,NPMP
1397-06-21,2018-09-12,4127,غپونه,NPMP
1397-06-24,2018-09-15,4127,غپونه,NPMP
1397-06-25,2018-09-16,4185,غپونه,NPMP
1397-06-26,2018-09-17,4256,غپونه,NPMP
1397-06-27,2018-09-18,3985,غپونه,NPMP
1397-06-31,2018-09-22,4353,غپونه,NPMP
1397-07-01,2018-09-23,4630,غپونه,NPMP
1397-07-02,2018-09-24,4984,غپونه,NPMP
1397-07-03,2018-09-25,5393,غپونه,NPMP
1397-07-08,2018-09-30,6184,غپونه,NPMP
1397-07-09,2018-10-01,6384,غپونه,NPMP
1397-07-10,2018-10-02,5501,غپونه,NPMP
1397-07-11,2018-10-03,5079,غپونه,NPMP
1397-07-14,2018-10-06,4694,غپونه,NPMP
1397-07-15,2018-10-07,4492,غپونه,NPMP
1397-07-16,2018-10-08,4062,غپونه,NPMP
1397-07-17,2018-10-09,4191,غپونه,NPMP
1397-07-18,2018-10-10,3637,غپونه,NPMP
1397-07-21,2018-10-13,4097,غپونه,NPMP
1397-07-22,2018-10-14,4274,غپونه,NPMP
1397-07-23,2018-10-15,4701,غپونه,NPMP
1397-07-24,2018-10-16,5171,غپونه,NPMP
1397-07-25,2018-10-17,5171,غپونه,NPMP
1397-08-06,2018-10-28,5223,غپونه,NPMP
1397-08-07,2018-10-29,4824,غپونه,NPMP
