J-Date,Date,Adj Close,Ticker,Ticker(4)
1391-12-07,2013-02-25,2419,شپاس,NPSZ
1391-12-08,2013-02-26,2540,شپاس,NPSZ
1391-12-09,2013-02-27,2643,شپاس,NPSZ
1391-12-12,2013-03-02,2773,شپاس,NPSZ
1391-12-13,2013-03-03,2886,شپاس,NPSZ
1391-12-14,2013-03-04,2754,شپاس,NPSZ
1391-12-15,2013-03-05,2631,شپاس,NPSZ
1391-12-16,2013-03-06,2588,شپاس,NPSZ
1391-12-19,2013-03-09,2518,شپاس,NPSZ
1391-12-20,2013-03-10,2521,شپاس,NPSZ
1391-12-21,2013-03-11,2452,شپاس,NPSZ
1391-12-22,2013-03-12,2651,شپاس,NPSZ
1391-12-23,2013-03-13,2690,شپاس,NPSZ
1391-12-26,2013-03-16,2580,شپاس,NPSZ
1391-12-27,2013-03-17,2556,شپاس,NPSZ
1391-12-28,2013-03-18,2674,شپاس,NPSZ
1392-01-05,2013-03-25,2750,شپاس,NPSZ
1392-01-06,2013-03-26,2784,شپاس,NPSZ
1392-01-07,2013-03-27,2699,شپاس,NPSZ
1392-01-10,2013-03-30,2678,شپاس,NPSZ
1392-01-11,2013-03-31,2690,شپاس,NPSZ
1392-01-14,2013-04-03,2728,شپاس,NPSZ
1392-01-17,2013-04-06,2617,شپاس,NPSZ
1392-01-18,2013-04-07,2619,شپاس,NPSZ
1392-01-19,2013-04-08,2639,شپاس,NPSZ
1392-01-20,2013-04-09,2612,شپاس,NPSZ
1392-01-21,2013-04-10,2522,شپاس,NPSZ
1392-01-24,2013-04-13,2513,شپاس,NPSZ
1392-01-26,2013-04-15,2550,شپاس,NPSZ
1392-01-27,2013-04-16,2522,شپاس,NPSZ
1392-01-28,2013-04-17,2481,شپاس,NPSZ
1392-01-31,2013-04-20,2438,شپاس,NPSZ
1392-02-01,2013-04-21,2433,شپاس,NPSZ
1392-02-02,2013-04-22,2485,شپاس,NPSZ
1392-02-03,2013-04-23,2595,شپاس,NPSZ
1392-02-04,2013-04-24,2640,شپاس,NPSZ
1392-02-07,2013-04-27,2672,شپاس,NPSZ
1392-02-08,2013-04-28,2571,شپاس,NPSZ
1392-02-09,2013-04-29,2643,شپاس,NPSZ
1392-02-10,2013-04-30,2570,شپاس,NPSZ
1392-02-11,2013-05-01,2633,شپاس,NPSZ
1392-02-14,2013-05-04,2662,شپاس,NPSZ
1392-02-15,2013-05-05,2625,شپاس,NPSZ
1392-02-16,2013-05-06,2578,شپاس,NPSZ
1392-02-17,2013-05-07,2578,شپاس,NPSZ
1392-02-18,2013-05-08,2550,شپاس,NPSZ
1392-02-21,2013-05-11,2613,شپاس,NPSZ
1392-02-22,2013-05-12,2523,شپاس,NPSZ
1392-02-23,2013-05-13,2480,شپاس,NPSZ
1392-02-24,2013-05-14,2447,شپاس,NPSZ
1392-02-25,2013-05-15,2440,شپاس,NPSZ
1392-02-28,2013-05-18,2321,شپاس,NPSZ
1392-02-29,2013-05-19,2382,شپاس,NPSZ
1392-02-30,2013-05-20,2438,شپاس,NPSZ
1392-02-31,2013-05-21,2382,شپاس,NPSZ
1392-03-01,2013-05-22,2495,شپاس,NPSZ
1392-03-04,2013-05-25,2542,شپاس,NPSZ
1392-03-05,2013-05-26,2541,شپاس,NPSZ
1392-03-06,2013-05-27,2560,شپاس,NPSZ
1392-03-07,2013-05-28,2523,شپاس,NPSZ
1392-03-08,2013-05-29,2544,شپاس,NPSZ
1392-03-11,2013-06-01,2462,شپاس,NPSZ
1392-05-16,2013-08-07,2953,شپاس,NPSZ
1392-05-20,2013-08-11,2818,شپاس,NPSZ
1392-05-21,2013-08-12,2706,شپاس,NPSZ
1392-05-22,2013-08-13,2748,شپاس,NPSZ
1392-05-23,2013-08-14,2738,شپاس,NPSZ
1392-05-26,2013-08-17,2727,شپاس,NPSZ
1392-05-27,2013-08-18,2635,شپاس,NPSZ
1392-05-28,2013-08-19,2659,شپاس,NPSZ
1392-05-29,2013-08-20,2623,شپاس,NPSZ
1392-05-30,2013-08-21,2633,شپاس,NPSZ
1392-06-02,2013-08-24,2669,شپاس,NPSZ
1392-06-03,2013-08-25,2614,شپاس,NPSZ
1392-06-04,2013-08-26,2591,شپاس,NPSZ
1392-06-05,2013-08-27,2466,شپاس,NPSZ
1392-06-06,2013-08-28,2397,شپاس,NPSZ
