J-Date,Date,Adj Close,Ticker,Ticker(4)
1382-04-03,2003-06-24,264,کاذر,NSAZ
1382-04-04,2003-06-25,264,کاذر,NSAZ
1382-04-07,2003-06-28,265,کاذر,NSAZ
1382-04-08,2003-06-29,270,کاذر,NSAZ
1382-04-09,2003-06-30,270,کاذر,NSAZ
1382-04-10,2003-07-01,275,کاذر,NSAZ
1382-04-11,2003-07-02,283,کاذر,NSAZ
1382-04-14,2003-07-05,294,کاذر,NSAZ
1382-04-15,2003-07-06,309,کاذر,NSAZ
1382-04-16,2003-07-07,310,کاذر,NSAZ
1382-04-17,2003-07-08,310,کاذر,NSAZ
1382-04-18,2003-07-09,310,کاذر,NSAZ
1382-04-21,2003-07-12,311,کاذر,NSAZ
1382-04-22,2003-07-13,311,کاذر,NSAZ
1382-04-23,2003-07-14,314,کاذر,NSAZ
1382-04-24,2003-07-15,325,کاذر,NSAZ
1382-04-25,2003-07-16,341,کاذر,NSAZ
1382-04-28,2003-07-19,341,کاذر,NSAZ
1382-04-29,2003-07-20,336,کاذر,NSAZ
1382-04-30,2003-07-21,328,کاذر,NSAZ
1382-04-31,2003-07-22,323,کاذر,NSAZ
1382-05-01,2003-07-23,314,کاذر,NSAZ
1382-05-04,2003-07-26,310,کاذر,NSAZ
1382-05-05,2003-07-27,299,کاذر,NSAZ
1382-05-06,2003-07-28,299,کاذر,NSAZ
1382-05-07,2003-07-29,284,کاذر,NSAZ
1382-05-12,2003-08-03,281,کاذر,NSAZ
1382-05-13,2003-08-04,262,کاذر,NSAZ
1382-05-14,2003-08-05,262,کاذر,NSAZ
1382-05-15,2003-08-06,262,کاذر,NSAZ
1382-05-18,2003-08-09,262,کاذر,NSAZ
1382-05-19,2003-08-10,262,کاذر,NSAZ
1382-05-20,2003-08-11,262,کاذر,NSAZ
1382-05-21,2003-08-12,262,کاذر,NSAZ
1382-05-22,2003-08-13,262,کاذر,NSAZ
1382-05-25,2003-08-16,262,کاذر,NSAZ
1382-05-26,2003-08-17,262,کاذر,NSAZ
1382-05-27,2003-08-18,262,کاذر,NSAZ
1382-05-28,2003-08-19,262,کاذر,NSAZ
1382-05-29,2003-08-20,262,کاذر,NSAZ
1382-06-01,2003-08-23,275,کاذر,NSAZ
1382-06-02,2003-08-24,275,کاذر,NSAZ
1382-06-03,2003-08-25,275,کاذر,NSAZ
1382-06-04,2003-08-26,275,کاذر,NSAZ
1382-06-05,2003-08-27,275,کاذر,NSAZ
1382-06-08,2003-08-30,275,کاذر,NSAZ
1382-06-09,2003-08-31,275,کاذر,NSAZ
1382-06-10,2003-09-01,275,کاذر,NSAZ
1382-06-12,2003-09-03,275,کاذر,NSAZ
1382-06-15,2003-09-06,263,کاذر,NSAZ
1382-06-16,2003-09-07,263,کاذر,NSAZ
1382-06-17,2003-09-08,263,کاذر,NSAZ
1382-06-18,2003-09-09,263,کاذر,NSAZ
1382-06-23,2003-09-14,263,کاذر,NSAZ
1382-06-24,2003-09-15,263,کاذر,NSAZ
1382-06-25,2003-09-16,262,کاذر,NSAZ
1382-06-26,2003-09-17,260,کاذر,NSAZ
1382-06-29,2003-09-20,259,کاذر,NSAZ
1382-06-30,2003-09-21,255,کاذر,NSAZ
1382-06-31,2003-09-22,254,کاذر,NSAZ
1382-07-01,2003-09-23,254,کاذر,NSAZ
1382-07-05,2003-09-27,253,کاذر,NSAZ
1382-07-06,2003-09-28,253,کاذر,NSAZ
1382-07-07,2003-09-29,249,کاذر,NSAZ
1382-07-08,2003-09-30,248,کاذر,NSAZ
1382-07-12,2003-10-04,246,کاذر,NSAZ
1382-07-13,2003-10-05,243,کاذر,NSAZ
1382-07-14,2003-10-06,243,کاذر,NSAZ
1382-07-15,2003-10-07,243,کاذر,NSAZ
1382-07-16,2003-10-08,240,کاذر,NSAZ
1382-07-19,2003-10-11,240,کاذر,NSAZ
1382-07-21,2003-10-13,240,کاذر,NSAZ
1382-07-22,2003-10-14,233,کاذر,NSAZ
1382-07-23,2003-10-15,233,کاذر,NSAZ
1382-07-26,2003-10-18,232,کاذر,NSAZ
1382-07-27,2003-10-19,232,کاذر,NSAZ
1382-07-28,2003-10-20,231,کاذر,NSAZ
1382-07-29,2003-10-21,226,کاذر,NSAZ
1382-07-30,2003-10-22,227,کاذر,NSAZ
1382-08-03,2003-10-25,227,کاذر,NSAZ
1382-08-04,2003-10-26,239,کاذر,NSAZ
1382-08-05,2003-10-27,239,کاذر,NSAZ
1382-08-06,2003-10-28,239,کاذر,NSAZ
1382-08-07,2003-10-29,242,کاذر,NSAZ
1382-08-10,2003-11-01,245,کاذر,NSAZ
1382-08-11,2003-11-02,248,کاذر,NSAZ
1382-08-12,2003-11-03,257,کاذر,NSAZ
1382-08-13,2003-11-04,258,کاذر,NSAZ
1382-08-14,2003-11-05,259,کاذر,NSAZ
1382-08-17,2003-11-08,259,کاذر,NSAZ
1382-08-18,2003-11-09,267,کاذر,NSAZ
1382-08-19,2003-11-10,278,کاذر,NSAZ
1382-08-20,2003-11-11,273,کاذر,NSAZ
1382-08-21,2003-11-12,268,کاذر,NSAZ
1382-08-24,2003-11-15,263,کاذر,NSAZ
1382-08-26,2003-11-17,262,کاذر,NSAZ
1382-08-27,2003-11-18,261,کاذر,NSAZ
1382-08-28,2003-11-19,256,کاذر,NSAZ
1382-09-01,2003-11-22,255,کاذر,NSAZ
1382-09-02,2003-11-23,254,کاذر,NSAZ
1382-09-03,2003-11-24,256,کاذر,NSAZ
1382-09-04,2003-11-25,256,کاذر,NSAZ
1382-09-08,2003-11-29,256,کاذر,NSAZ
1382-09-09,2003-11-30,256,کاذر,NSAZ
1382-09-10,2003-12-01,256,کاذر,NSAZ
1382-09-11,2003-12-02,256,کاذر,NSAZ
1382-09-12,2003-12-03,256,کاذر,NSAZ
1382-09-15,2003-12-06,256,کاذر,NSAZ
1382-09-16,2003-12-07,256,کاذر,NSAZ
1382-09-17,2003-12-08,253,کاذر,NSAZ
1382-09-18,2003-12-09,253,کاذر,NSAZ
1382-09-19,2003-12-10,253,کاذر,NSAZ
1382-09-22,2003-12-13,252,کاذر,NSAZ
1382-09-23,2003-12-14,250,کاذر,NSAZ
1382-09-24,2003-12-15,250,کاذر,NSAZ
1382-09-26,2003-12-17,250,کاذر,NSAZ
1382-09-30,2003-12-21,245,کاذر,NSAZ
1382-10-01,2003-12-22,245,کاذر,NSAZ
1382-10-02,2003-12-23,245,کاذر,NSAZ
1382-10-03,2003-12-24,245,کاذر,NSAZ
1382-10-06,2003-12-27,245,کاذر,NSAZ
1382-10-07,2003-12-28,245,کاذر,NSAZ
1382-10-09,2003-12-30,244,کاذر,NSAZ
1382-10-13,2004-01-03,244,کاذر,NSAZ
1382-10-15,2004-01-05,244,کاذر,NSAZ
1382-10-16,2004-01-06,241,کاذر,NSAZ
1382-10-17,2004-01-07,241,کاذر,NSAZ
1382-10-20,2004-01-10,235,کاذر,NSAZ
1382-10-21,2004-01-11,230,کاذر,NSAZ
1382-10-22,2004-01-12,228,کاذر,NSAZ
1382-10-23,2004-01-13,229,کاذر,NSAZ
1382-10-24,2004-01-14,230,کاذر,NSAZ
1382-10-27,2004-01-17,230,کاذر,NSAZ
1382-10-28,2004-01-18,230,کاذر,NSAZ
1382-10-29,2004-01-19,229,کاذر,NSAZ
1383-01-15,2004-04-03,148,کاذر,NSAZ
1383-01-16,2004-04-04,146,کاذر,NSAZ
1383-01-17,2004-04-05,144,کاذر,NSAZ
1383-01-18,2004-04-06,142,کاذر,NSAZ
1383-01-19,2004-04-07,148,کاذر,NSAZ
1383-01-22,2004-04-10,151,کاذر,NSAZ
1383-01-24,2004-04-12,156,کاذر,NSAZ
1383-01-25,2004-04-13,163,کاذر,NSAZ
1383-01-26,2004-04-14,165,کاذر,NSAZ
1383-01-29,2004-04-17,166,کاذر,NSAZ
1383-01-30,2004-04-18,168,کاذر,NSAZ
1383-02-02,2004-04-21,171,کاذر,NSAZ
1383-02-05,2004-04-24,177,کاذر,NSAZ
1383-02-06,2004-04-25,186,کاذر,NSAZ
1383-02-07,2004-04-26,185,کاذر,NSAZ
1383-02-08,2004-04-27,176,کاذر,NSAZ
1383-02-09,2004-04-28,171,کاذر,NSAZ
1383-02-12,2004-05-01,171,کاذر,NSAZ
1383-02-13,2004-05-02,171,کاذر,NSAZ
1383-02-14,2004-05-03,167,کاذر,NSAZ
1383-02-15,2004-05-04,163,کاذر,NSAZ
1383-02-16,2004-05-05,164,کاذر,NSAZ
1383-02-19,2004-05-08,165,کاذر,NSAZ
