J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-18,2001-04-07,913,کفپارس,NSPS
1380-01-21,2001-04-10,911,کفپارس,NSPS
1380-01-22,2001-04-11,889,کفپارس,NSPS
1380-01-25,2001-04-14,889,کفپارس,NSPS
1380-02-15,2001-05-05,826,کفپارس,NSPS
1380-02-16,2001-05-06,826,کفپارس,NSPS
1380-02-17,2001-05-07,826,کفپارس,NSPS
1380-02-19,2001-05-09,826,کفپارس,NSPS
1380-02-23,2001-05-13,858,کفپارس,NSPS
1380-02-29,2001-05-19,901,کفپارس,NSPS
1380-02-30,2001-05-20,946,کفپارس,NSPS
1380-02-31,2001-05-21,993,کفپارس,NSPS
1380-03-05,2001-05-26,1043,کفپارس,NSPS
1380-03-06,2001-05-27,1043,کفپارس,NSPS
1380-03-08,2001-05-29,1045,کفپارس,NSPS
1380-03-09,2001-05-30,1046,کفپارس,NSPS
1380-03-12,2001-06-02,1080,کفپارس,NSPS
1380-03-13,2001-06-03,1080,کفپارس,NSPS
1380-03-16,2001-06-06,1093,کفپارس,NSPS
1380-03-19,2001-06-09,1096,کفپارس,NSPS
1380-03-22,2001-06-12,1105,کفپارس,NSPS
1380-03-23,2001-06-13,1112,کفپارس,NSPS
1380-03-26,2001-06-16,1112,کفپارس,NSPS
1380-03-27,2001-06-17,1112,کفپارس,NSPS
1380-03-28,2001-06-18,1112,کفپارس,NSPS
1380-03-29,2001-06-19,1112,کفپارس,NSPS
1380-04-02,2001-06-23,1112,کفپارس,NSPS
1380-04-05,2001-06-26,1106,کفپارس,NSPS
1380-04-09,2001-06-30,1099,کفپارس,NSPS
1380-04-10,2001-07-01,1086,کفپارس,NSPS
1380-04-12,2001-07-03,1080,کفپارس,NSPS
1380-04-13,2001-07-04,1048,کفپارس,NSPS
1380-04-16,2001-07-07,1055,کفپارس,NSPS
1380-04-17,2001-07-08,1058,کفپارس,NSPS
1380-04-23,2001-07-14,1059,کفپارس,NSPS
1380-04-24,2001-07-15,1062,کفپارس,NSPS
1380-04-26,2001-07-17,1105,کفپارس,NSPS
1380-04-27,2001-07-18,1105,کفپارس,NSPS
1380-04-30,2001-07-21,1105,کفپارس,NSPS
1380-04-31,2001-07-22,1105,کفپارس,NSPS
1380-05-01,2001-07-23,1106,کفپارس,NSPS
1380-05-02,2001-07-24,1106,کفپارس,NSPS
1380-05-06,2001-07-28,1105,کفپارس,NSPS
1380-05-07,2001-07-29,1142,کفپارس,NSPS
1380-05-10,2001-08-01,1163,کفپارس,NSPS
1380-05-14,2001-08-05,1195,کفپارس,NSPS
1380-05-22,2001-08-13,1197,کفپارس,NSPS
1380-05-27,2001-08-18,1201,کفپارس,NSPS
1380-05-29,2001-08-20,1202,کفپارس,NSPS
1380-05-30,2001-08-21,1203,کفپارس,NSPS
