J-Date,Date,Adj Close,Ticker,Ticker(4)
1383-10-16,2005-01-05,331,ثنوسا,NSTH
1383-10-19,2005-01-08,347,ثنوسا,NSTH
1383-10-20,2005-01-09,365,ثنوسا,NSTH
1383-10-21,2005-01-10,383,ثنوسا,NSTH
1383-10-22,2005-01-11,402,ثنوسا,NSTH
1383-10-23,2005-01-12,422,ثنوسا,NSTH
1383-10-26,2005-01-15,443,ثنوسا,NSTH
1383-10-27,2005-01-16,449,ثنوسا,NSTH
1383-10-28,2005-01-17,441,ثنوسا,NSTH
1383-10-29,2005-01-18,432,ثنوسا,NSTH
1383-10-30,2005-01-19,422,ثنوسا,NSTH
1383-11-03,2005-01-22,432,ثنوسا,NSTH
1383-11-04,2005-01-23,443,ثنوسا,NSTH
1383-11-05,2005-01-24,442,ثنوسا,NSTH
1383-11-06,2005-01-25,432,ثنوسا,NSTH
1383-11-07,2005-01-26,423,ثنوسا,NSTH
1383-11-11,2005-01-30,416,ثنوسا,NSTH
1383-11-12,2005-01-31,418,ثنوسا,NSTH
1383-11-13,2005-02-01,416,ثنوسا,NSTH
1383-11-14,2005-02-02,410,ثنوسا,NSTH
1383-11-17,2005-02-05,407,ثنوسا,NSTH
1383-11-18,2005-02-06,402,ثنوسا,NSTH
1383-11-19,2005-02-07,385,ثنوسا,NSTH
1383-11-20,2005-02-08,386,ثنوسا,NSTH
1383-11-21,2005-02-09,400,ثنوسا,NSTH
1383-11-24,2005-02-12,408,ثنوسا,NSTH
1383-11-25,2005-02-13,406,ثنوسا,NSTH
1383-11-26,2005-02-14,399,ثنوسا,NSTH
1383-11-27,2005-02-15,384,ثنوسا,NSTH
1383-11-28,2005-02-16,378,ثنوسا,NSTH
1383-12-03,2005-02-21,365,ثنوسا,NSTH
1383-12-04,2005-02-22,368,ثنوسا,NSTH
1383-12-05,2005-02-23,372,ثنوسا,NSTH
1383-12-08,2005-02-26,380,ثنوسا,NSTH
1383-12-09,2005-02-27,388,ثنوسا,NSTH
1383-12-10,2005-02-28,392,ثنوسا,NSTH
1383-12-11,2005-03-01,405,ثنوسا,NSTH
1383-12-12,2005-03-02,402,ثنوسا,NSTH
1383-12-15,2005-03-05,402,ثنوسا,NSTH
1383-12-16,2005-03-06,396,ثنوسا,NSTH
1383-12-17,2005-03-07,392,ثنوسا,NSTH
1383-12-18,2005-03-08,391,ثنوسا,NSTH
1383-12-19,2005-03-09,391,ثنوسا,NSTH
1383-12-22,2005-03-12,392,ثنوسا,NSTH
1383-12-23,2005-03-13,393,ثنوسا,NSTH
1383-12-24,2005-03-14,408,ثنوسا,NSTH
1383-12-25,2005-03-15,425,ثنوسا,NSTH
1383-12-26,2005-03-16,438,ثنوسا,NSTH
1384-01-06,2005-03-26,438,ثنوسا,NSTH
1384-01-07,2005-03-27,438,ثنوسا,NSTH
1384-01-08,2005-03-28,438,ثنوسا,NSTH
1384-01-09,2005-03-29,438,ثنوسا,NSTH
1384-01-10,2005-03-30,438,ثنوسا,NSTH
1384-01-14,2005-04-03,438,ثنوسا,NSTH
1384-01-15,2005-04-04,438,ثنوسا,NSTH
1384-01-16,2005-04-05,438,ثنوسا,NSTH
1384-01-17,2005-04-06,437,ثنوسا,NSTH
1384-01-21,2005-04-10,436,ثنوسا,NSTH
1384-01-22,2005-04-11,448,ثنوسا,NSTH
1384-01-23,2005-04-12,457,ثنوسا,NSTH
1384-01-24,2005-04-13,477,ثنوسا,NSTH
1384-01-27,2005-04-16,497,ثنوسا,NSTH
1384-01-28,2005-04-17,485,ثنوسا,NSTH
1384-01-29,2005-04-18,477,ثنوسا,NSTH
1384-01-30,2005-04-19,478,ثنوسا,NSTH
1384-01-31,2005-04-20,488,ثنوسا,NSTH
1384-02-03,2005-04-23,500,ثنوسا,NSTH
1384-02-04,2005-04-24,497,ثنوسا,NSTH
1384-02-05,2005-04-25,503,ثنوسا,NSTH
1384-02-07,2005-04-27,525,ثنوسا,NSTH
1384-02-10,2005-04-30,523,ثنوسا,NSTH
1384-02-11,2005-05-01,513,ثنوسا,NSTH
1384-02-12,2005-05-02,509,ثنوسا,NSTH
1384-02-13,2005-05-03,498,ثنوسا,NSTH
1384-02-14,2005-05-04,517,ثنوسا,NSTH
1384-02-17,2005-05-07,516,ثنوسا,NSTH
1384-02-18,2005-05-08,513,ثنوسا,NSTH
1384-02-19,2005-05-09,510,ثنوسا,NSTH
1384-02-20,2005-05-10,522,ثنوسا,NSTH
