J-Date,Date,Adj Close,Ticker,Ticker(4)
1400-06-10,2021-09-01,3089,فافق,OKCZ
1400-06-13,2021-09-04,3181,فافق,OKCZ
1400-06-14,2021-09-05,3276,فافق,OKCZ
1400-06-15,2021-09-06,3374,فافق,OKCZ
1400-06-16,2021-09-07,3542,فافق,OKCZ
1400-06-17,2021-09-08,3648,فافق,OKCZ
1400-06-20,2021-09-11,3757,فافق,OKCZ
1400-06-21,2021-09-12,3869,فافق,OKCZ
1400-06-22,2021-09-13,4062,فافق,OKCZ
1400-07-03,2021-09-25,3941,فافق,OKCZ
1400-07-04,2021-09-26,3824,فافق,OKCZ
1400-07-06,2021-09-28,3719,فافق,OKCZ
1400-07-07,2021-09-29,3709,فافق,OKCZ
1400-07-10,2021-10-02,3601,فافق,OKCZ
1400-07-11,2021-10-03,3505,فافق,OKCZ
1400-07-12,2021-10-04,3484,فافق,OKCZ
1400-07-14,2021-10-06,3519,فافق,OKCZ
1400-07-17,2021-10-09,3412,فافق,OKCZ
1400-07-18,2021-10-10,3365,فافق,OKCZ
1400-07-19,2021-10-11,3274,فافق,OKCZ
1400-07-20,2021-10-12,3215,فافق,OKCZ
1400-07-21,2021-10-13,3121,فافق,OKCZ
1400-07-24,2021-10-16,3256,فافق,OKCZ
1400-07-25,2021-10-17,3150,فافق,OKCZ
1400-07-26,2021-10-18,3066,فافق,OKCZ
1400-07-27,2021-10-19,3017,فافق,OKCZ
1400-07-28,2021-10-20,2936,فافق,OKCZ
1400-08-01,2021-10-23,2878,فافق,OKCZ
1400-08-03,2021-10-25,2846,فافق,OKCZ
1400-08-04,2021-10-26,2784,فافق,OKCZ
1400-08-05,2021-10-27,2754,فافق,OKCZ
1400-08-08,2021-10-30,2710,فافق,OKCZ
1400-08-09,2021-10-31,2646,فافق,OKCZ
1400-08-10,2021-11-01,2581,فافق,OKCZ
1400-08-11,2021-11-02,2591,فافق,OKCZ
1400-08-12,2021-11-03,2601,فافق,OKCZ
1400-08-15,2021-11-06,2591,فافق,OKCZ
1400-08-16,2021-11-07,2521,فافق,OKCZ
1400-08-17,2021-11-08,2557,فافق,OKCZ
1400-08-18,2021-11-09,2561,فافق,OKCZ
