J-Date,Date,Adj Close,Ticker,Ticker(4)
1399-12-06,2021-02-24,10878,اپال,OPAL
1399-12-09,2021-02-27,11452,اپال,OPAL
1399-12-10,2021-02-28,12131,اپال,OPAL
1399-12-11,2021-03-01,12853,اپال,OPAL
1399-12-12,2021-03-02,13619,اپال,OPAL
1399-12-13,2021-03-03,13845,اپال,OPAL
1399-12-16,2021-03-06,13811,اپال,OPAL
1399-12-17,2021-03-07,13750,اپال,OPAL
1399-12-18,2021-03-08,14063,اپال,OPAL
1399-12-19,2021-03-09,13880,اپال,OPAL
1399-12-20,2021-03-10,14150,اپال,OPAL
1399-12-23,2021-03-13,14794,اپال,OPAL
1399-12-24,2021-03-14,15551,اپال,OPAL
1399-12-25,2021-03-15,15725,اپال,OPAL
1399-12-26,2021-03-16,15655,اپال,OPAL
1399-12-27,2021-03-17,15638,اپال,OPAL
1400-01-07,2021-03-27,15290,اپال,OPAL
1400-01-08,2021-03-28,15377,اپال,OPAL
1400-01-10,2021-03-30,15873,اپال,OPAL
1400-01-11,2021-03-31,15908,اپال,OPAL
1400-01-14,2021-04-03,15664,اپال,OPAL
1400-01-15,2021-04-04,15447,اپال,OPAL
1400-01-16,2021-04-05,15743,اپال,OPAL
1400-01-17,2021-04-06,15586,اپال,OPAL
1400-01-18,2021-04-07,15351,اپال,OPAL
1400-01-21,2021-04-10,15055,اپال,OPAL
1400-01-22,2021-04-11,14811,اپال,OPAL
1400-01-23,2021-04-12,14794,اپال,OPAL
1400-01-24,2021-04-13,15394,اپال,OPAL
1400-01-25,2021-04-14,14968,اپال,OPAL
1400-01-28,2021-04-17,14742,اپال,OPAL
1400-01-29,2021-04-18,14472,اپال,OPAL
1400-01-30,2021-04-19,14803,اپال,OPAL
1400-01-31,2021-04-20,14733,اپال,OPAL
1400-02-01,2021-04-21,14724,اپال,OPAL
1400-02-04,2021-04-24,14585,اپال,OPAL
1400-02-05,2021-04-25,14576,اپال,OPAL
1400-02-06,2021-04-26,14637,اپال,OPAL
1400-02-07,2021-04-27,14829,اپال,OPAL
1400-02-08,2021-04-28,14846,اپال,OPAL
1400-02-11,2021-05-01,14864,اپال,OPAL
1400-02-12,2021-05-02,14846,اپال,OPAL
1400-02-13,2021-05-03,14942,اپال,OPAL
1400-02-15,2021-05-05,14959,اپال,OPAL
1400-02-18,2021-05-08,14959,اپال,OPAL
1400-02-19,2021-05-09,15003,اپال,OPAL
1400-02-20,2021-05-10,15264,اپال,OPAL
1400-02-26,2021-05-16,16172,اپال,OPAL
1400-02-27,2021-05-17,16515,اپال,OPAL
1400-02-28,2021-05-18,17066,اپال,OPAL
1400-02-29,2021-05-19,17300,اپال,OPAL
1400-03-01,2021-05-22,16705,اپال,OPAL
1400-03-02,2021-05-23,16325,اپال,OPAL
1400-03-03,2021-05-24,16668,اپال,OPAL
1400-03-04,2021-05-25,16677,اپال,OPAL
1400-03-05,2021-05-26,16677,اپال,OPAL
1400-03-08,2021-05-29,16975,اپال,OPAL
1400-03-09,2021-05-30,16948,اپال,OPAL
1400-03-10,2021-05-31,17291,اپال,OPAL
1400-03-11,2021-06-01,17689,اپال,OPAL
1400-03-12,2021-06-02,17707,اپال,OPAL
1400-03-17,2021-06-07,17246,اپال,OPAL
1400-03-18,2021-06-08,17391,اپال,OPAL
1400-03-19,2021-06-09,17382,اپال,OPAL
1400-03-22,2021-06-12,17337,اپال,OPAL
1400-03-23,2021-06-13,17291,اپال,OPAL
1400-03-24,2021-06-14,17364,اپال,OPAL
1400-03-25,2021-06-15,17291,اپال,OPAL
1400-03-26,2021-06-16,17201,اپال,OPAL
1400-03-29,2021-06-19,17346,اپال,OPAL
1400-03-30,2021-06-20,17319,اپال,OPAL
1400-03-31,2021-06-21,17328,اپال,OPAL
1400-04-01,2021-06-22,17472,اپال,OPAL
