J-Date,Date,Adj Close,Ticker,Ticker(4)
1399-07-09,2020-09-30,1290,وساربیل,OS03
1399-07-12,2020-10-03,1350,وساربیل,OS03
1399-07-14,2020-10-05,1350,وساربیل,OS03
1399-07-15,2020-10-06,1350,وساربیل,OS03
1399-07-16,2020-10-07,1350,وساربیل,OS03
1399-07-19,2020-10-10,1350,وساربیل,OS03
1399-07-20,2020-10-11,1350,وساربیل,OS03
1399-07-21,2020-10-12,1350,وساربیل,OS03
1399-07-22,2020-10-13,1350,وساربیل,OS03
1399-07-23,2020-10-14,1350,وساربیل,OS03
1399-07-27,2020-10-18,1350,وساربیل,OS03
1399-07-28,2020-10-19,1350,وساربیل,OS03
1399-07-29,2020-10-20,1350,وساربیل,OS03
1399-07-30,2020-10-21,1350,وساربیل,OS03
1399-08-03,2020-10-24,1230,وساربیل,OS03
1399-08-05,2020-10-26,1230,وساربیل,OS03
1399-08-06,2020-10-27,1230,وساربیل,OS03
1399-08-07,2020-10-28,1230,وساربیل,OS03
1399-08-10,2020-10-31,1230,وساربیل,OS03
1399-08-11,2020-11-01,1220,وساربیل,OS03
1399-08-12,2020-11-02,1220,وساربیل,OS03
1399-08-14,2020-11-04,1220,وساربیل,OS03
1399-08-17,2020-11-07,1220,وساربیل,OS03
1399-08-18,2020-11-08,1220,وساربیل,OS03
1399-08-21,2020-11-11,1220,وساربیل,OS03
1399-08-24,2020-11-14,1220,وساربیل,OS03
1399-08-25,2020-11-15,1220,وساربیل,OS03
1399-08-26,2020-11-16,1220,وساربیل,OS03
1399-08-27,2020-11-17,1220,وساربیل,OS03
1399-08-28,2020-11-18,1220,وساربیل,OS03
1399-09-01,2020-11-21,1220,وساربیل,OS03
1399-09-02,2020-11-22,1220,وساربیل,OS03
1399-09-03,2020-11-23,1220,وساربیل,OS03
1399-09-04,2020-11-24,1220,وساربیل,OS03
1399-09-05,2020-11-25,1220,وساربیل,OS03
1399-09-08,2020-11-28,1220,وساربیل,OS03
1399-09-09,2020-11-29,1220,وساربیل,OS03
1399-09-10,2020-11-30,1220,وساربیل,OS03
1399-09-11,2020-12-01,1220,وساربیل,OS03
1399-09-12,2020-12-02,1220,وساربیل,OS03
1399-09-15,2020-12-05,1220,وساربیل,OS03
1399-09-16,2020-12-06,1220,وساربیل,OS03
1399-09-17,2020-12-07,1220,وساربیل,OS03
1399-09-18,2020-12-08,1220,وساربیل,OS03
1399-09-19,2020-12-09,1220,وساربیل,OS03
1399-09-22,2020-12-12,1220,وساربیل,OS03
1399-09-23,2020-12-13,1220,وساربیل,OS03
1399-09-24,2020-12-14,1220,وساربیل,OS03
1399-09-26,2020-12-16,1220,وساربیل,OS03
1399-09-29,2020-12-19,1220,وساربیل,OS03
1399-09-30,2020-12-20,1220,وساربیل,OS03
1399-10-01,2020-12-21,1220,وساربیل,OS03
1399-10-02,2020-12-22,1220,وساربیل,OS03
1399-10-03,2020-12-23,1220,وساربیل,OS03
1399-10-06,2020-12-26,1220,وساربیل,OS03
1399-10-07,2020-12-27,1220,وساربیل,OS03
1399-10-08,2020-12-28,1220,وساربیل,OS03
1399-10-10,2020-12-30,1220,وساربیل,OS03
1399-10-13,2021-01-02,1220,وساربیل,OS03
1399-10-15,2021-01-04,1220,وساربیل,OS03
1399-10-16,2021-01-05,1220,وساربیل,OS03
1399-10-20,2021-01-09,1220,وساربیل,OS03
1399-10-21,2021-01-10,1220,وساربیل,OS03
1399-10-22,2021-01-11,1220,وساربیل,OS03
1399-10-23,2021-01-12,1220,وساربیل,OS03
1399-10-24,2021-01-13,1220,وساربیل,OS03
1399-12-23,2021-03-13,1260,وساربیل,OS03
1399-12-24,2021-03-14,1260,وساربیل,OS03
1399-12-25,2021-03-15,1260,وساربیل,OS03
1400-01-16,2021-04-05,1260,وساربیل,OS03
1400-01-17,2021-04-06,1260,وساربیل,OS03
1400-01-18,2021-04-07,1260,وساربیل,OS03
1400-01-21,2021-04-10,1260,وساربیل,OS03
1400-01-23,2021-04-12,1260,وساربیل,OS03
1400-01-24,2021-04-13,1260,وساربیل,OS03
1400-01-25,2021-04-14,1260,وساربیل,OS03
1400-01-28,2021-04-17,1260,وساربیل,OS03
1400-01-31,2021-04-20,1260,وساربیل,OS03
1400-02-01,2021-04-21,1250,وساربیل,OS03
1400-02-04,2021-04-24,1250,وساربیل,OS03
1400-02-06,2021-04-26,1250,وساربیل,OS03
1400-02-07,2021-04-27,1250,وساربیل,OS03
1400-02-08,2021-04-28,1250,وساربیل,OS03
1400-02-12,2021-05-02,1250,وساربیل,OS03
1400-02-13,2021-05-03,1242,وساربیل,OS03
1400-02-15,2021-05-05,1242,وساربیل,OS03
1400-02-26,2021-05-16,1216,وساربیل,OS03
1400-02-27,2021-05-17,1216,وساربیل,OS03
