J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-06,2001-03-26,47,شپاکسا,PAKS
1380-01-07,2001-03-27,47,شپاکسا,PAKS
1380-01-08,2001-03-28,47,شپاکسا,PAKS
1380-01-11,2001-03-31,47,شپاکسا,PAKS
1380-01-14,2001-04-03,47,شپاکسا,PAKS
1380-01-19,2001-04-08,47,شپاکسا,PAKS
1380-01-20,2001-04-09,47,شپاکسا,PAKS
1380-01-21,2001-04-10,48,شپاکسا,PAKS
1380-01-22,2001-04-11,47,شپاکسا,PAKS
1380-01-25,2001-04-14,47,شپاکسا,PAKS
1380-01-27,2001-04-16,47,شپاکسا,PAKS
1380-01-29,2001-04-18,47,شپاکسا,PAKS
1380-02-01,2001-04-21,47,شپاکسا,PAKS
1380-02-02,2001-04-22,47,شپاکسا,PAKS
1380-02-03,2001-04-23,47,شپاکسا,PAKS
1380-02-04,2001-04-24,47,شپاکسا,PAKS
1380-02-05,2001-04-25,47,شپاکسا,PAKS
1380-02-08,2001-04-28,47,شپاکسا,PAKS
1380-02-09,2001-04-29,47,شپاکسا,PAKS
1380-02-10,2001-04-30,47,شپاکسا,PAKS
1380-02-11,2001-05-01,48,شپاکسا,PAKS
1380-02-12,2001-05-02,48,شپاکسا,PAKS
1380-02-15,2001-05-05,48,شپاکسا,PAKS
1380-02-16,2001-05-06,48,شپاکسا,PAKS
1380-02-17,2001-05-07,48,شپاکسا,PAKS
1380-02-18,2001-05-08,48,شپاکسا,PAKS
1380-02-19,2001-05-09,48,شپاکسا,PAKS
1380-02-22,2001-05-12,48,شپاکسا,PAKS
1380-02-23,2001-05-13,49,شپاکسا,PAKS
1380-02-25,2001-05-15,49,شپاکسا,PAKS
1380-02-26,2001-05-16,49,شپاکسا,PAKS
1380-02-29,2001-05-19,49,شپاکسا,PAKS
1380-02-30,2001-05-20,49,شپاکسا,PAKS
1380-02-31,2001-05-21,49,شپاکسا,PAKS
1380-03-02,2001-05-23,49,شپاکسا,PAKS
1380-03-06,2001-05-27,49,شپاکسا,PAKS
1380-03-07,2001-05-28,50,شپاکسا,PAKS
1380-03-08,2001-05-29,50,شپاکسا,PAKS
1380-03-09,2001-05-30,50,شپاکسا,PAKS
1380-03-12,2001-06-02,52,شپاکسا,PAKS
1380-03-13,2001-06-03,53,شپاکسا,PAKS
1380-03-16,2001-06-06,53,شپاکسا,PAKS
1380-03-19,2001-06-09,53,شپاکسا,PAKS
1380-03-21,2001-06-11,53,شپاکسا,PAKS
1380-03-22,2001-06-12,53,شپاکسا,PAKS
1380-03-23,2001-06-13,53,شپاکسا,PAKS
1380-03-26,2001-06-16,53,شپاکسا,PAKS
1380-03-27,2001-06-17,52,شپاکسا,PAKS
1380-03-30,2001-06-20,51,شپاکسا,PAKS
1380-04-02,2001-06-23,51,شپاکسا,PAKS
1380-04-03,2001-06-24,51,شپاکسا,PAKS
1380-04-04,2001-06-25,51,شپاکسا,PAKS
1380-04-05,2001-06-26,52,شپاکسا,PAKS
1380-04-06,2001-06-27,52,شپاکسا,PAKS
1380-04-09,2001-06-30,52,شپاکسا,PAKS
1380-04-10,2001-07-01,52,شپاکسا,PAKS
1380-04-11,2001-07-02,52,شپاکسا,PAKS
1380-04-12,2001-07-03,53,شپاکسا,PAKS
1380-04-13,2001-07-04,53,شپاکسا,PAKS
1380-04-16,2001-07-07,53,شپاکسا,PAKS
1380-04-17,2001-07-08,53,شپاکسا,PAKS
1380-05-07,2001-07-29,53,شپاکسا,PAKS
1380-05-08,2001-07-30,52,شپاکسا,PAKS
1380-05-09,2001-07-31,51,شپاکسا,PAKS
1380-05-10,2001-08-01,50,شپاکسا,PAKS
1380-05-13,2001-08-04,50,شپاکسا,PAKS
1380-05-14,2001-08-05,51,شپاکسا,PAKS
1380-05-15,2001-08-06,52,شپاکسا,PAKS
1380-05-16,2001-08-07,53,شپاکسا,PAKS
1380-05-17,2001-08-08,53,شپاکسا,PAKS
1380-05-20,2001-08-11,53,شپاکسا,PAKS
1380-05-21,2001-08-12,52,شپاکسا,PAKS
1380-05-22,2001-08-13,53,شپاکسا,PAKS
1380-05-23,2001-08-14,53,شپاکسا,PAKS
1380-05-24,2001-08-15,53,شپاکسا,PAKS
1380-05-27,2001-08-18,53,شپاکسا,PAKS
1380-05-28,2001-08-19,53,شپاکسا,PAKS
1380-05-29,2001-08-20,54,شپاکسا,PAKS
1380-05-30,2001-08-21,55,شپاکسا,PAKS
1380-05-31,2001-08-22,57,شپاکسا,PAKS
1380-06-03,2001-08-25,58,شپاکسا,PAKS
1380-06-04,2001-08-26,59,شپاکسا,PAKS
1380-06-05,2001-08-27,60,شپاکسا,PAKS
1380-06-06,2001-08-28,60,شپاکسا,PAKS
1380-06-07,2001-08-29,60,شپاکسا,PAKS
1380-06-10,2001-09-01,59,شپاکسا,PAKS
1380-06-11,2001-09-02,59,شپاکسا,PAKS
1380-06-13,2001-09-04,59,شپاکسا,PAKS
1380-06-17,2001-09-08,59,شپاکسا,PAKS
1380-06-18,2001-09-09,56,شپاکسا,PAKS
1380-06-19,2001-09-10,56,شپاکسا,PAKS
1380-06-20,2001-09-11,56,شپاکسا,PAKS
1380-06-21,2001-09-12,56,شپاکسا,PAKS
1380-06-24,2001-09-15,56,شپاکسا,PAKS
1380-06-28,2001-09-19,56,شپاکسا,PAKS
1380-06-31,2001-09-22,55,شپاکسا,PAKS
1380-07-01,2001-09-23,55,شپاکسا,PAKS
