J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-07,2001-03-27,211,شاراک,PARK
1380-01-08,2001-03-28,205,شاراک,PARK
1380-01-11,2001-03-31,208,شاراک,PARK
1380-01-14,2001-04-03,212,شاراک,PARK
1380-01-18,2001-04-07,216,شاراک,PARK
1380-01-19,2001-04-08,215,شاراک,PARK
1380-01-20,2001-04-09,210,شاراک,PARK
1380-01-21,2001-04-10,205,شاراک,PARK
1380-01-22,2001-04-11,202,شاراک,PARK
1380-01-25,2001-04-14,199,شاراک,PARK
1380-01-26,2001-04-15,197,شاراک,PARK
1380-01-27,2001-04-16,202,شاراک,PARK
1380-01-28,2001-04-17,207,شاراک,PARK
1380-01-29,2001-04-18,205,شاراک,PARK
1380-02-01,2001-04-21,203,شاراک,PARK
1380-02-02,2001-04-22,201,شاراک,PARK
1380-02-03,2001-04-23,201,شاراک,PARK
1380-02-04,2001-04-24,205,شاراک,PARK
1380-02-05,2001-04-25,205,شاراک,PARK
1380-02-08,2001-04-28,205,شاراک,PARK
1380-02-09,2001-04-29,205,شاراک,PARK
1380-02-10,2001-04-30,206,شاراک,PARK
1380-02-11,2001-05-01,206,شاراک,PARK
1380-02-12,2001-05-02,209,شاراک,PARK
1380-02-15,2001-05-05,214,شاراک,PARK
1380-02-16,2001-05-06,220,شاراک,PARK
1380-02-17,2001-05-07,222,شاراک,PARK
1380-02-18,2001-05-08,220,شاراک,PARK
1380-02-19,2001-05-09,218,شاراک,PARK
1380-02-22,2001-05-12,218,شاراک,PARK
1380-02-23,2001-05-13,219,شاراک,PARK
1380-02-25,2001-05-15,219,شاراک,PARK
1380-02-26,2001-05-16,219,شاراک,PARK
1380-02-29,2001-05-19,221,شاراک,PARK
1380-02-30,2001-05-20,219,شاراک,PARK
1380-02-31,2001-05-21,219,شاراک,PARK
1380-03-02,2001-05-23,218,شاراک,PARK
1380-03-05,2001-05-26,220,شاراک,PARK
1380-03-06,2001-05-27,223,شاراک,PARK
1380-03-07,2001-05-28,225,شاراک,PARK
1380-03-08,2001-05-29,223,شاراک,PARK
1380-03-09,2001-05-30,220,شاراک,PARK
1380-03-12,2001-06-02,218,شاراک,PARK
1380-03-13,2001-06-03,216,شاراک,PARK
1380-03-16,2001-06-06,214,شاراک,PARK
1380-03-19,2001-06-09,212,شاراک,PARK
1380-03-21,2001-06-11,212,شاراک,PARK
1380-03-22,2001-06-12,209,شاراک,PARK
1380-03-23,2001-06-13,206,شاراک,PARK
1380-03-26,2001-06-16,204,شاراک,PARK
1380-03-27,2001-06-17,203,شاراک,PARK
1380-03-28,2001-06-18,208,شاراک,PARK
1380-03-29,2001-06-19,211,شاراک,PARK
1380-03-30,2001-06-20,214,شاراک,PARK
1380-04-02,2001-06-23,216,شاراک,PARK
1380-04-03,2001-06-24,215,شاراک,PARK
1380-04-04,2001-06-25,213,شاراک,PARK
1380-04-05,2001-06-26,212,شاراک,PARK
1380-04-06,2001-06-27,214,شاراک,PARK
1380-04-09,2001-06-30,216,شاراک,PARK
1380-04-10,2001-07-01,218,شاراک,PARK
1380-04-11,2001-07-02,221,شاراک,PARK
1380-04-12,2001-07-03,218,شاراک,PARK
1380-05-09,2001-07-31,202,شاراک,PARK
1380-05-10,2001-08-01,202,شاراک,PARK
1380-05-13,2001-08-04,201,شاراک,PARK
1380-05-14,2001-08-05,197,شاراک,PARK
1380-05-15,2001-08-06,195,شاراک,PARK
1380-05-16,2001-08-07,199,شاراک,PARK
1380-05-17,2001-08-08,203,شاراک,PARK
1380-05-20,2001-08-11,208,شاراک,PARK
1380-05-21,2001-08-12,210,شاراک,PARK
1380-05-22,2001-08-13,208,شاراک,PARK
1380-05-23,2001-08-14,207,شاراک,PARK
1380-05-24,2001-08-15,208,شاراک,PARK
1380-05-27,2001-08-18,208,شاراک,PARK
1380-05-28,2001-08-19,208,شاراک,PARK
1380-05-29,2001-08-20,208,شاراک,PARK
1380-05-30,2001-08-21,208,شاراک,PARK
1380-05-31,2001-08-22,208,شاراک,PARK
1380-06-03,2001-08-25,207,شاراک,PARK
1380-06-04,2001-08-26,207,شاراک,PARK
1380-06-05,2001-08-27,205,شاراک,PARK
1380-06-06,2001-08-28,204,شاراک,PARK
1380-06-07,2001-08-29,203,شاراک,PARK
1380-06-10,2001-09-01,202,شاراک,PARK
1380-06-11,2001-09-02,203,شاراک,PARK
1380-06-12,2001-09-03,203,شاراک,PARK
1380-06-13,2001-09-04,202,شاراک,PARK
1380-06-14,2001-09-05,202,شاراک,PARK
1380-06-17,2001-09-08,202,شاراک,PARK
1380-06-18,2001-09-09,201,شاراک,PARK
1380-06-19,2001-09-10,200,شاراک,PARK
1380-06-20,2001-09-11,199,شاراک,PARK
1380-06-21,2001-09-12,198,شاراک,PARK
1380-06-24,2001-09-15,198,شاراک,PARK
1380-06-25,2001-09-16,197,شاراک,PARK
1380-06-26,2001-09-17,197,شاراک,PARK
1380-06-27,2001-09-18,197,شاراک,PARK
1380-06-28,2001-09-19,198,شاراک,PARK
1380-06-31,2001-09-22,201,شاراک,PARK
1380-07-01,2001-09-23,199,شاراک,PARK
1380-07-02,2001-09-24,199,شاراک,PARK
1380-07-03,2001-09-25,199,شاراک,PARK
1380-07-04,2001-09-26,197,شاراک,PARK
1380-07-07,2001-09-29,197,شاراک,PARK
1380-07-08,2001-09-30,197,شاراک,PARK
1380-07-10,2001-10-02,197,شاراک,PARK
1380-07-11,2001-10-03,197,شاراک,PARK
1380-07-14,2001-10-06,197,شاراک,PARK
1380-07-15,2001-10-07,199,شاراک,PARK
1380-07-16,2001-10-08,199,شاراک,PARK
1380-07-17,2001-10-09,199,شاراک,PARK
1380-07-18,2001-10-10,199,شاراک,PARK
1380-07-21,2001-10-13,199,شاراک,PARK
1380-07-22,2001-10-14,199,شاراک,PARK
1380-07-24,2001-10-16,198,شاراک,PARK
1380-07-25,2001-10-17,198,شاراک,PARK
1380-07-28,2001-10-20,198,شاراک,PARK
1380-07-29,2001-10-21,199,شاراک,PARK
1380-07-30,2001-10-22,200,شاراک,PARK
1380-08-01,2001-10-23,200,شاراک,PARK
1380-08-02,2001-10-24,201,شاراک,PARK
1380-08-05,2001-10-27,201,شاراک,PARK
1380-08-06,2001-10-28,202,شاراک,PARK
1380-08-07,2001-10-29,202,شاراک,PARK
1380-08-08,2001-10-30,202,شاراک,PARK
1380-08-09,2001-10-31,203,شاراک,PARK
1380-08-12,2001-11-03,205,شاراک,PARK
1380-08-13,2001-11-04,208,شاراک,PARK
1380-08-14,2001-11-05,210,شاراک,PARK
1380-08-15,2001-11-06,210,شاراک,PARK
1380-08-16,2001-11-07,208,شاراک,PARK
1380-08-19,2001-11-10,208,شاراک,PARK
1380-08-20,2001-11-11,208,شاراک,PARK
1380-08-21,2001-11-12,205,شاراک,PARK
1380-08-22,2001-11-13,205,شاراک,PARK
1380-08-26,2001-11-17,202,شاراک,PARK
1380-08-27,2001-11-18,202,شاراک,PARK
1380-08-28,2001-11-19,202,شاراک,PARK
1380-08-29,2001-11-20,202,شاراک,PARK
1380-08-30,2001-11-21,202,شاراک,PARK
1380-09-03,2001-11-24,202,شاراک,PARK
1380-09-04,2001-11-25,202,شاراک,PARK
1380-09-05,2001-11-26,202,شاراک,PARK
1380-09-06,2001-11-27,202,شاراک,PARK
1380-09-07,2001-11-28,202,شاراک,PARK
1380-09-10,2001-12-01,202,شاراک,PARK
1380-09-11,2001-12-02,202,شاراک,PARK
1380-09-12,2001-12-03,202,شاراک,PARK
1380-09-13,2001-12-04,202,شاراک,PARK
1380-09-14,2001-12-05,202,شاراک,PARK
1380-09-17,2001-12-08,202,شاراک,PARK
1380-09-18,2001-12-09,202,شاراک,PARK
1380-09-19,2001-12-10,202,شاراک,PARK
1380-09-20,2001-12-11,202,شاراک,PARK
1380-09-21,2001-12-12,202,شاراک,PARK
1380-09-24,2001-12-15,202,شاراک,PARK
1380-09-26,2001-12-17,202,شاراک,PARK
1380-09-27,2001-12-18,205,شاراک,PARK
1380-09-28,2001-12-19,204,شاراک,PARK
1380-10-02,2001-12-23,202,شاراک,PARK
1380-10-03,2001-12-24,200,شاراک,PARK
1380-10-04,2001-12-25,197,شاراک,PARK
1380-10-05,2001-12-26,195,شاراک,PARK
1380-10-08,2001-12-29,192,شاراک,PARK
1380-10-09,2001-12-30,189,شاراک,PARK
1380-10-10,2001-12-31,187,شاراک,PARK
1380-10-11,2002-01-01,187,شاراک,PARK
1380-10-12,2002-01-02,187,شاراک,PARK
1380-10-15,2002-01-05,188,شاراک,PARK
1380-10-16,2002-01-06,188,شاراک,PARK
1380-10-17,2002-01-07,188,شاراک,PARK
1380-10-18,2002-01-08,195,شاراک,PARK
1380-10-22,2002-01-12,197,شاراک,PARK
1380-10-23,2002-01-13,197,شاراک,PARK
1380-10-24,2002-01-14,197,شاراک,PARK
1380-12-08,2002-02-27,184,شاراک,PARK
1380-12-11,2002-03-02,178,شاراک,PARK
1380-12-13,2002-03-04,170,شاراک,PARK
1380-12-14,2002-03-05,169,شاراک,PARK
1380-12-15,2002-03-06,169,شاراک,PARK
1380-12-18,2002-03-09,168,شاراک,PARK
1380-12-19,2002-03-10,166,شاراک,PARK
1380-12-20,2002-03-11,166,شاراک,PARK
1380-12-21,2002-03-12,166,شاراک,PARK
1380-12-22,2002-03-13,166,شاراک,PARK
1380-12-25,2002-03-16,166,شاراک,PARK
1380-12-26,2002-03-17,166,شاراک,PARK
1380-12-27,2002-03-18,166,شاراک,PARK
1380-12-28,2002-03-19,171,شاراک,PARK
1381-01-06,2002-03-26,171,شاراک,PARK
