J-Date,Date,Adj Close,Ticker,Ticker(4)
1397-04-20,2018-07-11,158,پارس,PARS
1397-04-23,2018-07-14,166,پارس,PARS
1397-04-24,2018-07-15,174,پارس,PARS
1397-04-25,2018-07-16,183,پارس,PARS
1397-04-26,2018-07-17,192,پارس,PARS
1397-04-27,2018-07-18,192,پارس,PARS
1397-05-01,2018-07-23,202,پارس,PARS
1397-05-02,2018-07-24,198,پارس,PARS
1397-05-03,2018-07-25,200,پارس,PARS
1397-05-06,2018-07-28,207,پارس,PARS
1397-05-07,2018-07-29,216,پارس,PARS
1397-05-08,2018-07-30,225,پارس,PARS
1397-05-09,2018-07-31,235,پارس,PARS
1397-05-10,2018-08-01,247,پارس,PARS
1397-05-13,2018-08-04,262,پارس,PARS
1397-05-14,2018-08-05,270,پارس,PARS
1397-05-15,2018-08-06,284,پارس,PARS
1397-05-16,2018-08-07,278,پارس,PARS
1397-05-17,2018-08-08,272,پارس,PARS
1397-05-20,2018-08-11,260,پارس,PARS
1397-05-21,2018-08-12,268,پارس,PARS
1397-05-22,2018-08-13,266,پارس,PARS
1397-05-23,2018-08-14,269,پارس,PARS
1397-05-24,2018-08-15,267,پارس,PARS
1397-05-27,2018-08-18,271,پارس,PARS
1397-05-28,2018-08-19,274,پارس,PARS
1397-05-29,2018-08-20,277,پارس,PARS
1397-05-30,2018-08-21,273,پارس,PARS
1397-06-03,2018-08-25,261,پارس,PARS
1397-06-04,2018-08-26,263,پارس,PARS
1397-06-05,2018-08-27,263,پارس,PARS
1397-06-06,2018-08-28,257,پارس,PARS
1397-06-07,2018-08-29,263,پارس,PARS
1397-06-10,2018-09-01,256,پارس,PARS
1397-06-11,2018-09-02,253,پارس,PARS
1397-06-12,2018-09-03,258,پارس,PARS
1397-06-13,2018-09-04,260,پارس,PARS
1397-06-14,2018-09-05,259,پارس,PARS
1397-06-17,2018-09-08,260,پارس,PARS
1397-06-18,2018-09-09,274,پارس,PARS
1397-06-19,2018-09-10,272,پارس,PARS
1397-06-20,2018-09-11,274,پارس,PARS
1397-06-21,2018-09-12,285,پارس,PARS
1397-06-24,2018-09-15,293,پارس,PARS
1397-06-25,2018-09-16,290,پارس,PARS
1397-06-26,2018-09-17,285,پارس,PARS
1397-06-27,2018-09-18,283,پارس,PARS
1397-06-31,2018-09-22,282,پارس,PARS
1397-07-01,2018-09-23,290,پارس,PARS
1397-07-02,2018-09-24,291,پارس,PARS
1397-07-03,2018-09-25,305,پارس,PARS
1397-07-04,2018-09-26,314,پارس,PARS
1397-07-07,2018-09-29,330,پارس,PARS
1397-07-08,2018-09-30,342,پارس,PARS
1397-07-09,2018-10-01,323,پارس,PARS
1397-07-10,2018-10-02,307,پارس,PARS
1397-07-11,2018-10-03,305,پارس,PARS
1397-07-14,2018-10-06,284,پارس,PARS
1397-07-15,2018-10-07,277,پارس,PARS
1397-07-16,2018-10-08,287,پارس,PARS
1397-07-17,2018-10-09,293,پارس,PARS
1397-07-18,2018-10-10,300,پارس,PARS
1397-07-21,2018-10-13,286,پارس,PARS
1397-07-22,2018-10-14,294,پارس,PARS
1397-07-23,2018-10-15,305,پارس,PARS
1397-07-24,2018-10-16,311,پارس,PARS
1397-07-25,2018-10-17,315,پارس,PARS
1397-07-28,2018-10-20,327,پارس,PARS
1397-07-29,2018-10-21,325,پارس,PARS
1397-07-30,2018-10-22,346,پارس,PARS
1397-08-01,2018-10-23,359,پارس,PARS
1397-08-02,2018-10-24,342,پارس,PARS
1397-08-05,2018-10-27,333,پارس,PARS
1397-08-06,2018-10-28,337,پارس,PARS
1397-08-07,2018-10-29,339,پارس,PARS
1397-08-09,2018-10-31,333,پارس,PARS
1397-08-12,2018-11-03,327,پارس,PARS
1397-08-13,2018-11-04,327,پارس,PARS
1397-08-14,2018-11-05,326,پارس,PARS
1397-08-15,2018-11-06,324,پارس,PARS
1397-08-19,2018-11-10,315,پارس,PARS
1397-08-20,2018-11-11,309,پارس,PARS
1397-08-21,2018-11-12,308,پارس,PARS
1397-08-22,2018-11-13,308,پارس,PARS
1397-08-23,2018-11-14,302,پارس,PARS
1397-08-26,2018-11-17,292,پارس,PARS
1397-08-27,2018-11-18,292,پارس,PARS
1397-08-28,2018-11-19,292,پارس,PARS
1397-08-29,2018-11-20,295,پارس,PARS
1397-08-30,2018-11-21,288,پارس,PARS
1397-09-03,2018-11-24,275,پارس,PARS
1397-09-05,2018-11-26,262,پارس,PARS
1397-09-06,2018-11-27,263,پارس,PARS
1397-09-07,2018-11-28,259,پارس,PARS
1397-09-10,2018-12-01,252,پارس,PARS
1397-09-11,2018-12-02,261,پارس,PARS
1397-09-12,2018-12-03,265,پارس,PARS
1397-09-13,2018-12-04,263,پارس,PARS
1397-09-14,2018-12-05,260,پارس,PARS
1397-09-17,2018-12-08,259,پارس,PARS
1397-09-18,2018-12-09,259,پارس,PARS
1397-09-19,2018-12-10,260,پارس,PARS
1397-09-20,2018-12-11,257,پارس,PARS
1397-09-21,2018-12-12,255,پارس,PARS
1397-09-24,2018-12-15,255,پارس,PARS
1397-09-25,2018-12-16,252,پارس,PARS
1397-09-26,2018-12-17,249,پارس,PARS
1397-09-27,2018-12-18,244,پارس,PARS
1397-09-28,2018-12-19,239,پارس,PARS
1397-10-01,2018-12-22,235,پارس,PARS
1397-10-02,2018-12-23,239,پارس,PARS
1397-10-03,2018-12-24,240,پارس,PARS
1397-10-04,2018-12-25,236,پارس,PARS
1397-10-05,2018-12-26,248,پارس,PARS
1397-10-08,2018-12-29,258,پارس,PARS
1397-10-09,2018-12-30,256,پارس,PARS
1397-10-10,2018-12-31,254,پارس,PARS
1397-10-11,2019-01-01,251,پارس,PARS
1397-10-12,2019-01-02,251,پارس,PARS
1397-10-15,2019-01-05,253,پارس,PARS
1397-10-16,2019-01-06,252,پارس,PARS
1397-10-17,2019-01-07,265,پارس,PARS
1397-10-18,2019-01-08,272,پارس,PARS
1397-10-19,2019-01-09,270,پارس,PARS
1397-10-22,2019-01-12,271,پارس,PARS
1397-10-23,2019-01-13,266,پارس,PARS
1397-10-24,2019-01-14,261,پارس,PARS
1397-10-25,2019-01-15,266,پارس,PARS
1397-10-26,2019-01-16,266,پارس,PARS
1397-10-29,2019-01-19,270,پارس,PARS
1397-10-30,2019-01-20,265,پارس,PARS
1397-11-01,2019-01-21,255,پارس,PARS
1397-11-02,2019-01-22,255,پارس,PARS
1397-11-03,2019-01-23,254,پارس,PARS
1397-11-06,2019-01-26,250,پارس,PARS
1397-11-07,2019-01-27,249,پارس,PARS
1397-11-08,2019-01-28,248,پارس,PARS
1397-11-09,2019-01-29,251,پارس,PARS
1397-11-10,2019-01-30,250,پارس,PARS
1397-11-13,2019-02-02,248,پارس,PARS
1397-11-14,2019-02-03,246,پارس,PARS
1397-11-15,2019-02-04,245,پارس,PARS
1397-11-16,2019-02-05,246,پارس,PARS
1397-11-17,2019-02-06,244,پارس,PARS
1397-11-21,2019-02-10,246,پارس,PARS
1397-11-23,2019-02-12,245,پارس,PARS
1397-11-24,2019-02-13,243,پارس,PARS
1397-11-27,2019-02-16,246,پارس,PARS
1397-11-28,2019-02-17,244,پارس,PARS
1397-11-29,2019-02-18,243,پارس,PARS
1397-11-30,2019-02-19,244,پارس,PARS
1397-12-01,2019-02-20,249,پارس,PARS
1397-12-04,2019-02-23,258,پارس,PARS
1397-12-05,2019-02-24,268,پارس,PARS
1397-12-06,2019-02-25,264,پارس,PARS
1397-12-07,2019-02-26,260,پارس,PARS
1397-12-08,2019-02-27,260,پارس,PARS
1397-12-11,2019-03-02,255,پارس,PARS
1397-12-12,2019-03-03,253,پارس,PARS
1397-12-13,2019-03-04,253,پارس,PARS
1397-12-14,2019-03-05,256,پارس,PARS
1397-12-15,2019-03-06,253,پارس,PARS
1397-12-18,2019-03-09,254,پارس,PARS
1397-12-19,2019-03-10,261,پارس,PARS
1397-12-20,2019-03-11,263,پارس,PARS
1397-12-21,2019-03-12,262,پارس,PARS
1397-12-22,2019-03-13,262,پارس,PARS
1397-12-25,2019-03-16,266,پارس,PARS
1397-12-26,2019-03-17,278,پارس,PARS
1397-12-27,2019-03-18,287,پارس,PARS
1397-12-28,2019-03-19,280,پارس,PARS
1398-01-05,2019-03-25,280,پارس,PARS
1398-01-06,2019-03-26,281,پارس,PARS
1398-01-07,2019-03-27,284,پارس,PARS
1398-01-10,2019-03-30,295,پارس,PARS
1398-01-11,2019-03-31,291,پارس,PARS
1398-01-17,2019-04-06,292,پارس,PARS
1398-01-18,2019-04-07,291,پارس,PARS
1398-01-19,2019-04-08,297,پارس,PARS
1398-01-20,2019-04-09,299,پارس,PARS
1398-01-21,2019-04-10,304,پارس,PARS
1398-01-24,2019-04-13,301,پارس,PARS
1398-01-25,2019-04-14,302,پارس,PARS
1398-01-26,2019-04-15,304,پارس,PARS
1398-01-27,2019-04-16,302,پارس,PARS
1398-01-28,2019-04-17,305,پارس,PARS
1398-01-31,2019-04-20,305,پارس,PARS
1398-02-02,2019-04-22,301,پارس,PARS
1398-02-03,2019-04-23,302,پارس,PARS
1398-02-04,2019-04-24,300,پارس,PARS
1398-02-07,2019-04-27,300,پارس,PARS
1398-02-08,2019-04-28,302,پارس,PARS
1398-02-09,2019-04-29,316,پارس,PARS
1398-02-10,2019-04-30,319,پارس,PARS
1398-02-11,2019-05-01,320,پارس,PARS
1398-02-14,2019-05-04,321,پارس,PARS
1398-02-15,2019-05-05,317,پارس,PARS
1398-02-16,2019-05-06,305,پارس,PARS
1398-02-17,2019-05-07,290,پارس,PARS
1398-02-18,2019-05-08,297,پارس,PARS
1398-02-21,2019-05-11,288,پارس,PARS
1398-02-22,2019-05-12,293,پارس,PARS
1398-02-23,2019-05-13,294,پارس,PARS
1398-02-24,2019-05-14,298,پارس,PARS
1398-02-25,2019-05-15,295,پارس,PARS
1398-02-28,2019-05-18,301,پارس,PARS
1398-02-29,2019-05-19,309,پارس,PARS
1398-02-30,2019-05-20,322,پارس,PARS
1398-02-31,2019-05-21,328,پارس,PARS
1398-03-01,2019-05-22,324,پارس,PARS
1398-03-04,2019-05-25,323,پارس,PARS
1398-03-05,2019-05-26,322,پارس,PARS
1398-03-07,2019-05-28,333,پارس,PARS
1398-03-08,2019-05-29,330,پارس,PARS
1398-03-11,2019-06-01,333,پارس,PARS
1398-03-12,2019-06-02,338,پارس,PARS
1398-03-13,2019-06-03,338,پارس,PARS
1398-03-18,2019-06-08,333,پارس,PARS
1398-03-19,2019-06-09,329,پارس,PARS
1398-03-20,2019-06-10,328,پارس,PARS
1398-03-21,2019-06-11,327,پارس,PARS
1398-03-22,2019-06-12,328,پارس,PARS
1398-03-25,2019-06-15,326,پارس,PARS
1398-03-26,2019-06-16,330,پارس,PARS
1398-03-27,2019-06-17,341,پارس,PARS
1398-03-28,2019-06-18,337,پارس,PARS
1398-03-29,2019-06-19,336,پارس,PARS
1398-04-01,2019-06-22,338,پارس,PARS
1398-04-02,2019-06-23,344,پارس,PARS
1398-04-03,2019-06-24,352,پارس,PARS
1398-04-04,2019-06-25,352,پارس,PARS
1398-04-05,2019-06-26,362,پارس,PARS
1398-04-09,2019-06-30,359,پارس,PARS
1398-04-10,2019-07-01,361,پارس,PARS
1398-04-11,2019-07-02,360,پارس,PARS
1398-04-12,2019-07-03,359,پارس,PARS
1398-04-15,2019-07-06,348,پارس,PARS
1398-04-16,2019-07-07,354,پارس,PARS
1398-04-17,2019-07-08,363,پارس,PARS
1398-04-18,2019-07-09,365,پارس,PARS
1398-04-19,2019-07-10,365,پارس,PARS
1398-04-22,2019-07-13,369,پارس,PARS
1398-04-23,2019-07-14,381,پارس,PARS
1398-04-24,2019-07-15,386,پارس,PARS
1398-04-30,2019-07-21,401,پارس,PARS
1398-04-31,2019-07-22,422,پارس,PARS
1398-05-01,2019-07-23,420,پارس,PARS
1398-05-02,2019-07-24,418,پارس,PARS
1398-05-05,2019-07-27,412,پارس,PARS
1398-05-06,2019-07-28,406,پارس,PARS
1398-05-07,2019-07-29,405,پارس,PARS
1398-05-08,2019-07-30,406,پارس,PARS
1398-05-09,2019-07-31,405,پارس,PARS
1398-05-12,2019-08-03,401,پارس,PARS
1398-05-13,2019-08-04,396,پارس,PARS
1398-05-14,2019-08-05,391,پارس,PARS
1398-05-15,2019-08-06,386,پارس,PARS
1398-05-16,2019-08-07,385,پارس,PARS
1398-05-19,2019-08-10,380,پارس,PARS
1398-05-20,2019-08-11,377,پارس,PARS
1398-05-22,2019-08-13,386,پارس,PARS
1398-05-23,2019-08-14,391,پارس,PARS
1398-05-26,2019-08-17,384,پارس,PARS
1398-05-27,2019-08-18,378,پارس,PARS
1398-05-28,2019-08-19,377,پارس,PARS
1398-05-30,2019-08-21,382,پارس,PARS
1398-06-02,2019-08-24,380,پارس,PARS
1398-06-03,2019-08-25,386,پارس,PARS
1398-06-04,2019-08-26,401,پارس,PARS
1398-06-05,2019-08-27,406,پارس,PARS
1398-06-06,2019-08-28,414,پارس,PARS
1398-06-09,2019-08-31,416,پارس,PARS
1398-06-10,2019-09-01,417,پارس,PARS
1398-06-11,2019-09-02,417,پارس,PARS
1398-06-12,2019-09-03,418,پارس,PARS
1398-06-13,2019-09-04,415,پارس,PARS
1398-06-16,2019-09-07,423,پارس,PARS
1398-06-17,2019-09-08,427,پارس,PARS
1398-06-20,2019-09-11,445,پارس,PARS
1398-06-23,2019-09-14,454,پارس,PARS
1398-06-24,2019-09-15,450,پارس,PARS
1398-06-25,2019-09-16,448,پارس,PARS
1398-06-26,2019-09-17,438,پارس,PARS
