J-Date,Date,Adj Close,Ticker,Ticker(4)
1390-11-16,2012-02-05,1191,دهدشت,PDHP
1390-11-17,2012-02-06,1190,دهدشت,PDHP
1390-11-18,2012-02-07,1131,دهدشت,PDHP
1390-11-19,2012-02-08,1075,دهدشت,PDHP
1390-11-23,2012-02-12,1028,دهدشت,PDHP
1390-12-10,2012-02-29,977,دهدشت,PDHP
1390-12-13,2012-03-03,934,دهدشت,PDHP
1390-12-14,2012-03-04,883,دهدشت,PDHP
1390-12-15,2012-03-05,871,دهدشت,PDHP
1390-12-16,2012-03-06,828,دهدشت,PDHP
1390-12-17,2012-03-07,868,دهدشت,PDHP
1390-12-20,2012-03-10,826,دهدشت,PDHP
1390-12-21,2012-03-11,825,دهدشت,PDHP
1390-12-22,2012-03-12,783,دهدشت,PDHP
1390-12-24,2012-03-14,745,دهدشت,PDHP
1390-12-28,2012-03-18,709,دهدشت,PDHP
1391-01-05,2012-03-24,743,دهدشت,PDHP
1391-01-06,2012-03-25,780,دهدشت,PDHP
1391-01-07,2012-03-26,799,دهدشت,PDHP
1391-01-08,2012-03-27,836,دهدشت,PDHP
1391-01-09,2012-03-28,875,دهدشت,PDHP
1391-01-14,2012-04-02,915,دهدشت,PDHP
1391-01-15,2012-04-03,960,دهدشت,PDHP
1391-01-16,2012-04-04,1008,دهدشت,PDHP
1391-02-13,2012-05-02,958,دهدشت,PDHP
1391-02-16,2012-05-05,934,دهدشت,PDHP
1391-02-17,2012-05-06,934,دهدشت,PDHP
1391-02-18,2012-05-07,934,دهدشت,PDHP
1391-02-19,2012-05-08,934,دهدشت,PDHP
1391-02-23,2012-05-12,934,دهدشت,PDHP
1391-02-25,2012-05-14,934,دهدشت,PDHP
1391-02-27,2012-05-16,934,دهدشت,PDHP
1391-03-23,2012-06-12,934,دهدشت,PDHP
1391-03-30,2012-06-19,934,دهدشت,PDHP
1391-04-11,2012-07-01,934,دهدشت,PDHP
1391-04-19,2012-07-09,887,دهدشت,PDHP
1391-04-20,2012-07-10,931,دهدشت,PDHP
1391-04-24,2012-07-14,934,دهدشت,PDHP
1391-05-09,2012-07-30,941,دهدشت,PDHP
1391-07-03,2012-09-24,938,دهدشت,PDHP
1391-07-04,2012-09-25,938,دهدشت,PDHP
1391-07-08,2012-09-29,938,دهدشت,PDHP
1391-07-15,2012-10-06,938,دهدشت,PDHP
1391-07-24,2012-10-15,939,دهدشت,PDHP
1391-07-25,2012-10-16,938,دهدشت,PDHP
1391-08-01,2012-10-22,938,دهدشت,PDHP
1391-08-03,2012-10-24,938,دهدشت,PDHP
1391-08-08,2012-10-29,938,دهدشت,PDHP
1391-08-09,2012-10-30,940,دهدشت,PDHP
1391-08-14,2012-11-04,938,دهدشت,PDHP
1391-08-16,2012-11-06,938,دهدشت,PDHP
1391-09-07,2012-11-27,938,دهدشت,PDHP
1391-11-24,2013-02-12,938,دهدشت,PDHP
1391-12-07,2013-02-25,947,دهدشت,PDHP
1391-12-21,2013-03-11,940,دهدشت,PDHP
1391-12-23,2013-03-13,940,دهدشت,PDHP
1391-12-27,2013-03-17,940,دهدشت,PDHP
1392-02-08,2013-04-28,996,دهدشت,PDHP
1392-02-09,2013-04-29,939,دهدشت,PDHP
1392-02-11,2013-05-01,938,دهدشت,PDHP
1392-03-05,2013-05-26,938,دهدشت,PDHP
1392-03-06,2013-05-27,941,دهدشت,PDHP
1392-03-12,2013-06-02,938,دهدشت,PDHP
1392-03-26,2013-06-16,940,دهدشت,PDHP
1392-04-04,2013-06-25,984,دهدشت,PDHP
1392-05-02,2013-07-24,1400,دهدشت,PDHP
1392-05-21,2013-08-12,938,دهدشت,PDHP
1392-06-25,2013-09-16,952,دهدشت,PDHP
1392-06-26,2013-09-17,999,دهدشت,PDHP
1392-06-30,2013-09-21,949,دهدشت,PDHP
1392-07-01,2013-09-23,938,دهدشت,PDHP
1392-07-07,2013-09-29,939,دهدشت,PDHP
1392-07-15,2013-10-07,939,دهدشت,PDHP
1392-07-27,2013-10-19,986,دهدشت,PDHP
1392-08-05,2013-10-27,1035,دهدشت,PDHP
1392-08-06,2013-10-28,1017,دهدشت,PDHP
1392-08-07,2013-10-29,1032,دهدشت,PDHP
1392-08-08,2013-10-30,981,دهدشت,PDHP
1392-08-13,2013-11-04,976,دهدشت,PDHP
1392-08-14,2013-11-05,928,دهدشت,PDHP
1392-08-15,2013-11-06,938,دهدشت,PDHP
1392-08-18,2013-11-09,938,دهدشت,PDHP
1392-08-19,2013-11-10,937,دهدشت,PDHP
1392-08-20,2013-11-11,891,دهدشت,PDHP
1392-09-02,2013-11-23,937,دهدشت,PDHP
1392-09-03,2013-11-24,1125,دهدشت,PDHP
1392-09-04,2013-11-25,1047,دهدشت,PDHP
1392-09-05,2013-11-26,1099,دهدشت,PDHP
1392-09-06,2013-11-27,1153,دهدشت,PDHP
1392-09-09,2013-11-30,1211,دهدشت,PDHP
1392-09-10,2013-12-01,1271,دهدشت,PDHP
1392-09-13,2013-12-04,1333,دهدشت,PDHP
1392-09-16,2013-12-07,1400,دهدشت,PDHP
1392-09-18,2013-12-09,1469,دهدشت,PDHP
1392-09-19,2013-12-10,1543,دهدشت,PDHP
1392-09-20,2013-12-11,1619,دهدشت,PDHP
1392-09-23,2013-12-14,1700,دهدشت,PDHP
1392-10-04,2013-12-25,1785,دهدشت,PDHP
1392-10-07,2013-12-28,1846,دهدشت,PDHP
1392-10-08,2013-12-29,1783,دهدشت,PDHP
1392-10-09,2013-12-30,1722,دهدشت,PDHP
1392-10-11,2014-01-01,1844,دهدشت,PDHP
1392-10-14,2014-01-04,1935,دهدشت,PDHP
1392-10-15,2014-01-05,2031,دهدشت,PDHP
1392-10-16,2014-01-06,2133,دهدشت,PDHP
1392-10-17,2014-01-07,2233,دهدشت,PDHP
1392-10-18,2014-01-08,2311,دهدشت,PDHP
1392-10-21,2014-01-11,2195,دهدشت,PDHP
1392-10-22,2014-01-12,2086,دهدشت,PDHP
1392-10-23,2014-01-13,1982,دهدشت,PDHP
1392-10-24,2014-01-14,1883,دهدشت,PDHP
1392-10-25,2014-01-15,1789,دهدشت,PDHP
1392-10-30,2014-01-20,1702,دهدشت,PDHP
1392-11-01,2014-01-21,1786,دهدشت,PDHP
1392-11-02,2014-01-22,1561,دهدشت,PDHP
1392-11-05,2014-01-25,1483,دهدشت,PDHP
1392-11-06,2014-01-26,1409,دهدشت,PDHP
1392-11-08,2014-01-28,1339,دهدشت,PDHP
1392-11-09,2014-01-29,1411,دهدشت,PDHP
1392-11-12,2014-02-01,1482,دهدشت,PDHP
1392-11-13,2014-02-02,1482,دهدشت,PDHP
1392-11-14,2014-02-03,1527,دهدشت,PDHP
1392-11-15,2014-02-04,1589,دهدشت,PDHP
1392-11-16,2014-02-05,1498,دهدشت,PDHP
1392-11-20,2014-02-09,1424,دهدشت,PDHP
1392-11-21,2014-02-10,1354,دهدشت,PDHP
1392-11-26,2014-02-15,1287,دهدشت,PDHP
1392-11-27,2014-02-16,1294,دهدشت,PDHP
1392-11-28,2014-02-17,1286,دهدشت,PDHP
1392-11-29,2014-02-18,1225,دهدشت,PDHP
1392-11-30,2014-02-19,1184,دهدشت,PDHP
1392-12-05,2014-02-24,1172,دهدشت,PDHP
1392-12-07,2014-02-26,1125,دهدشت,PDHP
1392-12-11,2014-03-02,938,دهدشت,PDHP
1392-12-12,2014-03-03,1125,دهدشت,PDHP
1392-12-13,2014-03-04,984,دهدشت,PDHP
1392-12-14,2014-03-05,958,دهدشت,PDHP
1392-12-17,2014-03-08,1106,دهدشت,PDHP
1392-12-18,2014-03-09,1124,دهدشت,PDHP
1392-12-19,2014-03-10,1052,دهدشت,PDHP
1392-12-20,2014-03-11,1003,دهدشت,PDHP
1392-12-21,2014-03-12,994,دهدشت,PDHP
1392-12-24,2014-03-15,1266,دهدشت,PDHP
1392-12-26,2014-03-17,1135,دهدشت,PDHP
1392-12-27,2014-03-18,1251,دهدشت,PDHP
1392-12-28,2014-03-19,1218,دهدشت,PDHP
1393-01-06,2014-03-26,1069,دهدشت,PDHP
1393-01-10,2014-03-30,1097,دهدشت,PDHP
1393-01-16,2014-04-05,1170,دهدشت,PDHP
1393-01-17,2014-04-06,1181,دهدشت,PDHP
1393-01-19,2014-04-08,1144,دهدشت,PDHP
1393-01-20,2014-04-09,1106,دهدشت,PDHP
1393-01-23,2014-04-12,1106,دهدشت,PDHP
1393-01-24,2014-04-13,1078,دهدشت,PDHP
1393-01-25,2014-04-14,1064,دهدشت,PDHP
1393-01-27,2014-04-16,1014,دهدشت,PDHP
1393-01-30,2014-04-19,1092,دهدشت,PDHP
1393-02-01,2014-04-21,1031,دهدشت,PDHP
1393-02-03,2014-04-23,1003,دهدشت,PDHP
1393-02-06,2014-04-26,1032,دهدشت,PDHP
1393-02-07,2014-04-27,1069,دهدشت,PDHP
1393-02-08,2014-04-28,1078,دهدشت,PDHP
