J-Date,Date,Adj Close,Ticker,Ticker(4)
1399-02-10,2020-04-29,5381,غگیلا,PEGZ
1399-02-13,2020-05-02,5650,غگیلا,PEGZ
1399-02-14,2020-05-03,5657,غگیلا,PEGZ
1399-02-15,2020-05-04,5721,غگیلا,PEGZ
1399-02-16,2020-05-05,5731,غگیلا,PEGZ
1399-02-17,2020-05-06,5743,غگیلا,PEGZ
1399-02-20,2020-05-09,5758,غگیلا,PEGZ
1399-02-21,2020-05-10,5777,غگیلا,PEGZ
1399-02-22,2020-05-11,5802,غگیلا,PEGZ
1399-02-23,2020-05-12,5816,غگیلا,PEGZ
1399-02-24,2020-05-13,5835,غگیلا,PEGZ
1399-02-27,2020-05-16,5854,غگیلا,PEGZ
1399-02-28,2020-05-17,5871,غگیلا,PEGZ
1399-03-06,2020-05-26,5889,غگیلا,PEGZ
1399-03-07,2020-05-27,5903,غگیلا,PEGZ
1399-03-10,2020-05-30,5911,غگیلا,PEGZ
1399-03-11,2020-05-31,5948,غگیلا,PEGZ
1399-03-12,2020-06-01,5969,غگیلا,PEGZ
1399-03-13,2020-06-02,5986,غگیلا,PEGZ
1399-03-17,2020-06-06,6007,غگیلا,PEGZ
1399-03-18,2020-06-07,6025,غگیلا,PEGZ
1399-03-19,2020-06-08,6059,غگیلا,PEGZ
1399-03-20,2020-06-09,6089,غگیلا,PEGZ
1399-03-21,2020-06-10,6107,غگیلا,PEGZ
1399-03-24,2020-06-13,6127,غگیلا,PEGZ
1399-03-25,2020-06-14,6148,غگیلا,PEGZ
1399-03-26,2020-06-15,6171,غگیلا,PEGZ
1399-03-27,2020-06-16,6194,غگیلا,PEGZ
1399-03-31,2020-06-20,6227,غگیلا,PEGZ
1399-04-01,2020-06-21,6254,غگیلا,PEGZ
1399-04-02,2020-06-22,6275,غگیلا,PEGZ
1399-04-03,2020-06-23,6297,غگیلا,PEGZ
1399-04-04,2020-06-24,6326,غگیلا,PEGZ
1399-04-07,2020-06-27,6345,غگیلا,PEGZ
1399-04-08,2020-06-28,6363,غگیلا,PEGZ
1399-04-10,2020-06-30,6377,غگیلا,PEGZ
1399-04-11,2020-07-01,6388,غگیلا,PEGZ
1399-04-14,2020-07-04,6421,غگیلا,PEGZ
1399-04-15,2020-07-05,6454,غگیلا,PEGZ
1399-04-16,2020-07-06,6474,غگیلا,PEGZ
1399-04-17,2020-07-07,6492,غگیلا,PEGZ
1399-04-18,2020-07-08,6511,غگیلا,PEGZ
1399-04-21,2020-07-11,6536,غگیلا,PEGZ
1399-04-22,2020-07-12,6557,غگیلا,PEGZ
1399-04-23,2020-07-13,6580,غگیلا,PEGZ
1399-04-24,2020-07-14,6596,غگیلا,PEGZ
1399-04-25,2020-07-15,6621,غگیلا,PEGZ
1399-04-28,2020-07-18,6634,غگیلا,PEGZ
1399-04-29,2020-07-19,6647,غگیلا,PEGZ
1399-04-30,2020-07-20,6660,غگیلا,PEGZ
1399-04-31,2020-07-21,6673,غگیلا,PEGZ
1399-05-01,2020-07-22,6685,غگیلا,PEGZ
1399-05-04,2020-07-25,6698,غگیلا,PEGZ
1399-05-05,2020-07-26,6721,غگیلا,PEGZ
1399-05-06,2020-07-27,6732,غگیلا,PEGZ
1399-05-07,2020-07-28,6744,غگیلا,PEGZ
1399-05-08,2020-07-29,6761,غگیلا,PEGZ
1399-05-11,2020-08-01,6773,غگیلا,PEGZ
1399-05-12,2020-08-02,6784,غگیلا,PEGZ
1399-05-13,2020-08-03,6799,غگیلا,PEGZ
1399-05-19,2020-08-09,6808,غگیلا,PEGZ
1399-05-20,2020-08-10,6822,غگیلا,PEGZ
1399-05-21,2020-08-11,6831,غگیلا,PEGZ
1399-05-22,2020-08-12,6840,غگیلا,PEGZ
1399-05-25,2020-08-15,6849,غگیلا,PEGZ
1399-05-26,2020-08-16,6854,غگیلا,PEGZ
1399-05-27,2020-08-17,6862,غگیلا,PEGZ
1399-05-28,2020-08-18,6868,غگیلا,PEGZ
1399-05-29,2020-08-19,6878,غگیلا,PEGZ
1399-06-01,2020-08-22,6888,غگیلا,PEGZ
1399-06-02,2020-08-23,6895,غگیلا,PEGZ
1399-06-03,2020-08-24,6908,غگیلا,PEGZ
1399-06-04,2020-08-25,6915,غگیلا,PEGZ
1399-06-05,2020-08-26,6923,غگیلا,PEGZ
1399-06-10,2020-08-31,6931,غگیلا,PEGZ
1399-06-11,2020-09-01,6944,غگیلا,PEGZ
1399-06-12,2020-09-02,6954,غگیلا,PEGZ
1399-06-15,2020-09-05,6961,غگیلا,PEGZ
1399-06-16,2020-09-06,6971,غگیلا,PEGZ
1399-06-17,2020-09-07,6983,غگیلا,PEGZ
1399-06-18,2020-09-08,6999,غگیلا,PEGZ
1399-06-19,2020-09-09,7010,غگیلا,PEGZ
1399-06-22,2020-09-12,7024,غگیلا,PEGZ
1399-06-23,2020-09-13,7033,غگیلا,PEGZ
1399-06-24,2020-09-14,7047,غگیلا,PEGZ
1399-06-25,2020-09-15,7056,غگیلا,PEGZ
1399-06-26,2020-09-16,7073,غگیلا,PEGZ
1399-06-29,2020-09-19,7094,غگیلا,PEGZ
1399-06-30,2020-09-20,7126,غگیلا,PEGZ
1399-06-31,2020-09-21,7158,غگیلا,PEGZ
1399-07-01,2020-09-22,7182,غگیلا,PEGZ
1399-07-02,2020-09-23,7191,غگیلا,PEGZ
1399-07-05,2020-09-26,7203,غگیلا,PEGZ
1399-07-06,2020-09-27,7217,غگیلا,PEGZ
1399-07-07,2020-09-28,7228,غگیلا,PEGZ
1399-07-08,2020-09-29,7240,غگیلا,PEGZ
1399-07-09,2020-09-30,7255,غگیلا,PEGZ
1399-07-12,2020-10-03,7267,غگیلا,PEGZ
1399-07-13,2020-10-04,7281,غگیلا,PEGZ
1399-07-14,2020-10-05,7295,غگیلا,PEGZ
1399-07-15,2020-10-06,7314,غگیلا,PEGZ
1399-07-16,2020-10-07,7316,غگیلا,PEGZ
1399-07-19,2020-10-10,7364,غگیلا,PEGZ
1399-07-20,2020-10-11,7380,غگیلا,PEGZ
1399-07-21,2020-10-12,7408,غگیلا,PEGZ
1399-07-22,2020-10-13,7425,غگیلا,PEGZ
1399-07-23,2020-10-14,7441,غگیلا,PEGZ
1399-07-27,2020-10-18,7458,غگیلا,PEGZ
1399-07-28,2020-10-19,7473,غگیلا,PEGZ
1399-07-29,2020-10-20,7483,غگیلا,PEGZ
1399-07-30,2020-10-21,7493,غگیلا,PEGZ
1399-08-03,2020-10-24,7508,غگیلا,PEGZ
1399-08-05,2020-10-26,7519,غگیلا,PEGZ
1399-08-06,2020-10-27,7535,غگیلا,PEGZ
1399-08-07,2020-10-28,7546,غگیلا,PEGZ
1399-08-10,2020-10-31,7557,غگیلا,PEGZ
1399-08-11,2020-11-01,7569,غگیلا,PEGZ
1399-08-12,2020-11-02,7583,غگیلا,PEGZ
1399-08-14,2020-11-04,7593,غگیلا,PEGZ
1399-08-17,2020-11-07,7605,غگیلا,PEGZ
1399-08-18,2020-11-08,7613,غگیلا,PEGZ
1399-08-19,2020-11-09,7681,غگیلا,PEGZ
1399-08-20,2020-11-10,7715,غگیلا,PEGZ
1399-08-21,2020-11-11,7725,غگیلا,PEGZ
1399-08-24,2020-11-14,7739,غگیلا,PEGZ
1399-08-25,2020-11-15,7751,غگیلا,PEGZ
1399-08-26,2020-11-16,7761,غگیلا,PEGZ
1399-08-27,2020-11-17,7771,غگیلا,PEGZ
1399-08-28,2020-11-18,7782,غگیلا,PEGZ
1399-09-01,2020-11-21,7796,غگیلا,PEGZ
1399-09-04,2020-11-24,7802,غگیلا,PEGZ
1399-09-05,2020-11-25,7809,غگیلا,PEGZ
1399-09-08,2020-11-28,7825,غگیلا,PEGZ
1399-09-09,2020-11-29,7841,غگیلا,PEGZ
1399-09-10,2020-11-30,7856,غگیلا,PEGZ
1399-09-11,2020-12-01,7872,غگیلا,PEGZ
1399-09-12,2020-12-02,7895,غگیلا,PEGZ
1399-09-15,2020-12-05,7912,غگیلا,PEGZ
1399-09-16,2020-12-06,7934,غگیلا,PEGZ
1399-09-17,2020-12-07,7947,غگیلا,PEGZ
1399-09-18,2020-12-08,7972,غگیلا,PEGZ
1399-09-19,2020-12-09,7994,غگیلا,PEGZ
1399-09-22,2020-12-12,8018,غگیلا,PEGZ
1399-09-23,2020-12-13,8029,غگیلا,PEGZ
1399-09-24,2020-12-14,8177,غگیلا,PEGZ
1399-09-25,2020-12-15,8261,غگیلا,PEGZ
1399-09-26,2020-12-16,8351,غگیلا,PEGZ
1399-09-29,2020-12-19,8430,غگیلا,PEGZ
1399-09-30,2020-12-20,8517,غگیلا,PEGZ
1399-10-01,2020-12-21,8602,غگیلا,PEGZ
1399-10-02,2020-12-22,8743,غگیلا,PEGZ
1399-10-03,2020-12-23,8832,غگیلا,PEGZ
1399-10-06,2020-12-26,8922,غگیلا,PEGZ
1399-10-07,2020-12-27,9022,غگیلا,PEGZ
1399-10-08,2020-12-28,9124,غگیلا,PEGZ
1399-10-09,2020-12-29,9225,غگیلا,PEGZ
1399-10-10,2020-12-30,9396,غگیلا,PEGZ
1399-10-13,2021-01-02,9413,غگیلا,PEGZ
1399-10-14,2021-01-03,9505,غگیلا,PEGZ
1399-10-15,2021-01-04,9598,غگیلا,PEGZ
1399-10-16,2021-01-05,9693,غگیلا,PEGZ
1399-10-17,2021-01-06,9709,غگیلا,PEGZ
1399-10-20,2021-01-09,9806,غگیلا,PEGZ
1399-10-21,2021-01-10,9821,غگیلا,PEGZ
1399-10-22,2021-01-11,9838,غگیلا,PEGZ
1399-10-23,2021-01-12,9852,غگیلا,PEGZ
1399-10-24,2021-01-13,9865,غگیلا,PEGZ
1399-10-27,2021-01-16,9882,غگیلا,PEGZ
1399-10-29,2021-01-18,9934,غگیلا,PEGZ
1399-10-30,2021-01-19,9958,غگیلا,PEGZ
1399-11-01,2021-01-20,9968,غگیلا,PEGZ
1399-11-04,2021-01-23,9979,غگیلا,PEGZ
1399-11-05,2021-01-24,10000,غگیلا,PEGZ
1399-11-06,2021-01-25,10019,غگیلا,PEGZ
1399-11-07,2021-01-26,10028,غگیلا,PEGZ
1399-11-08,2021-01-27,10040,غگیلا,PEGZ
1399-11-11,2021-01-30,10051,غگیلا,PEGZ
1399-11-12,2021-01-31,10083,غگیلا,PEGZ
1399-11-13,2021-02-01,10095,غگیلا,PEGZ
1399-11-14,2021-02-02,10106,غگیلا,PEGZ
1399-11-15,2021-02-03,10117,غگیلا,PEGZ
1399-11-18,2021-02-06,10132,غگیلا,PEGZ
1399-11-19,2021-02-07,10152,غگیلا,PEGZ
1399-11-20,2021-02-08,10163,غگیلا,PEGZ
1399-11-21,2021-02-09,10181,غگیلا,PEGZ
1399-11-25,2021-02-13,10299,غگیلا,PEGZ
1399-11-26,2021-02-14,10368,غگیلا,PEGZ
1399-11-27,2021-02-15,10380,غگیلا,PEGZ
1399-11-28,2021-02-16,10390,غگیلا,PEGZ
1399-11-29,2021-02-17,10398,غگیلا,PEGZ
1399-12-02,2021-02-20,10409,غگیلا,PEGZ
1399-12-03,2021-02-21,10421,غگیلا,PEGZ
1399-12-04,2021-02-22,10433,غگیلا,PEGZ
1399-12-05,2021-02-23,10449,غگیلا,PEGZ
1399-12-06,2021-02-24,10469,غگیلا,PEGZ
1399-12-09,2021-02-27,10498,غگیلا,PEGZ
1399-12-10,2021-02-28,10512,غگیلا,PEGZ
1399-12-11,2021-03-01,10527,غگیلا,PEGZ
1399-12-12,2021-03-02,10542,غگیلا,PEGZ
1399-12-13,2021-03-03,10559,غگیلا,PEGZ
1399-12-16,2021-03-06,10577,غگیلا,PEGZ
1399-12-17,2021-03-07,10589,غگیلا,PEGZ
1399-12-18,2021-03-08,10603,غگیلا,PEGZ
1400-01-11,2021-03-31,10620,غگیلا,PEGZ
1400-01-14,2021-04-03,10644,غگیلا,PEGZ
1400-01-15,2021-04-04,10655,غگیلا,PEGZ
1400-01-16,2021-04-05,10663,غگیلا,PEGZ
1400-01-17,2021-04-06,10672,غگیلا,PEGZ
1400-01-18,2021-04-07,10680,غگیلا,PEGZ
1400-01-21,2021-04-10,10687,غگیلا,PEGZ
1400-01-22,2021-04-11,10702,غگیلا,PEGZ
1400-01-23,2021-04-12,10709,غگیلا,PEGZ
1400-01-24,2021-04-13,10717,غگیلا,PEGZ
1400-01-25,2021-04-14,10730,غگیلا,PEGZ
1400-01-28,2021-04-17,10737,غگیلا,PEGZ
1400-01-29,2021-04-18,10765,غگیلا,PEGZ
1400-01-30,2021-04-19,10770,غگیلا,PEGZ
1400-01-31,2021-04-20,10776,غگیلا,PEGZ
1400-02-01,2021-04-21,10816,غگیلا,PEGZ
1400-02-04,2021-04-24,10830,غگیلا,PEGZ
1400-02-05,2021-04-25,10841,غگیلا,PEGZ
1400-02-06,2021-04-26,10849,غگیلا,PEGZ
1400-02-07,2021-04-27,10854,غگیلا,PEGZ
1400-02-08,2021-04-28,10860,غگیلا,PEGZ
1400-02-11,2021-05-01,10864,غگیلا,PEGZ
1400-02-12,2021-05-02,10878,غگیلا,PEGZ
1400-02-13,2021-05-03,10883,غگیلا,PEGZ
1400-02-29,2021-05-19,14552,غگیلا,PEGZ
1400-03-01,2021-05-22,13824,غگیلا,PEGZ
1400-03-02,2021-05-23,13224,غگیلا,PEGZ
1400-03-03,2021-05-24,13182,غگیلا,PEGZ
1400-03-04,2021-05-25,13054,غگیلا,PEGZ
1400-03-05,2021-05-26,12995,غگیلا,PEGZ
1400-03-08,2021-05-29,13551,غگیلا,PEGZ
1400-03-09,2021-05-30,13767,غگیلا,PEGZ
1400-03-10,2021-05-31,13010,غگیلا,PEGZ
1400-03-11,2021-06-01,12779,غگیلا,PEGZ
1400-03-12,2021-06-02,13549,غگیلا,PEGZ
1400-03-17,2021-06-07,13743,غگیلا,PEGZ
1400-03-18,2021-06-08,13212,غگیلا,PEGZ
1400-03-19,2021-06-09,13051,غگیلا,PEGZ
1400-03-22,2021-06-12,12486,غگیلا,PEGZ
1400-03-23,2021-06-13,12927,غگیلا,PEGZ
1400-03-24,2021-06-14,12704,غگیلا,PEGZ
1400-03-25,2021-06-15,12327,غگیلا,PEGZ
1400-03-26,2021-06-16,12153,غگیلا,PEGZ
1400-03-29,2021-06-19,11665,غگیلا,PEGZ
1400-03-30,2021-06-20,11329,غگیلا,PEGZ
1400-03-31,2021-06-21,10840,غگیلا,PEGZ
1400-04-01,2021-06-22,11353,غگیلا,PEGZ
1400-04-02,2021-06-23,11613,غگیلا,PEGZ
1400-04-05,2021-06-26,11733,غگیلا,PEGZ
1400-04-06,2021-06-27,11434,غگیلا,PEGZ
1400-04-07,2021-06-28,11153,غگیلا,PEGZ
1400-04-08,2021-06-29,11805,غگیلا,PEGZ
1400-04-09,2021-06-30,11857,غگیلا,PEGZ
1400-04-12,2021-07-03,11493,غگیلا,PEGZ
1400-04-13,2021-07-04,12157,غگیلا,PEGZ
1400-04-14,2021-07-05,12317,غگیلا,PEGZ
1400-04-15,2021-07-06,12204,غگیلا,PEGZ
1400-04-16,2021-07-07,11895,غگیلا,PEGZ
1400-04-19,2021-07-10,12089,غگیلا,PEGZ
1400-04-20,2021-07-11,12180,غگیلا,PEGZ
1400-04-21,2021-07-12,12650,غگیلا,PEGZ
1400-04-22,2021-07-13,13195,غگیلا,PEGZ
1400-04-23,2021-07-14,13827,غگیلا,PEGZ
1400-04-26,2021-07-17,14382,غگیلا,PEGZ
