J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-06,2001-03-26,595,لپارس,PELC
1380-01-08,2001-03-28,596,لپارس,PELC
1380-01-11,2001-03-31,596,لپارس,PELC
1380-01-14,2001-04-03,594,لپارس,PELC
1380-01-18,2001-04-07,593,لپارس,PELC
1380-01-19,2001-04-08,593,لپارس,PELC
1380-01-20,2001-04-09,571,لپارس,PELC
1380-01-22,2001-04-11,569,لپارس,PELC
1380-01-25,2001-04-14,567,لپارس,PELC
1380-01-26,2001-04-15,562,لپارس,PELC
1380-01-28,2001-04-17,571,لپارس,PELC
1380-01-29,2001-04-18,546,لپارس,PELC
1380-02-01,2001-04-21,542,لپارس,PELC
1380-02-02,2001-04-22,542,لپارس,PELC
1380-02-03,2001-04-23,539,لپارس,PELC
1380-02-04,2001-04-24,537,لپارس,PELC
1380-02-05,2001-04-25,534,لپارس,PELC
1380-02-08,2001-04-28,540,لپارس,PELC
1380-02-09,2001-04-29,551,لپارس,PELC
1380-02-10,2001-04-30,558,لپارس,PELC
1380-03-02,2001-05-23,535,لپارس,PELC
1380-03-05,2001-05-26,513,لپارس,PELC
1380-03-06,2001-05-27,500,لپارس,PELC
1380-03-07,2001-05-28,475,لپارس,PELC
1380-03-08,2001-05-29,455,لپارس,PELC
1380-03-09,2001-05-30,454,لپارس,PELC
1380-03-12,2001-06-02,436,لپارس,PELC
1380-03-13,2001-06-03,422,لپارس,PELC
1380-03-16,2001-06-06,436,لپارس,PELC
1380-03-19,2001-06-09,441,لپارس,PELC
1380-03-21,2001-06-11,442,لپارس,PELC
1380-03-22,2001-06-12,446,لپارس,PELC
1380-03-23,2001-06-13,456,لپارس,PELC
1380-03-26,2001-06-16,479,لپارس,PELC
1380-03-27,2001-06-17,493,لپارس,PELC
1380-03-28,2001-06-18,493,لپارس,PELC
1380-03-29,2001-06-19,493,لپارس,PELC
1380-03-30,2001-06-20,493,لپارس,PELC
1380-04-02,2001-06-23,481,لپارس,PELC
1380-04-03,2001-06-24,465,لپارس,PELC
1380-04-19,2001-07-10,337,لپارس,PELC
1380-04-20,2001-07-11,354,لپارس,PELC
1380-04-23,2001-07-14,371,لپارس,PELC
1380-04-24,2001-07-15,390,لپارس,PELC
1380-04-25,2001-07-16,409,لپارس,PELC
1380-04-26,2001-07-17,409,لپارس,PELC
1380-04-27,2001-07-18,402,لپارس,PELC
1380-04-30,2001-07-21,404,لپارس,PELC
1380-04-31,2001-07-22,389,لپارس,PELC
1380-05-01,2001-07-23,389,لپارس,PELC
1380-05-02,2001-07-24,376,لپارس,PELC
1380-05-03,2001-07-25,363,لپارس,PELC
1380-05-06,2001-07-28,363,لپارس,PELC
1380-05-07,2001-07-29,355,لپارس,PELC
1380-05-08,2001-07-30,355,لپارس,PELC
1380-05-09,2001-07-31,360,لپارس,PELC
1380-05-10,2001-08-01,363,لپارس,PELC
1380-05-13,2001-08-04,363,لپارس,PELC
1380-05-14,2001-08-05,363,لپارس,PELC
1380-05-15,2001-08-06,362,لپارس,PELC
1380-05-16,2001-08-07,360,لپارس,PELC
1380-05-17,2001-08-08,353,لپارس,PELC
1380-05-20,2001-08-11,354,لپارس,PELC
1380-05-21,2001-08-12,351,لپارس,PELC
1380-05-22,2001-08-13,343,لپارس,PELC
1380-05-23,2001-08-14,350,لپارس,PELC
1380-05-24,2001-08-15,351,لپارس,PELC
1380-05-27,2001-08-18,355,لپارس,PELC
1380-05-28,2001-08-19,359,لپارس,PELC
1380-05-29,2001-08-20,358,لپارس,PELC
1380-05-30,2001-08-21,353,لپارس,PELC
1380-05-31,2001-08-22,355,لپارس,PELC
1380-06-03,2001-08-25,353,لپارس,PELC
1380-06-04,2001-08-26,350,لپارس,PELC
1380-06-05,2001-08-27,345,لپارس,PELC
1380-06-06,2001-08-28,329,لپارس,PELC
1380-06-07,2001-08-29,342,لپارس,PELC
1380-06-10,2001-09-01,350,لپارس,PELC
1380-06-11,2001-09-02,349,لپارس,PELC
1380-06-12,2001-09-03,348,لپارس,PELC
1380-06-13,2001-09-04,337,لپارس,PELC
1380-06-14,2001-09-05,332,لپارس,PELC
1380-06-17,2001-09-08,332,لپارس,PELC
1380-06-18,2001-09-09,337,لپارس,PELC
1380-06-19,2001-09-10,337,لپارس,PELC
1380-06-20,2001-09-11,337,لپارس,PELC
1380-06-21,2001-09-12,337,لپارس,PELC
1380-06-24,2001-09-15,332,لپارس,PELC
1380-06-25,2001-09-16,332,لپارس,PELC
1380-06-26,2001-09-17,331,لپارس,PELC
1380-06-27,2001-09-18,337,لپارس,PELC
1380-06-28,2001-09-19,337,لپارس,PELC
1380-06-31,2001-09-22,337,لپارس,PELC
1380-07-01,2001-09-23,345,لپارس,PELC
1380-07-02,2001-09-24,350,لپارس,PELC
1380-07-03,2001-09-25,348,لپارس,PELC
1380-07-04,2001-09-26,344,لپارس,PELC
1380-07-07,2001-09-29,341,لپارس,PELC
1380-07-08,2001-09-30,340,لپارس,PELC
1380-07-10,2001-10-02,339,لپارس,PELC
1380-07-11,2001-10-03,332,لپارس,PELC
1380-07-14,2001-10-06,332,لپارس,PELC
1380-07-15,2001-10-07,331,لپارس,PELC
1380-07-16,2001-10-08,328,لپارس,PELC
1380-07-17,2001-10-09,321,لپارس,PELC
1380-07-21,2001-10-13,316,لپارس,PELC
1380-07-22,2001-10-14,324,لپارس,PELC
1380-07-24,2001-10-16,323,لپارس,PELC
