J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-06,2001-03-26,28797,شصفها,PESP
1380-01-07,2001-03-27,28077,شصفها,PESP
1380-01-08,2001-03-28,27410,شصفها,PESP
1380-01-11,2001-03-31,27887,شصفها,PESP
1380-01-14,2001-04-03,27922,شصفها,PESP
1380-01-18,2001-04-07,28141,شصفها,PESP
1380-01-19,2001-04-08,28214,شصفها,PESP
1380-01-20,2001-04-09,28287,شصفها,PESP
1380-01-21,2001-04-10,28214,شصفها,PESP
1380-01-22,2001-04-11,28037,شصفها,PESP
1380-01-25,2001-04-14,28032,شصفها,PESP
1380-01-26,2001-04-15,28112,شصفها,PESP
1380-01-27,2001-04-16,28287,شصفها,PESP
1380-01-28,2001-04-17,28360,شصفها,PESP
1380-01-29,2001-04-18,28352,شصفها,PESP
1380-02-01,2001-04-21,28132,شصفها,PESP
1380-02-02,2001-04-22,27852,شصفها,PESP
1380-02-03,2001-04-23,27666,شصفها,PESP
1380-02-04,2001-04-24,27556,شصفها,PESP
1380-02-05,2001-04-25,27832,شصفها,PESP
1380-02-08,2001-04-28,27922,شصفها,PESP
1380-02-09,2001-04-29,27776,شصفها,PESP
1380-02-10,2001-04-30,27498,شصفها,PESP
1380-02-11,2001-05-01,27223,شصفها,PESP
1380-02-12,2001-05-02,27184,شصفها,PESP
1380-02-15,2001-05-05,27144,شصفها,PESP
1380-02-16,2001-05-06,27081,شصفها,PESP
1380-02-17,2001-05-07,27651,شصفها,PESP
1380-02-18,2001-05-08,28342,شصفها,PESP
1380-02-25,2001-05-15,28349,شصفها,PESP
1380-02-26,2001-05-16,28140,شصفها,PESP
1380-02-29,2001-05-19,27860,شصفها,PESP
1380-02-30,2001-05-20,27850,شصفها,PESP
1380-02-31,2001-05-21,27850,شصفها,PESP
1380-03-02,2001-05-23,27849,شصفها,PESP
1380-03-05,2001-05-26,27706,شصفها,PESP
1380-03-06,2001-05-27,27505,شصفها,PESP
1380-03-07,2001-05-28,27230,شصفها,PESP
1380-03-08,2001-05-29,26958,شصفها,PESP
1380-03-09,2001-05-30,26689,شصفها,PESP
1380-03-12,2001-06-02,26422,شصفها,PESP
1380-03-13,2001-06-03,26157,شصفها,PESP
1380-03-16,2001-06-06,26153,شصفها,PESP
1380-03-19,2001-06-09,26091,شصفها,PESP
1380-03-21,2001-06-11,25986,شصفها,PESP
1380-03-22,2001-06-12,25868,شصفها,PESP
1380-03-23,2001-06-13,25802,شصفها,PESP
1380-03-27,2001-06-17,25771,شصفها,PESP
1380-03-28,2001-06-18,25799,شصفها,PESP
1380-03-29,2001-06-19,25963,شصفها,PESP
1380-03-30,2001-06-20,27045,شصفها,PESP
1380-04-02,2001-06-23,27045,شصفها,PESP
1380-04-03,2001-06-24,27037,شصفها,PESP
1380-04-05,2001-06-26,27045,شصفها,PESP
1380-04-06,2001-06-27,27034,شصفها,PESP
1380-04-09,2001-06-30,27033,شصفها,PESP
1380-04-10,2001-07-01,26913,شصفها,PESP
1380-04-11,2001-07-02,26314,شصفها,PESP
1380-05-07,2001-07-29,23392,شصفها,PESP
1380-05-08,2001-07-30,23977,شصفها,PESP
1380-05-09,2001-07-31,24340,شصفها,PESP
1380-05-10,2001-08-01,24596,شصفها,PESP
1380-05-13,2001-08-04,24852,شصفها,PESP
1380-05-14,2001-08-05,24852,شصفها,PESP
1380-05-15,2001-08-06,24852,شصفها,PESP
1380-05-16,2001-08-07,24852,شصفها,PESP
1380-05-17,2001-08-08,24516,شصفها,PESP
1380-05-20,2001-08-11,23903,شصفها,PESP
1380-05-21,2001-08-12,23306,شصفها,PESP
1380-05-22,2001-08-13,23024,شصفها,PESP
1380-05-23,2001-08-14,22659,شصفها,PESP
1380-05-24,2001-08-15,22894,شصفها,PESP
1380-05-27,2001-08-18,23173,شصفها,PESP
1380-05-28,2001-08-19,23061,شصفها,PESP
1380-05-29,2001-08-20,23016,شصفها,PESP
1380-05-30,2001-08-21,23159,شصفها,PESP
1380-06-03,2001-08-25,22944,شصفها,PESP
1380-06-04,2001-08-26,22768,شصفها,PESP
1380-06-05,2001-08-27,22200,شصفها,PESP
1380-06-06,2001-08-28,21919,شصفها,PESP
1380-06-07,2001-08-29,22074,شصفها,PESP
1380-06-10,2001-09-01,21919,شصفها,PESP
1380-06-11,2001-09-02,21524,شصفها,PESP
1380-06-13,2001-09-04,21563,شصفها,PESP
1380-06-14,2001-09-05,21636,شصفها,PESP
1380-06-17,2001-09-08,21622,شصفها,PESP
