J-Date,Date,Adj Close,Ticker,Ticker(4)
1397-04-13,2018-07-04,1081,شغدیر,PGDR
1397-04-16,2018-07-07,1136,شغدیر,PGDR
1397-04-17,2018-07-08,1192,شغدیر,PGDR
1397-04-19,2018-07-10,1251,شغدیر,PGDR
1397-04-20,2018-07-11,1314,شغدیر,PGDR
1397-04-23,2018-07-14,1348,شغدیر,PGDR
1397-04-24,2018-07-15,1402,شغدیر,PGDR
1397-04-25,2018-07-16,1337,شغدیر,PGDR
1397-04-26,2018-07-17,1292,شغدیر,PGDR
1397-04-27,2018-07-18,1328,شغدیر,PGDR
1397-05-06,2018-07-28,1451,شغدیر,PGDR
1397-05-07,2018-07-29,1400,شغدیر,PGDR
1397-05-08,2018-07-30,1483,شغدیر,PGDR
1397-05-09,2018-07-31,1544,شغدیر,PGDR
1397-05-10,2018-08-01,1620,شغدیر,PGDR
1397-05-13,2018-08-04,1622,شغدیر,PGDR
1397-05-14,2018-08-05,1703,شغدیر,PGDR
1397-05-15,2018-08-06,1869,شغدیر,PGDR
1397-05-16,2018-08-07,1962,شغدیر,PGDR
1397-05-17,2018-08-08,2033,شغدیر,PGDR
1397-05-20,2018-08-11,1976,شغدیر,PGDR
1397-05-21,2018-08-12,2023,شغدیر,PGDR
1397-05-22,2018-08-13,1942,شغدیر,PGDR
1397-05-23,2018-08-14,2037,شغدیر,PGDR
1397-05-24,2018-08-15,2125,شغدیر,PGDR
1397-05-27,2018-08-18,2180,شغدیر,PGDR
1397-05-30,2018-08-21,2401,شغدیر,PGDR
1397-06-03,2018-08-25,2520,شغدیر,PGDR
1397-06-04,2018-08-26,2646,شغدیر,PGDR
1397-06-05,2018-08-27,2581,شغدیر,PGDR
1397-06-06,2018-08-28,2527,شغدیر,PGDR
1397-06-07,2018-08-29,2494,شغدیر,PGDR
1397-06-10,2018-09-01,2437,شغدیر,PGDR
1397-06-11,2018-09-02,2354,شغدیر,PGDR
1397-06-12,2018-09-03,2368,شغدیر,PGDR
1397-06-13,2018-09-04,2346,شغدیر,PGDR
1397-06-14,2018-09-05,2323,شغدیر,PGDR
1397-06-17,2018-09-08,2278,شغدیر,PGDR
1397-06-18,2018-09-09,2398,شغدیر,PGDR
1397-06-19,2018-09-10,2482,شغدیر,PGDR
1397-06-20,2018-09-11,2606,شغدیر,PGDR
1397-06-21,2018-09-12,2736,شغدیر,PGDR
1397-06-24,2018-09-15,2873,شغدیر,PGDR
1397-06-31,2018-09-22,3167,شغدیر,PGDR
1397-07-01,2018-09-23,3313,شغدیر,PGDR
1397-07-02,2018-09-24,3478,شغدیر,PGDR
1397-07-03,2018-09-25,3652,شغدیر,PGDR
1397-07-04,2018-09-26,3834,شغدیر,PGDR
1397-07-07,2018-09-29,4227,شغدیر,PGDR
1397-07-08,2018-09-30,4429,شغدیر,PGDR
1397-07-09,2018-10-01,4181,شغدیر,PGDR
1397-07-10,2018-10-02,3991,شغدیر,PGDR
1397-07-11,2018-10-03,4215,شغدیر,PGDR
1397-07-14,2018-10-06,3895,شغدیر,PGDR
1397-07-15,2018-10-07,3839,شغدیر,PGDR
1397-07-16,2018-10-08,3879,شغدیر,PGDR
1397-07-17,2018-10-09,3879,شغدیر,PGDR
1397-07-18,2018-10-10,3895,شغدیر,PGDR
1397-07-21,2018-10-13,3720,شغدیر,PGDR
1397-07-22,2018-10-14,3794,شغدیر,PGDR
1397-07-23,2018-10-15,3907,شغدیر,PGDR
1397-07-24,2018-10-16,4096,شغدیر,PGDR
1397-07-25,2018-10-17,4244,شغدیر,PGDR
1397-07-28,2018-10-20,4245,شغدیر,PGDR
1397-07-29,2018-10-21,4086,شغدیر,PGDR
1397-07-30,2018-10-22,4009,شغدیر,PGDR
1397-08-01,2018-10-23,3800,شغدیر,PGDR
1397-08-02,2018-10-24,3632,شغدیر,PGDR
1397-08-05,2018-10-27,3450,شغدیر,PGDR
1397-08-06,2018-10-28,3602,شغدیر,PGDR
1397-08-07,2018-10-29,3614,شغدیر,PGDR
1397-08-09,2018-10-31,3755,شغدیر,PGDR
1397-08-12,2018-11-03,3589,شغدیر,PGDR
1397-08-13,2018-11-04,3430,شغدیر,PGDR
1397-08-14,2018-11-05,3534,شغدیر,PGDR
