J-Date,Date,Adj Close,Ticker,Ticker(4)
1399-06-12,2020-09-02,16638,بپیوند,PGRZ
1399-06-15,2020-09-05,17470,بپیوند,PGRZ
1399-06-16,2020-09-06,17766,بپیوند,PGRZ
1399-06-17,2020-09-07,18653,بپیوند,PGRZ
1399-06-18,2020-09-08,19586,بپیوند,PGRZ
1399-06-19,2020-09-09,20437,بپیوند,PGRZ
1399-06-22,2020-09-12,21458,بپیوند,PGRZ
1399-06-23,2020-09-13,22530,بپیوند,PGRZ
1399-06-24,2020-09-14,23269,بپیوند,PGRZ
1399-06-25,2020-09-15,24432,بپیوند,PGRZ
1399-06-26,2020-09-16,25653,بپیوند,PGRZ
1399-06-29,2020-09-19,26936,بپیوند,PGRZ
1399-07-02,2020-09-23,25614,بپیوند,PGRZ
1399-07-05,2020-09-26,25542,بپیوند,PGRZ
1399-07-06,2020-09-27,24724,بپیوند,PGRZ
1399-07-07,2020-09-28,24537,بپیوند,PGRZ
1399-07-08,2020-09-29,24467,بپیوند,PGRZ
1399-07-09,2020-09-30,24347,بپیوند,PGRZ
1399-07-12,2020-10-03,24179,بپیوند,PGRZ
1399-07-13,2020-10-04,22971,بپیوند,PGRZ
1399-07-14,2020-10-05,21822,بپیوند,PGRZ
1399-07-16,2020-10-07,23900,بپیوند,PGRZ
1399-07-19,2020-10-10,22300,بپیوند,PGRZ
1399-07-20,2020-10-11,21484,بپیوند,PGRZ
1399-07-21,2020-10-12,21300,بپیوند,PGRZ
1399-07-22,2020-10-13,20301,بپیوند,PGRZ
1399-07-23,2020-10-14,19804,بپیوند,PGRZ
1399-07-27,2020-10-18,20334,بپیوند,PGRZ
1399-07-28,2020-10-19,19051,بپیوند,PGRZ
1399-07-29,2020-10-20,20271,بپیوند,PGRZ
1399-07-30,2020-10-21,19228,بپیوند,PGRZ
1399-08-03,2020-10-24,18800,بپیوند,PGRZ
1399-08-05,2020-10-26,17928,بپیوند,PGRZ
1399-08-06,2020-10-27,18907,بپیوند,PGRZ
1399-08-07,2020-10-28,20039,بپیوند,PGRZ
1399-08-10,2020-10-31,21706,بپیوند,PGRZ
1399-08-11,2020-11-01,20730,بپیوند,PGRZ
1399-08-12,2020-11-02,22035,بپیوند,PGRZ
1399-08-14,2020-11-04,22871,بپیوند,PGRZ
1399-08-17,2020-11-07,20603,بپیوند,PGRZ
1399-08-18,2020-11-08,19345,بپیوند,PGRZ
1399-08-19,2020-11-09,20775,بپیوند,PGRZ
1399-08-20,2020-11-10,21217,بپیوند,PGRZ
1399-08-21,2020-11-11,21270,بپیوند,PGRZ
1399-08-24,2020-11-14,23379,بپیوند,PGRZ
1399-08-25,2020-11-15,21684,بپیوند,PGRZ
1399-08-26,2020-11-16,22216,بپیوند,PGRZ
1399-08-27,2020-11-17,22430,بپیوند,PGRZ
1399-08-28,2020-11-18,22189,بپیوند,PGRZ
1399-09-01,2020-11-21,20559,بپیوند,PGRZ
1399-09-02,2020-11-22,20793,بپیوند,PGRZ
1399-09-03,2020-11-23,21396,بپیوند,PGRZ
1399-09-04,2020-11-24,20296,بپیوند,PGRZ
1399-09-05,2020-11-25,21405,بپیوند,PGRZ
1399-09-08,2020-11-28,23343,بپیوند,PGRZ
1399-09-09,2020-11-29,25202,بپیوند,PGRZ
1399-09-10,2020-11-30,24310,بپیوند,PGRZ
1399-09-11,2020-12-01,24220,بپیوند,PGRZ
1399-09-12,2020-12-02,23878,بپیوند,PGRZ
1399-09-15,2020-12-05,26842,بپیوند,PGRZ
1399-09-16,2020-12-06,28736,بپیوند,PGRZ
1399-09-17,2020-12-07,28321,بپیوند,PGRZ
1399-09-18,2020-12-08,31028,بپیوند,PGRZ
1399-09-19,2020-12-09,30576,بپیوند,PGRZ
1399-09-22,2020-12-12,28573,بپیوند,PGRZ
1399-09-23,2020-12-13,29931,بپیوند,PGRZ
1399-09-24,2020-12-14,28726,بپیوند,PGRZ
1399-09-25,2020-12-15,26863,بپیوند,PGRZ
1399-09-26,2020-12-16,27943,بپیوند,PGRZ
1399-09-29,2020-12-19,29914,بپیوند,PGRZ
1399-09-30,2020-12-20,29139,بپیوند,PGRZ
1399-10-01,2020-12-21,28807,بپیوند,PGRZ
1399-10-02,2020-12-22,28640,بپیوند,PGRZ
1399-10-03,2020-12-23,28168,بپیوند,PGRZ
1399-10-06,2020-12-26,26392,بپیوند,PGRZ
1399-10-07,2020-12-27,25542,بپیوند,PGRZ
1399-10-08,2020-12-28,27206,بپیوند,PGRZ
1399-10-09,2020-12-29,24186,بپیوند,PGRZ
1399-10-10,2020-12-30,21967,بپیوند,PGRZ
1399-10-13,2021-01-02,21537,بپیوند,PGRZ
1399-10-14,2021-01-03,20638,بپیوند,PGRZ
1399-10-15,2021-01-04,19744,بپیوند,PGRZ
1399-10-16,2021-01-05,20577,بپیوند,PGRZ
1399-10-17,2021-01-06,19398,بپیوند,PGRZ
1399-10-20,2021-01-09,18677,بپیوند,PGRZ
1399-10-21,2021-01-10,18073,بپیوند,PGRZ
1399-10-22,2021-01-11,17417,بپیوند,PGRZ
1399-10-23,2021-01-12,16762,بپیوند,PGRZ
1399-10-24,2021-01-13,16454,بپیوند,PGRZ
1399-10-27,2021-01-16,15611,بپیوند,PGRZ
1399-10-29,2021-01-18,15121,بپیوند,PGRZ
1399-10-30,2021-01-19,14830,بپیوند,PGRZ
1399-11-01,2021-01-20,15726,بپیوند,PGRZ
1399-11-04,2021-01-23,16331,بپیوند,PGRZ
1399-11-05,2021-01-24,15406,بپیوند,PGRZ
1399-11-06,2021-01-25,15313,بپیوند,PGRZ
1399-11-07,2021-01-26,14610,بپیوند,PGRZ
1399-11-08,2021-01-27,14524,بپیوند,PGRZ
1399-11-11,2021-01-30,14999,بپیوند,PGRZ
1399-11-12,2021-01-31,14457,بپیوند,PGRZ
1399-11-13,2021-02-01,14169,بپیوند,PGRZ
1399-11-14,2021-02-02,14533,بپیوند,PGRZ
1399-11-15,2021-02-03,13715,بپیوند,PGRZ
1399-11-18,2021-02-06,13285,بپیوند,PGRZ
1399-11-19,2021-02-07,14004,بپیوند,PGRZ
1399-11-20,2021-02-08,13814,بپیوند,PGRZ
1399-11-21,2021-02-09,13805,بپیوند,PGRZ
1399-11-25,2021-02-13,14574,بپیوند,PGRZ
1399-11-26,2021-02-14,14148,بپیوند,PGRZ
1399-11-27,2021-02-15,14161,بپیوند,PGRZ
1399-11-28,2021-02-16,13887,بپیوند,PGRZ
1399-11-29,2021-02-17,13787,بپیوند,PGRZ
