J-Date,Date,Adj Close,Ticker,Ticker(4)
1399-04-04,2020-06-24,1252,وپویا,PIVZ
1399-04-07,2020-06-27,1315,وپویا,PIVZ
1399-04-08,2020-06-28,1317,وپویا,PIVZ
1399-04-09,2020-06-29,1319,وپویا,PIVZ
1399-04-10,2020-06-30,1338,وپویا,PIVZ
1399-04-11,2020-07-01,1345,وپویا,PIVZ
1399-04-14,2020-07-04,1353,وپویا,PIVZ
1399-04-15,2020-07-05,1369,وپویا,PIVZ
1399-04-16,2020-07-06,1393,وپویا,PIVZ
1399-04-17,2020-07-07,1400,وپویا,PIVZ
1399-04-18,2020-07-08,1430,وپویا,PIVZ
1399-04-21,2020-07-11,1464,وپویا,PIVZ
1399-04-22,2020-07-12,1504,وپویا,PIVZ
1399-04-23,2020-07-13,1545,وپویا,PIVZ
1399-04-24,2020-07-14,1588,وپویا,PIVZ
1399-04-25,2020-07-15,1633,وپویا,PIVZ
1399-04-28,2020-07-18,1673,وپویا,PIVZ
1399-04-29,2020-07-19,1729,وپویا,PIVZ
1399-04-30,2020-07-20,1784,وپویا,PIVZ
1399-04-31,2020-07-21,1840,وپویا,PIVZ
1399-05-01,2020-07-22,1853,وپویا,PIVZ
1399-05-04,2020-07-25,1908,وپویا,PIVZ
1399-05-05,2020-07-26,1977,وپویا,PIVZ
1399-05-06,2020-07-27,1993,وپویا,PIVZ
1399-05-07,2020-07-28,2089,وپویا,PIVZ
1399-05-11,2020-08-01,2170,وپویا,PIVZ
1399-05-12,2020-08-02,2271,وپویا,PIVZ
1399-05-13,2020-08-03,2361,وپویا,PIVZ
1399-05-14,2020-08-04,2437,وپویا,PIVZ
1399-05-15,2020-08-05,2543,وپویا,PIVZ
1399-05-19,2020-08-09,2607,وپویا,PIVZ
1399-05-20,2020-08-10,4492,وپویا,PIVZ
1399-05-21,2020-08-11,4577,وپویا,PIVZ
1399-05-22,2020-08-12,4805,وپویا,PIVZ
1399-05-25,2020-08-15,5046,وپویا,PIVZ
1399-05-26,2020-08-16,5298,وپویا,PIVZ
1399-05-27,2020-08-17,4973,وپویا,PIVZ
1399-05-28,2020-08-18,5079,وپویا,PIVZ
1399-05-29,2020-08-19,4830,وپویا,PIVZ
1399-06-01,2020-08-22,4716,وپویا,PIVZ
1399-06-02,2020-08-23,4506,وپویا,PIVZ
1399-06-03,2020-08-24,4454,وپویا,PIVZ
1399-06-04,2020-08-25,4373,وپویا,PIVZ
1399-06-05,2020-08-26,4798,وپویا,PIVZ
1399-06-10,2020-08-31,4511,وپویا,PIVZ
1399-06-11,2020-09-01,4346,وپویا,PIVZ
1399-06-12,2020-09-02,4302,وپویا,PIVZ
1399-06-15,2020-09-05,4280,وپویا,PIVZ
1399-06-16,2020-09-06,4228,وپویا,PIVZ
1399-06-17,2020-09-07,4176,وپویا,PIVZ
1399-06-18,2020-09-08,4134,وپویا,PIVZ
1399-06-19,2020-09-09,4127,وپویا,PIVZ
1399-06-22,2020-09-12,4063,وپویا,PIVZ
1399-06-23,2020-09-13,3974,وپویا,PIVZ
1399-06-24,2020-09-14,3962,وپویا,PIVZ
1399-06-25,2020-09-15,3928,وپویا,PIVZ
1399-06-26,2020-09-16,3797,وپویا,PIVZ
1399-06-29,2020-09-19,3723,وپویا,PIVZ
1399-06-30,2020-09-20,3708,وپویا,PIVZ
1399-06-31,2020-09-21,3696,وپویا,PIVZ
1399-07-01,2020-09-22,3682,وپویا,PIVZ
1399-07-02,2020-09-23,3614,وپویا,PIVZ
1399-07-05,2020-09-26,3571,وپویا,PIVZ
1399-07-06,2020-09-27,3563,وپویا,PIVZ
1399-07-07,2020-09-28,3558,وپویا,PIVZ
1399-07-08,2020-09-29,3556,وپویا,PIVZ
1399-07-09,2020-09-30,3534,وپویا,PIVZ
1399-07-12,2020-10-03,3528,وپویا,PIVZ
1399-07-13,2020-10-04,3504,وپویا,PIVZ
1399-07-14,2020-10-05,3474,وپویا,PIVZ
1399-07-16,2020-10-07,3469,وپویا,PIVZ
1399-07-19,2020-10-10,3321,وپویا,PIVZ
1399-07-20,2020-10-11,3481,وپویا,PIVZ
1399-07-21,2020-10-12,3684,وپویا,PIVZ
1399-07-22,2020-10-13,3847,وپویا,PIVZ
1399-07-23,2020-10-14,3652,وپویا,PIVZ
1399-07-27,2020-10-18,3590,وپویا,PIVZ
1399-07-28,2020-10-19,3546,وپویا,PIVZ
1399-07-29,2020-10-20,3532,وپویا,PIVZ
1399-07-30,2020-10-21,3521,وپویا,PIVZ
1399-08-03,2020-10-24,3385,وپویا,PIVZ
1399-08-05,2020-10-26,3381,وپویا,PIVZ
1399-08-06,2020-10-27,3376,وپویا,PIVZ
1399-08-07,2020-10-28,3368,وپویا,PIVZ
1399-08-10,2020-10-31,3350,وپویا,PIVZ
1399-08-11,2020-11-01,3270,وپویا,PIVZ
1399-08-12,2020-11-02,3234,وپویا,PIVZ
1399-08-14,2020-11-04,3227,وپویا,PIVZ
1399-08-17,2020-11-07,3201,وپویا,PIVZ
1399-08-18,2020-11-08,3196,وپویا,PIVZ
1399-08-19,2020-11-09,3194,وپویا,PIVZ
1399-08-20,2020-11-10,3192,وپویا,PIVZ
1399-08-21,2020-11-11,3179,وپویا,PIVZ
1399-08-24,2020-11-14,3224,وپویا,PIVZ
1399-08-25,2020-11-15,3134,وپویا,PIVZ
1399-08-26,2020-11-16,3013,وپویا,PIVZ
1399-08-27,2020-11-17,2915,وپویا,PIVZ
1399-08-28,2020-11-18,3055,وپویا,PIVZ
1399-09-01,2020-11-21,2865,وپویا,PIVZ
1399-09-02,2020-11-22,2772,وپویا,PIVZ
1399-09-03,2020-11-23,2660,وپویا,PIVZ
1399-09-04,2020-11-24,2649,وپویا,PIVZ
1399-09-05,2020-11-25,2680,وپویا,PIVZ
1399-09-08,2020-11-28,2658,وپویا,PIVZ
1399-09-09,2020-11-29,2818,وپویا,PIVZ
1399-09-10,2020-11-30,2872,وپویا,PIVZ
1399-09-11,2020-12-01,2742,وپویا,PIVZ
1399-09-12,2020-12-02,2689,وپویا,PIVZ
1399-09-15,2020-12-05,2796,وپویا,PIVZ
1399-09-16,2020-12-06,2749,وپویا,PIVZ
1399-09-17,2020-12-07,2716,وپویا,PIVZ
1399-09-18,2020-12-08,2849,وپویا,PIVZ
1399-09-19,2020-12-09,2961,وپویا,PIVZ
1399-09-22,2020-12-12,2890,وپویا,PIVZ
1399-09-23,2020-12-13,2815,وپویا,PIVZ
1399-09-24,2020-12-14,2688,وپویا,PIVZ
1399-09-25,2020-12-15,2604,وپویا,PIVZ
1399-09-26,2020-12-16,2519,وپویا,PIVZ
