J-Date,Date,Adj Close,Ticker,Ticker(4)
1392-06-26,2013-09-17,1149,جم,PJMZ
1392-06-27,2013-09-18,1207,جم,PJMZ
1392-06-30,2013-09-21,1267,جم,PJMZ
1392-06-31,2013-09-22,1225,جم,PJMZ
1392-07-01,2013-09-23,1235,جم,PJMZ
1392-07-02,2013-09-24,1226,جم,PJMZ
1392-07-03,2013-09-25,1244,جم,PJMZ
1392-07-06,2013-09-28,1299,جم,PJMZ
1392-07-07,2013-09-29,1281,جم,PJMZ
1392-07-08,2013-09-30,1296,جم,PJMZ
1392-07-09,2013-10-01,1282,جم,PJMZ
1392-07-10,2013-10-02,1258,جم,PJMZ
1392-07-13,2013-10-05,1254,جم,PJMZ
1392-07-14,2013-10-06,1242,جم,PJMZ
1392-07-15,2013-10-07,1270,جم,PJMZ
1392-07-16,2013-10-08,1261,جم,PJMZ
1392-07-17,2013-10-09,1333,جم,PJMZ
1392-07-20,2013-10-12,1382,جم,PJMZ
1392-07-21,2013-10-13,1356,جم,PJMZ
1392-07-22,2013-10-14,1399,جم,PJMZ
1392-07-23,2013-10-15,1462,جم,PJMZ
1392-07-27,2013-10-19,1523,جم,PJMZ
1392-07-28,2013-10-20,1558,جم,PJMZ
1392-07-29,2013-10-21,1598,جم,PJMZ
1392-07-30,2013-10-22,1518,جم,PJMZ
1392-08-01,2013-10-23,1529,جم,PJMZ
1392-08-04,2013-10-26,1480,جم,PJMZ
1392-08-05,2013-10-27,1433,جم,PJMZ
1392-08-06,2013-10-28,1466,جم,PJMZ
1392-08-07,2013-10-29,1507,جم,PJMZ
1392-08-08,2013-10-30,1492,جم,PJMZ
1392-08-11,2013-11-02,1457,جم,PJMZ
1392-08-12,2013-11-03,1415,جم,PJMZ
1392-08-13,2013-11-04,1465,جم,PJMZ
1392-08-14,2013-11-05,1456,جم,PJMZ
1392-08-15,2013-11-06,1458,جم,PJMZ
1392-08-18,2013-11-09,1487,جم,PJMZ
1392-08-19,2013-11-10,1465,جم,PJMZ
1392-08-20,2013-11-11,1446,جم,PJMZ
1392-08-21,2013-11-12,1477,جم,PJMZ
1392-08-25,2013-11-16,1504,جم,PJMZ
1392-08-26,2013-11-17,1481,جم,PJMZ
1392-08-27,2013-11-18,1504,جم,PJMZ
1392-08-28,2013-11-19,1527,جم,PJMZ
1392-08-29,2013-11-20,1529,جم,PJMZ
1392-09-02,2013-11-23,1581,جم,PJMZ
1392-09-03,2013-11-24,1658,جم,PJMZ
1392-09-04,2013-11-25,1697,جم,PJMZ
1392-09-05,2013-11-26,1682,جم,PJMZ
1392-09-06,2013-11-27,1674,جم,PJMZ
1392-09-09,2013-11-30,1709,جم,PJMZ
1392-09-10,2013-12-01,1651,جم,PJMZ
1392-09-11,2013-12-02,1620,جم,PJMZ
1392-09-12,2013-12-03,1602,جم,PJMZ
1392-09-13,2013-12-04,1666,جم,PJMZ
1392-09-16,2013-12-07,1694,جم,PJMZ
1392-09-17,2013-12-08,1773,جم,PJMZ
1392-09-18,2013-12-09,1776,جم,PJMZ
1392-09-19,2013-12-10,1778,جم,PJMZ
1392-09-20,2013-12-11,1765,جم,PJMZ
1392-09-23,2013-12-14,1707,جم,PJMZ
1392-09-24,2013-12-15,1742,جم,PJMZ
1392-09-25,2013-12-16,1743,جم,PJMZ
1392-09-26,2013-12-17,1684,جم,PJMZ
1392-09-27,2013-12-18,1617,جم,PJMZ
1392-09-30,2013-12-21,1607,جم,PJMZ
1392-10-01,2013-12-22,1666,جم,PJMZ
1392-10-03,2013-12-24,1719,جم,PJMZ
1392-10-04,2013-12-25,1652,جم,PJMZ
1392-10-07,2013-12-28,1601,جم,PJMZ
1392-10-11,2014-01-01,1633,جم,PJMZ
1392-10-14,2014-01-04,1612,جم,PJMZ
1392-10-15,2014-01-05,1600,جم,PJMZ
1392-10-16,2014-01-06,1565,جم,PJMZ
1392-10-17,2014-01-07,1545,جم,PJMZ
1392-10-18,2014-01-08,1540,جم,PJMZ
1392-10-21,2014-01-11,1506,جم,PJMZ
1392-10-22,2014-01-12,1508,جم,PJMZ
1392-10-23,2014-01-13,1545,جم,PJMZ
1392-10-24,2014-01-14,1543,جم,PJMZ
1392-10-25,2014-01-15,1548,جم,PJMZ
1392-10-28,2014-01-18,1520,جم,PJMZ
1392-10-30,2014-01-20,1472,جم,PJMZ
1392-11-01,2014-01-21,1425,جم,PJMZ
1392-11-02,2014-01-22,1419,جم,PJMZ
1392-11-05,2014-01-25,1459,جم,PJMZ
1392-11-06,2014-01-26,1396,جم,PJMZ
1392-11-07,2014-01-27,1403,جم,PJMZ
1392-11-08,2014-01-28,1429,جم,PJMZ
1392-11-09,2014-01-29,1500,جم,PJMZ
1392-11-12,2014-02-01,1516,جم,PJMZ
1392-11-13,2014-02-02,1451,جم,PJMZ
1392-11-14,2014-02-03,1436,جم,PJMZ
1392-11-15,2014-02-04,1435,جم,PJMZ
1392-11-16,2014-02-05,1364,جم,PJMZ
1392-11-19,2014-02-08,1296,جم,PJMZ
1392-12-10,2014-03-01,1291,جم,PJMZ
1392-12-11,2014-03-02,1256,جم,PJMZ
1392-12-12,2014-03-03,1219,جم,PJMZ
1392-12-13,2014-03-04,1257,جم,PJMZ
1392-12-14,2014-03-05,1297,جم,PJMZ
1392-12-17,2014-03-08,1295,جم,PJMZ
1392-12-18,2014-03-09,1274,جم,PJMZ
1392-12-19,2014-03-10,1255,جم,PJMZ
1392-12-20,2014-03-11,1259,جم,PJMZ
1392-12-21,2014-03-12,1281,جم,PJMZ
1392-12-24,2014-03-15,1312,جم,PJMZ
1392-12-25,2014-03-16,1313,جم,PJMZ
1392-12-26,2014-03-17,1377,جم,PJMZ
1392-12-27,2014-03-18,1374,جم,PJMZ
1392-12-28,2014-03-19,1427,جم,PJMZ
1393-01-05,2014-03-25,1420,جم,PJMZ
1393-01-06,2014-03-26,1387,جم,PJMZ
1393-01-09,2014-03-29,1362,جم,PJMZ
1393-01-10,2014-03-30,1388,جم,PJMZ
1393-01-11,2014-03-31,1396,جم,PJMZ
1393-01-16,2014-04-05,1351,جم,PJMZ
1393-01-17,2014-04-06,1318,جم,PJMZ
1393-01-18,2014-04-07,1321,جم,PJMZ
1393-01-19,2014-04-08,1311,جم,PJMZ
1393-01-20,2014-04-09,1311,جم,PJMZ
1393-01-23,2014-04-12,1296,جم,PJMZ
1393-01-24,2014-04-13,1240,جم,PJMZ
1393-01-25,2014-04-14,1237,جم,PJMZ
1393-01-26,2014-04-15,1276,جم,PJMZ
1393-01-27,2014-04-16,1314,جم,PJMZ
1393-01-30,2014-04-19,1266,جم,PJMZ
1393-01-31,2014-04-20,1319,جم,PJMZ
1393-02-01,2014-04-21,1373,جم,PJMZ
1393-02-02,2014-04-22,1350,جم,PJMZ
1393-02-03,2014-04-23,1354,جم,PJMZ
1393-02-06,2014-04-26,1423,جم,PJMZ
1393-02-07,2014-04-27,1403,جم,PJMZ
1393-02-08,2014-04-28,1404,جم,PJMZ
1393-02-09,2014-04-29,1373,جم,PJMZ
1393-02-10,2014-04-30,1384,جم,PJMZ
1393-02-13,2014-05-03,1371,جم,PJMZ
1393-02-14,2014-05-04,1357,جم,PJMZ
1393-02-15,2014-05-05,1355,جم,PJMZ
1393-02-16,2014-05-06,1381,جم,PJMZ
1393-02-17,2014-05-07,1388,جم,PJMZ
1393-03-11,2014-06-01,1319,جم,PJMZ
1393-03-12,2014-06-02,1311,جم,PJMZ
1393-03-13,2014-06-03,1353,جم,PJMZ
1393-03-17,2014-06-07,1373,جم,PJMZ
1393-03-18,2014-06-08,1373,جم,PJMZ
1393-03-19,2014-06-09,1364,جم,PJMZ
1393-03-20,2014-06-10,1362,جم,PJMZ
1393-03-21,2014-06-11,1344,جم,PJMZ
1393-03-24,2014-06-14,1300,جم,PJMZ
1393-03-25,2014-06-15,1296,جم,PJMZ
1393-03-26,2014-06-16,1312,جم,PJMZ
1393-03-27,2014-06-17,1342,جم,PJMZ
1393-03-28,2014-06-18,1378,جم,PJMZ
1393-03-31,2014-06-21,1359,جم,PJMZ
1393-04-01,2014-06-22,1351,جم,PJMZ
1393-04-02,2014-06-23,1350,جم,PJMZ
1393-04-03,2014-06-24,1327,جم,PJMZ
1393-04-04,2014-06-25,1327,جم,PJMZ
1393-04-07,2014-06-28,1288,جم,PJMZ
1393-04-08,2014-06-29,1249,جم,PJMZ
1393-04-09,2014-06-30,1251,جم,PJMZ
1393-04-10,2014-07-01,1319,جم,PJMZ
1393-04-11,2014-07-02,1370,جم,PJMZ
1393-04-14,2014-07-05,1430,جم,PJMZ
1393-04-15,2014-07-06,1428,جم,PJMZ
1393-04-16,2014-07-07,1433,جم,PJMZ
1393-04-17,2014-07-08,1516,جم,PJMZ
1393-04-18,2014-07-09,1527,جم,PJMZ
1393-04-21,2014-07-12,1527,جم,PJMZ
