J-Date,Date,Adj Close,Ticker,Ticker(4)
1395-10-19,2017-01-08,429,غدیس,PKDZ
1395-10-20,2017-01-09,450,غدیس,PKDZ
1395-10-22,2017-01-11,473,غدیس,PKDZ
1395-10-25,2017-01-14,496,غدیس,PKDZ
1395-10-26,2017-01-15,521,غدیس,PKDZ
1395-10-27,2017-01-16,547,غدیس,PKDZ
1395-10-28,2017-01-17,574,غدیس,PKDZ
1395-10-29,2017-01-18,603,غدیس,PKDZ
1395-11-02,2017-01-21,633,غدیس,PKDZ
1395-11-03,2017-01-22,650,غدیس,PKDZ
1395-11-04,2017-01-23,654,غدیس,PKDZ
1395-11-05,2017-01-24,665,غدیس,PKDZ
1395-11-06,2017-01-25,692,غدیس,PKDZ
1395-11-09,2017-01-28,725,غدیس,PKDZ
1395-11-10,2017-01-29,760,غدیس,PKDZ
1395-11-11,2017-01-30,784,غدیس,PKDZ
1395-11-12,2017-01-31,772,غدیس,PKDZ
1395-11-13,2017-02-01,789,غدیس,PKDZ
1395-11-16,2017-02-04,752,غدیس,PKDZ
1395-11-17,2017-02-05,744,غدیس,PKDZ
1395-11-18,2017-02-06,774,غدیس,PKDZ
1395-11-19,2017-02-07,813,غدیس,PKDZ
1395-11-20,2017-02-08,835,غدیس,PKDZ
1395-11-23,2017-02-11,832,غدیس,PKDZ
1395-11-24,2017-02-12,812,غدیس,PKDZ
1395-11-25,2017-02-13,789,غدیس,PKDZ
1395-11-26,2017-02-14,808,غدیس,PKDZ
1395-11-27,2017-02-15,825,غدیس,PKDZ
1395-11-30,2017-02-18,833,غدیس,PKDZ
1395-12-09,2017-02-27,962,غدیس,PKDZ
1395-12-10,2017-02-28,959,غدیس,PKDZ
1395-12-11,2017-03-01,947,غدیس,PKDZ
1395-12-14,2017-03-04,933,غدیس,PKDZ
1395-12-15,2017-03-05,946,غدیس,PKDZ
1395-12-16,2017-03-06,979,غدیس,PKDZ
1395-12-17,2017-03-07,1019,غدیس,PKDZ
1395-12-18,2017-03-08,1022,غدیس,PKDZ
1395-12-21,2017-03-11,1000,غدیس,PKDZ
1395-12-22,2017-03-12,1030,غدیس,PKDZ
1395-12-23,2017-03-13,1075,غدیس,PKDZ
1395-12-24,2017-03-14,1111,غدیس,PKDZ
1395-12-25,2017-03-15,1171,غدیس,PKDZ
1395-12-28,2017-03-18,1117,غدیس,PKDZ
1396-01-05,2017-03-25,1189,غدیس,PKDZ
1396-01-06,2017-03-26,1206,غدیس,PKDZ
1396-01-07,2017-03-27,1198,غدیس,PKDZ
1396-01-08,2017-03-28,1161,غدیس,PKDZ
1396-01-09,2017-03-29,1152,غدیس,PKDZ
1396-01-14,2017-04-03,1161,غدیس,PKDZ
1396-01-15,2017-04-04,1164,غدیس,PKDZ
1396-01-16,2017-04-05,1224,غدیس,PKDZ
1396-01-19,2017-04-08,1269,غدیس,PKDZ
1396-01-20,2017-04-09,1333,غدیس,PKDZ
1396-01-21,2017-04-10,1382,غدیس,PKDZ
1396-01-23,2017-04-12,1386,غدیس,PKDZ
1396-01-26,2017-04-15,1314,غدیس,PKDZ
1396-01-27,2017-04-16,1313,غدیس,PKDZ
1396-01-28,2017-04-17,1249,غدیس,PKDZ
1396-01-29,2017-04-18,1263,غدیس,PKDZ
1396-01-30,2017-04-19,1280,غدیس,PKDZ
