J-Date,Date,Adj Close,Ticker,Ticker(4)
1392-01-27,2013-04-16,236,فارس,PKLJ
1392-01-28,2013-04-17,245,فارس,PKLJ
1392-01-31,2013-04-20,239,فارس,PKLJ
1392-02-01,2013-04-21,246,فارس,PKLJ
1392-02-02,2013-04-22,252,فارس,PKLJ
1392-02-03,2013-04-23,261,فارس,PKLJ
1392-02-04,2013-04-24,263,فارس,PKLJ
1392-02-07,2013-04-27,265,فارس,PKLJ
1392-02-08,2013-04-28,266,فارس,PKLJ
1392-02-09,2013-04-29,267,فارس,PKLJ
1392-02-10,2013-04-30,268,فارس,PKLJ
1392-02-11,2013-05-01,269,فارس,PKLJ
1392-02-14,2013-05-04,270,فارس,PKLJ
1392-02-15,2013-05-05,271,فارس,PKLJ
1392-02-16,2013-05-06,272,فارس,PKLJ
1392-02-17,2013-05-07,283,فارس,PKLJ
1392-02-18,2013-05-08,288,فارس,PKLJ
1392-02-21,2013-05-11,304,فارس,PKLJ
1392-02-22,2013-05-12,309,فارس,PKLJ
1392-02-23,2013-05-13,314,فارس,PKLJ
1392-02-24,2013-05-14,305,فارس,PKLJ
1392-02-25,2013-05-15,304,فارس,PKLJ
1392-02-28,2013-05-18,298,فارس,PKLJ
1392-02-29,2013-05-19,297,فارس,PKLJ
1392-02-30,2013-05-20,288,فارس,PKLJ
1392-02-31,2013-05-21,281,فارس,PKLJ
1392-03-01,2013-05-22,287,فارس,PKLJ
1392-03-04,2013-05-25,291,فارس,PKLJ
1392-03-05,2013-05-26,295,فارس,PKLJ
1392-03-06,2013-05-27,297,فارس,PKLJ
1392-03-07,2013-05-28,309,فارس,PKLJ
1392-03-08,2013-05-29,319,فارس,PKLJ
1392-03-11,2013-06-01,306,فارس,PKLJ
1392-03-12,2013-06-02,308,فارس,PKLJ
1392-03-13,2013-06-03,321,فارس,PKLJ
1392-03-18,2013-06-08,322,فارس,PKLJ
1392-03-19,2013-06-09,309,فارس,PKLJ
1392-03-20,2013-06-10,304,فارس,PKLJ
1392-03-21,2013-06-11,300,فارس,PKLJ
1392-03-22,2013-06-12,297,فارس,PKLJ
1392-03-25,2013-06-15,309,فارس,PKLJ
1392-03-26,2013-06-16,314,فارس,PKLJ
1392-03-27,2013-06-17,310,فارس,PKLJ
1392-03-28,2013-06-18,307,فارس,PKLJ
1392-03-29,2013-06-19,305,فارس,PKLJ
1392-04-01,2013-06-22,294,فارس,PKLJ
1392-04-02,2013-06-23,292,فارس,PKLJ
1392-04-04,2013-06-25,294,فارس,PKLJ
1392-04-05,2013-06-26,305,فارس,PKLJ
1392-04-08,2013-06-29,310,فارس,PKLJ
1392-04-09,2013-06-30,313,فارس,PKLJ
1392-04-10,2013-07-01,315,فارس,PKLJ
1392-04-11,2013-07-02,308,فارس,PKLJ
1392-04-12,2013-07-03,307,فارس,PKLJ
1392-04-15,2013-07-06,321,فارس,PKLJ
1392-04-16,2013-07-07,332,فارس,PKLJ
