J-Date,Date,Adj Close,Ticker,Ticker(4)
1391-12-27,2013-03-17,200,پخش,PKSH
1391-12-28,2013-03-18,210,پخش,PKSH
1392-01-05,2013-03-25,220,پخش,PKSH
1392-01-06,2013-03-26,231,پخش,PKSH
1392-01-07,2013-03-27,243,پخش,PKSH
1392-01-10,2013-03-30,248,پخش,PKSH
1392-01-11,2013-03-31,246,پخش,PKSH
1392-01-14,2013-04-03,238,پخش,PKSH
1392-01-17,2013-04-06,233,پخش,PKSH
1392-01-18,2013-04-07,228,پخش,PKSH
1392-01-19,2013-04-08,225,پخش,PKSH
1392-01-20,2013-04-09,224,پخش,PKSH
1392-01-21,2013-04-10,234,پخش,PKSH
1392-01-24,2013-04-13,244,پخش,PKSH
1392-01-26,2013-04-15,245,پخش,PKSH
1392-01-27,2013-04-16,239,پخش,PKSH
1392-01-28,2013-04-17,236,پخش,PKSH
1392-01-31,2013-04-20,232,پخش,PKSH
1392-02-01,2013-04-21,229,پخش,PKSH
1392-02-02,2013-04-22,240,پخش,PKSH
1392-02-03,2013-04-23,246,پخش,PKSH
1392-02-04,2013-04-24,242,پخش,PKSH
1392-02-07,2013-04-27,237,پخش,PKSH
1392-02-08,2013-04-28,234,پخش,PKSH
1392-02-09,2013-04-29,234,پخش,PKSH
1392-02-10,2013-04-30,228,پخش,PKSH
1392-02-11,2013-05-01,227,پخش,PKSH
1392-02-14,2013-05-04,224,پخش,PKSH
1392-02-15,2013-05-05,228,پخش,PKSH
1392-02-16,2013-05-06,230,پخش,PKSH
1392-02-17,2013-05-07,227,پخش,PKSH
1392-02-18,2013-05-08,226,پخش,PKSH
1392-02-21,2013-05-11,235,پخش,PKSH
1392-02-22,2013-05-12,230,پخش,PKSH
1392-02-23,2013-05-13,226,پخش,PKSH
1392-02-24,2013-05-14,226,پخش,PKSH
1392-02-29,2013-05-19,203,پخش,PKSH
1392-02-30,2013-05-20,209,پخش,PKSH
1392-02-31,2013-05-21,215,پخش,PKSH
1392-03-01,2013-05-22,223,پخش,PKSH
1392-03-04,2013-05-25,233,پخش,PKSH
1392-03-05,2013-05-26,244,پخش,PKSH
1392-03-06,2013-05-27,257,پخش,PKSH
1392-03-07,2013-05-28,269,پخش,PKSH
1392-03-08,2013-05-29,280,پخش,PKSH
1392-03-11,2013-06-01,271,پخش,PKSH
1392-03-12,2013-06-02,261,پخش,PKSH
1392-03-13,2013-06-03,266,پخش,PKSH
1392-03-18,2013-06-08,259,پخش,PKSH
1392-03-19,2013-06-09,254,پخش,PKSH
1392-03-20,2013-06-10,265,پخش,PKSH
1392-03-21,2013-06-11,278,پخش,PKSH
1392-03-22,2013-06-12,278,پخش,PKSH
1392-03-25,2013-06-15,298,پخش,PKSH
1392-03-26,2013-06-16,282,پخش,PKSH
1392-03-27,2013-06-17,276,پخش,PKSH
1392-03-28,2013-06-18,274,پخش,PKSH
1392-03-29,2013-06-19,280,پخش,PKSH
1392-04-01,2013-06-22,294,پخش,PKSH
1392-04-02,2013-06-23,294,پخش,PKSH
1392-04-04,2013-06-25,305,پخش,PKSH
1392-04-05,2013-06-26,318,پخش,PKSH
1392-04-08,2013-06-29,334,پخش,PKSH
1392-04-09,2013-06-30,350,پخش,PKSH
1392-04-10,2013-07-01,351,پخش,PKSH
1392-04-11,2013-07-02,348,پخش,PKSH
1392-04-12,2013-07-03,365,پخش,PKSH
1392-04-15,2013-07-06,366,پخش,PKSH
1392-04-16,2013-07-07,385,پخش,PKSH
1392-04-17,2013-07-08,404,پخش,PKSH
1392-04-18,2013-07-09,384,پخش,PKSH
1392-04-19,2013-07-10,380,پخش,PKSH
1392-04-22,2013-07-13,361,پخش,PKSH
1392-04-23,2013-07-14,351,پخش,PKSH
1392-04-24,2013-07-15,367,پخش,PKSH
1392-04-25,2013-07-16,384,پخش,PKSH
1392-04-26,2013-07-17,404,پخش,PKSH
1392-04-29,2013-07-20,386,پخش,PKSH
1392-04-30,2013-07-21,383,پخش,PKSH
1392-04-31,2013-07-22,375,پخش,PKSH
1392-05-01,2013-07-23,394,پخش,PKSH
1392-05-02,2013-07-24,373,پخش,PKSH
1392-05-05,2013-07-27,365,پخش,PKSH
1392-05-06,2013-07-28,356,پخش,PKSH
1392-05-07,2013-07-29,356,پخش,PKSH
1392-05-09,2013-07-31,360,پخش,PKSH
1392-05-12,2013-08-03,349,پخش,PKSH
1392-05-13,2013-08-04,371,پخش,PKSH
1392-05-14,2013-08-05,370,پخش,PKSH
1392-05-15,2013-08-06,359,پخش,PKSH
1392-05-16,2013-08-07,352,پخش,PKSH
1392-05-20,2013-08-11,349,پخش,PKSH
1392-05-21,2013-08-12,365,پخش,PKSH
1392-05-22,2013-08-13,352,پخش,PKSH
1392-05-23,2013-08-14,351,پخش,PKSH
1392-05-26,2013-08-17,348,پخش,PKSH
1392-05-27,2013-08-18,330,پخش,PKSH
1392-05-28,2013-08-19,333,پخش,PKSH
1392-05-29,2013-08-20,342,پخش,PKSH
1392-05-30,2013-08-21,325,پخش,PKSH
1392-06-02,2013-08-24,339,پخش,PKSH
1392-06-03,2013-08-25,328,پخش,PKSH
1392-06-04,2013-08-26,325,پخش,PKSH
1392-06-05,2013-08-27,307,پخش,PKSH
1392-06-06,2013-08-28,300,پخش,PKSH
1392-06-09,2013-08-31,293,پخش,PKSH
1392-06-10,2013-09-01,300,پخش,PKSH
1392-06-12,2013-09-03,289,پخش,PKSH
1392-06-13,2013-09-04,278,پخش,PKSH
1392-06-16,2013-09-07,266,پخش,PKSH
1392-06-17,2013-09-08,279,پخش,PKSH
1392-06-18,2013-09-09,289,پخش,PKSH
1392-06-19,2013-09-10,304,پخش,PKSH
1392-06-20,2013-09-11,318,پخش,PKSH
1392-06-23,2013-09-14,324,پخش,PKSH
1392-06-24,2013-09-15,332,پخش,PKSH
1392-06-25,2013-09-16,348,پخش,PKSH
1392-06-26,2013-09-17,336,پخش,PKSH
1392-06-27,2013-09-18,329,پخش,PKSH
1392-06-30,2013-09-21,321,پخش,PKSH
1392-06-31,2013-09-22,334,پخش,PKSH
1392-07-01,2013-09-23,340,پخش,PKSH
1392-07-02,2013-09-24,330,پخش,PKSH
1392-07-03,2013-09-25,329,پخش,PKSH
1392-07-06,2013-09-28,343,پخش,PKSH
1392-07-07,2013-09-29,331,پخش,PKSH
1392-07-08,2013-09-30,328,پخش,PKSH
1392-07-09,2013-10-01,333,پخش,PKSH
1392-07-10,2013-10-02,348,پخش,PKSH
1392-07-13,2013-10-05,365,پخش,PKSH
1392-07-14,2013-10-06,383,پخش,PKSH
1392-07-15,2013-10-07,362,پخش,PKSH
1392-07-16,2013-10-08,362,پخش,PKSH
1392-08-01,2013-10-23,362,پخش,PKSH
1392-08-04,2013-10-26,345,پخش,PKSH
1392-08-05,2013-10-27,334,پخش,PKSH
1392-08-06,2013-10-28,341,پخش,PKSH
1392-08-07,2013-10-29,335,پخش,PKSH
1392-08-08,2013-10-30,354,پخش,PKSH
1392-08-11,2013-11-02,368,پخش,PKSH
1392-08-12,2013-11-03,369,پخش,PKSH
1392-08-13,2013-11-04,359,پخش,PKSH
1392-08-14,2013-11-05,352,پخش,PKSH
1392-08-15,2013-11-06,350,پخش,PKSH
1392-08-18,2013-11-09,362,پخش,PKSH
1392-08-19,2013-11-10,364,پخش,PKSH
1392-08-20,2013-11-11,369,پخش,PKSH
1392-08-21,2013-11-12,390,پخش,PKSH
1392-08-25,2013-11-16,407,پخش,PKSH
1392-08-26,2013-11-17,392,پخش,PKSH
1392-08-27,2013-11-18,384,پخش,PKSH
1392-08-28,2013-11-19,378,پخش,PKSH
1392-08-29,2013-11-20,401,پخش,PKSH
1392-09-02,2013-11-23,404,پخش,PKSH
1392-09-03,2013-11-24,423,پخش,PKSH
1392-09-04,2013-11-25,415,پخش,PKSH
1392-09-05,2013-11-26,406,پخش,PKSH
1392-09-06,2013-11-27,391,پخش,PKSH
1392-09-09,2013-11-30,409,پخش,PKSH
1392-09-10,2013-12-01,395,پخش,PKSH
1392-09-11,2013-12-02,379,پخش,PKSH
1392-09-12,2013-12-03,374,پخش,PKSH
1392-09-13,2013-12-04,393,پخش,PKSH
1392-09-16,2013-12-07,406,پخش,PKSH
1392-09-17,2013-12-08,419,پخش,PKSH
1392-09-18,2013-12-09,409,پخش,PKSH
1392-09-19,2013-12-10,400,پخش,PKSH
1392-09-20,2013-12-11,400,پخش,PKSH
1392-09-23,2013-12-14,384,پخش,PKSH
1392-09-24,2013-12-15,389,پخش,PKSH
1392-09-25,2013-12-16,402,پخش,PKSH
1392-09-26,2013-12-17,395,پخش,PKSH
1392-09-27,2013-12-18,416,پخش,PKSH
1392-09-30,2013-12-21,433,پخش,PKSH
1392-10-01,2013-12-22,452,پخش,PKSH
1392-10-03,2013-12-24,474,پخش,PKSH
1392-10-04,2013-12-25,469,پخش,PKSH
1392-10-07,2013-12-28,463,پخش,PKSH
1392-10-08,2013-12-29,477,پخش,PKSH
1392-10-09,2013-12-30,449,پخش,PKSH
1392-10-11,2014-01-01,445,پخش,PKSH
1392-10-14,2014-01-04,445,پخش,PKSH
1392-10-15,2014-01-05,456,پخش,PKSH
1392-10-16,2014-01-06,442,پخش,PKSH
1392-10-17,2014-01-07,436,پخش,PKSH
1392-10-18,2014-01-08,440,پخش,PKSH
1392-10-21,2014-01-11,430,پخش,PKSH
1392-10-22,2014-01-12,416,پخش,PKSH
1392-10-23,2014-01-13,438,پخش,PKSH
1392-10-24,2014-01-14,412,پخش,PKSH
1392-10-25,2014-01-15,399,پخش,PKSH
1392-10-28,2014-01-18,380,پخش,PKSH
1392-10-30,2014-01-20,361,پخش,PKSH
1392-11-01,2014-01-21,346,پخش,PKSH
1392-11-02,2014-01-22,334,پخش,PKSH
1392-11-05,2014-01-25,333,پخش,PKSH
1392-11-06,2014-01-26,315,پخش,PKSH
1392-11-07,2014-01-27,313,پخش,PKSH
1392-11-08,2014-01-28,321,پخش,PKSH
1392-11-09,2014-01-29,336,پخش,PKSH
1392-11-12,2014-02-01,353,پخش,PKSH
1392-11-13,2014-02-02,335,پخش,PKSH
1392-11-14,2014-02-03,327,پخش,PKSH
1392-11-15,2014-02-04,336,پخش,PKSH
1392-11-16,2014-02-05,319,پخش,PKSH
1392-11-19,2014-02-08,309,پخش,PKSH
1392-11-20,2014-02-09,321,پخش,PKSH
1392-11-21,2014-02-10,304,پخش,PKSH
1392-11-23,2014-02-12,293,پخش,PKSH
1392-11-26,2014-02-15,309,پخش,PKSH
1392-11-27,2014-02-16,323,پخش,PKSH
1392-11-28,2014-02-17,337,پخش,PKSH
1392-11-29,2014-02-18,324,پخش,PKSH
1392-11-30,2014-02-19,340,پخش,PKSH
1392-12-03,2014-02-22,356,پخش,PKSH
1392-12-04,2014-02-23,370,پخش,PKSH
1392-12-05,2014-02-24,351,پخش,PKSH
1392-12-06,2014-02-25,341,پخش,PKSH
1392-12-07,2014-02-26,341,پخش,PKSH
1392-12-10,2014-03-01,358,پخش,PKSH
1392-12-11,2014-03-02,347,پخش,PKSH
1392-12-12,2014-03-03,329,پخش,PKSH
1392-12-13,2014-03-04,333,پخش,PKSH
1392-12-14,2014-03-05,348,پخش,PKSH
1392-12-17,2014-03-08,338,پخش,PKSH
1392-12-18,2014-03-09,329,پخش,PKSH
1392-12-19,2014-03-10,327,پخش,PKSH
1392-12-20,2014-03-11,312,پخش,PKSH
1392-12-21,2014-03-12,328,پخش,PKSH
1392-12-24,2014-03-15,340,پخش,PKSH
1392-12-25,2014-03-16,341,پخش,PKSH
1392-12-26,2014-03-17,351,پخش,PKSH
1392-12-27,2014-03-18,338,پخش,PKSH
1392-12-28,2014-03-19,340,پخش,PKSH
1393-01-05,2014-03-25,336,پخش,PKSH
1393-01-06,2014-03-26,327,پخش,PKSH
1393-01-09,2014-03-29,339,پخش,PKSH
1393-01-10,2014-03-30,349,پخش,PKSH
1393-01-11,2014-03-31,348,پخش,PKSH
1393-01-16,2014-04-05,343,پخش,PKSH
1393-01-17,2014-04-06,333,پخش,PKSH
1393-01-18,2014-04-07,342,پخش,PKSH
1393-01-19,2014-04-08,343,پخش,PKSH
1393-01-20,2014-04-09,340,پخش,PKSH
1393-01-23,2014-04-12,324,پخش,PKSH
1393-01-24,2014-04-13,309,پخش,PKSH
1393-01-25,2014-04-14,301,پخش,PKSH
1393-01-26,2014-04-15,312,پخش,PKSH
1393-01-27,2014-04-16,313,پخش,PKSH
1393-01-30,2014-04-19,300,پخش,PKSH
1393-01-31,2014-04-20,315,پخش,PKSH
1393-02-01,2014-04-21,319,پخش,PKSH
1393-02-02,2014-04-22,308,پخش,PKSH
1393-02-03,2014-04-23,310,پخش,PKSH
1393-02-06,2014-04-26,326,پخش,PKSH
1393-02-07,2014-04-27,316,پخش,PKSH
1393-02-08,2014-04-28,312,پخش,PKSH
1393-02-09,2014-04-29,310,پخش,PKSH
1393-02-10,2014-04-30,310,پخش,PKSH
