J-Date,Date,Adj Close,Ticker,Ticker(4)
1390-07-24,2011-10-16,991,کازرو,PKZP
1390-07-25,2011-10-17,1007,کازرو,PKZP
1390-07-26,2011-10-18,969,کازرو,PKZP
1390-07-27,2011-10-19,1029,کازرو,PKZP
1390-07-30,2011-10-22,1080,کازرو,PKZP
1390-08-01,2011-10-23,1027,کازرو,PKZP
1390-08-04,2011-10-26,1003,کازرو,PKZP
1390-08-07,2011-10-29,954,کازرو,PKZP
1390-08-11,2011-11-02,933,کازرو,PKZP
1390-08-14,2011-11-05,886,کازرو,PKZP
1390-08-15,2011-11-06,842,کازرو,PKZP
1390-08-17,2011-11-08,800,کازرو,PKZP
1390-08-18,2011-11-09,792,کازرو,PKZP
1390-08-22,2011-11-13,745,کازرو,PKZP
1390-08-23,2011-11-14,763,کازرو,PKZP
1390-08-25,2011-11-16,792,کازرو,PKZP
1390-08-28,2011-11-19,830,کازرو,PKZP
1390-08-29,2011-11-20,869,کازرو,PKZP
1390-08-30,2011-11-21,912,کازرو,PKZP
1390-09-01,2011-11-22,958,کازرو,PKZP
1390-09-02,2011-11-23,997,کازرو,PKZP
1390-09-05,2011-11-26,950,کازرو,PKZP
1390-09-06,2011-11-27,939,کازرو,PKZP
1390-09-07,2011-11-28,869,کازرو,PKZP
1390-09-08,2011-11-29,888,کازرو,PKZP
1390-09-09,2011-11-30,868,کازرو,PKZP
1390-09-12,2011-12-03,827,کازرو,PKZP
1390-09-13,2011-12-04,865,کازرو,PKZP
1390-09-16,2011-12-07,823,کازرو,PKZP
1390-09-19,2011-12-10,792,کازرو,PKZP
1390-09-20,2011-12-11,800,کازرو,PKZP
1390-09-21,2011-12-12,811,کازرو,PKZP
1390-09-22,2011-12-13,808,کازرو,PKZP
1390-09-23,2011-12-14,809,کازرو,PKZP
1390-09-26,2011-12-17,849,کازرو,PKZP
1390-09-27,2011-12-18,887,کازرو,PKZP
1390-09-30,2011-12-21,843,کازرو,PKZP
1390-10-04,2011-12-25,801,کازرو,PKZP
1390-10-05,2011-12-26,765,کازرو,PKZP
1390-10-06,2011-12-27,767,کازرو,PKZP
1390-10-07,2011-12-28,778,کازرو,PKZP
1390-10-10,2011-12-31,812,کازرو,PKZP
1390-10-11,2012-01-01,780,کازرو,PKZP
1390-10-12,2012-01-02,774,کازرو,PKZP
1390-10-13,2012-01-03,812,کازرو,PKZP
1390-10-14,2012-01-04,835,کازرو,PKZP
1390-10-19,2012-01-09,795,کازرو,PKZP
1390-10-20,2012-01-10,817,کازرو,PKZP
1390-10-21,2012-01-11,775,کازرو,PKZP
1390-10-25,2012-01-15,741,کازرو,PKZP
1390-10-26,2012-01-16,748,کازرو,PKZP
1390-10-27,2012-01-17,781,کازرو,PKZP
1390-11-05,2012-01-25,785,کازرو,PKZP
1390-11-08,2012-01-28,770,کازرو,PKZP
1390-11-11,2012-01-31,771,کازرو,PKZP
1390-11-16,2012-02-05,771,کازرو,PKZP
1390-11-17,2012-02-06,734,کازرو,PKZP
1390-11-18,2012-02-07,763,کازرو,PKZP
1390-11-23,2012-02-12,769,کازرو,PKZP
1390-11-24,2012-02-13,734,کازرو,PKZP
1390-11-25,2012-02-14,734,کازرو,PKZP
1390-12-01,2012-02-20,734,کازرو,PKZP
1390-12-02,2012-02-21,734,کازرو,PKZP
1390-12-06,2012-02-25,734,کازرو,PKZP
1390-12-09,2012-02-28,734,کازرو,PKZP
1390-12-10,2012-02-29,734,کازرو,PKZP
1390-12-13,2012-03-03,734,کازرو,PKZP
1390-12-17,2012-03-07,732,کازرو,PKZP
1390-12-21,2012-03-11,734,کازرو,PKZP
1390-12-24,2012-03-14,695,کازرو,PKZP
1391-01-07,2012-03-26,704,کازرو,PKZP
1391-01-08,2012-03-27,733,کازرو,PKZP
1391-01-22,2012-04-10,726,کازرو,PKZP
1391-01-26,2012-04-14,734,کازرو,PKZP
1391-01-28,2012-04-16,756,کازرو,PKZP
1391-01-29,2012-04-17,734,کازرو,PKZP
1391-01-30,2012-04-18,734,کازرو,PKZP
1391-02-02,2012-04-21,734,کازرو,PKZP
1391-02-10,2012-04-29,734,کازرو,PKZP
1391-02-11,2012-04-30,748,کازرو,PKZP
1391-02-17,2012-05-06,734,کازرو,PKZP
1391-02-23,2012-05-12,734,کازرو,PKZP
1391-02-24,2012-05-13,740,کازرو,PKZP
1391-02-25,2012-05-14,734,کازرو,PKZP
1391-02-27,2012-05-16,748,کازرو,PKZP
1391-02-30,2012-05-19,734,کازرو,PKZP
1391-02-31,2012-05-20,733,کازرو,PKZP
1391-03-01,2012-05-21,734,کازرو,PKZP
1391-03-06,2012-05-26,734,کازرو,PKZP
1391-03-08,2012-05-28,734,کازرو,PKZP
1391-03-09,2012-05-29,734,کازرو,PKZP
1391-03-16,2012-06-05,734,کازرو,PKZP
1391-03-20,2012-06-09,734,کازرو,PKZP
1391-03-24,2012-06-13,734,کازرو,PKZP
1391-03-30,2012-06-19,734,کازرو,PKZP
1391-03-31,2012-06-20,734,کازرو,PKZP
1391-04-07,2012-06-27,734,کازرو,PKZP
1391-04-14,2012-07-04,734,کازرو,PKZP
1391-04-20,2012-07-10,734,کازرو,PKZP
1391-04-24,2012-07-14,734,کازرو,PKZP
1391-04-26,2012-07-16,719,کازرو,PKZP
1391-06-27,2012-09-17,750,کازرو,PKZP
1391-06-28,2012-09-18,750,کازرو,PKZP
1391-07-02,2012-09-23,750,کازرو,PKZP
1391-07-04,2012-09-25,750,کازرو,PKZP
1391-07-05,2012-09-26,750,کازرو,PKZP
1391-07-08,2012-09-29,765,کازرو,PKZP
