J-Date,Date,Adj Close,Ticker,Ticker(4)
1390-07-18,2011-10-10,1653,ممسنی,PMMP
1390-07-19,2011-10-11,1658,ممسنی,PMMP
1390-07-20,2011-10-12,1575,ممسنی,PMMP
1390-08-01,2011-10-23,1497,ممسنی,PMMP
1390-08-02,2011-10-24,1422,ممسنی,PMMP
1390-08-03,2011-10-25,1351,ممسنی,PMMP
1390-08-04,2011-10-26,1287,ممسنی,PMMP
1390-08-07,2011-10-29,1230,ممسنی,PMMP
1390-08-08,2011-10-30,1205,ممسنی,PMMP
1390-08-09,2011-10-31,1145,ممسنی,PMMP
1390-08-10,2011-11-01,1143,ممسنی,PMMP
1390-08-11,2011-11-02,1147,ممسنی,PMMP
1390-08-14,2011-11-05,1194,ممسنی,PMMP
1390-08-15,2011-11-06,1166,ممسنی,PMMP
1390-08-18,2011-11-09,1180,ممسنی,PMMP
1390-08-21,2011-11-12,1135,ممسنی,PMMP
1390-08-22,2011-11-13,1088,ممسنی,PMMP
1390-08-23,2011-11-14,1055,ممسنی,PMMP
1390-08-25,2011-11-16,1035,ممسنی,PMMP
1390-08-28,2011-11-19,1073,ممسنی,PMMP
1390-08-29,2011-11-20,1100,ممسنی,PMMP
1390-08-30,2011-11-21,1055,ممسنی,PMMP
1390-09-01,2011-11-22,1034,ممسنی,PMMP
1390-09-02,2011-11-23,1070,ممسنی,PMMP
1390-09-05,2011-11-26,1040,ممسنی,PMMP
1390-09-06,2011-11-27,1055,ممسنی,PMMP
1390-09-07,2011-11-28,1056,ممسنی,PMMP
1390-09-08,2011-11-29,1046,ممسنی,PMMP
1390-09-09,2011-11-30,1091,ممسنی,PMMP
1390-09-12,2011-12-03,1047,ممسنی,PMMP
1390-09-13,2011-12-04,1075,ممسنی,PMMP
1390-09-16,2011-12-07,1095,ممسنی,PMMP
1390-09-19,2011-12-10,1089,ممسنی,PMMP
1390-09-20,2011-12-11,1050,ممسنی,PMMP
1390-09-21,2011-12-12,1047,ممسنی,PMMP
1390-09-22,2011-12-13,1048,ممسنی,PMMP
1390-09-23,2011-12-14,1043,ممسنی,PMMP
1390-09-26,2011-12-17,1065,ممسنی,PMMP
1390-09-27,2011-12-18,1056,ممسنی,PMMP
1390-09-28,2011-12-19,1046,ممسنی,PMMP
1390-09-29,2011-12-20,1055,ممسنی,PMMP
1390-09-30,2011-12-21,1045,ممسنی,PMMP
1390-10-03,2011-12-24,1045,ممسنی,PMMP
1390-10-04,2011-12-25,1046,ممسنی,PMMP
1390-10-05,2011-12-26,1045,ممسنی,PMMP
1390-10-06,2011-12-27,1045,ممسنی,PMMP
1390-10-07,2011-12-28,1045,ممسنی,PMMP
1390-10-13,2012-01-03,1118,ممسنی,PMMP
1390-10-14,2012-01-04,1044,ممسنی,PMMP
1390-10-18,2012-01-08,1003,ممسنی,PMMP
1390-10-19,2012-01-09,996,ممسنی,PMMP
