J-Date,Date,Adj Close,Ticker,Ticker(4)
1390-07-23,2011-10-15,441,ثشرق,PMSZ
1390-07-24,2011-10-16,438,ثشرق,PMSZ
1390-07-25,2011-10-17,430,ثشرق,PMSZ
1390-07-26,2011-10-18,435,ثشرق,PMSZ
1390-07-27,2011-10-19,438,ثشرق,PMSZ
1390-07-30,2011-10-22,430,ثشرق,PMSZ
1390-08-01,2011-10-23,426,ثشرق,PMSZ
1390-08-02,2011-10-24,416,ثشرق,PMSZ
1390-08-03,2011-10-25,426,ثشرق,PMSZ
1390-08-04,2011-10-26,422,ثشرق,PMSZ
1390-08-07,2011-10-29,426,ثشرق,PMSZ
1390-08-08,2011-10-30,416,ثشرق,PMSZ
1390-08-09,2011-10-31,414,ثشرق,PMSZ
1390-08-10,2011-11-01,415,ثشرق,PMSZ
1390-08-11,2011-11-02,418,ثشرق,PMSZ
1390-08-14,2011-11-05,412,ثشرق,PMSZ
1390-08-15,2011-11-06,407,ثشرق,PMSZ
1390-08-17,2011-11-08,391,ثشرق,PMSZ
1390-08-18,2011-11-09,405,ثشرق,PMSZ
1390-08-21,2011-11-12,410,ثشرق,PMSZ
1390-08-22,2011-11-13,398,ثشرق,PMSZ
1390-08-23,2011-11-14,396,ثشرق,PMSZ
1390-08-25,2011-11-16,409,ثشرق,PMSZ
1390-08-28,2011-11-19,410,ثشرق,PMSZ
1390-08-29,2011-11-20,407,ثشرق,PMSZ
1390-08-30,2011-11-21,412,ثشرق,PMSZ
1390-09-01,2011-11-22,403,ثشرق,PMSZ
1390-09-02,2011-11-23,393,ثشرق,PMSZ
1390-09-05,2011-11-26,390,ثشرق,PMSZ
1390-09-06,2011-11-27,378,ثشرق,PMSZ
1390-09-07,2011-11-28,380,ثشرق,PMSZ
1390-09-08,2011-11-29,398,ثشرق,PMSZ
1390-09-09,2011-11-30,389,ثشرق,PMSZ
1390-09-12,2011-12-03,398,ثشرق,PMSZ
1390-09-13,2011-12-04,417,ثشرق,PMSZ
