J-Date,Date,Adj Close,Ticker,Ticker(4)
1391-11-16,2013-02-04,322,شاوان,PNLZ
1391-11-17,2013-02-05,343,شاوان,PNLZ
1391-11-18,2013-02-06,360,شاوان,PNLZ
1391-11-21,2013-02-09,378,شاوان,PNLZ
1391-11-23,2013-02-11,396,شاوان,PNLZ
1391-11-24,2013-02-12,416,شاوان,PNLZ
1391-11-25,2013-02-13,437,شاوان,PNLZ
1391-11-28,2013-02-16,459,شاوان,PNLZ
1391-11-29,2013-02-17,482,شاوان,PNLZ
1391-11-30,2013-02-18,506,شاوان,PNLZ
1391-12-01,2013-02-19,531,شاوان,PNLZ
1391-12-02,2013-02-20,558,شاوان,PNLZ
1391-12-05,2013-02-23,585,شاوان,PNLZ
1391-12-06,2013-02-24,615,شاوان,PNLZ
1391-12-07,2013-02-25,645,شاوان,PNLZ
1391-12-08,2013-02-26,672,شاوان,PNLZ
1391-12-09,2013-02-27,684,شاوان,PNLZ
1391-12-12,2013-03-02,718,شاوان,PNLZ
1391-12-13,2013-03-03,754,شاوان,PNLZ
1391-12-14,2013-03-04,728,شاوان,PNLZ
1391-12-15,2013-03-05,754,شاوان,PNLZ
1391-12-16,2013-03-06,766,شاوان,PNLZ
1391-12-19,2013-03-09,728,شاوان,PNLZ
1391-12-20,2013-03-10,732,شاوان,PNLZ
1391-12-21,2013-03-11,720,شاوان,PNLZ
1391-12-22,2013-03-12,733,شاوان,PNLZ
1391-12-23,2013-03-13,732,شاوان,PNLZ
1391-12-26,2013-03-16,717,شاوان,PNLZ
1391-12-27,2013-03-17,693,شاوان,PNLZ
1391-12-28,2013-03-18,729,شاوان,PNLZ
1392-06-16,2013-09-07,1301,شاوان,PNLZ
1392-06-17,2013-09-08,1384,شاوان,PNLZ
1392-06-18,2013-09-09,1446,شاوان,PNLZ
1392-06-19,2013-09-10,1518,شاوان,PNLZ
1392-06-20,2013-09-11,1594,شاوان,PNLZ
1392-06-23,2013-09-14,1674,شاوان,PNLZ
1392-06-24,2013-09-15,1750,شاوان,PNLZ
1392-06-25,2013-09-16,1827,شاوان,PNLZ
1392-06-26,2013-09-17,1890,شاوان,PNLZ
1392-06-27,2013-09-18,1985,شاوان,PNLZ
1392-06-30,2013-09-21,1985,شاوان,PNLZ
1392-06-31,2013-09-22,1953,شاوان,PNLZ
1392-07-01,2013-09-23,2044,شاوان,PNLZ
1392-07-02,2013-09-24,1968,شاوان,PNLZ
1392-07-03,2013-09-25,1990,شاوان,PNLZ
1392-07-06,2013-09-28,2012,شاوان,PNLZ
1392-07-07,2013-09-29,2099,شاوان,PNLZ
1392-07-08,2013-09-30,2188,شاوان,PNLZ
1392-07-09,2013-10-01,2284,شاوان,PNLZ
1392-07-10,2013-10-02,2396,شاوان,PNLZ
1392-07-13,2013-10-05,2516,شاوان,PNLZ
1392-07-14,2013-10-06,2642,شاوان,PNLZ
1392-07-15,2013-10-07,2766,شاوان,PNLZ
1392-07-16,2013-10-08,2841,شاوان,PNLZ
1392-07-17,2013-10-09,2959,شاوان,PNLZ
1392-07-20,2013-10-12,3107,شاوان,PNLZ
1392-07-21,2013-10-13,3263,شاوان,PNLZ
1392-07-22,2013-10-14,3426,شاوان,PNLZ
1392-07-23,2013-10-15,3597,شاوان,PNLZ
1392-07-27,2013-10-19,3777,شاوان,PNLZ
1392-07-28,2013-10-20,3588,شاوان,PNLZ
1392-07-29,2013-10-21,3771,شاوان,PNLZ
1392-07-30,2013-10-22,3500,شاوان,PNLZ
1392-08-01,2013-10-23,3684,شاوان,PNLZ
1392-08-04,2013-10-26,3668,شاوان,PNLZ
1392-08-05,2013-10-27,3538,شاوان,PNLZ
1392-08-06,2013-10-28,3564,شاوان,PNLZ
1392-08-07,2013-10-29,3573,شاوان,PNLZ
1392-08-08,2013-10-30,3461,شاوان,PNLZ
1392-08-11,2013-11-02,3306,شاوان,PNLZ
1392-08-12,2013-11-03,3155,شاوان,PNLZ
1392-08-13,2013-11-04,3021,شاوان,PNLZ
1392-08-14,2013-11-05,3142,شاوان,PNLZ
1392-08-15,2013-11-06,3035,شاوان,PNLZ
1392-08-18,2013-11-09,2991,شاوان,PNLZ
1392-09-05,2013-11-26,2865,شاوان,PNLZ
1392-09-06,2013-11-27,2722,شاوان,PNLZ
1392-09-09,2013-11-30,2585,شاوان,PNLZ
1392-09-10,2013-12-01,2515,شاوان,PNLZ
1392-09-11,2013-12-02,2436,شاوان,PNLZ
1392-09-12,2013-12-03,2366,شاوان,PNLZ
1392-09-13,2013-12-04,2314,شاوان,PNLZ
1392-09-16,2013-12-07,2216,شاوان,PNLZ
1392-09-17,2013-12-08,2203,شاوان,PNLZ
1392-09-18,2013-12-09,2258,شاوان,PNLZ
1392-09-19,2013-12-10,2371,شاوان,PNLZ
1392-09-20,2013-12-11,2490,شاوان,PNLZ
1392-09-23,2013-12-14,2567,شاوان,PNLZ
1392-09-24,2013-12-15,2695,شاوان,PNLZ
1392-09-25,2013-12-16,2830,شاوان,PNLZ
1392-09-26,2013-12-17,2714,شاوان,PNLZ
1392-09-27,2013-12-18,2630,شاوان,PNLZ
1392-09-30,2013-12-21,2559,شاوان,PNLZ
1392-10-01,2013-12-22,2632,شاوان,PNLZ
1392-10-03,2013-12-24,2766,شاوان,PNLZ
1392-10-04,2013-12-25,2895,شاوان,PNLZ
1392-10-07,2013-12-28,2795,شاوان,PNLZ
1392-10-08,2013-12-29,2752,شاوان,PNLZ
1392-10-09,2013-12-30,2641,شاوان,PNLZ
1392-10-11,2014-01-01,2671,شاوان,PNLZ
1392-10-14,2014-01-04,2609,شاوان,PNLZ
1392-10-15,2014-01-05,2506,شاوان,PNLZ
1392-10-16,2014-01-06,2437,شاوان,PNLZ
1392-10-17,2014-01-07,2343,شاوان,PNLZ
1392-10-18,2014-01-08,2289,شاوان,PNLZ
1392-10-21,2014-01-11,2399,شاوان,PNLZ
1392-10-22,2014-01-12,2307,شاوان,PNLZ
1392-10-23,2014-01-13,2385,شاوان,PNLZ
1392-10-24,2014-01-14,2289,شاوان,PNLZ
1392-10-25,2014-01-15,2289,شاوان,PNLZ
1392-10-28,2014-01-18,2211,شاوان,PNLZ
1392-10-30,2014-01-20,2113,شاوان,PNLZ
1392-11-01,2014-01-21,2179,شاوان,PNLZ
1392-11-02,2014-01-22,2172,شاوان,PNLZ
1392-11-05,2014-01-25,2194,شاوان,PNLZ
1392-11-06,2014-01-26,2106,شاوان,PNLZ
1392-11-07,2014-01-27,2072,شاوان,PNLZ
1392-11-08,2014-01-28,2124,شاوان,PNLZ
1392-11-09,2014-01-29,2219,شاوان,PNLZ
1392-11-12,2014-02-01,2314,شاوان,PNLZ
1392-11-13,2014-02-02,2229,شاوان,PNLZ
1392-11-14,2014-02-03,2229,شاوان,PNLZ
1392-11-15,2014-02-04,2237,شاوان,PNLZ
1392-11-16,2014-02-05,2155,شاوان,PNLZ
1392-11-19,2014-02-08,2085,شاوان,PNLZ
1392-11-20,2014-02-09,2172,شاوان,PNLZ
1392-11-21,2014-02-10,2125,شاوان,PNLZ
