J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-06-31,2001-09-22,206,شپلی,POIP
1380-07-02,2001-09-24,206,شپلی,POIP
1380-07-24,2001-10-16,195,شپلی,POIP
1380-08-07,2001-10-29,195,شپلی,POIP
1380-08-08,2001-10-30,191,شپلی,POIP
1380-08-09,2001-10-31,186,شپلی,POIP
1380-08-14,2001-11-05,178,شپلی,POIP
1380-08-15,2001-11-06,178,شپلی,POIP
1380-08-16,2001-11-07,175,شپلی,POIP
1380-08-19,2001-11-10,173,شپلی,POIP
1380-08-20,2001-11-11,178,شپلی,POIP
1380-08-21,2001-11-12,185,شپلی,POIP
1380-08-22,2001-11-13,193,شپلی,POIP
1380-08-23,2001-11-14,194,شپلی,POIP
1380-08-26,2001-11-17,194,شپلی,POIP
1380-08-27,2001-11-18,194,شپلی,POIP
1380-08-30,2001-11-21,193,شپلی,POIP
1380-09-05,2001-11-26,185,شپلی,POIP
1380-09-11,2001-12-02,178,شپلی,POIP
1380-09-12,2001-12-03,169,شپلی,POIP
1380-09-13,2001-12-04,169,شپلی,POIP
1380-09-17,2001-12-08,168,شپلی,POIP
1380-09-19,2001-12-10,168,شپلی,POIP
1380-09-20,2001-12-11,168,شپلی,POIP
1380-09-21,2001-12-12,169,شپلی,POIP
1380-09-24,2001-12-15,169,شپلی,POIP
1380-10-01,2001-12-22,171,شپلی,POIP
1380-10-02,2001-12-23,171,شپلی,POIP
1380-10-03,2001-12-24,171,شپلی,POIP
1380-10-04,2001-12-25,171,شپلی,POIP
1380-10-05,2001-12-26,170,شپلی,POIP
1380-10-08,2001-12-29,170,شپلی,POIP
1380-10-09,2001-12-30,170,شپلی,POIP
1381-03-28,2002-06-18,158,شپلی,POIP
1381-04-24,2002-07-15,157,شپلی,POIP
1381-06-25,2002-09-16,137,شپلی,POIP
1381-07-02,2002-09-24,137,شپلی,POIP
1381-07-14,2002-10-06,137,شپلی,POIP
1381-07-20,2002-10-12,136,شپلی,POIP
1381-08-12,2002-11-03,130,شپلی,POIP
1381-08-13,2002-11-04,123,شپلی,POIP
1381-08-19,2002-11-10,117,شپلی,POIP
1381-08-21,2002-11-12,111,شپلی,POIP
1381-08-25,2002-11-16,106,شپلی,POIP
1381-08-26,2002-11-17,101,شپلی,POIP
1381-08-27,2002-11-18,101,شپلی,POIP
1381-08-28,2002-11-19,97,شپلی,POIP
1381-08-29,2002-11-20,97,شپلی,POIP
1381-09-02,2002-11-23,96,شپلی,POIP
1381-09-03,2002-11-24,96,شپلی,POIP
1381-09-04,2002-11-25,96,شپلی,POIP
1381-10-03,2002-12-24,106,شپلی,POIP
1381-10-10,2002-12-31,116,شپلی,POIP
1381-10-14,2003-01-04,122,شپلی,POIP
1381-10-15,2003-01-05,128,شپلی,POIP
1381-10-16,2003-01-06,130,شپلی,POIP
1381-10-21,2003-01-11,136,شپلی,POIP
1381-10-22,2003-01-12,143,شپلی,POIP
1381-10-23,2003-01-13,150,شپلی,POIP
1381-10-24,2003-01-14,157,شپلی,POIP
1381-10-25,2003-01-15,165,شپلی,POIP
1381-10-28,2003-01-18,173,شپلی,POIP
1381-11-01,2003-01-21,182,شپلی,POIP
1381-11-02,2003-01-22,191,شپلی,POIP
1381-11-05,2003-01-25,201,شپلی,POIP
1381-11-06,2003-01-26,211,شپلی,POIP
1381-11-07,2003-01-27,221,شپلی,POIP
1381-11-08,2003-01-28,232,شپلی,POIP
1381-11-09,2003-01-29,244,شپلی,POIP
1381-11-12,2003-02-01,244,شپلی,POIP
1381-11-13,2003-02-02,243,شپلی,POIP
1381-11-26,2003-02-15,203,شپلی,POIP
1381-11-27,2003-02-16,193,شپلی,POIP
1381-11-28,2003-02-17,183,شپلی,POIP
1381-11-29,2003-02-18,174,شپلی,POIP
1381-11-30,2003-02-19,165,شپلی,POIP
1381-12-05,2003-02-24,157,شپلی,POIP
1381-12-10,2003-03-01,149,شپلی,POIP
