J-Date,Date,Adj Close,Ticker,Ticker(4)
1396-04-27,2017-07-18,1574,پرداخت,PRKT
1396-04-28,2017-07-19,1653,پرداخت,PRKT
1396-04-31,2017-07-22,1735,پرداخت,PRKT
1396-05-01,2017-07-23,1754,پرداخت,PRKT
1396-05-02,2017-07-24,1841,پرداخت,PRKT
1396-05-03,2017-07-25,1933,پرداخت,PRKT
1396-05-04,2017-07-26,2030,پرداخت,PRKT
1396-05-07,2017-07-29,2024,پرداخت,PRKT
1396-05-08,2017-07-30,1998,پرداخت,PRKT
1396-05-09,2017-07-31,1986,پرداخت,PRKT
1396-05-10,2017-08-01,2075,پرداخت,PRKT
1396-05-11,2017-08-02,2065,پرداخت,PRKT
1396-05-15,2017-08-06,2016,پرداخت,PRKT
1396-05-16,2017-08-07,1994,پرداخت,PRKT
1396-05-17,2017-08-08,1991,پرداخت,PRKT
1396-05-18,2017-08-09,1988,پرداخت,PRKT
1396-05-21,2017-08-12,1975,پرداخت,PRKT
1396-05-22,2017-08-13,1971,پرداخت,PRKT
1396-05-23,2017-08-14,1934,پرداخت,PRKT
1396-05-24,2017-08-15,1952,پرداخت,PRKT
1396-05-25,2017-08-16,1938,پرداخت,PRKT
1396-05-28,2017-08-19,1934,پرداخت,PRKT
1396-05-29,2017-08-20,1979,پرداخت,PRKT
1396-05-30,2017-08-21,1947,پرداخت,PRKT
1396-05-31,2017-08-22,1936,پرداخت,PRKT
1396-06-01,2017-08-23,1945,پرداخت,PRKT
1396-06-04,2017-08-26,1910,پرداخت,PRKT
1396-06-05,2017-08-27,1919,پرداخت,PRKT
1396-06-06,2017-08-28,1899,پرداخت,PRKT
1396-06-07,2017-08-29,1880,پرداخت,PRKT
1396-06-08,2017-08-30,1862,پرداخت,PRKT
1396-06-11,2017-09-02,1889,پرداخت,PRKT
1396-06-12,2017-09-03,1923,پرداخت,PRKT
1396-06-13,2017-09-04,1925,پرداخت,PRKT
1396-06-14,2017-09-05,1934,پرداخت,PRKT
1396-06-15,2017-09-06,1915,پرداخت,PRKT
1396-06-19,2017-09-10,1905,پرداخت,PRKT
1396-06-20,2017-09-11,1914,پرداخت,PRKT
1396-06-21,2017-09-12,1911,پرداخت,PRKT
1396-06-22,2017-09-13,1908,پرداخت,PRKT
1396-06-25,2017-09-16,1901,پرداخت,PRKT
1396-06-26,2017-09-17,1889,پرداخت,PRKT
1396-06-27,2017-09-18,1851,پرداخت,PRKT
1396-06-28,2017-09-19,1856,پرداخت,PRKT
1396-06-29,2017-09-20,1862,پرداخت,PRKT
1396-07-01,2017-09-23,1856,پرداخت,PRKT
1396-07-02,2017-09-24,1854,پرداخت,PRKT
1396-07-03,2017-09-25,1880,پرداخت,PRKT
1396-07-04,2017-09-26,1923,پرداخت,PRKT
1396-07-05,2017-09-27,1874,پرداخت,PRKT
1396-07-10,2017-10-02,1830,پرداخت,PRKT
1396-07-11,2017-10-03,1839,پرداخت,PRKT
1396-07-12,2017-10-04,1850,پرداخت,PRKT
1396-07-15,2017-10-07,1781,پرداخت,PRKT
1396-07-16,2017-10-08,1740,پرداخت,PRKT
1396-07-17,2017-10-09,1654,پرداخت,PRKT
1396-07-18,2017-10-10,1650,پرداخت,PRKT
1396-07-19,2017-10-11,1655,پرداخت,PRKT
1396-07-22,2017-10-14,1664,پرداخت,PRKT
1396-07-23,2017-10-15,1679,پرداخت,PRKT
1396-07-24,2017-10-16,1657,پرداخت,PRKT
1396-07-25,2017-10-17,1651,پرداخت,PRKT
1396-07-26,2017-10-18,1637,پرداخت,PRKT
1396-07-29,2017-10-21,1637,پرداخت,PRKT
1396-07-30,2017-10-22,1641,پرداخت,PRKT
1396-08-01,2017-10-23,1637,پرداخت,PRKT
1396-08-02,2017-10-24,1630,پرداخت,PRKT
1396-08-03,2017-10-25,1637,پرداخت,PRKT
1396-08-06,2017-10-28,1632,پرداخت,PRKT
1396-08-07,2017-10-29,1632,پرداخت,PRKT
1396-08-08,2017-10-30,1632,پرداخت,PRKT
1396-08-09,2017-10-31,1639,پرداخت,PRKT
1396-08-10,2017-11-01,1630,پرداخت,PRKT
1396-08-13,2017-11-04,1631,پرداخت,PRKT
1396-08-14,2017-11-05,1625,پرداخت,PRKT
1396-08-15,2017-11-06,1637,پرداخت,PRKT
1396-08-16,2017-11-07,1632,پرداخت,PRKT
1396-08-17,2017-11-08,1625,پرداخت,PRKT
1396-08-20,2017-11-11,1625,پرداخت,PRKT
1396-08-21,2017-11-12,1627,پرداخت,PRKT
1396-08-22,2017-11-13,1626,پرداخت,PRKT
1396-08-23,2017-11-14,1625,پرداخت,PRKT
1396-08-24,2017-11-15,1627,پرداخت,PRKT
1396-08-27,2017-11-18,1623,پرداخت,PRKT
1396-08-29,2017-11-20,1625,پرداخت,PRKT
1396-08-30,2017-11-21,1615,پرداخت,PRKT
1396-09-01,2017-11-22,1619,پرداخت,PRKT
1396-09-04,2017-11-25,1614,پرداخت,PRKT
1396-09-05,2017-11-26,1611,پرداخت,PRKT
1396-09-07,2017-11-28,1610,پرداخت,PRKT
1396-09-08,2017-11-29,1610,پرداخت,PRKT
1396-09-11,2017-12-02,1612,پرداخت,PRKT
1396-09-12,2017-12-03,1613,پرداخت,PRKT
1396-09-13,2017-12-04,1609,پرداخت,PRKT
1396-09-14,2017-12-05,1598,پرداخت,PRKT
1396-09-18,2017-12-09,1610,پرداخت,PRKT
1396-09-19,2017-12-10,1601,پرداخت,PRKT
1396-09-20,2017-12-11,1605,پرداخت,PRKT
1396-09-21,2017-12-12,1594,پرداخت,PRKT
1396-09-22,2017-12-13,1588,پرداخت,PRKT
1396-09-25,2017-12-16,1592,پرداخت,PRKT
1396-09-26,2017-12-17,1592,پرداخت,PRKT
1396-09-27,2017-12-18,1630,پرداخت,PRKT
1396-09-28,2017-12-19,1619,پرداخت,PRKT
1396-09-29,2017-12-20,1619,پرداخت,PRKT
1396-10-02,2017-12-23,1623,پرداخت,PRKT
1396-10-03,2017-12-24,1673,پرداخت,PRKT
1396-10-04,2017-12-25,1672,پرداخت,PRKT
1396-10-05,2017-12-26,1664,پرداخت,PRKT
1396-10-06,2017-12-27,1637,پرداخت,PRKT
1396-10-09,2017-12-30,1601,پرداخت,PRKT
1396-10-10,2017-12-31,1592,پرداخت,PRKT
1396-10-11,2018-01-01,1587,پرداخت,PRKT
1396-10-12,2018-01-02,1587,پرداخت,PRKT
1396-10-13,2018-01-03,1583,پرداخت,PRKT
1396-10-16,2018-01-06,1586,پرداخت,PRKT
1396-10-17,2018-01-07,1610,پرداخت,PRKT
1396-10-18,2018-01-08,1666,پرداخت,PRKT
1396-10-19,2018-01-09,1661,پرداخت,PRKT
1396-10-20,2018-01-10,1664,پرداخت,PRKT
1396-10-23,2018-01-13,1693,پرداخت,PRKT
1396-10-24,2018-01-14,1691,پرداخت,PRKT
1396-10-25,2018-01-15,1672,پرداخت,PRKT
1396-10-26,2018-01-16,1678,پرداخت,PRKT
1396-10-27,2018-01-17,1673,پرداخت,PRKT
1396-10-30,2018-01-20,1677,پرداخت,PRKT
1396-11-01,2018-01-21,1664,پرداخت,PRKT
1396-11-02,2018-01-22,1659,پرداخت,PRKT
1396-11-03,2018-01-23,1658,پرداخت,PRKT
1396-11-04,2018-01-24,1655,پرداخت,PRKT
1396-11-07,2018-01-27,1652,پرداخت,PRKT
1396-11-08,2018-01-28,1641,پرداخت,PRKT
1396-11-09,2018-01-29,1635,پرداخت,PRKT
1396-11-10,2018-01-30,1622,پرداخت,PRKT
1396-11-11,2018-01-31,1625,پرداخت,PRKT
1396-11-14,2018-02-03,1636,پرداخت,PRKT
1396-11-15,2018-02-04,1637,پرداخت,PRKT
1396-11-16,2018-02-05,1623,پرداخت,PRKT
1396-11-17,2018-02-06,1652,پرداخت,PRKT
1396-11-18,2018-02-07,1646,پرداخت,PRKT
1396-11-21,2018-02-10,1643,پرداخت,PRKT
1396-11-23,2018-02-12,1621,پرداخت,PRKT
1396-11-24,2018-02-13,1623,پرداخت,PRKT
1396-11-25,2018-02-14,1619,پرداخت,PRKT
1396-11-28,2018-02-17,1610,پرداخت,PRKT
1396-11-29,2018-02-18,1613,پرداخت,PRKT
1396-11-30,2018-02-19,1601,پرداخت,PRKT
1396-12-02,2018-02-21,1601,پرداخت,PRKT
1396-12-05,2018-02-24,1604,پرداخت,PRKT
1396-12-06,2018-02-25,1601,پرداخت,PRKT
1396-12-07,2018-02-26,1601,پرداخت,PRKT
1396-12-08,2018-02-27,1599,پرداخت,PRKT
1396-12-09,2018-02-28,1606,پرداخت,PRKT
