J-Date,Date,Adj Close,Ticker,Ticker(4)
1391-04-14,2012-07-04,114,شراز,PRZZ
1391-04-17,2012-07-07,129,شراز,PRZZ
1391-04-18,2012-07-08,135,شراز,PRZZ
1391-04-19,2012-07-09,142,شراز,PRZZ
1391-04-20,2012-07-10,149,شراز,PRZZ
1391-04-21,2012-07-11,157,شراز,PRZZ
1391-04-24,2012-07-14,165,شراز,PRZZ
1391-04-25,2012-07-15,164,شراز,PRZZ
1391-04-26,2012-07-16,161,شراز,PRZZ
1391-04-27,2012-07-17,156,شراز,PRZZ
1391-05-31,2012-08-21,170,شراز,PRZZ
1391-06-01,2012-08-22,174,شراز,PRZZ
1391-06-04,2012-08-25,182,شراز,PRZZ
1391-06-05,2012-08-26,189,شراز,PRZZ
1391-06-06,2012-08-27,199,شراز,PRZZ
1391-06-12,2012-09-02,203,شراز,PRZZ
1391-06-13,2012-09-03,210,شراز,PRZZ
1391-06-14,2012-09-04,218,شراز,PRZZ
1391-06-15,2012-09-05,213,شراز,PRZZ
1391-06-18,2012-09-08,206,شراز,PRZZ
1391-06-19,2012-09-09,201,شراز,PRZZ
1391-06-20,2012-09-10,204,شراز,PRZZ
1391-06-21,2012-09-11,195,شراز,PRZZ
1391-06-25,2012-09-15,208,شراز,PRZZ
1391-06-26,2012-09-16,211,شراز,PRZZ
1391-06-27,2012-09-17,222,شراز,PRZZ
1391-06-28,2012-09-18,231,شراز,PRZZ
1391-06-29,2012-09-19,222,شراز,PRZZ
1391-07-01,2012-09-22,221,شراز,PRZZ
1391-07-02,2012-09-23,214,شراز,PRZZ
1391-07-03,2012-09-24,208,شراز,PRZZ
1391-07-04,2012-09-25,215,شراز,PRZZ
1391-07-05,2012-09-26,226,شراز,PRZZ
1391-07-08,2012-09-29,218,شراز,PRZZ
1391-07-09,2012-09-30,211,شراز,PRZZ
1391-07-10,2012-10-01,205,شراز,PRZZ
1391-07-11,2012-10-02,214,شراز,PRZZ
1391-07-12,2012-10-03,212,شراز,PRZZ
1391-07-15,2012-10-06,206,شراز,PRZZ
1391-07-16,2012-10-07,208,شراز,PRZZ
1391-07-17,2012-10-08,215,شراز,PRZZ
