J-Date,Date,Adj Close,Ticker,Ticker(4)
1399-02-20,2020-05-09,48781,گشان,PSDP
1399-02-21,2020-05-10,49757,گشان,PSDP
1399-02-22,2020-05-11,50752,گشان,PSDP
1399-02-23,2020-05-12,51767,گشان,PSDP
1399-02-24,2020-05-13,53838,گشان,PSDP
1399-02-27,2020-05-16,54914,گشان,PSDP
1399-02-28,2020-05-17,56013,گشان,PSDP
1399-02-29,2020-05-18,57133,گشان,PSDP
1399-02-30,2020-05-19,59418,گشان,PSDP
1399-02-31,2020-05-20,60606,گشان,PSDP
1399-03-03,2020-05-23,61818,گشان,PSDP
1399-03-06,2020-05-26,60581,گشان,PSDP
1399-03-07,2020-05-27,59370,گشان,PSDP
1399-03-10,2020-05-30,58183,گشان,PSDP
1399-03-11,2020-05-31,55855,گشان,PSDP
1399-03-12,2020-06-01,54738,گشان,PSDP
1399-03-13,2020-06-02,53644,گشان,PSDP
1399-03-17,2020-06-06,54717,گشان,PSDP
1399-03-18,2020-06-07,55811,گشان,PSDP
1399-03-19,2020-06-08,55053,گشان,PSDP
1399-03-20,2020-06-09,55018,گشان,PSDP
1399-03-21,2020-06-10,54308,گشان,PSDP
1399-03-24,2020-06-13,53496,گشان,PSDP
1399-03-25,2020-06-14,52426,گشان,PSDP
1399-03-26,2020-06-15,54523,گشان,PSDP
1399-03-27,2020-06-16,53968,گشان,PSDP
1399-03-31,2020-06-20,55047,گشان,PSDP
1399-04-01,2020-06-21,56147,گشان,PSDP
1399-04-02,2020-06-22,58348,گشان,PSDP
1399-04-03,2020-06-23,58851,گشان,PSDP
1399-04-04,2020-06-24,58189,گشان,PSDP
1399-04-07,2020-06-27,57358,گشان,PSDP
1399-04-08,2020-06-28,56331,گشان,PSDP
1399-04-09,2020-06-29,55204,گشان,PSDP
1399-04-10,2020-06-30,55751,گشان,PSDP
1399-04-11,2020-07-01,56144,گشان,PSDP
1399-04-14,2020-07-04,57236,گشان,PSDP
1399-04-15,2020-07-05,58368,گشان,PSDP
1399-04-16,2020-07-06,60702,گشان,PSDP
1399-04-17,2020-07-07,61916,گشان,PSDP
1399-04-18,2020-07-08,63154,گشان,PSDP
1399-04-21,2020-07-11,64400,گشان,PSDP
1399-04-22,2020-07-12,66976,گشان,PSDP
1399-04-23,2020-07-13,67789,گشان,PSDP
1399-04-24,2020-07-14,69145,گشان,PSDP
1399-04-25,2020-07-15,70528,گشان,PSDP
1399-04-28,2020-07-18,73349,گشان,PSDP
1399-04-29,2020-07-19,74816,گشان,PSDP
1399-04-30,2020-07-20,76312,گشان,PSDP
1399-04-31,2020-07-21,77838,گشان,PSDP
1399-05-01,2020-07-22,80951,گشان,PSDP
1399-05-04,2020-07-25,82570,گشان,PSDP
1399-05-05,2020-07-26,84221,گشان,PSDP
1399-05-06,2020-07-27,85905,گشان,PSDP
1399-05-07,2020-07-28,89342,گشان,PSDP
1399-05-08,2020-07-29,91128,گشان,PSDP
1399-05-11,2020-08-01,92951,گشان,PSDP
1399-05-12,2020-08-02,94809,گشان,PSDP
1399-05-14,2020-08-04,98602,گشان,PSDP
1399-05-15,2020-08-05,100574,گشان,PSDP
1399-05-19,2020-08-09,99474,گشان,PSDP
1399-05-20,2020-08-10,99478,گشان,PSDP
1399-05-21,2020-08-11,97488,گشان,PSDP
1399-05-22,2020-08-12,95539,گشان,PSDP
1399-05-25,2020-08-15,91717,گشان,PSDP
1399-05-26,2020-08-16,89883,گشان,PSDP
1399-05-27,2020-08-17,88085,گشان,PSDP
1399-05-28,2020-08-18,86324,گشان,PSDP
1399-05-29,2020-08-19,86015,گشان,PSDP
1399-07-14,2020-10-05,84295,گشان,PSDP
1399-07-16,2020-10-07,82609,گشان,PSDP
1399-07-19,2020-10-10,81506,گشان,PSDP
1399-07-20,2020-10-11,80969,گشان,PSDP
1399-07-21,2020-10-12,78020,گشان,PSDP
1399-07-22,2020-10-13,76460,گشان,PSDP
1399-09-10,2020-11-30,75672,گشان,PSDP
1399-09-11,2020-12-01,75295,گشان,PSDP
1399-09-12,2020-12-02,74217,گشان,PSDP
1399-09-15,2020-12-05,73900,گشان,PSDP
1399-09-16,2020-12-06,72064,گشان,PSDP
1399-09-17,2020-12-07,71330,گشان,PSDP
1399-09-18,2020-12-08,70912,گشان,PSDP
1399-09-19,2020-12-09,70558,گشان,PSDP
1399-09-22,2020-12-12,68899,گشان,PSDP
1399-09-23,2020-12-13,67522,گشان,PSDP
1399-09-24,2020-12-14,67176,گشان,PSDP
1399-09-25,2020-12-15,66916,گشان,PSDP
1399-09-26,2020-12-16,65470,گشان,PSDP
1399-09-29,2020-12-19,65933,گشان,PSDP
1399-09-30,2020-12-20,65406,گشان,PSDP
1399-10-01,2020-12-21,65258,گشان,PSDP
1399-10-02,2020-12-22,63817,گشان,PSDP
1399-10-03,2020-12-23,63866,گشان,PSDP
1399-10-06,2020-12-26,63542,گشان,PSDP
1399-10-07,2020-12-27,63084,گشان,PSDP
1399-10-08,2020-12-28,61567,گشان,PSDP
1399-10-09,2020-12-29,60753,گشان,PSDP
1399-10-10,2020-12-30,60440,گشان,PSDP
1399-10-13,2021-01-02,59848,گشان,PSDP
1399-10-14,2021-01-03,58354,گشان,PSDP
1399-10-15,2021-01-04,57188,گشان,PSDP
1399-10-16,2021-01-05,58939,گشان,PSDP
1399-10-17,2021-01-06,56275,گشان,PSDP
1399-10-20,2021-01-09,56040,گشان,PSDP
1399-10-21,2021-01-10,54921,گشان,PSDP
1399-10-22,2021-01-11,53823,گشان,PSDP
1399-10-23,2021-01-12,52747,گشان,PSDP
1399-10-24,2021-01-13,52168,گشان,PSDP
1399-10-27,2021-01-16,51293,گشان,PSDP
1399-10-29,2021-01-18,49773,گشان,PSDP
1399-10-30,2021-01-19,50110,گشان,PSDP
1399-11-01,2021-01-20,49623,گشان,PSDP
1399-11-04,2021-01-23,49138,گشان,PSDP
1399-11-05,2021-01-24,49001,گشان,PSDP
1399-11-06,2021-01-25,49299,گشان,PSDP
1399-11-07,2021-01-26,48627,گشان,PSDP
1399-11-08,2021-01-27,47734,گشان,PSDP
1399-11-11,2021-01-30,46791,گشان,PSDP
1399-11-12,2021-01-31,45872,گشان,PSDP
