J-Date,Date,Adj Close,Ticker,Ticker(4)
1384-08-11,2005-11-02,61,شیراز,PSHZ
1384-08-14,2005-11-05,63,شیراز,PSHZ
1384-08-15,2005-11-06,64,شیراز,PSHZ
1384-08-16,2005-11-07,64,شیراز,PSHZ
1384-08-17,2005-11-08,64,شیراز,PSHZ
1384-08-18,2005-11-09,64,شیراز,PSHZ
1384-08-21,2005-11-12,64,شیراز,PSHZ
1384-08-22,2005-11-13,63,شیراز,PSHZ
1384-08-23,2005-11-14,63,شیراز,PSHZ
1384-08-24,2005-11-15,63,شیراز,PSHZ
1384-08-25,2005-11-16,63,شیراز,PSHZ
1384-08-28,2005-11-19,63,شیراز,PSHZ
1384-08-29,2005-11-20,63,شیراز,PSHZ
1384-08-30,2005-11-21,63,شیراز,PSHZ
1384-09-01,2005-11-22,63,شیراز,PSHZ
1384-09-02,2005-11-23,63,شیراز,PSHZ
1384-09-05,2005-11-26,64,شیراز,PSHZ
1384-09-06,2005-11-27,65,شیراز,PSHZ
1384-09-08,2005-11-29,65,شیراز,PSHZ
1384-09-09,2005-11-30,67,شیراز,PSHZ
1384-09-12,2005-12-03,71,شیراز,PSHZ
1384-09-13,2005-12-04,74,شیراز,PSHZ
1384-09-14,2005-12-05,75,شیراز,PSHZ
1384-09-15,2005-12-06,79,شیراز,PSHZ
1384-09-19,2005-12-10,83,شیراز,PSHZ
1384-09-20,2005-12-11,87,شیراز,PSHZ
1384-09-21,2005-12-12,91,شیراز,PSHZ
1384-09-22,2005-12-13,91,شیراز,PSHZ
1384-09-23,2005-12-14,90,شیراز,PSHZ
1384-09-26,2005-12-17,89,شیراز,PSHZ
1384-09-27,2005-12-18,89,شیراز,PSHZ
1384-09-28,2005-12-19,86,شیراز,PSHZ
1384-09-29,2005-12-20,83,شیراز,PSHZ
1384-09-30,2005-12-21,83,شیراز,PSHZ
1384-10-03,2005-12-24,86,شیراز,PSHZ
1384-10-04,2005-12-25,86,شیراز,PSHZ
1384-10-05,2005-12-26,86,شیراز,PSHZ
1384-10-06,2005-12-27,86,شیراز,PSHZ
1384-10-07,2005-12-28,86,شیراز,PSHZ
1384-10-10,2005-12-31,86,شیراز,PSHZ
1384-10-11,2006-01-01,85,شیراز,PSHZ
1384-10-12,2006-01-02,85,شیراز,PSHZ
1384-10-13,2006-01-03,85,شیراز,PSHZ
1384-10-14,2006-01-04,85,شیراز,PSHZ
1384-10-17,2006-01-07,85,شیراز,PSHZ
1384-10-18,2006-01-08,84,شیراز,PSHZ
1384-10-19,2006-01-09,84,شیراز,PSHZ
1384-10-20,2006-01-10,83,شیراز,PSHZ
1384-10-24,2006-01-14,83,شیراز,PSHZ
1384-10-25,2006-01-15,83,شیراز,PSHZ
1384-10-26,2006-01-16,83,شیراز,PSHZ
1384-10-27,2006-01-17,82,شیراز,PSHZ
1384-10-28,2006-01-18,82,شیراز,PSHZ
1384-11-01,2006-01-21,82,شیراز,PSHZ
1384-11-02,2006-01-22,81,شیراز,PSHZ
1384-11-03,2006-01-23,81,شیراز,PSHZ
1384-11-04,2006-01-24,81,شیراز,PSHZ
1384-11-05,2006-01-25,81,شیراز,PSHZ
1384-11-08,2006-01-28,81,شیراز,PSHZ
1384-11-09,2006-01-29,80,شیراز,PSHZ
1384-11-10,2006-01-30,80,شیراز,PSHZ
1384-11-11,2006-01-31,80,شیراز,PSHZ
1384-11-12,2006-02-01,80,شیراز,PSHZ
1384-11-15,2006-02-04,79,شیراز,PSHZ
1384-11-16,2006-02-05,79,شیراز,PSHZ
1384-11-17,2006-02-06,79,شیراز,PSHZ
1384-11-18,2006-02-07,79,شیراز,PSHZ
1384-11-23,2006-02-12,79,شیراز,PSHZ
1384-11-25,2006-02-14,79,شیراز,PSHZ
1384-11-26,2006-02-15,79,شیراز,PSHZ
1384-11-29,2006-02-18,79,شیراز,PSHZ
1384-11-30,2006-02-19,79,شیراز,PSHZ
1384-12-01,2006-02-20,79,شیراز,PSHZ
1384-12-02,2006-02-21,79,شیراز,PSHZ
1384-12-03,2006-02-22,79,شیراز,PSHZ
1384-12-06,2006-02-25,79,شیراز,PSHZ
1384-12-07,2006-02-26,79,شیراز,PSHZ
1384-12-08,2006-02-27,79,شیراز,PSHZ
1384-12-09,2006-02-28,79,شیراز,PSHZ
1384-12-10,2006-03-01,79,شیراز,PSHZ
1384-12-13,2006-03-04,78,شیراز,PSHZ
1384-12-14,2006-03-05,78,شیراز,PSHZ
1384-12-15,2006-03-06,78,شیراز,PSHZ
1384-12-16,2006-03-07,78,شیراز,PSHZ
1384-12-17,2006-03-08,78,شیراز,PSHZ
1384-12-21,2006-03-12,78,شیراز,PSHZ
1384-12-22,2006-03-13,78,شیراز,PSHZ
1384-12-23,2006-03-14,78,شیراز,PSHZ
1384-12-24,2006-03-15,78,شیراز,PSHZ
1384-12-27,2006-03-18,78,شیراز,PSHZ
1384-12-28,2006-03-19,78,شیراز,PSHZ
1385-01-05,2006-03-25,78,شیراز,PSHZ
1385-01-07,2006-03-27,78,شیراز,PSHZ
1385-01-08,2006-03-28,78,شیراز,PSHZ
1385-01-14,2006-04-03,78,شیراز,PSHZ
1385-01-15,2006-04-04,78,شیراز,PSHZ
1385-01-16,2006-04-05,77,شیراز,PSHZ
1385-01-19,2006-04-08,77,شیراز,PSHZ
1385-01-20,2006-04-09,77,شیراز,PSHZ
1385-01-21,2006-04-10,77,شیراز,PSHZ
1385-01-22,2006-04-11,77,شیراز,PSHZ
1385-01-23,2006-04-12,77,شیراز,PSHZ
1385-01-26,2006-04-15,77,شیراز,PSHZ
1385-01-28,2006-04-17,77,شیراز,PSHZ
1385-01-29,2006-04-18,77,شیراز,PSHZ
1385-01-30,2006-04-19,77,شیراز,PSHZ
1385-02-02,2006-04-22,77,شیراز,PSHZ
1385-02-03,2006-04-23,77,شیراز,PSHZ
1385-02-04,2006-04-24,77,شیراز,PSHZ
1385-02-05,2006-04-25,77,شیراز,PSHZ
1385-02-06,2006-04-26,77,شیراز,PSHZ
1385-02-09,2006-04-29,77,شیراز,PSHZ
1385-02-10,2006-04-30,77,شیراز,PSHZ
1385-02-11,2006-05-01,76,شیراز,PSHZ
1385-02-12,2006-05-02,76,شیراز,PSHZ
1385-02-13,2006-05-03,76,شیراز,PSHZ
1385-02-17,2006-05-07,76,شیراز,PSHZ
1385-02-18,2006-05-08,76,شیراز,PSHZ
1385-02-19,2006-05-09,76,شیراز,PSHZ
1385-02-23,2006-05-13,76,شیراز,PSHZ
1385-02-24,2006-05-14,76,شیراز,PSHZ
1385-02-25,2006-05-15,76,شیراز,PSHZ
1385-02-26,2006-05-16,76,شیراز,PSHZ
1385-02-27,2006-05-17,76,شیراز,PSHZ
1385-02-30,2006-05-20,76,شیراز,PSHZ
1385-03-01,2006-05-22,76,شیراز,PSHZ
1385-03-02,2006-05-23,76,شیراز,PSHZ
1385-03-03,2006-05-24,76,شیراز,PSHZ
1385-03-06,2006-05-27,76,شیراز,PSHZ
1385-03-08,2006-05-29,75,شیراز,PSHZ
1385-03-09,2006-05-30,75,شیراز,PSHZ
1385-03-10,2006-05-31,75,شیراز,PSHZ
1385-03-13,2006-06-03,75,شیراز,PSHZ
1385-03-20,2006-06-10,75,شیراز,PSHZ
1385-03-21,2006-06-11,75,شیراز,PSHZ
1385-03-22,2006-06-12,75,شیراز,PSHZ
1385-03-23,2006-06-13,75,شیراز,PSHZ
1385-03-24,2006-06-14,75,شیراز,PSHZ
1385-03-27,2006-06-17,75,شیراز,PSHZ
1385-03-28,2006-06-18,75,شیراز,PSHZ
1385-03-29,2006-06-19,75,شیراز,PSHZ
1385-03-30,2006-06-20,75,شیراز,PSHZ
1385-03-31,2006-06-21,75,شیراز,PSHZ
1385-04-03,2006-06-24,75,شیراز,PSHZ
1385-04-04,2006-06-25,75,شیراز,PSHZ
1385-04-05,2006-06-26,75,شیراز,PSHZ
1385-05-04,2006-07-26,57,شیراز,PSHZ
1385-05-07,2006-07-29,57,شیراز,PSHZ
1385-05-08,2006-07-30,57,شیراز,PSHZ
1385-05-09,2006-07-31,57,شیراز,PSHZ
1385-05-10,2006-08-01,56,شیراز,PSHZ
1385-05-11,2006-08-02,56,شیراز,PSHZ
1385-05-14,2006-08-05,56,شیراز,PSHZ
1385-05-15,2006-08-06,56,شیراز,PSHZ
1385-05-16,2006-08-07,56,شیراز,PSHZ
1385-05-18,2006-08-09,56,شیراز,PSHZ
1385-05-21,2006-08-12,56,شیراز,PSHZ
1385-05-22,2006-08-13,56,شیراز,PSHZ
1385-05-23,2006-08-14,56,شیراز,PSHZ
1385-05-24,2006-08-15,56,شیراز,PSHZ
1385-05-25,2006-08-16,56,شیراز,PSHZ
1385-05-28,2006-08-19,56,شیراز,PSHZ
1385-05-29,2006-08-20,56,شیراز,PSHZ
1385-05-30,2006-08-21,56,شیراز,PSHZ
1385-06-01,2006-08-23,56,شیراز,PSHZ
1385-06-04,2006-08-26,56,شیراز,PSHZ
1385-06-05,2006-08-27,56,شیراز,PSHZ
1385-06-06,2006-08-28,56,شیراز,PSHZ
1385-06-07,2006-08-29,56,شیراز,PSHZ
1385-06-08,2006-08-30,56,شیراز,PSHZ
1385-06-11,2006-09-02,56,شیراز,PSHZ
1385-06-12,2006-09-03,56,شیراز,PSHZ
1385-06-13,2006-09-04,56,شیراز,PSHZ
1385-06-14,2006-09-05,56,شیراز,PSHZ
1385-06-15,2006-09-06,56,شیراز,PSHZ
1385-06-19,2006-09-10,56,شیراز,PSHZ
1385-06-20,2006-09-11,56,شیراز,PSHZ
1385-06-21,2006-09-12,56,شیراز,PSHZ
1385-06-27,2006-09-18,56,شیراز,PSHZ
1385-06-28,2006-09-19,56,شیراز,PSHZ
1385-06-29,2006-09-20,56,شیراز,PSHZ
1385-07-01,2006-09-23,56,شیراز,PSHZ
1385-07-02,2006-09-24,56,شیراز,PSHZ
1385-07-03,2006-09-25,56,شیراز,PSHZ
1385-07-04,2006-09-26,56,شیراز,PSHZ
1385-07-05,2006-09-27,56,شیراز,PSHZ
1385-07-08,2006-09-30,56,شیراز,PSHZ
1385-07-09,2006-10-01,56,شیراز,PSHZ
1385-07-10,2006-10-02,56,شیراز,PSHZ
1385-07-11,2006-10-03,56,شیراز,PSHZ
1385-07-12,2006-10-04,56,شیراز,PSHZ
1385-07-15,2006-10-07,56,شیراز,PSHZ
1385-07-17,2006-10-09,56,شیراز,PSHZ
1385-07-18,2006-10-10,56,شیراز,PSHZ
1385-07-19,2006-10-11,56,شیراز,PSHZ
1385-07-22,2006-10-14,56,شیراز,PSHZ
1385-07-24,2006-10-16,56,شیراز,PSHZ
1385-07-25,2006-10-17,56,شیراز,PSHZ
1385-07-26,2006-10-18,56,شیراز,PSHZ
1385-07-29,2006-10-21,56,شیراز,PSHZ
1385-07-30,2006-10-22,56,شیراز,PSHZ
1385-08-01,2006-10-23,56,شیراز,PSHZ
1385-08-06,2006-10-28,56,شیراز,PSHZ
1385-08-07,2006-10-29,56,شیراز,PSHZ
1385-08-08,2006-10-30,56,شیراز,PSHZ
1385-08-09,2006-10-31,56,شیراز,PSHZ
1385-08-10,2006-11-01,56,شیراز,PSHZ
1385-08-13,2006-11-04,56,شیراز,PSHZ
1385-08-14,2006-11-05,56,شیراز,PSHZ
1385-08-15,2006-11-06,56,شیراز,PSHZ
1385-08-16,2006-11-07,56,شیراز,PSHZ
1385-08-17,2006-11-08,56,شیراز,PSHZ
1385-08-20,2006-11-11,56,شیراز,PSHZ
1385-08-21,2006-11-12,56,شیراز,PSHZ
