J-Date,Date,Adj Close,Ticker,Ticker(4)
1390-11-16,2012-02-05,565,معیار,PSMP
1390-11-18,2012-02-07,549,معیار,PSMP
1390-11-19,2012-02-08,549,معیار,PSMP
1391-02-10,2012-04-29,549,معیار,PSMP
1392-09-04,2013-11-25,161,معیار,PSMP
1392-10-04,2013-12-25,161,معیار,PSMP
1392-10-09,2013-12-30,161,معیار,PSMP
1392-10-24,2014-01-14,177,معیار,PSMP
1393-07-07,2014-09-29,177,معیار,PSMP
1393-10-17,2015-01-07,177,معیار,PSMP
1393-10-24,2015-01-14,114,معیار,PSMP
1393-10-28,2015-01-18,161,معیار,PSMP
1393-12-10,2015-03-01,161,معیار,PSMP
1394-02-27,2015-05-17,81,معیار,PSMP
1394-04-30,2015-07-21,113,معیار,PSMP
1394-10-15,2016-01-05,113,معیار,PSMP
1394-10-16,2016-01-06,113,معیار,PSMP
1394-10-19,2016-01-09,113,معیار,PSMP
1394-10-26,2016-01-16,113,معیار,PSMP
1394-10-30,2016-01-20,113,معیار,PSMP
1395-02-06,2016-04-25,113,معیار,PSMP
1395-03-22,2016-06-11,121,معیار,PSMP
1395-04-12,2016-07-02,129,معیار,PSMP
1395-06-10,2016-08-31,129,معیار,PSMP
1395-12-23,2017-03-13,130,معیار,PSMP
1395-12-28,2017-03-18,117,معیار,PSMP
1396-01-23,2017-04-12,124,معیار,PSMP
1396-01-26,2017-04-15,130,معیار,PSMP
1396-03-07,2017-05-28,143,معیار,PSMP
1396-03-16,2017-06-06,158,معیار,PSMP
1396-03-17,2017-06-07,173,معیار,PSMP
1396-03-20,2017-06-10,191,معیار,PSMP
1396-03-28,2017-06-18,210,معیار,PSMP
1396-03-29,2017-06-19,231,معیار,PSMP
1396-04-27,2017-07-18,254,معیار,PSMP
1396-05-15,2017-08-06,279,معیار,PSMP
1396-05-23,2017-08-14,307,معیار,PSMP
1396-05-25,2017-08-16,338,معیار,PSMP
1396-05-29,2017-08-20,372,معیار,PSMP
1396-05-30,2017-08-21,355,معیار,PSMP
1396-05-31,2017-08-22,355,معیار,PSMP
1396-06-01,2017-08-23,343,معیار,PSMP
1396-06-04,2017-08-26,324,معیار,PSMP
1396-06-05,2017-08-27,317,معیار,PSMP
1396-06-06,2017-08-28,353,معیار,PSMP
1396-06-07,2017-08-29,380,معیار,PSMP
1396-06-08,2017-08-30,390,معیار,PSMP
1396-06-11,2017-09-02,388,معیار,PSMP
1396-06-12,2017-09-03,365,معیار,PSMP
1396-06-13,2017-09-04,350,معیار,PSMP
1396-06-14,2017-09-05,348,معیار,PSMP
1396-06-15,2017-09-06,355,معیار,PSMP
1396-06-19,2017-09-10,353,معیار,PSMP
1396-06-20,2017-09-11,302,معیار,PSMP
1396-06-21,2017-09-12,278,معیار,PSMP
1396-06-22,2017-09-13,275,معیار,PSMP
1396-06-25,2017-09-16,244,معیار,PSMP
1396-07-03,2017-09-25,249,معیار,PSMP
1396-07-05,2017-09-27,266,معیار,PSMP
1396-07-10,2017-10-02,256,معیار,PSMP
1396-07-12,2017-10-04,236,معیار,PSMP
1396-07-15,2017-10-07,238,معیار,PSMP
1396-07-17,2017-10-09,238,معیار,PSMP
1396-07-19,2017-10-11,240,معیار,PSMP
1396-07-22,2017-10-14,240,معیار,PSMP
1396-07-24,2017-10-16,240,معیار,PSMP
1396-07-26,2017-10-18,241,معیار,PSMP
1396-07-29,2017-10-21,241,معیار,PSMP
1396-08-01,2017-10-23,248,معیار,PSMP
1396-08-03,2017-10-25,267,معیار,PSMP
1396-08-06,2017-10-28,253,معیار,PSMP
1396-08-08,2017-10-30,252,معیار,PSMP
1396-08-10,2017-11-01,263,معیار,PSMP
1396-08-13,2017-11-04,263,معیار,PSMP
1396-08-15,2017-11-06,319,معیار,PSMP
1396-08-17,2017-11-08,355,معیار,PSMP
1396-08-20,2017-11-11,355,معیار,PSMP
1396-08-22,2017-11-13,353,معیار,PSMP
1396-08-24,2017-11-15,359,معیار,PSMP
1396-08-27,2017-11-18,360,معیار,PSMP
1396-08-29,2017-11-20,353,معیار,PSMP
1396-09-01,2017-11-22,327,معیار,PSMP
1396-09-04,2017-11-25,346,معیار,PSMP
1396-09-08,2017-11-29,354,معیار,PSMP
1396-09-11,2017-12-02,328,معیار,PSMP
1396-09-13,2017-12-04,327,معیار,PSMP
1396-09-20,2017-12-11,298,معیار,PSMP
1396-09-25,2017-12-16,318,معیار,PSMP
1396-09-27,2017-12-18,266,معیار,PSMP
1396-09-29,2017-12-20,275,معیار,PSMP
1396-10-02,2017-12-23,270,معیار,PSMP
1396-10-09,2017-12-30,268,معیار,PSMP
1396-10-11,2018-01-01,266,معیار,PSMP
1396-10-16,2018-01-06,266,معیار,PSMP
1396-10-18,2018-01-08,252,معیار,PSMP
1396-10-23,2018-01-13,266,معیار,PSMP
1396-10-25,2018-01-15,266,معیار,PSMP
1396-10-27,2018-01-17,267,معیار,PSMP
1396-10-30,2018-01-20,267,معیار,PSMP
1396-11-02,2018-01-22,249,معیار,PSMP
1396-11-04,2018-01-24,248,معیار,PSMP
1396-11-09,2018-01-29,248,معیار,PSMP
1396-11-11,2018-01-31,229,معیار,PSMP
1396-11-14,2018-02-03,239,معیار,PSMP
1396-11-18,2018-02-07,240,معیار,PSMP
1396-11-23,2018-02-12,240,معیار,PSMP
1396-11-25,2018-02-14,256,معیار,PSMP
1396-11-28,2018-02-17,282,معیار,PSMP
1396-11-30,2018-02-19,316,معیار,PSMP
1396-12-02,2018-02-21,286,معیار,PSMP
1396-12-05,2018-02-24,276,معیار,PSMP
1396-12-09,2018-02-28,272,معیار,PSMP
1396-12-12,2018-03-03,272,معیار,PSMP
1396-12-14,2018-03-05,272,معیار,PSMP
1396-12-16,2018-03-07,272,معیار,PSMP
1396-12-21,2018-03-12,272,معیار,PSMP
1396-12-26,2018-03-17,272,معیار,PSMP
1396-12-28,2018-03-19,273,معیار,PSMP
1397-01-06,2018-03-26,266,معیار,PSMP
1397-01-18,2018-04-07,270,معیار,PSMP
1397-01-20,2018-04-09,270,معیار,PSMP
1397-01-22,2018-04-11,270,معیار,PSMP
1397-01-27,2018-04-16,270,معیار,PSMP
1397-01-29,2018-04-18,254,معیار,PSMP
1397-02-03,2018-04-23,254,معیار,PSMP
1397-02-05,2018-04-25,254,معیار,PSMP
1397-02-08,2018-04-28,254,معیار,PSMP
1397-02-19,2018-05-09,264,معیار,PSMP
1397-02-26,2018-05-16,259,معیار,PSMP
1397-02-29,2018-05-19,258,معیار,PSMP
1397-02-31,2018-05-21,248,معیار,PSMP
1397-03-05,2018-05-26,238,معیار,PSMP
1397-03-07,2018-05-28,239,معیار,PSMP
1397-03-12,2018-06-02,239,معیار,PSMP
1397-03-19,2018-06-09,238,معیار,PSMP
1397-03-21,2018-06-11,240,معیار,PSMP
1397-03-28,2018-06-18,248,معیار,PSMP
1397-03-30,2018-06-20,250,معیار,PSMP
1397-04-02,2018-06-23,254,معیار,PSMP
1397-04-04,2018-06-25,253,معیار,PSMP
1397-04-06,2018-06-27,257,معیار,PSMP
1397-04-09,2018-06-30,279,معیار,PSMP
1397-04-11,2018-07-02,279,معیار,PSMP
1397-04-27,2018-07-18,257,معیار,PSMP
1397-04-30,2018-07-21,266,معیار,PSMP
1397-05-01,2018-07-23,240,معیار,PSMP
1397-05-03,2018-07-25,240,معیار,PSMP
1397-05-06,2018-07-28,240,معیار,PSMP
1397-05-08,2018-07-30,240,معیار,PSMP
1397-05-10,2018-08-01,241,معیار,PSMP
1397-05-13,2018-08-04,241,معیار,PSMP
1397-05-15,2018-08-06,242,معیار,PSMP
1397-05-17,2018-08-08,241,معیار,PSMP
1397-05-20,2018-08-11,298,معیار,PSMP
1397-05-22,2018-08-13,314,معیار,PSMP
1397-05-24,2018-08-15,497,معیار,PSMP
1397-05-27,2018-08-18,691,معیار,PSMP
1397-05-29,2018-08-20,737,معیار,PSMP
1397-06-03,2018-08-25,844,معیار,PSMP
1397-06-05,2018-08-27,1155,معیار,PSMP
1398-06-30,2019-09-21,3199,معیار,PSMP
1398-06-31,2019-09-22,3231,معیار,PSMP
1398-07-01,2019-09-23,3296,معیار,PSMP
1398-07-02,2019-09-24,3329,معیار,PSMP
1398-07-03,2019-09-25,3362,معیار,PSMP
1398-07-06,2019-09-28,3328,معیار,PSMP
1398-07-07,2019-09-29,3356,معیار,PSMP
1398-07-08,2019-09-30,3323,معیار,PSMP
1398-07-09,2019-10-01,3290,معیار,PSMP
1398-07-10,2019-10-02,3257,معیار,PSMP
1398-07-13,2019-10-05,3287,معیار,PSMP
1398-07-14,2019-10-06,3200,معیار,PSMP
1398-07-15,2019-10-07,3178,معیار,PSMP
1398-07-16,2019-10-08,3150,معیار,PSMP
1398-07-17,2019-10-09,3119,معیار,PSMP
1398-07-20,2019-10-12,3088,معیار,PSMP
1398-07-21,2019-10-13,3057,معیار,PSMP
1398-07-22,2019-10-14,3026,معیار,PSMP
1398-07-24,2019-10-16,2996,معیار,PSMP
1398-07-30,2019-10-22,2966,معیار,PSMP
1398-08-01,2019-10-23,2937,معیار,PSMP
1398-08-04,2019-10-26,2878,معیار,PSMP
1398-08-08,2019-10-30,2849,معیار,PSMP
1398-08-11,2019-11-02,2821,معیار,PSMP
1398-08-12,2019-11-03,2765,معیار,PSMP
1398-08-13,2019-11-04,2737,معیار,PSMP
1398-08-14,2019-11-05,2710,معیار,PSMP
1398-08-18,2019-11-09,2683,معیار,PSMP
1398-08-19,2019-11-10,2736,معیار,PSMP
1398-08-20,2019-11-11,2701,معیار,PSMP
1398-08-21,2019-11-12,2728,معیار,PSMP
1398-08-22,2019-11-13,2753,معیار,PSMP
1398-08-25,2019-11-16,2799,معیار,PSMP
1398-08-26,2019-11-17,2827,معیار,PSMP
1398-08-27,2019-11-18,2849,معیار,PSMP
1398-08-28,2019-11-19,2877,معیار,PSMP
1398-08-29,2019-11-20,2931,معیار,PSMP
1398-09-02,2019-11-23,2960,معیار,PSMP
