J-Date,Date,Adj Close,Ticker,Ticker(4)
1391-07-19,2012-10-10,13,شتران,PTEH
1391-07-22,2012-10-13,13,شتران,PTEH
1391-07-23,2012-10-14,14,شتران,PTEH
1391-07-24,2012-10-15,15,شتران,PTEH
1391-07-25,2012-10-16,15,شتران,PTEH
1391-07-26,2012-10-17,16,شتران,PTEH
1391-07-29,2012-10-20,17,شتران,PTEH
1391-07-30,2012-10-21,18,شتران,PTEH
1392-02-10,2013-04-30,143,شتران,PTEH
1392-02-11,2013-05-01,146,شتران,PTEH
1392-02-14,2013-05-04,153,شتران,PTEH
1392-02-15,2013-05-05,158,شتران,PTEH
1392-02-16,2013-05-06,162,شتران,PTEH
1392-02-17,2013-05-07,156,شتران,PTEH
1392-02-18,2013-05-08,150,شتران,PTEH
1392-02-21,2013-05-11,154,شتران,PTEH
1392-02-22,2013-05-12,144,شتران,PTEH
1392-02-23,2013-05-13,140,شتران,PTEH
1392-02-24,2013-05-14,133,شتران,PTEH
1392-02-25,2013-05-15,127,شتران,PTEH
1392-02-28,2013-05-18,123,شتران,PTEH
1392-02-29,2013-05-19,123,شتران,PTEH
1392-02-30,2013-05-20,124,شتران,PTEH
1392-02-31,2013-05-21,122,شتران,PTEH
1392-03-01,2013-05-22,121,شتران,PTEH
1392-03-04,2013-05-25,125,شتران,PTEH
1392-03-05,2013-05-26,130,شتران,PTEH
1392-03-06,2013-05-27,131,شتران,PTEH
1392-03-07,2013-05-28,129,شتران,PTEH
1392-03-08,2013-05-29,126,شتران,PTEH
1392-03-11,2013-06-01,123,شتران,PTEH
1392-03-12,2013-06-02,124,شتران,PTEH
1392-03-13,2013-06-03,129,شتران,PTEH
1392-05-26,2013-08-17,110,شتران,PTEH
1392-05-27,2013-08-18,108,شتران,PTEH
1392-05-28,2013-08-19,103,شتران,PTEH
1392-05-29,2013-08-20,101,شتران,PTEH
1392-05-30,2013-08-21,106,شتران,PTEH
1392-06-02,2013-08-24,109,شتران,PTEH
1392-06-03,2013-08-25,115,شتران,PTEH
1392-06-04,2013-08-26,121,شتران,PTEH
1392-06-05,2013-08-27,127,شتران,PTEH
1392-06-06,2013-08-28,129,شتران,PTEH
1392-06-09,2013-08-31,135,شتران,PTEH
1392-06-10,2013-09-01,141,شتران,PTEH
1392-06-12,2013-09-03,148,شتران,PTEH
1392-06-13,2013-09-04,141,شتران,PTEH
1392-06-16,2013-09-07,138,شتران,PTEH
1392-06-17,2013-09-08,142,شتران,PTEH
1392-06-18,2013-09-09,145,شتران,PTEH
1392-06-19,2013-09-10,154,شتران,PTEH
