J-Date,Date,Adj Close,Ticker,Ticker(4)
1392-10-04,2013-12-25,264,ثقزوی,QAZP
1392-10-24,2014-01-14,275,ثقزوی,QAZP
1393-03-27,2014-06-17,416,ثقزوی,QAZP
1393-04-11,2014-07-02,469,ثقزوی,QAZP
1393-04-21,2014-07-12,469,ثقزوی,QAZP
1393-05-27,2014-08-18,469,ثقزوی,QAZP
1393-06-05,2014-08-27,469,ثقزوی,QAZP
1393-12-05,2015-02-24,469,ثقزوی,QAZP
1393-12-19,2015-03-10,469,ثقزوی,QAZP
1394-02-08,2015-04-28,557,ثقزوی,QAZP
1394-02-16,2015-05-06,557,ثقزوی,QAZP
1394-02-23,2015-05-13,557,ثقزوی,QAZP
1394-03-09,2015-05-30,592,ثقزوی,QAZP
1394-03-10,2015-05-31,586,ثقزوی,QAZP
1394-03-20,2015-06-10,619,ثقزوی,QAZP
1394-03-23,2015-06-13,630,ثقزوی,QAZP
1394-03-26,2015-06-16,636,ثقزوی,QAZP
1394-03-27,2015-06-17,645,ثقزوی,QAZP
1394-03-30,2015-06-20,645,ثقزوی,QAZP
1394-04-01,2015-06-22,680,ثقزوی,QAZP
1394-04-07,2015-06-28,733,ثقزوی,QAZP
1394-04-14,2015-07-05,777,ثقزوی,QAZP
1394-04-16,2015-07-07,733,ثقزوی,QAZP
1394-04-20,2015-07-11,674,ثقزوی,QAZP
1394-04-21,2015-07-12,674,ثقزوی,QAZP
1394-04-22,2015-07-13,674,ثقزوی,QAZP
1394-04-23,2015-07-14,674,ثقزوی,QAZP
1394-04-29,2015-07-20,674,ثقزوی,QAZP
1394-05-10,2015-08-01,674,ثقزوی,QAZP
1394-05-12,2015-08-03,674,ثقزوی,QAZP
1394-05-17,2015-08-08,718,ثقزوی,QAZP
1394-05-19,2015-08-10,733,ثقزوی,QAZP
1394-05-21,2015-08-12,766,ثقزوی,QAZP
1394-05-24,2015-08-15,880,ثقزوی,QAZP
1394-05-25,2015-08-16,880,ثقزوی,QAZP
1394-05-26,2015-08-17,762,ثقزوی,QAZP
1394-05-27,2015-08-18,739,ثقزوی,QAZP
1394-05-28,2015-08-19,704,ثقزوی,QAZP
1394-05-31,2015-08-22,707,ثقزوی,QAZP
1394-06-01,2015-08-23,709,ثقزوی,QAZP
1394-06-02,2015-08-24,712,ثقزوی,QAZP
1394-06-03,2015-08-25,721,ثقزوی,QAZP
1394-06-07,2015-08-29,721,ثقزوی,QAZP
1394-06-09,2015-08-31,704,ثقزوی,QAZP
1394-06-10,2015-09-01,645,ثقزوی,QAZP
1394-06-15,2015-09-06,648,ثقزوی,QAZP
1394-06-16,2015-09-07,645,ثقزوی,QAZP
1394-06-17,2015-09-08,642,ثقزوی,QAZP
1394-06-18,2015-09-09,642,ثقزوی,QAZP
1394-06-21,2015-09-12,642,ثقزوی,QAZP
1394-06-22,2015-09-13,642,ثقزوی,QAZP
1394-06-23,2015-09-14,586,ثقزوی,QAZP
1394-06-24,2015-09-15,587,ثقزوی,QAZP
1394-06-25,2015-09-16,586,ثقزوی,QAZP
1394-06-28,2015-09-19,586,ثقزوی,QAZP
1394-06-29,2015-09-20,586,ثقزوی,QAZP
1394-06-31,2015-09-22,586,ثقزوی,QAZP
1394-07-01,2015-09-23,586,ثقزوی,QAZP
1394-07-04,2015-09-26,586,ثقزوی,QAZP
1394-07-05,2015-09-27,586,ثقزوی,QAZP
1394-07-06,2015-09-28,586,ثقزوی,QAZP
1394-07-07,2015-09-29,645,ثقزوی,QAZP
1394-07-12,2015-10-04,636,ثقزوی,QAZP
1394-07-13,2015-10-05,671,ثقزوی,QAZP
1394-07-14,2015-10-06,704,ثقزوی,QAZP
1394-07-15,2015-10-07,703,ثقزوی,QAZP
1394-07-18,2015-10-10,698,ثقزوی,QAZP
1394-07-20,2015-10-12,692,ثقزوی,QAZP
1394-07-21,2015-10-13,695,ثقزوی,QAZP
1394-07-25,2015-10-17,703,ثقزوی,QAZP
1394-08-03,2015-10-25,698,ثقزوی,QAZP
1394-08-04,2015-10-26,718,ثقزوی,QAZP
1394-08-05,2015-10-27,651,ثقزوی,QAZP
1394-08-06,2015-10-28,733,ثقزوی,QAZP
1394-08-09,2015-10-31,639,ثقزوی,QAZP
1394-08-10,2015-11-01,730,ثقزوی,QAZP
1394-08-11,2015-11-02,730,ثقزوی,QAZP
1394-08-12,2015-11-03,718,ثقزوی,QAZP
1394-08-13,2015-11-04,730,ثقزوی,QAZP
1394-08-16,2015-11-07,704,ثقزوی,QAZP
1394-08-17,2015-11-08,733,ثقزوی,QAZP
1394-08-18,2015-11-09,762,ثقزوی,QAZP
1394-08-19,2015-11-10,730,ثقزوی,QAZP
1394-08-20,2015-11-11,747,ثقزوی,QAZP
1394-08-23,2015-11-14,663,ثقزوی,QAZP
1394-08-24,2015-11-15,660,ثقزوی,QAZP
1394-08-25,2015-11-16,697,ثقزوی,QAZP
1394-08-27,2015-11-18,641,ثقزوی,QAZP
1394-08-30,2015-11-21,689,ثقزوی,QAZP
1394-09-02,2015-11-23,677,ثقزوی,QAZP
1394-09-04,2015-11-25,677,ثقزوی,QAZP
1394-09-07,2015-11-28,636,ثقزوی,QAZP
1394-09-08,2015-11-29,616,ثقزوی,QAZP
1394-09-10,2015-12-01,645,ثقزوی,QAZP
1394-09-14,2015-12-05,654,ثقزوی,QAZP
1394-09-15,2015-12-06,645,ثقزوی,QAZP
1394-09-16,2015-12-07,635,ثقزوی,QAZP
1394-09-17,2015-12-08,645,ثقزوی,QAZP
1394-09-18,2015-12-09,645,ثقزوی,QAZP
1394-09-22,2015-12-13,645,ثقزوی,QAZP
1394-09-23,2015-12-14,645,ثقزوی,QAZP
1394-09-24,2015-12-15,636,ثقزوی,QAZP
1394-09-25,2015-12-16,636,ثقزوی,QAZP
1394-09-28,2015-12-19,622,ثقزوی,QAZP
1394-09-30,2015-12-21,619,ثقزوی,QAZP
1394-10-01,2015-12-22,604,ثقزوی,QAZP
1394-10-02,2015-12-23,619,ثقزوی,QAZP
1394-10-05,2015-12-26,616,ثقزوی,QAZP
1394-10-06,2015-12-27,592,ثقزوی,QAZP
1394-10-07,2015-12-28,636,ثقزوی,QAZP
1394-10-09,2015-12-30,586,ثقزوی,QAZP
1394-10-12,2016-01-02,589,ثقزوی,QAZP
1394-10-13,2016-01-03,639,ثقزوی,QAZP
1394-10-14,2016-01-04,777,ثقزوی,QAZP
1394-10-15,2016-01-05,821,ثقزوی,QAZP
1394-10-16,2016-01-06,909,ثقزوی,QAZP
1394-10-19,2016-01-09,1009,ثقزوی,QAZP
1394-10-20,2016-01-10,1085,ثقزوی,QAZP
1394-10-21,2016-01-11,1143,ثقزوی,QAZP
1394-10-22,2016-01-12,1056,ثقزوی,QAZP
1394-10-26,2016-01-16,1026,ثقزوی,QAZP
1394-10-27,2016-01-17,1085,ثقزوی,QAZP
1394-10-28,2016-01-18,997,ثقزوی,QAZP
1394-11-10,2016-01-30,1018,ثقزوی,QAZP
1394-11-11,2016-01-31,955,ثقزوی,QAZP
1394-11-12,2016-02-01,955,ثقزوی,QAZP
1394-11-13,2016-02-02,955,ثقزوی,QAZP
1394-11-14,2016-02-03,940,ثقزوی,QAZP
1394-11-17,2016-02-06,1015,ثقزوی,QAZP
1394-11-18,2016-02-07,1027,ثقزوی,QAZP
1394-11-19,2016-02-08,961,ثقزوی,QAZP
1394-11-21,2016-02-10,982,ثقزوی,QAZP
1394-11-24,2016-02-13,1060,ثقزوی,QAZP
1394-11-25,2016-02-14,1063,ثقزوی,QAZP
1394-11-26,2016-02-15,1042,ثقزوی,QAZP
1394-11-27,2016-02-16,1030,ثقزوی,QAZP
1394-11-28,2016-02-17,1036,ثقزوی,QAZP
1394-12-01,2016-02-20,988,ثقزوی,QAZP
1394-12-02,2016-02-21,943,ثقزوی,QAZP
1394-12-03,2016-02-22,985,ثقزوی,QAZP
1394-12-04,2016-02-23,1072,ثقزوی,QAZP
1394-12-05,2016-02-24,1060,ثقزوی,QAZP
1394-12-08,2016-02-27,987,ثقزوی,QAZP
1394-12-09,2016-02-28,1060,ثقزوی,QAZP
1394-12-10,2016-02-29,1075,ثقزوی,QAZP
1394-12-11,2016-03-01,1042,ثقزوی,QAZP
1394-12-12,2016-03-02,986,ثقزوی,QAZP
1394-12-16,2016-03-06,965,ثقزوی,QAZP
1394-12-17,2016-03-07,926,ثقزوی,QAZP
1394-12-18,2016-03-08,899,ثقزوی,QAZP
1394-12-19,2016-03-09,925,ثقزوی,QAZP
1394-12-24,2016-03-14,896,ثقزوی,QAZP
1394-12-26,2016-03-16,911,ثقزوی,QAZP
1395-01-07,2016-03-26,960,ثقزوی,QAZP
