J-Date,Date,Adj Close,Ticker,Ticker(4)
1390-12-15,2012-03-05,3251,حرهشا,RAHP
1390-12-16,2012-03-06,3081,حرهشا,RAHP
1390-12-17,2012-03-07,3234,حرهشا,RAHP
1390-12-20,2012-03-10,3396,حرهشا,RAHP
1390-12-21,2012-03-11,3565,حرهشا,RAHP
1390-12-22,2012-03-12,3387,حرهشا,RAHP
1390-12-23,2012-03-13,3345,حرهشا,RAHP
1390-12-24,2012-03-14,3184,حرهشا,RAHP
1390-12-27,2012-03-17,3026,حرهشا,RAHP
1390-12-28,2012-03-18,2969,حرهشا,RAHP
1391-01-05,2012-03-24,2821,حرهشا,RAHP
1391-01-06,2012-03-25,2810,حرهشا,RAHP
1391-01-07,2012-03-26,2631,حرهشا,RAHP
1391-01-08,2012-03-27,2547,حرهشا,RAHP
1391-01-09,2012-03-28,2707,حرهشا,RAHP
1391-01-14,2012-04-02,2675,حرهشا,RAHP
1391-01-15,2012-04-03,2542,حرهشا,RAHP
1391-01-16,2012-04-04,2464,حرهشا,RAHP
1391-01-19,2012-04-07,2587,حرهشا,RAHP
1391-01-20,2012-04-08,2458,حرهشا,RAHP
1391-01-21,2012-04-09,2592,حرهشا,RAHP
1391-01-22,2012-04-10,2693,حرهشا,RAHP
1391-01-23,2012-04-11,2560,حرهشا,RAHP
1391-01-26,2012-04-14,2600,حرهشا,RAHP
1391-01-27,2012-04-15,2514,حرهشا,RAHP
1391-01-28,2012-04-16,2389,حرهشا,RAHP
1391-01-29,2012-04-17,2475,حرهشا,RAHP
1391-01-30,2012-04-18,2352,حرهشا,RAHP
1391-02-02,2012-04-21,2522,حرهشا,RAHP
1391-02-03,2012-04-22,2630,حرهشا,RAHP
1391-02-04,2012-04-23,2652,حرهشا,RAHP
1391-02-05,2012-04-24,2784,حرهشا,RAHP
1391-02-09,2012-04-28,2841,حرهشا,RAHP
1391-02-12,2012-05-01,2699,حرهشا,RAHP
1391-02-13,2012-05-02,2564,حرهشا,RAHP
1391-02-16,2012-05-05,2436,حرهشا,RAHP
1391-02-17,2012-05-06,2389,حرهشا,RAHP
1391-02-18,2012-05-07,2507,حرهشا,RAHP
1391-02-19,2012-05-08,2495,حرهشا,RAHP
1391-02-20,2012-05-09,2370,حرهشا,RAHP
1391-02-23,2012-05-12,2475,حرهشا,RAHP
1391-02-24,2012-05-13,2459,حرهشا,RAHP
1391-02-25,2012-05-14,2337,حرهشا,RAHP
